work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
54914395,qqqq,yekkiw,['yekkiw'],Explicit,Choose Not To Use Archive Warnings,No category,Complete Work,02 Apr 2024,[],[],[],,Afrikaans,"8,045",1/1,,,,10
54750877,qqq,yekkiw,['yekkiw'],Mature,Choose Not To Use Archive Warnings,No category,Complete Work,26 Mar 2024,[],[],[],,Afrikaans,"10,277",1/1,,,,5
54589837,qq,yekkiw,['yekkiw'],Explicit,Choose Not To Use Archive Warnings,No category,Work in Progress,19 Mar 2024,[],[],[],,Afrikaans,"25,374",1/2,,,,12
54589816,q,yekkiw,['yekkiw'],Explicit,Choose Not To Use Archive Warnings,No category,Complete Work,19 Mar 2024,[],[],[],,Afrikaans,"8,268",1/1,,,,13
54071134,"Maddy the super senior and, Cassie the newcomer.",AHORNDOGFORLUST,['Euphoria (TV 2019)'],Explicit,"Rape/Non-Con, Underage",F/F,Complete Work,25 Feb 2024,['Cassie Howard/Maddy Perez'],"['Maddy Perez', 'Cassie Howard']","['Cassie Howard Needs a Hug', 'Cassie gets pregnant by a big dicked(and big ego) Maddy']",Basically a short where Maddy fucks up a Young ass Casise.,Afrikaans,692,1/1,2,4,,709
53869171,Working titel in progress,ArcadiaHasDissaperd,['Original Work'],Not Rated,Choose Not To Use Archive Warnings,No category,Complete Work,17 Feb 2024,[],[],[],"Original work Oneshots ,skits and songfics that make up lore for my oc and her universe",Afrikaans,5,1/1,,,,10
53303587,Tingles,RayMystereo,['TADC'],Explicit,"Graphic Depictions Of Violence, Major Character Death, No Archive Warnings Apply, Rape/Non-Con, Underage","F/F, F/M, Gen, M/M, Multi, Other",Complete Work,26 Jan 2024,['tweek - Relationship'],['Craig'],"['Anal Sex', 'Harry Styles Wears a Butt Plug', 'Original Character(s)']",,Afrikaans,45,1/1,3,6,,180
52936711,farts in my ballsack,Anonymous,['One Direction (Band)'],Not Rated,No Archive Warnings Apply,No category,Complete Work,10 Jan 2024,[],[],[],,Afrikaans,20,1/1,,2,1,48
52471183,FCC don't @ me,flowingquick,['Testing'],General Audiences,Major Character Death,No category,Complete Work,23 Dec 2023,[],[],[],,Afrikaans,17,1/1,2,1,,27
51919819,sbidibebobeoeoh,Twwgreyscale,['Unspecified Fandom'],Explicit,Graphic Depictions Of Violence,M/M,Work in Progress,15 Oct 2023,['Kim Jonghyun/Lee Jinki | Onew'],['Kim Jong-un'],['go away'],Mr rizal and kim jong un have been together for months now ever since they've met. though.. something unusual happens in the series. Mr rizal is pregnant ! how would kim react and what actions would be made ? [FAKE EVERYTHING],Afrikaans,"1,688",5/75,,1,,48
51007711,Gnome WWE,ImCocobunny,"['WWE 2K (Video Games)', 'Gnome Alone (2017)']",Explicit,No Archive Warnings Apply,F/M,Complete Work,21 Oct 2023,['Siya Kolisi / reader'],"['Siya Kolisi', 'Gnome Chompsky', 'Dwayne ""The Rock"" Johnson']","['WWE WrestleMania', 'only for women']",Don’t remember enjoy,Afrikaans,572,1/1,1,1,,66
50586085,IM GONNA SHIT MYSELF,kissymatch,"['Helluva Boss (Web Series)', 'Helluva Boss']",Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,05 Oct 2023,['Blitzo/FizzaRolli (Helluva Boss)'],"['FizzaRolli (Helluva Boss)', 'Blitzo (Helluva Boss)']","['Gay', 'i love gay men']",this is a joke pls,Afrikaans,60,1/1,,10,,357
49914712,Kyoka and atsushi pick out a dog,Osamu_crab,['文豪ストレイドッグス | Bungou Stray Dogs'],General Audiences,No Archive Warnings Apply,Multi,Work in Progress,07 Sep 2023,['Izumi Kyouka & Nakajima Atsushi (Bungou Stray Dogs)'],"['Izumi Kyouka (Bungou Stray Dogs)', 'Nakajima Atsushi (Bungou Stray Dogs)']","['Fluff', 'Dog Tags', 'Fish', 'Cooking', 'Siblings', 'Cute']",[Not a ship] It's all pure Tiktok:ilovebigb00bs,Afrikaans,714,1/6,,1,,58
49911382,Kunikida x bomb,Osamu_crab,['文豪ストレイドッグス | Bungou Stray Dogs'],Mature,Choose Not To Use Archive Warnings,Other,Complete Work,06 Sep 2023,['Kunikida x bomb'],['Kunikida Doppo (Bungou Stray Dogs)'],['Bombs'],This is so cute,Afrikaans,192,1/1,1,4,,355
49911286,Fukuzawa x OP sword,Osamu_crab,['文豪ストレイドッグス | Bungou Stray Dogs'],Mature,Choose Not To Use Archive Warnings,Other,Complete Work,06 Sep 2023,['OP sword x fukuzawa'],"['Fukuzawa Yukichi (Bungou Stray Dogs)', 'OP sword']",['Bungou Stray Dogs Rarepair Week 2020'],Wholesome,Afrikaans,291,1/1,1,6,,142
