work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55077706,Lysa Smiles,LysaRaine,['Michael Alig Keoki Franconi'],General Audiences,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",Other,Complete Work,09 Apr 2024,[],['Michael Alig Keoki Franconi - Character'],[],This is a story based off the movie Savannah Smiles. It's a cute story of a little girl who comes from a rich family and is unhappy because she's never paid attention to and left by her parents to be cared for by the nanny. She gets fed up and decides to run away from home. That's when she meets two club kids who end up taking care of her till they can return her home to her parents. It is a work of fiction so no judging me on this story.,Eald Englisċ,"9,878",5/5,,,,3
54773512,A Different Letter,MantaCat,['Harry Potter - J. K. Rowling'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,27 Mar 2024,[],"['Harry Potter', 'Rubeus Hagrid']","['Middle English', 'Language Barrier', 'Pureblood Culture (Harry Potter)', 'Worldbuilding']","In a canonical world where wizards lived separately from Muggles long enough before the Statute of Secrecy to have their own folktales, Anglo-Saxon derived Wizen-gamut, and no understanding of trousers which join at the crotch, it is odd how everyone seems to speak, read, and write in modern English. A brief glimpse into a world where not just the fashion departed from muggle customs in the medieval period, but language as well.",Eald Englisċ,"4,292",1/1,5,7,1,83
54772513,Another Beautiful Day,MentallyDevastated,['Our Flag Means Death (TV)'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,27 Mar 2024,['Fang (Our Flag Means Death)/Israel Hands'],"['Israel Hands', 'Fang (Our Flag Means Death)']","['Domestic Fluff', 'Fluff', 'Alternate Universe - Modern Setting', 'Sunday mornings are for coziness', 'Dog Dad Fang']",Another chill Sunday morning for Izzy and Fang,Eald Englisċ,155,1/1,,9,,49
54752902,"If you ever see a videogame titled DOOM, never play it!",The_Resident_of_Nowheria,['Creepypasta - Fandom'],Not Rated,Choose Not To Use Archive Warnings,No category,Complete Work,26 Mar 2024,[],[],"['Jokepasta', 'trollpasta', 'Doom']",A quick and dirty jokepasta. I wrote it to test out some of the functionality of the website.,Eald Englisċ,"1,815",3/3,,,,21
54752434,The King Who Lost,Winter_Kitty,['All For The Game - Nora Sakavic'],Mature,"Graphic Depictions Of Violence, Rape/Non-Con",F/M,Work in Progress,10 Apr 2024,[],"['Riko Moriyama', 'Ichirou Moriyama', 'Tetsuji Moriyama', 'Neil Josten', 'Andrew Minyard', 'Jean Moreau', 'David Wymack', 'Kevin Day']","['Exy (All For The Game)', 'AFTG Exchange', 'Palmetto State University Foxes (All For The Game)']","Nathalie Wesniski lives an unhappy life, engaged to Riko Moriyama against her own will, having to deal with her fiancé's abuse and replacing her twin brother at Exy, whose mother disappeared years ago. The young woman lives in hell on earth, while she must hide her love for Kevin Day and endure Riko's evil deeds.",Eald Englisċ,"1,622",2/?,,2,,40
54615559,Maybe you will see (what I feel),Anonymous,['9-1-1 (TV)'],General Audiences,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",M/M,Complete Work,20 Mar 2024,"['Evan ""Buck"" Buckley/Eddie Diaz (9-1-1 TV)']","['Evan ""Buck"" Buckley', 'Eddie Diaz (9-1-1 TV)', 'Henrietta ""Hen"" Wilson', 'Howie ""Chimney"" Han', 'Bobby Nash', 'Christopher Diaz (9-1-1 TV)']","['Getting Together', 'Friends to Lovers', 'Feelings Realization', 'Not Actually Unrequited Love', 'firefam - Freeform', 'Set after season six', 'Kissing', 'Fluff', ""at the end tho'"", 'First Kiss', 'dream helping idiots', 'Original Character(s)']",Buck and Eddie have no idea how the other reacted when they had their accidents until a girl on a random call makes them see it…literally.,Eald Englisċ,"2,710",1/1,1,121,14,"2,009"
54454336,DAÑO,LimboDeDante,['Original Work'],Mature,Choose Not To Use Archive Warnings,M/M,Complete Work,13 Mar 2024,[],[],[],"Seong Tae Han se estaba ocultando en un templo aislado para evitar una red de investigación, y allí conoce a un chico que estaba aislado del mundo. Yeomin mantiene una ingenuidad que se pensaba ya no existía en el mundo fue como si acabara de nacer en el mundo. Tae Han, que ha vivido una vida feroz y violenta, tiene sentimientos indescriptibles por un joven de piel tan pálida como la nieve. En medio de las contradicciones que sus sentimientos le resultaron abrumadores ante su belleza, pero deseaba mantenerse lejos de esas emociones, Tae Han se comenzó a sentir confundido. ‘Te profanaré, te profanaré.’ ¿Y después …? «¿Cuál es tu nombre?» «Seong… Tae Han… ” “… No debes olvidarlo. Este es un nombre que probablemente odiarás por el resto de tu días”. Yeomin inclinó su rostro y derramó lágrimas. Ahora que se encontraba solo en el mundo, su deseo de llorar era tan intenso que no pudo contener sus lágrimas. Estaba llorando pensando en su propia muerte.",Eald Englisċ,"143,029",10/10,,7,,318
54415618,A Duel and A Wedding,Kiki9627,['Fire Emblem: Soen no Kiseki/Akatsuki no Megami | Fire Emblem Path of Radiance/Radiant Dawn'],Explicit,Graphic Depictions Of Violence,M/M,Complete Work,12 Mar 2024,['Ike/Senerio | Soren'],"['Senerio | Soren', 'Ike (Fire Emblem)', 'Dheginhansea | Dheginsea', 'Rajaion (Fire Emblem)', 'Original Characters', 'Elena (Fire Emblem)']","['Porn With Plot', ""I guess there's just always gonna be plot now"", 'Cock Warming', 'Body Worship', 'Sleepy Sex', 'Weddings', 'Duelling', 'mention of past SA', 'Kinktober 2023']",Ike challenges a Knight of Goldoa to win his hand in marriage for another man. Continuation of the Goldoan Prince AU! THERE IS MENTION OF PAST SA!,Eald Englisċ,"5,183",1/1,6,33,,136
54352462,“At least i have a mom.”,Crazy_purin,['Percy Jackson and the Olympians - Rick Riordan'],Not Rated,No Archive Warnings Apply,No category,Work in Progress,09 Mar 2024,['Annabeth Chase/Percy Jackson'],"['Annabeth Chase (Percy Jackson)', 'Percy Jackson', 'Sally Jackson (Percy Jackson)', 'Poseidon (Percy Jackson)', 'Luke Castellan', 'Grover Underwood']","['Camp Half-Blood (Percy Jackson)', 'Percy Jackson Needs a Hug', 'Fluff and Angst', 'Lots of Angst', 'Powerful Percy Jackson', 'Post-Tartarus (Percy Jackson)']",Percy hated his mother for all the wrong reasons. He hated that he hated her. He knew it wasnt wrong yet… He hated it. ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ Giving Percy jackson issues with his family is as fun as watching / reading it,Eald Englisċ,784,4/?,2,12,1,375
54208162,"""United in the war of the future""",SweetCornermultishipp,['Hazbin Hotel (Cartoon)'],Not Rated,Graphic Depictions Of Violence,M/M,Work in Progress,02 Mar 2024,['Alastor/Lucifer Magne | Morningstar'],[],[],"The superiors in heaven send ferocious beasts to hell to eradicate the sinners. Engaged in a war and clearly losing the battle, Lucifer decides to conjure a portal to the past to ask for support. On his way he is reunited with someone he lost long ago.",Eald Englisċ,262,1/?,1,14,1,244
