work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55133317,El Trato,Sasha_Blouse,['Hazbin Hotel (Cartoon)'],Teen And Up Audiences,No Archive Warnings Apply,F/F,Complete Work,11 Apr 2024,"['Charlie Magne | Morningstar/Vaggie', 'Lute/Vaggie (Hazbin Hotel)']","['Charlie Magne | Morningstar', 'Vaggie (Hazbin Hotel)', 'Lute (Hazbin Hotel)', 'Alastor (Hazbin Hotel)']",[],,American Sign Language,"2,220",1/1,1,3,2,154
55121452,Aries Black,111starkiki,['Harry Potter - J. K. Rowling'],Mature,Underage,"M/M, F/F",Work in Progress,11 Apr 2024,['Harry Potter/Tom Riddle'],"['Weasley Family (Harry Potter)', 'Hedwig (Harry Potter)', 'Tomarry - Character', 'Tom Riddle', 'tom riddle| Harry Potter']",[],What happens when Harry discovers that his mentor and family figures have betrayed him? Surprise Ending!,American Sign Language,561,3/7,,9,1,180
55096642,Poison,Sasha_Blouse,['Hazbin Hotel (Cartoon)'],Teen And Up Audiences,"Graphic Depictions Of Violence, Rape/Non-Con","F/F, Multi",Complete Work,10 Apr 2024,"['Charlie Magne | Morningstar/Vaggie', 'Lute/Vaggie (Hazbin Hotel)', 'Lilith Magne | Morningstar/Lucifer Magne | Morningstar', 'Angel Dust/Husk (Hazbin Hotel)']","['Charlie Magne | Morningstar', 'Vaggie (Hazbin Hotel)', 'Lute (Hazbin Hotel)', 'Angel Dust (Hazbin Hotel)', 'Adam (Hazbin Hotel)', 'Lilith Magne | Morningstar', 'Lucifer Magne | Morningstar']",[],"En las calles nocturnas de Los Ángeles, Charlie, la hija de dos influyentes figuras de la ciudad, se ve envuelta en un mundo de oscuridad cuando se encuentra con Vaggie, una misteriosa morena que cambiará su vida para siempre. Con determinación, Charlie se convierte en la protectora de Vaggie, quien está atrapada en una relación tóxica con Lute, una peligrosa mujer que la controla con crueldad. A medida que lucha por liberar a Vaggie de las sombras de su tormento, Charlie se enfrenta a sus propios demonios y descubre hasta dónde está dispuesta a llegar por amor.",American Sign Language,"3,017",3/3,2,10,2,163
55096066,Doll - family has gone,Phillippiehusband,['第五人格 | Identity V (Video Game)'],Teen And Up Audiences,Graphic Depictions Of Violence,M/M,Complete Work,10 Apr 2024,['Jack | The Ripper/Philippe | Wax Artist'],"['Jack | The Ripper (Identity V)', 'Philippe | Wax Artist']",[],English translation of those two fanfic( ´ ▽ ` ),American Sign Language,"4,863",2/2,,3,,59
55073593,unpleasant becums died #sad,the_reel_deel,"['Regretevator (Roblox)', 'PHIGHTING! (Roblox)']",Teen And Up Audiences,"Major Character Death, No Archive Warnings Apply",Gen,Complete Work,08 Apr 2024,[],"['Unpleasant (Regretevator)', 'Mannequin_Mark (Regretevator)', 'Bive (Regretevator)', 'Infected (Regretevator)', 'bivekit']","['bive has a fucking gun', 'Rated T for swearing', 'no beta read we die like unpleasant', 'unpleasant dies', 'i have never played phiting dont kill me im newgen', 'BAZINGA!', 'only in ohio!!', 'Crack']",unpleasant gets shot.,American Sign Language,159,1/1,2,16,1,196
55073356,The Plum’s Hope,Apollo_Loner,['Warrior Cats - Fandom'],General Audiences,"Graphic Depictions Of Violence, Major Character Death, Rape/Non-Con","Gen, Multi",Work in Progress,09 Apr 2024,[],"['Original Characters', 'Original Non-Human Character(s)', 'Original Female Character(s)', 'Original Male Character(s)', 'Cats - Character', 'dogs - Character', 'Original Human Character(s)']","['Warrior Cats: Ultimate Edition | WCUE', 'AU', 'Angst', 'Cats', 'i don’t know how to tag', 'Newbie - Freeform']","A young cat is left alone in the wild, will she survive? Will she create a home? Will she create a legacy?",American Sign Language,9,1/?,,,,61
55044187,Anhelos perdidos El Eco De Un corazón roto,Sasha_Blouse,['Hazbin Hotel (Cartoon)'],Teen And Up Audiences,"Graphic Depictions Of Violence, Rape/Non-Con","F/F, Multi",Complete Work,08 Apr 2024,"['Charlie Magne | Morningstar/Vaggie', 'Lute/Vaggie (Hazbin Hotel)']","['Charlie Magne | Morningstar', 'Vaggie (Hazbin Hotel)', 'Lucifer Magne | Morningstar', 'Lilith Magne | Morningstar', 'Angel Dust (Hazbin Hotel)']",[],"En medio de una épica batalla celestial, dos antiguas compañeras de armas se enfrentan, cargadas de resentimiento y dolor. Lute, confronta a Vaggie, cuestionando su sed de venganza. Entre insultos y golpes, surge un doloroso pasado de amor no correspondido. Mientras el caos de la batalla irrumpe a su alrededor, Lute confiesa su amor no correspondido a Vaggie, quien queda atónita ante la revelación. Con el corazón roto pero decidida a sobrevivir, Lute se despide, dejando a Vaggie luchando con sus propias emociones en medio del conflicto.",American Sign Language,"24,492",23/23,,5,2,151
55021120,I could feel it all over me,Pastelpinkglitterysauce,['random - Fandom'],Explicit,Graphic Depictions Of Violence,Multi,Complete Work,07 Apr 2024,[],[],[],Wow what a wonderful way?,American Sign Language,664,1/1,1,3,,106
54950500,Gay ass emos pt 4 SUPER SEXY EDITION,ra1nb0wgutzz,"['mychemicalromance', 'Fortnite - Fandom', 'sallyface - Fandom', 'Danganronpa', 'donaldtrump - Fandom']",Not Rated,"Graphic Depictions Of Violence, Major Character Death, Rape/Non-Con",M/M,Complete Work,04 Apr 2024,"['Gerard x Nagito', 'Gerard x Jonesy', 'Sally face x Egg']","['Gerard Way', 'Nagito - Character', 'Sally face', 'Jonesy', 'Egg - Character']","['Emo', 'emofag', 'helpme', 'iambeingheldcaptive', 'ilovemen', 'fortnite', 'mychemicalromance - Freeform', 'mytoxiclovelife', 'Sharting', 'shitkink', 'Anal', 'Smut', 'NSFW', 'Furry', 'fortnitebattlepass', 'ijustshitoutmyass', 'bootingupmypccauseineedneed', 'tpgetthatofrtnitebattlepass', 'yeahilikefortnitedidimentionfortnite', 'ilikefortnite', 'itenighttime', 'imeanitsfiveoclockbuttechnicallyitsnighttime', 'doyouremembercartoonnetwork', 'adventuretime - Freeform', 'danganronla', 'boyslove', 'JohnnieGuilbert', 'dilf', 'Mpreg', 'Eggpreg', 'BadDragon', 'imgonnakillmyself', 'ihatemysf', 'yomqma']",I made this in the middle of the night in my notes playing fortnite,American Sign Language,388,1/1,2,4,,199
54947746,Sun and Moon show REQUEST,Zoey_Toon03,['The Sun and Moon Show (Web Series)'],Explicit,Rape/Non-Con,Multi,Complete Work,03 Apr 2024,"['Eclipse & Lunar (Sun and Moon Show)', ""Eclipse & Sun (Five Nights at Freddy's)"", ""Eclipse & Moon & Sun (Five Nights at Freddy's)"", ""Eclipse/Moon (Five Nights at Freddy's)"", 'Lunar & Nice Eclipse | Solar (Sun and Moon Show)', ""Moon & Sun (Five Nights at Freddy's)"", 'Earth & Lunar (Sun and Moon Show)', 'Castor (Lunar and Earth Show)/Lunar (Sun and Moon Show)', 'Gemini (Lunar and Earth Show)/Lunar (Sun and Moon Show)', 'Blood Moon & Lunar (Sun and Moon Show)', 'Eclipse/Lunar (Sun and Moon Show)']","['Lunar (Sun and Moon Show)', 'Eclipse (Sun and Moon Show)', 'Earth (Sun and Moon Show)', 'Blood Moon (Sun and Moon Show)', ""Moon (Five Nights at Freddy's)"", ""Sun (Five Nights at Freddy's)"", ""Jack-O-Moon (Five Nights at Freddy's)""]","['One Shot', 'Smut', 'Fluff', 'Angst', 'Rape/Non-con Elements']","I will make all the One-shot Request that you ask me for, from this beautiful show, just because I have a creative block, so if you are interested, look at the rules and if you want, ask ^^",American Sign Language,296,1/1,9,2,1,279
