work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
54698833,কালবৈশাখী,BonRod,"['মূল কাজ', 'Original Work']",Teen And Up Audiences,No Archive Warnings Apply,Other,Work in Progress,24 Mar 2024,"['ড়াঘব/আকাশী', 'মূল পুরুষ চরিত্র/মূল অবাইনারি চরিত্র', 'Original Male Character(s)/Original Non-Binary Character(s)']","['ড়াঘব', 'আকাশী', 'মূল পুরুষ চরিত্র', 'মূল অবাইনারি চরিত্র', 'Original Male Character(s)', 'Original Non-Binary Character']","['পুরাণবিদ্যা', 'লোকজ্ঞান', 'আধিকারী আচরণ', 'ঘোর', 'Mythology - Freeform', 'Folklore', 'Possessive Behavior', 'Obsession']",ছয় ঋতুর গল্প।,বাংলা,651,1/6,,,,5
54678310,ओ सागा: भाग एक: उत्पत्ति की पुस्तक,rsluebben,"['No Fandom', 'Original Work']",Teen And Up Audiences,"Choose Not To Use Archive Warnings, Graphic Depictions Of Violence, Major Character Death","F/F, F/M",Complete Work,01 Apr 2024,"['থিয়া/ মালুম', 'এলিসাপি/গায়া', 'রোভান/আমায়া', 'মালাইকা/ইচান্তে', 'জার মিরো/জারিনা সালমা']","['Thea', 'মালুম', 'কাই', 'ফ্লেরো', 'কিরন', 'রোভান', 'অমায়া', 'বিটা', 'জাভাদ', 'আকিভা', 'ওলাফুর', 'ক্যাপ্টেন দান্তেস', 'ওরাকলের মাস্টার্স', 'হাজেরার ডাইনি', 'শ্যাডো কোভেন', 'ব্ল্যাক লিজিয়ন', 'মালাইকা', 'চাসকা', 'প্রধান ইয়াচে', 'প্রধান কাভা', 'এলিসাপি', 'গাইয়া', 'ইচন্তে', 'অ্যাপলিয়ন', 'রাজা ওহদাকোটা', 'আটোক বাল', 'বিশপ রাস্তান', 'কমান্ড্যান্ট টোটো', 'ফিল্ড মার্শাল রামসে', 'বোয়ার ভিসিনিয়া', 'জার মিরো', 'সারিনা সালমা', 'Soror Dominus']","['Witchcraft', 'Dark Magic', 'Fantasy', 'Myth Arc', 'Swords & Sorcery', 'Animal Connections', 'Torture']",নিপীড়িতরা অত্যাচারী শাসকদের জোয়াল ভাঙ্গার জন্য অতীন্দ্রিয় ভূমিতে বিপ্লব ছড়িয়ে পড়ছে। দ্য সোর্স অফ অ্যালথিং-এর প্রতি নিবেদিত নাইটরা ক্রমবর্ধমান কৃষক বিদ্রোহে যোগ দেওয়ার জন্য প্রথমবারের মতো এক ব্যানারে একত্রিত হচ্ছে। নায়ক এবং খলনায়করা কিংবদন্তি হওয়ার সাথে সাথে তাদের সাহসিকতার পরীক্ষা করে। যে শক্তিগুলি হবে তারা সহজে তাদের ক্ষমতা ছেড়ে দেবে না এবং বলিদানের সাথে সাথে রক্ত ঝরবে।,বাংলা,"85,209",29/29,,,,8
54317368,just a test lol,sillywwcat,['mha'],Not Rated,Choose Not To Use Archive Warnings,F/F,Complete Work,07 Mar 2024,[],[],[],,বাংলা,1,1/1,,,,23
53752633,আলিঙ্গনে,Komorebiwalk,['Sam Wyndham Series - Abir Mukherjee'],General Audiences,Choose Not To Use Archive Warnings,M/M,Complete Work,13 Feb 2024,"['Surendranath ""Surrender-Not"" Banerjee/Sam Wyndham', 'Canon typical racism - Relationship']","['Sam Wyndham', 'Surendranath ""Surrender-Not"" Banerjee']","[""original author's tags"", 'Sharing a Bed', 'Hurt/Comfort', 'Character(s) of Color', 'Major Character Injury', 'No Plot/Plotless', 'Post-Book 1: A Rising Man', 'POV First Person', 'Drinking', 'Crying', 'Internalized Homophobia', ""Translator's tags"", 'meow', ""happy valentine's day""]",,বাংলা,"3,823",1/1,2,6,,43
53651866,হে সাগা: পার্ট টু: বুক অফ নাইট,rsluebben,"['No Fandom', 'Original Work']",Teen And Up Audiences,"Choose Not To Use Archive Warnings, Graphic Depictions Of Violence, Major Character Death, Rape/Non-Con","F/F, F/M, Multi",Complete Work,20 Mar 2024,"['মালুম/থিয়া', 'ওলাফুর/ ভ্যালেন', 'গায়া/এলিসাপি', 'মালাইকা/ইচান্তে', 'লেডি ভেনেনো/ মালুম', 'প্রিন্স হোতাহ/ প্রিন্সেস গুরসেল']","['রোভান', 'ওলাফুর', 'ভ্যালেন', 'কিত্তিসেক খান', 'সুলতান গ্রেওগি', 'ক্যাপ্টেন দান্তেস', 'চাচা লোয়ান', 'ওরাকলের মাস্টার্স', 'শ্যাডো কোভেন', 'ডাগরিম কোভোর', 'মালুম', 'থিয়া', 'মালাইকা', 'চাসকা', 'এলিসাপি', 'গাইয়া', 'ইচন্তে', 'রাজা ওহদাকোটা', 'অ্যাপলিয়ন', 'আটোক বাল', 'সেকোইয়া', 'যুবরাজ হোতাহ', 'ওরেন', 'লেডি ভেনেনো', 'ফ্লেরো', 'মাস্টার অনোকা', 'ক্যাপ্টেন চাইটন', 'নাউরা', 'লটসি', 'Baishan', 'ইম্পেরতা লাকোমা', 'ট্রিবিউন লুতিয়ান', 'ট্রিবিউন আয়ামিস', 'রানী ওয়াকোনি', 'আদমা সরদার', 'নয়ন আলতার গাতমা', 'রাজকুমারী গুরসেল']","['Action/Adventure', 'Myth Arc', 'Fantasy', 'Swords & Sorcery', 'Magic', 'Dark Magic']","ওরেন নিয়তির সন্তান। অন্ধকার বাহিনী তার অবস্থান অনুসন্ধান করে, যখন আলোর বাহিনী তাকে রক্ষা করে। রোভান একজন যোদ্ধা যিনি একজন উচ্চাভিলাষী নেতাকে পরাজিত করতে সাহায্য করেছিলেন; এখন, তাকে তার পরিবারকে বাঁচাতে বাড়িতে ছুটে যেতে হবে। কিত্তিসেক খান এবং সুলতান গ্রেওগি যুদ্ধের জন্য প্রস্তুত হওয়ার সময় বিপ্লবকে দমন করতে দেখেন। থিয়া এবং ফ্লেরো মালুমের উপর প্রভাব বিস্তারের জন্য বিড করবে।",বাংলা,"63,396",28/28,,2,,26
53286022,আমি পদ্মজা,Slayingbitch,['Anyone - Fandom'],General Audiences,Choose Not To Use Archive Warnings,F/M,Work in Progress,25 Jan 2024,[],[],[],,বাংলা,"8,584",6/?,,2,,14
51647056,জিয়েজিয়ের ডায়েরি,RedPinkDream,['Original Work'],General Audiences,Choose Not To Use Archive Warnings,No category,Work in Progress,04 Apr 2024,[],[],[],"এটা আমার online diary. Nothing fancy, Ik. কথা বলতে ইচ্ছে হলো, তাই এলাম।",বাংলা,"4,444",8/?,,,,35
49697221,বোন রোদের কবিতা সংকলন,BonRod,"['Original Work', 'মূল কাজ']",General Audiences,No Archive Warnings Apply,"Gen, M/M",Work in Progress,28 Aug 2023,[],[],"['Poetry', 'Bangla', 'কবিতা', 'বাংলা']",যা আমি বাংলা পড়াশোনার সময় লেখেছি কবিতাগুলি,বাংলা,26,2/?,,,,44
49290154,ভালোবেসে ফেলেছি,NaDacca,['Original Work'],Not Rated,No Archive Warnings Apply,F/M,Complete Work,12 Aug 2023,[],[],[],,বাংলা,74,1/1,,3,,36
48060535,draft 2,Anonymous,['Original Work'],Not Rated,Choose Not To Use Archive Warnings,No category,Complete Work,22 Jun 2023,[],[],[],,বাংলা,102,1/1,,,,18
