work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
53537467,texts,Imogen111,['Original Work'],Not Rated,Choose Not To Use Archive Warnings,No category,Complete Work,05 Feb 2024,[],[],[],,Bosanski,2,1/1,17,,,26
46143559,Lektira romeo i julija jer nmg nikako drugačije citati,Leah82782,['Original Work'],Not Rated,Choose Not To Use Archive Warnings,No category,Complete Work,31 Mar 2023,[],[],[],,Bosanski,657,1/1,2,2,,75
46006570,Animal Farm,HeyBitch,['Animal Farm - George Orwell'],Not Rated,Choose Not To Use Archive Warnings,No category,Complete Work,25 Mar 2023,[],[],[],"This is just for a book report, it is not a fic.",Bosanski,"2,181",1/1,,6,1,271
45297277,Prokleta avlija Predglavlje/Glava 1,HeyBitch,['No Fandom'],Not Rated,Choose Not To Use Archive Warnings,Other,Complete Work,24 Feb 2023,[],[],[],Need it for Bosnian book report. Don't sue me.,Bosanski,"7,680",1/1,2,3,,92
45293671,prokleta avlija,HeyBitch,['No Fandom'],Not Rated,Choose Not To Use Archive Warnings,Gen,Complete Work,24 Feb 2023,[],[],[],No comment,Bosanski,"7,606",1/1,,,,30
45107587,[PODFIC] Bredliks,Elany,['my name is Cow - Poem_for_your_sprog'],General Audiences,No Archive Warnings Apply,Gen,Work in Progress,16 Feb 2023,['Cow & bread'],['Cow - Character'],"['Podfic & Podficced Works', 'Podfic Length: 0-10 Minutes']","""i lik the bread""",Bosanski,39,1/?,1,4,,34
44413210,Harryjeva luda metla,ao3slayuje,['Harry Potter - J. K. Rowling'],Not Rated,Choose Not To Use Archive Warnings,Gen,Complete Work,20 Jan 2023,['Harry Potter & Original Character(s)'],"['Harry Potter', 'Albus Dumbledore']","['Deliberate Badfic', 'WTF', 'Crack', 'Attempt at Humor', ""I Don't Even Know"", 'Why Did I Write This?']",Harryja zajebava metla.,Bosanski,97,1/1,4,5,,100
43522503,Harry slayuje Dracoa,ao3slayuje,['Harry Potter - J. K. Rowling'],Not Rated,Choose Not To Use Archive Warnings,Other,Complete Work,09 Dec 2022,"['Harry Potter & Dolores Umbridge', 'Draco Malfoy & Harry Potter', 'Harry Potter & Tom Riddle | Voldemort']","['Harry Potter', 'Draco Malfoy', 'Dolores Umbridge', 'Jeffrey Dahmer', 'Voldemort (Harry Potter)', 'Tom Riddle | Voldemort']","['Time Travel', 'Crack', 'Time Travelling Harry Potter', 'Killing', 'Murder', 'WTF', ""I Don't Even Know""]",Harry putuje kroz vrijeme i zajebava se.,Bosanski,254,1/1,5,11,1,179
37044052,Paunovi,limeta,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,Choose Not To Use Archive Warnings,Gen,Complete Work,11 Feb 2022,['Abraxas Malfoy/Tom Riddle'],"['Harry Potter', 'Tom Riddle | Voldemort', 'Abraxas Malfoy', 'Bellatrix Black Lestrange']","['sprdnja je ovo', ""google translate can't help you here"", 'Parody', 'Crack', 'balkanska posla']",Voldemort je odlučio da njega narod ne može više da zajebava.,Bosanski,"1,274",1/1,24,36,7,294
34556269,"Doći ćemo do mora, Eren.",Anonymous,['Shingeki no Kyojin | Attack on Titan'],General Audiences,"Choose Not To Use Archive Warnings, Graphic Depictions Of Violence",M/M,Work in Progress,26 Mar 2022,['Armin Arlert/Eren Yeager'],"['Eren Yeager', 'Armin Arlert', 'Mikasa Ackerman', 'Jean Kirstein', 'Connie Springer', 'Sasha Blouse', 'Annie Leonhart']","['Fluff and Angst', 'Secret Crush', 'Love Confessions', 'Canon-Typical Violence', 'Near Death Experiences', 'Fear of Death', 'Happy Ending', 'Cute']","Ovako. Znaci nista od ovoga nije canon, samo se kao uklapa u plotline ali bukv sve izmisljam. Nakon sto zamalo budu pojedeni, kad se vrate...znas, tamo đe inace borave (sta ja znam kako se kaze na nasem) Eren pita Armina da se nađu u ponoc u sumi itd itd.",Bosanski,"1,420",4/?,9,7,,160
