work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
53877697,"And then, they were cell mates",GunRoswell (GunRoswall),"['Star Wars: The Bad Batch (Cartoon)', 'Star Wars: The Clone Wars (2008) - All Media Types', 'Star Wars - All Media Types']",General Audiences,Choose Not To Use Archive Warnings,Gen,Complete Work,18 Feb 2024,['CT-9904 | Crosshair & Rampart'],"['CT-9904 | Crosshair', 'Rampart (Star Wars)']","['Inspired by Fanart', 'Inspired by TBB S3 Trailer', 'S3 Speculation', 'Mount Tantiss (Star Wars)', 'cellmates', 'Spite and Truth', 'Rampart loves his own voice', 'Crosshair Needs a Hug (Star Wars: The Bad Batch)']",What if Crosshair and Rampart shared a cell together and on Mount Tantiss? Inspired by fan art of @RealSpicyNoodle. Part of TBB S3 jitters / End Game series,Chinuk Wawa,855,1/1,,9,1,127
49127296,【mmkj】演员,jinchen22,['Snow Man (Japan Band)'],Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,05 Aug 2023,"['mmkj - Relationship', 'めめこじ - Relationship']","['目黑莲', '向井康二', 'Meguro Ren', 'めぐろ れん', '目黒蓮', 'Mukai Koji', 'むかい こうじ']","['snow man', 'Snowman', 'むかい こうじ - Freeform', 'Mukai koji - Freeform']",ooc预警 BE预警 全文一万+ 伪现背 mmkj永远热恋，mmkj永远只在镜头下热恋 爱是什么，是想要触碰又收回的手 替友发，lofter：不管担谁都想睡岩本照,Chinuk Wawa,"9,331",1/1,,16,,436
48054244,云,linsuaaaaaa,['排球少年'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,22 Jun 2023,[],['日向翔阳'],[],是日向翔阳单人向的生贺，把他搬了上来,Chinuk Wawa,"1,729",1/1,,2,,40
45697819,Don't Brainwash a bard. You'll get fucked,orphan_account,['The Owl House (Cartoon)'],Explicit,Choose Not To Use Archive Warnings,F/M,Complete Work,12 Mar 2023,['Terra Snapdragon/Raine Whispers'],"['Terra Snapdragon', 'Raine Whispers']","['Fucking', 'Sex', 'Rough Sex', 'Outdoor Sex', 'Impregnation', 'Revenge', ""I Don't Even Know"", 'Implied/Referenced Mind Control']",Let's see how the songfic ass likes this.,Chinuk Wawa,"1,079",1/1,2,4,,530
27424045,sitkum-tlil tumtum,orphan_account,['ゴールデンカムイ | Golden Kamuy (Manga)'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,06 Nov 2020,[],"['Ogata Hyakunosuke', 'Hanazawa Yuusaku']","['chinook jargon', 'chinuk wawa']",ogata yaka mamook-poo oosami.,Chinuk Wawa,331,1/1,,20,4,761
21941833,These Meters Meet,SiyaputlUlali (LittleWritingRabbit),['Unsong'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,24 Dec 2019,[],"['Uriel (Unsong)', 'Sohu', 'Aaron Smith-Teller', 'Ana Thurmond', 'Erica Lowry']",[],"“UM. IKTA KLATAWA PESHAK,” Uriel yaka wawa. “Pus ikta nesaika wawa kakwa okook?” wawa Sohu. “Pi ikta lelang nesaika wawa kopa?” “OKOOK LELANG NEM CHINUK WAWA,” Uriel wawa, “PI KONAWE TILIKUM KOPA KONAWE ILIHI WAWA KOPA OKOOK LELANG ALTA, KEWA IKTA KLATAWA HAYU PESHAK.” ~ In other words, a mishap with the code of existence leads our heroes to realize the importance of both linguistic diversity, and fixing things by turning them off and back on again.",Chinuk Wawa,"1,304",1/1,13,94,6,"1,744"
19347460,yuusaku tsum,orphan_account,['ゴールデンカムイ | Golden Kamuy (Manga)'],Explicit,No Archive Warnings Apply,M/M,Complete Work,25 Jun 2019,"['Hanazawa Yuusaku/Ogata Hyakunosuke', 'Ogata Hyakunosuke/Vasily']","['Vasily (Golden Kamuy)', 'Ogata Hyakunosuke']","['chinook jargon', 'chinuk wawa']",iht snas san: pasili yaka mamook-tsum yuusaku yaka picha kopa ogata yaka klih.,Chinuk Wawa,75,1/1,,5,1,279
18527599,chi pish igs,orphan_account,['ゴールデンカムイ | Golden Kamuy (Manga)'],Teen And Up Audiences,Graphic Depictions Of Violence,Gen,Complete Work,20 Apr 2019,[],"['Sugimoto Saichi', 'Koito Otonoshin', 'Ogata Hyakunosuke']","['chinook jargon', 'chinuk wawa']","[buk kwit-kwit 196!] sugimoto yaka wik tiki wiht klap ""mimalus siks"", pi koyto wik tiki klap ""wik mimalus"" ogata",Chinuk Wawa,231,1/1,,2,1,114
18520507,kakwa kwatis,orphan_account,['ゴールデンカムイ | Golden Kamuy (Manga)'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,19 Apr 2019,[],"['Hanazawa Yuusaku', 'Tsurumi Tokushirou']","['chinook jargon', 'chinuk wawa']",yusaku pi tsulumi klaska makmak lam,Chinuk Wawa,313,1/1,,4,1,237
18256106,gol olali,orphan_account,['ゴールデンカムイ | Golden Kamuy (Manga)'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,27 Mar 2019,[],['Sugimoto Saichi'],"['chinook jargon', 'chinuk wawa']",[hloyma ilahi / taym] sugimoto yaka tiki klap gol kopa bason ilahi,Chinuk Wawa,207,1/1,,3,1,117
18240086,kalapin-nayf,orphan_account,['ゴールデンカムイ | Golden Kamuy (Manga)'],Mature,No Archive Warnings Apply,M/M,Complete Work,25 Mar 2019,['Ogata Hyakunosuke/Sugimoto Saichi'],"['Sugimoto Saichi', 'Ogata Hyakunosuke']","['chinook jargon', 'chinuk wawa']",ogata ipsut yaka kalapin-nayf. sugimoto tiki chako komtaks kaw kalapin-nayf miklayt pi ogata halo wawa. musum-musum.,Chinuk Wawa,398,1/1,,11,1,272
