work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
54622708,Test 1,orphan_account,['Original Work'],General Audiences,No Archive Warnings Apply,Other,Complete Work,20 Mar 2024,[],[],[],,Cymraeg,7,1/1,,,,9
53888023,hii,larentscharm,"[""Harry's House - Harry Styles (Album)""]",Teen And Up Audiences,Graphic Depictions Of Violence,No category,Complete Work,18 Feb 2024,[],[],[],,Cymraeg,"27,557",1/1,,,,25
53099281,Y Peth Trwythol Am Amser/ The Troublesome Thing About Time (Cymraeg/Welsh),dws265,['Harry Potter - J. K. Rowling'],Mature,No Archive Warnings Apply,F/M,Complete Work,17 Jan 2024,['Hermione Granger/Draco Malfoy'],"['Hermione Granger', 'Harry Potter', 'Draco Malfoy', 'Theodore Nott', 'Future Draco Malfoy']","['Co-workers', 'Time Travel', 'Smut', 'Fluff', 'Little bit of angst', 'secret pining', 'Two Dracos!', ""Not REALLY infidelity... but if you're very sensitive to the topic maybe not for you"", 'Gray area', 'Forced co-habitation', 'Auror Draco', 'Snarky Cinnamon Bun Draco', 'Welsh translation', 'Cyfieithiad Cymraeg']","Roedd Hermione yn sâl o antur. Roedd hi wedi cael ei chyfran deg, a chymryd sedd wrth y ddesg yng nghefn y AGGH oedd y cyfan y gallai fod wedi breuddwydio amdano -- nes nad oedd. Un diwrnod mae Hermione yn cael ei wysio i ymysgaroedd y Weinidogaeth lle cyfarfyddir â hi gan yr arweinydd annhraethadwy sydd â sefyllfa braidd yn od y mae angen delio â hi. Mae Draco Malfoy newydd gyrraedd ers ugain mlynedd yn y dyfodol ac mae'n mynnu siarad â'i wraig, Hermione Granger. Yr unig broblem yw mai'r Draco Malfoy y mae hi'n ei adnabod yw'r bachgen bachog sy'n gwthio botwm i fyny'r grisiau o hyd - ac nid y dyn o'i blaen nawr.",Cymraeg,"41,416",9/9,,2,1,52
53078125,Mae Uffern yn Byw Heb Chi [Hell Is Living Without You],aintgonnaleaveyoumikey,"['Grand Theft Auto V', 'Grand Theft Auto Series (Video Games)']",Explicit,No Archive Warnings Apply,M/M,Complete Work,14 Dec 2023,"['Michael De Santa/Trevor Philips', 'Amanda De Santa/Michael De Santa']","['Michael De Santa', 'Trevor Philips']","['Fluff and Smut', 'Literal Sleeping Together', 'Angst', 'Family', 'Cheating', 'Crying', 'Blow Jobs', 'Anal Sex', 'mentions of consensual sleep sex kink', 'Light Dom/sub', 'Love Confessions', 'Endangered Languages Fandom Project 2023 Event', 'Cyfieithu yn y Gymraeg | Translation in Welsh']","Nid ef oedd y math i grio, ond yn awr yr oedd yn nes ato nag y bu er y dydd y ganwyd Tracey.",Cymraeg,"5,717",1/1,1,2,,74
53058700,Dirgelwch gorau Hogwarts [Hogwarts' best mystery],Gabrie_DwelleR,['Hogwarts Legacy (Video Game)'],General Audiences,Choose Not To Use Archive Warnings,Gen,Complete Work,21 Dec 2023,"['Ominis Gaunt & Sebastian Sallow', 'Ominis Gaunt & Anne Sallow', 'Sebastian Sallow & Anne Sallow']","['Ominis Gaunt', 'Sebastian Sallow', 'Anne Sallow', 'Madam Kogawa']","['Hogwarts First Year', 'Friendship', 'Childhood Friends', 'Childhood Trauma', 'Medical Trauma', 'Broken Bones', 'Skele-Gro Potion (Harry Potter)', 'Nightmares', 'Hurt/Comfort', 'POV Sebastian Sallow', 'Hurt Ominis Gaunt', 'Slytherin', 'Beginning of a Beautiful Friendship', 'Bludgers (Harry Potter)', 'Blind Character', 'Endangered Languages Fandom Project 2023 Event', 'Cyfieithu yn y Gymraeg | Translation in Welsh']","Yn fuan ar ôl cyrraedd Hogwarts, mae'r efeilliaid Helyg yn mynd yn chwilfrydig am fachgen anarferol ag enw rhyfedd a phobl yn sibrwd pethau am ei deulu. Ar ôl damwain gyda Bludger strae, mae pawb yn meddwl bod bachgen hyd yn oed yn fwy rhyfedd oherwydd nid yw'n ymddangos ei fod yn teimlo unrhyw boen.",Cymraeg,"5,819",1/1,,,,10
53058325,Anfaddeuol [Unforgivable],Anonymous,['Hogwarts Legacy (Video Game)'],General Audiences,Graphic Depictions Of Violence,Gen,Work in Progress,19 Dec 2023,['Ominis Gaunt & Sebastian Sallow'],"['Ominis Gaunt', ""Ominis Gaunt's Father"", ""Ominis Gaunt's Mother"", 'Marvolo Gaunt', 'Noctua Gaunt', 'Original Gaunt Family Characters (Harry Potter)', 'Sebastian Sallow', 'Player Character (Hogwarts Legacy)']","['Angst', 'Child Abuse', 'Childhood Trauma', 'Torture', 'Crucio | Cruciatus Curse (Harry Potter)', 'Hurt', 'a tiny bit of comfort', 'But when you think about it..', 'Hurt No Comfort', 'Heavy Angst', 'Angst and Feels', 'Past Child Abuse', 'Implied/Referenced Child Abuse', 'Blind Character', 'Hurt Ominis Gaunt', 'Ominis Gaunt Needs a Hug', 'Gender Neutral Player Character (Hogwarts Legacy)', 'Quest: In the Shadow of the Study (Hogwarts Legacy)', 'Parselmouths & Parseltongue (Harry Potter)', 'Endangered Languages Fandom Project 2023 Event', 'Cyfieithu yn y Gymraeg | Translation in Welsh']","“Cru-..” fe dagu a pesychu, gwddf yn dal i losgi ar ôl y sgrechian a achoswyd gan ing funudau yn ôl. Cliriodd Ominis ei wddf, cymerodd anadl ddofn, meddyliodd am y boen honno, a dywedodd: “Crucio!” Atebodd ei ffon gydag ymchwydd o egni â ffocws a'i anfon i'r mygl. Nid oedd fel unrhyw swyn arall yr oedd wedi'i gastio o'r blaen. Roedd y pŵer hwn yn wahanol, roedd yn gymaint mwy, roedd yn teimlo'n gludiog ac yn anghywir, roedd yn teimlo.. drwg. Ac fe ddaeth o Ominis, fe wnaeth iddo ddigwydd. ✴✴✴ Pennod 1: Golygfa Ominis Gaunt yn gorfod bwrw Crucio yn blentyn. Pennod 2: Modryb Noctua yn gwneud ei gorau i gysuro Ominis yn union ar ôl hynny. Pennod 3: Chwilio ""Yng Nghysgod yr Astudiaeth"" gan PoV Ominis. Nid yw rhyw cymeriad chwaraewr wedi'i nodi (rhagenwau heb eu defnyddio o gwbl).",Cymraeg,"3,021",1/3,,1,,25
53057854,I'r gwrthwyneb [Conversely],brightened,['Hogwarts Legacy (Video Game)'],Explicit,Choose Not To Use Archive Warnings,M/M,Complete Work,21 Dec 2023,['Ominis Gaunt/Sebastian Sallow'],"['Sebastian Sallow', 'Ominis Gaunt']","['Azkaban', 'Murder', 'Hand Jobs', 'Oral Sex', 'Anal Fingering', 'Dark Character', 'Prison', 'War with Grindelwald', 'Endangered Languages Fandom Project 2023 Event', 'Cyfieithu yn y Gymraeg | Translation in Welsh']","Ddeng mlynedd ar ôl ei arestio, mae cell Azkaban Sebastian’s yn agor. Mae'n mynd i chwilio am Ominis.",Cymraeg,"7,923",1/1,1,1,,33
53056084,lloniannau i bopeth a allai fod wedi bod [cheers to everything that might have been],gargoylegrave,"['Hogwarts Legacy (Video Game)', 'Harry Potter - J. K. Rowling']",Mature,"Graphic Depictions Of Violence, Underage",M/M,Complete Work,30 Dec 2023,"['Ominis Gaunt & Sebastian Sallow', 'Ominis Gaunt/Sebastian Sallow', 'Ominis Gaunt/Player Character', 'Ominis Gaunt & Player Character', 'Sebastian Sallow & Player Character']","['Sebastian Sallow', 'Ominis Gaunt', 'Imelda Reyes', 'Leander Prewett', 'Garreth Weasley', 'Nerida Roberts']","['Post-Canon', 'Canonical Character Death', 'Self-Harm', 'Angst', 'Angst with a Happy Ending', 'Angst and Hurt/Comfort', 'Eventual Relationships', 'Period-Typical Homophobia', 'Internalized Homophobia', 'Non-Explicit Sex', 'Endangered Languages Fandom Project 2023 Event', 'Cyfieithu yn y Gymraeg | Translation in Welsh']","Yn y misoedd yn dilyn marwolaeth ewythr Sebastian, mae'n dysgu ymdopi â chaethiwed, gyda'i euogrwydd, ac iachâd o'i gamgymeriadau.",Cymraeg,"54,348",4/4,1,2,,26
52967893,Checking on Progress,Retvik,"['Original Work', 'Phoviverse', 'Bionicle - All Media Types']",General Audiences,No Archive Warnings Apply,Gen,Complete Work,11 Jan 2024,[],"['Retvik', 'Litvir', 'Original Characters']","['Major Original Character(s)', 'Original Character(s)', 'Original Fiction', 'Original Universe']","Decay Lord Retvik wants a status update from fellow Decay Lord Litvir. Of course, Litvir makes things awkward.",Cymraeg,"1,065",1/1,,1,,6
52738036,Manacled (Cymraeg/Welsh),dws265,['Harry Potter - J. K. Rowling'],Explicit,"Graphic Depictions Of Violence, Rape/Non-Con",F/M,Complete Work,15 Jan 2024,['Hermione Granger/Draco Malfoy'],"['Hermione Granger', 'Draco Malfoy', 'Dolores Umbridge', 'Tom Riddle | Voldemort', 'Astoria Greengrass', 'Graham Montague', 'Severus Snape']","['Post-War', 'Harry Potter Dies', 'Alternate Universe - Voldemort Wins', 'Forced Pregnancy', 'Imprisonment', 'Death Eater Draco Malfoy', 'Minor Character Death', 'Memory Loss', 'Rape/Non-con Elements', 'Eventual Romance', 'Battle', 'Rape', 'Mystery', 'Healer Hermione Granger', 'Self-Harm', 'Flashbacks', 'Slow Build', 'Angst with a Happy Ending', 'Slow Build Hermione Granger/Draco Malfoy', 'Espionage', 'Translation', 'Welsh translation', 'Cyfieithiad Cymraeg']","Mae Harry Potter wedi marw. Yn dilyn y rhyfel, er mwyn cryfhau nerth y byd hudol, mae Voldemort yn gweithredu ymdrech ailboblogi. Mae gan Hermione Granger gyfrinach Trefn, ar goll ond yn gudd yn ei meddwl, felly mae hi'n cael ei hanfon fel dirprwy gaethiwus i'r Uchel Reeve nes y gellir cracio ei meddwl. Darluniwyd gan Avendell.",Cymraeg,"404,132",77/77,1,12,,975
