work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
54690634,Kallis apteeker,Anonymous,"['Apteeker Melchior | Melchior the Apothecary (Movies)', 'The Shooting AKA Dear Sister - SNL Sketch']",Not Rated,"Graphic Depictions Of Violence, Major Character Death",F/F,Complete Work,24 Mar 2024,['Ketterlyn/Wibeke'],"['Wibeke', 'Wikerus', 'Steffen', 'Melchior Wakenstede', 'Ketterlyn Wakenstede']","['Murder Wives', 'Fix-It', 'Whump', 'Dark Crack']","""Kallis apteeker. Kui sa seda loed, olen ma juba surnud.""",eesti keel,163,1/1,,,,9
54332245,Armukadedus muutab pühakud mereks,Anonymous,"['Apteeker Melchior | Melchior the Apothecary (Movies)', 'Apteeker Melchior ja timuka tütar (2011)']",Mature,"Graphic Depictions Of Violence, Major Character Death",M/M,Complete Work,30 Jan 2024,['Wikerus/Steffen'],"['Wikerus', 'Steffen', 'Wibeke']","['Whipping', 'Murder Husbands', 'Accidental Voyeurism', 'Catholic Guilt', 'Blood and Gore', 'Mutual murder', 'Songfic', 'Masochism', 'Accidental Masturbation', 'Stabbing', 'Erections', ""Don't Like Don't Read""]",Timuka tütar jääb ellu. Indrek Hargla ei vääri punast krossigi.,eesti keel,773,1/1,,2,,22
54126379,NOT A FIC DON`T CLICK,KaaTheChicken,['The Nonesuch - Georgette Heyer'],Not Rated,Choose Not To Use Archive Warnings,Other,Work in Progress,28 Feb 2024,['ikkk i got it'],[],['this is not a fanfic this is just for me to understand how to uploud shit'],NOT A FIC,eesti keel,2,2/?,5,5,,74
52669951,Pidupäev,kollionu,"['The Boys (TV 2019)', 'Original Work']",Not Rated,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",No category,Complete Work,31 Dec 2023,[],"['Läti Henrik', 'The Homelander | John', 'Soome sugulased', 'James Bond']","['Jussike ja seitse sõpra', 'Eesti - Freeform']","Väga tore pidu, igasuguseid karvaseid ja sulelisi tuleb sinna kohale.",eesti keel,267,1/1,1,1,,18
52669372,Kustutamatu valgus,kollionu,['Original Work'],Not Rated,No Archive Warnings Apply,No category,Complete Work,30 Dec 2023,[],['Original Characters'],"['Estonia - Freeform', 'see on nii edgy', 'superdeep', 'autor armastab eesti keelt', 'awh nii numpsik', 'mis kuradima sõna on ""numpsik""', 'kust see tuleb', 'autor on eestlane', 'No Way', 'autoril on kõht valus', 'virolainen', 'Dark', 'autorit kutsutakse emoks', 'keegi ei tea miks', 'autoril on kodus kiisu', 'ajalootund', 'söögivahetund', 'Cute', 'Sweet', 'Demonic Possession', 'Yule', 'Midsummer', 'Non-English Source', 'Stabbing', 'Funny', 'Vought International (The Boys)', 'autor peseb kikusid']","Ma ei tea mis toimub, mul tuli see idee koolis söögivahetunni ajal, peale seda, kui ma olin endale mingi porgandiviilu kurku tõmmanud.",eesti keel,55,1/1,,2,,28
52184953,Külm põrandaküte,qweyarwq,['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],Teen And Up Audiences,"Major Character Death, No Archive Warnings Apply","F/M, M/M, Multi",Work in Progress,11 Dec 2023,[],"['Bakugou Katsuki', 'Midoriya Izuku']",[],"Kachan on alates Deku sünnist teda kiusanud, ent kui kaugele läheb ta seekord?",eesti keel,493,1/?,3,2,,41
50570431,woagh,a_soup_ladle,['Original Work'],Not Rated,No Archive Warnings Apply,No category,Complete Work,04 Oct 2023,[],[],[],,eesti keel,4,1/1,2,1,,53
49790884,See kõik jätkus Tartus,kirjutamisklubi,"['방탄소년단 | Bangtan Boys | BTS', 'Estonian Literature Classics', 'Cartoon (band)', 'Dracula - Bram Stoker (Novel 1897)', 'Kosmikud', 'Cars (Pixar Movies)', 'Shrek (Movies)', 'Kristel Aaslaid', 'Edgar Allan Poe - Fandom', 'Eesti Laul RPF', 'World of Warcraft', 'Naruto', 'Elder Scrolls V: Skyrim', 'Microsoft Office']",Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Work in Progress,01 Sep 2023,[],"['Jung Hoseok | J-Hope', 'Kim Namjoon | RM', 'Lightning McQueen', 'Edgar Allan Poe', 'Kristjan Jaak Peterson', 'Karl Ristikivi', 'Kosmikud - Character', 'Dracula', 'Ralof (Elder Scrolls)', 'Shrek (Shrek)', 'Kristel Aaslaid - Character', 'Clippy from Microsoft (Anthropomorphic)']","['Road Trips', 'Weddings', 'Wakes & Funerals', 'Alternate Universe - World of Warcraft Fusion', 'kassahitt lotr paroodia', 'Naruto cosplay', 'Elron trains', 'Tallinn - Freeform', 'VIljandi', 'Tartu', 'References to My Immortal', 'Dark Academia', 'IKEA', 'Clowns']","""See kõik jätkus Tartus"" on tervitus (üli)ko(o)l(i)iminejatele ehk mitu popkultuuri viidet me suudame teha [sisesta number]-K sõnade jooksul",eesti keel,"2,114",1/?,1,12,1,139
48960985,Katarsis,Anonymous,['Apteeker Melchior'],Mature,Graphic Depictions Of Violence,M/M,Complete Work,29 Jul 2023,['Melchior Wakenstede/Inkvisiitor'],"['Melchior Wakenstede', 'Inkvisiitor']","['Churches & Cathedrals', 'Church Sex', 'Knifeplay', 'Bloodplay']",Apteeker Melchiorile andestatakse tema patud. Indrek Hargla väärib seda selle kuradi perverssuse eest mille ta sinna uude kogumikku kirjutas.,eesti keel,495,1/1,,12,2,100
48376291,Õnne järel,LavernaG,['Õnne 13'],General Audiences,Major Character Death,F/M,Complete Work,05 Jul 2023,['Alma Saarepera / Johannes Saarepera'],"['Alma Saarepera', 'Johannes Saarepera', 'Allan Peterson', 'Laine - Character', 'Kristjan', 'Ülo', 'Jürka']","['Canonical Character Death', 'Funeral', 'Sinililled']","Jüri Kerges: ""Johannest maeti nagu kindralit või nagu rahvakunstnikku, mitte nagu vana kingseppa.""",eesti keel,416,1/1,,3,,52
48375163,Õnne vahepeal,LavernaG,['Õnne 13'],Teen And Up Audiences,No Archive Warnings Apply,F/M,Complete Work,05 Jul 2023,['Alma Saarepera / Johannes Saarepera'],"['Alma Saarepera', 'Johannes Saarepera', 'Elmar Peterson', 'Allan Peterson', 'Mare Peterson']","['Family', 'Pre-Relationship', 'Abusive Relationships', 'Marriage', 'Domestic Violence', 'Hurt/Comfort', 'Estonian', 'Õnne 13 - Freeform']",Vahetevahel on Õnne tänaval ka muud kui õnne.,eesti keel,"3,116",3/3,,2,1,43
48344251,Õnnepalee ehk kelle lüüakse pulmakella ja kellele hingekella,kirjutamisklubi,"['Tõde ja õigus | Truth and Justice (2019)', '방탄소년단 | Bangtan Boys | BTS', 'Supernatural (TV 2005)']",Teen And Up Audiences,Major Character Death,"F/F, M/M, Other",Complete Work,04 Jul 2023,"['Andres/Pearu', 'Castiel/Dean Winchester', 'Krõõt/Mari', 'Impala (Supernatural)/Lightning McQueen']","['Andres Paas', 'Pearu Murakas', 'Kim Namjoon | RM', 'OC deemonjaanalind', 'Castiel (Supernatural)', 'Dean Winchester', 'Krõõt Paas', 'Mari (Tõde ja õigus)', 'Impala (Supernatural)', 'Lightning McQueen', 'piimhappebakterid']","['Current Events', 'Alternate Universe - Modern Setting', 'Alternate Universe - Canon Divergence', 'Tallinna Kesklinnaosa', 'Weddings', 'Crack']","Castiel: ""Ma armastan sind."" Dean: ""Eestis seadustati abieluvõrdsus.""",eesti keel,"1,617",1/1,,10,1,147
46665817,Malepartii,surnumanaja,['Dragon Age: Inquisition'],General Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,22 Apr 2023,[],"['The Iron Bull (Dragon Age)', 'Solas (Dragon Age)', 'Sera (Dragon Age)', 'Varric Tethras', 'Female Inquisitor (Dragon Age)', 'Female Cadash (Dragon Age)', 'Blackwall (Dragon Age)', 'Female Adaar (Dragon Age)', 'Cole (Dragon Age)', 'Male Lavellan (Dragon Age)']","['Chess', 'Alternate Universe - Canon Divergence', 'au kus inkvisiitor pole ainuke ellujäänu püha-tuha templi plahvatuses', 'localized placenames', 'tundmatuseni tõlgitud kohanimed', 'Party Banter', 'Ficlet']",Solas ja Raudpull mängivad malet. Seral on siiber sellest.,eesti keel,247,1/1,,1,,15
45609658,Igavesti,MyFireMoth (HareHunter),['崩坏3rd | Honkai Impact 3rd (Video Game)'],General Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,09 Mar 2023,['Seele Vollerei/Bronya Zaychik'],"['Seele Vollerei', 'Bronya Zaychik']",['Fluff'],Bronya oli igavesti. (English translation second chapter),eesti keel,237,2/2,3,10,1,278
