work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
54677218,O Saga: Lehen zatia: Jatorrien liburua,rsluebben,"['No Fandom', 'Original Work']",Teen And Up Audiences,"Choose Not To Use Archive Warnings, Graphic Depictions Of Violence, Major Character Death","F/F, F/M",Complete Work,01 Apr 2024,"['Théa/ Malum', 'Elisapie/ Gaia', 'Rovan/ Amaya', 'Malaika/ Ichante', 'Tsar Miro/ Tsarina Salma']","['Thea', 'Malum - Character', 'Kai', 'Flaero', 'Kiron', 'Rovan', 'Amaya', 'Bita', 'Javad', 'Akiva', 'Olafur', 'Dantes kapitaina', 'Orakuluaren maisuak', 'Agarreko sorgina', 'Itzalen Akalera', 'Legio beltza', 'Malaika - Character', 'Chaska', 'Yachay buruzagia', 'Kava buruzagia', 'Elisapie', 'Gaia', 'Ichante', 'Apollyon - Character', 'Ohdakota erregea', 'Atoc Baal', 'Rastan apezpikua', 'Toto komandantea', 'Field Marshall Ramsey', 'Boyar Vicinia', 'Miro tsarra', 'Salma tsarina', 'Soror Dominus']","['Witchcraft', 'Dark Magic', 'Fantasy', 'Myth Arc', 'Swords & Sorcery', 'Animal Connections', 'Torture']","Lurralde mistikoetan, iraultza hedatzen ari da, zapalduek tiranoen uztarria hautsi nahi baitute. Gauza guztien Iturburuari eskainitako zaldunak pankarta baten azpian batzen ari dira lehen aldiz, gero eta handiagoa den nekazarien matxinadara sartzeko. Heroi eta gaiztoek beren ausardia probatzen dute kondaira bilakatzen diren heinean. Botereek ez dute beren boterea erraz utziko, eta odola isuriko da sakrifizioak egiten diren heinean.",Euskara,"75,497",29/29,,,,4
53573281,O Saga: Bigarren zatia: Gauaren liburua,rsluebben,"['No Fandom', 'Original Work']",Teen And Up Audiences,"Choose Not To Use Archive Warnings, Graphic Depictions Of Violence, Major Character Death, Rape/Non-Con","F/F, F/M, Multi",Complete Work,20 Mar 2024,"['Malum/ Thea', 'Olafur/ Valen', 'Dama Veneno/ Malum', 'Elisapie/ Gaia', 'Malaika/ Ichante', 'Hotah printzea/ Gursel printzesa']","['Rovanek', 'Thea', 'Olafur', 'Valen', 'Kittisek Khan', ""Sultan Graeo'gi"", 'Dantes kapitaina', 'Orakuluaren maisuak', 'Itzalen Akalera', 'Dagrim Kvore', 'Osaba Loean', 'Malum - Character', 'Ohdakota erregea', 'Atoc Baal', 'Sekuoia', 'Hotah printzea', 'Oren', 'Dama Veneno', 'Flaero', 'Anoka maisua', 'Chayton kapitaina', ""Na'ura"", 'Lotsee', 'Baishan', 'Imperata Lakoma', 'Tribuna Lutiant', 'Ayamis tribuna', 'Elisapie', 'Malaika - Character', 'Chaska', 'Waconi erregina', 'Adama Sardar', 'Noyon Aldar Gatmaa', 'Gursel printzesa']","['Action/Adventure', 'Myth Arc', 'Dark Magic', 'Magic', 'Swords & Sorcery', 'Fantasy']","Oren patuaren umea da. Indar ilunek bere kokapena bilatzen dute, argiaren indarrek babesten duten bitartean. Rovan asmo handiko buruzagi bat garaitzen lagundu zuen gudaria da; orain, etxera joan behar du bere familia salbatzera. Kittisek Khanek eta Sultan Graeo'gik iraultza zapaltzea bilatzen dute gerrarako prestatzen diren bitartean. Thea eta Flaero-k Malum-en gainean eragiteko eskaintza egingo dute.",Euskara,"55,846",28/28,,1,,17
47945308,Kill your wolves (euskera),iratioirtzbl,['Harry Potter - J. K. Rowling'],Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,17 Jun 2023,['Sirius Black/Remus Lupin'],"['Remus Lupin', 'Sirius Black']",[],"Istorio txiki bat, Remusek irakasle lana egitea onartzen duenekoa. Esaldiak Kill Your Darlings filmekoak dira.",Euskara,302,1/1,4,10,1,62
47724100,Jelausy,Chupapic0,['鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Manga)'],Explicit,Choose Not To Use Archive Warnings,M/M,Complete Work,07 Jun 2023,['Shinazugawa Sanemi/Tomioka Giyuu'],"['Shinazugawa Sanemi', 'Tomioka Giyuu', 'Kumeno Masachika', 'Sabito (Kimetsu no Yaiba)', 'Rengoku Kyoujurou', 'Iguro Obanai']","['Gay Sex', 'Gay', 'Multiple Orgasms', 'Orgasm Denial', 'Orgasm', 'Anal Sex', 'Anal Fingering', 'Anal Play', 'Bottom Shinazugawa Sanemi', 'Top Tomioka Giyuu', 'Smut']",Donde Giyuu esta celoso (Au alterno),Euskara,"6,335",1/1,2,54,1,"1,662"
29900292,Haragiaren apetitu desordenatuak,GogoetaGaixtoak,['Harry Potter - J. K. Rowling'],Explicit,"Underage, Rape/Non-Con",Multi,Work in Progress,11 Jan 2022,"['Severina Snape/Harry Potter', 'Severus Snape/Harry Potter', 'Severina Snape/Lucius Malfoy/Narcissa Black Malfoy', 'Lucius Malfoy/Narcissa Black Malfoy/Severus Snape', 'Harry Potter/Severus Snape', 'Severina Snape/Narcissa Black Malfoy', 'Narcissa Black Malfoy/Severus Snape']",[],"['fem!snape', 'Female Severus Snape', 'Dom/sub Undertones', 'Teacher-Student Relationship', 'Threesome - F/F/M', 'minor Severina Snape/Lucius Malfoy/Narcissa Black Malfoy', 'Past Lily Evans Potter/Severus Snape', 'Bullying', 'Past Rape/Non-con']","Bazegoen Hogwartsen Harry Potterrek inor baino gehiago gorroto zuen pertsona bat, Draco Malfoy bera baino gehiago: Severina Snape, Edabeetako Maistra eta Slytherin Etxeko burua. Eta sugegorri galanta, Harryri galdetuz gero. Horrela izan zen lau urtez, eta horrela zatekeen bosgarren urte hartan ere, Harryk ikusi behar ez zuen zerbait ikusi izan ez balu. Severinak zirrara sentitu zuen haren begiak ikustean, haren begi berde eder horiek ikusten zituen aldiro bezala. Potterren aurpegia nabarmen zurrundu zen Severina ikusi zuenean, eta bihotzak ostiko bat eman zion. Begiak soilik balitu amarenak. Baina ez, haren keinu eta aurpegikera guztiak ziren amarenak. Tira, Petuniarenak. Ta beste guztia, bere aita putakume horrenak.",Euskara,"14,414",4/?,11,12,1,922
28814640,Suizidio batez maiteminduta,Clarinete,['Shingeki no Kyojin | Attack on Titan'],Mature,Choose Not To Use Archive Warnings,M/M,Complete Work,17 Jan 2021,['Reiner Braun/Porco Galliard'],"['Reiner Braun', 'Porco Galliard']",[],"Suizidio batez maitemindu zen. Norbaitek hori esaten duenean, bi gauza gertatu behar dira: hildako maitatua jainkozkoaren eremukoa dela eta bere buruaz beste egin duelako hil dela.",Euskara,486,1/1,,5,,137
8025634,Ziur zaude?,Clarinete,['Haikyuu!!'],General Audiences,Choose Not To Use Archive Warnings,M/M,Complete Work,13 Sep 2016,['Tendou Satori/Ushijima Wakatoshi'],"['Ushijima Wakatoshi', 'Tendou Satori']",[],"eztabaida txiki baten ondoren, Ushijima eta damu Tendou badirudi urrutiko joan.",Euskara,766,1/1,,3,,164
8025622,gogaikarriak,Clarinete,['Haikyuu!!'],General Audiences,Choose Not To Use Archive Warnings,M/M,Complete Work,13 Sep 2016,['Tendou Satori/Ushijima Wakatoshi'],"['Ushijima Wakatoshi', 'Tendou Satori']",[],Drabble txiki bat Wakatoshi urtebetetzea.,Euskara,64,1/1,,3,,123
8025601,Ziur zaude?,Clarinete,['Haikyuu!!'],General Audiences,Choose Not To Use Archive Warnings,M/M,Complete Work,13 Sep 2016,['Tendou Satori/Ushijima Wakatoshi'],"['Ushijima Wakatoshi', 'Tendou Satori']",[],"eztabaida txiki baten ondoren, Ushijima eta damu Tendou badirudi urrutiko joan.",Euskara,785,1/1,4,3,,131
8025574,"Wakatoshi, ez egin txiste mota hori!",Clarinete,['Haikyuu!!'],General Audiences,Choose Not To Use Archive Warnings,M/M,Complete Work,13 Sep 2016,['Tendou Satori/Ushijima Wakatoshi'],"['Ushijima Wakatoshi', 'Tendou Satori']",[],Wakatoshi dute behaketa too itsusi memes orria.,Euskara,84,1/1,,1,,80
