work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55050487,An Rince Gríosaitheach,Anonymous,"['呪術廻戦 | Jujutsu Kaisen (Manga)', '呪術廻戦 | Jujutsu Kaisen (Anime)']",General Audiences,Choose Not To Use Archive Warnings,F/M,Complete Work,13 Jan 2024,['Gojo Satoru/Iori Utahime'],"['Gojo Satoru', 'Iori Utahime']",[],,Gaeilge,355,1/1,,,,6
54627814,Naofa?,eirintheair,['Original Work'],General Audiences,Choose Not To Use Archive Warnings,"F/F, F/M, Gen, Other",Complete Work,21 Mar 2024,"['Original Character(s)/Original Character(s)', 'Original Character(s)/Original Female Character(s)']","['Original Characters', 'Original Female Character(s)']","['Ambiguous/Open Ending', 'Religious Imagery & Symbolism', 'Drabble', 'Irish Language', 'Wings', 'Inspired by The Fall of Icarus (Ancient Greek Religion & Lore)', 'but very very loosely', 'POV First Person', ""I Don't Even Know"", ""I'm Bad At Tagging""]",'Bhí an spéir dearg le mo fhuil.' 'Leanim ag titim le níos mó foréigeann anois.',Gaeilge,357,1/1,,5,,13
54509296,Beannachtaí na Féile Pádraig dhuit!,TamaraKnight,['Original Work'],General Audiences,No Archive Warnings Apply,No category,Complete Work,16 Mar 2024,[],[],['Banners & Icons'],Two small banners.,Gaeilge,0,2/2,,,,6
54154186,Inneall Murdar,an-ciúin (lasagne_of_death),['文豪ストレイドッグス | Bungou Stray Dogs'],General Audiences,No Archive Warnings Apply,No category,Complete Work,29 Feb 2024,[],"['Izumi Kyouka (Bungou Stray Dogs)', 'Nakajima Atsushi (Bungou Stray Dogs)']","['Siblings', 'Atsushi has adopted Kyoka', 'Not officially though - Freeform', 'Irish Language']","An bhfuil Kyoka meaisín? Bhuel, níl sí róchinnte, mar níl smaoineamh Atsushi go bhfuil sí meaisín.",Gaeilge,199,1/1,7,6,,19
53923441,Bailiúchán Dánta,an-ciúin (lasagne_of_death),['Original Work'],Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Work in Progress,11 Mar 2024,[],[],"['Irish Language', 'Poetry']",Bailiúchán dánta a rinne mé cúpla míonna ó shin.,Gaeilge,198,4/?,7,4,,29
53731075,"""Tá grá agam duit...""",nerezza_69420,['10 Things I Hate About You (1999)'],General Audiences,No Archive Warnings Apply,F/M,Complete Work,12 Feb 2024,[],['Patrick Verona'],[],Is breá liom Pádraig Bhearóna 🥵🥵,Gaeilge,57,1/1,3,5,,48
53613232,ionadh,Anonymous,['Shingeki no Kyojin | Attack on Titan'],Teen And Up Audiences,Choose Not To Use Archive Warnings,F/M,Complete Work,08 Feb 2024,['Mikasa Ackerman/Eren Yeager'],"['Eren Yeager', 'Mikasa Ackerman']",[],Tá mac ag Eren agus Mikasa. Tá an teach líonta le háthas,Gaeilge,"1,483",1/1,,1,,30
53600554,Ag Déanamh Síocháin le Claudia,lolimcgee,['Aifric'],Explicit,Underage,F/F,Complete Work,07 Feb 2024,['Aifric de Spáinn/Claudia'],"['Aifric de Spáinn', 'Claudia (Aifric)']","['Irish Language', 'i like bully/victim', 'Internalized Homophobia', 'ish', 'Plot What Plot/Porn Without Plot', 'Kissing', 'Girls Kissing']","Nuair a fuair Aifric nóta de Claudia, faigheann sí amach rud éigin fúithi féin... agus Claudia freisin!",Gaeilge,"1,172",1/1,9,5,,39
53497189,An Banríon Weirwood (The Weirwood Queen),vangarado_mossi,"['A Song of Ice and Fire - George R. R. Martin', 'A Song of Ice and Fire & Related Fandoms', 'Game of Thrones (TV)']",Mature,Major Character Death,Gen,Work in Progress,08 Apr 2024,[],"['Sansa Stark', 'Ned Stark', 'Arya Stark', 'Catelyn Tully Stark', 'Bran Stark', 'Tyrion Lannister', 'Jon Snow', 'Jaime Lannister', 'Gilly (A Song of Ice and Fire)', 'Theon Greyjoy', 'Daenerys Targaryen', 'Irri (A Song of Ice and Fire)', 'Young Griff (ASoIaF)']","['BAMF Sansa Stark', 'Sansa Stark-centric', 'Old Gods', 'Greenseers & Greensight (A Song of Ice and Fire)', 'Wargs & Warging (A Song of Ice and Fire)', 'Arya Stark & Sansa Stark Have a Good Relationship', 'Stark Family Feels (A Song of Ice and Fire)', 'Elia Martell Lives', 'taighde agus domhanfoirgníocht iomarcach', 'an fic a slog mo shaol', 'ní banríon craiceáilte í Daenerys', 'ach ní fuascailteoir foirfe í ach oiread', 'Infant Death', 'déantar tagairt dó nó léirítear i gcaibidlí 13 agus 112', 'Infertility', 'Miscarriage', 'BAMF Arya Stark', 'faigheann Ned bás fós tá brón an domhain orm']","“Ni bhfuair mé slán a fhágáil, fiú,” ar sise, ag smaoisíl in aghaidh a ionar. “Bhí brath agam a cnámha a cur chuig Winterfell,” arsa Ned go mall. “Ach tháinig na fhir ar crann folachoirte gar don bhóthar, timpeall uair amháin ó thuaidh as seo. Adhlacfaidh siad í faoi, agus coinneoidh na seandéithe súil uirthi.” Adhlactar Lady faoi chrann fholachoirte, agus guíonn Sansa ar na seandéithe chun Lady a fhanacht léi. Freagraítear a h-urnaí, ar bhealach. Athraíonn gach rud.",Gaeilge,"2,534",4/?,9,9,3,190
52424698,"Mar sin, chuala mé go maith leat broic-chúnna",ProfessorStrange,['Life is Strange 2 (Video Game)'],Teen And Up Audiences,Underage,M/M,Complete Work,21 Dec 2023,['Chris Eriksen/Hawt Dawg Man'],"['Hawt Dawg Man (Life is Strange)', 'Chris Eriksen', 'Charles Eriksen']","['Drabble', 'Absurd', 'Mildly Dubious Consent', 'Crazy', 'Irish Language', 'I am strange']","Tá gach duine ina dhiallaithe ar Fhear Broc-Chú. Ní shamhlaíonn an chuid is mó daoine go bhfuil sé ann. Spreagtha ag Jacksepticeye ag rá “ní maith liom an chaoi ar thug sé sin"" nuair a bhí sé ag dul trí eachtraí iontacha an Chaptaen Spiorad.",Gaeilge,615,1/1,,,,38
