work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
54782485,你万分钟的吻,luyuan26,['山高鹭沅 - Fandom'],General Audiences,Choose Not To Use Archive Warnings,M/M,Complete Work,28 Mar 2024,"['山高鹭沅', '种地吧 - Relationship']","['鹭卓', '卓沅']","['山高鹭沅-freefrom', '双卓-freeform']",嘿嘿随便写的(*｀▽´*) 建议搭配BGM:王菲-《梦中人》《胡思乱想》,Gàidhlig,"2,793",1/1,1,1,,70
51621070,Caoraich Dhubha,cesario12 (orphan_account),['Harry Potter - J. K. Rowling'],Teen And Up Audiences,No Archive Warnings Apply,"F/F, M/M",Work in Progress,18 Dec 2023,"['Sirius Black/Remus Lupin', 'Original Female Character/Original Female Character']","['Sirius Black', 'Remus Lupin']","['Sirius Black and Remus Lupin Raise Harry Potter', 'Bisexual Remus Lupin', 'Gay Sirius Black', 'Sirius Black Free from Azkaban', 'Period-Typical Homophobia', 'Section 28', ""tha gràin agam air jkr blabla chan e terf a th' annamsa""]","Leis gu bheil Remus a' fulaing leis a' ghealaich làin, thèid Sirius a thogail Harry bhon sgoil ùr aige. Chan eil an tidsear ga aithneachadh agus tha i amharrasach an toiseach, agus nas amharrasaiche buileach nuair a gheibh i a-mach cò e, ach an uair sinn innis iad dha chèile dè dh'fhàg an seo iad agus saoilidh iad gur dòcha gur e toiseach càirdeis ùir a tha sin. /okay yeah chan eil tòrr stuth cutesy is shippy a' tachairt sa chiad dà chaibideil agus chan eil mi smaoineachadh gun cuir mi riamh crìoch air a seo oir cha chuir mi crìoch air rud sam bith uair sam bith lol",Gàidhlig,"3,825",2/?,,3,,65
51494992,iar-phàrtaidh,Anonymous,['Original Work'],Mature,No Archive Warnings Apply,M/M,Complete Work,10 Nov 2023,[],[],"['Oral Sex', 'College', 'University', 'vaguely. tha iad ann an halls idk', ""tha thu a' miannachadh do charaid agus ithidh tu a bhod agus sin e"", 'agus caran obrachadh a-mach an toil leis-san thusa cuideachd', 'nam inntinn tha an neach-aithris na fhear trans', 'ach chan eil mi smaoineachadh gun tug mi really iomradh air a sin', 'chan eil e cho porny really', 'is dòcha gum bi e follaiseach gu bheil mise asexual and out of my depth']","Tha am pàrtaidh a’ tighinn gu crìoch ach tha thu fhathast toilichte am measg nan solasan beaga, ceòl agus cabadaich a’ lìonadh an t-seòmar agus Jack rid thaobh, ur cliathaich agus guailnean ri chèile, do chas a’ putadh an aghaidh a chois. Tha sùil air a bhith agad ann fad beagan sheachdainean a-nis, ach chan eil thu cinnteach an do mhothaich e càil agus a bheil e gad iarraidh-sa idir. Tha thu ag èisteachd ris na còmhraidhean a tha dol le leth-chluas agus a’ meòrachadh air bodhaig do charaid aig an aon àm agus saoil a bheil dòigh ann gum faic thu beagan a bharrachd dhi a-nochd?",Gàidhlig,"3,867",1/1,,2,,13
46594585,(Sean agus Bochd) Goirid agus Grànda,Anonymous,['Boys Planet (Korea TV)'],General Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,19 Apr 2023,[],"['Shen Quanrui | Ricky', 'Zhang Hao (Boys Planet)', 'Liu Tianyue | Ollie', 'Maeda Haruto', 'Na Kamden', 'Chen Kuanjui', 'Terazono Keita', 'Seok Matthew']","['Fluff', 'Homesickness', 'Silly', 'Vote For Ricky']","Bha an cianalas air Ricky airson Sìona. Ma-thà, dh'iarr Ricky air Hao ge biadh Sìneach a chòcaireachd. Bhòt airson Ricky air an app Mnet!",Gàidhlig,343,1/1,,9,,91
46392757,Oidhche ri cuimhneachain,Spookie737,['The Flight Attendant (TV)'],Not Rated,Choose Not To Use Archive Warnings,F/F,Complete Work,10 Apr 2023,['Cassie Bowden/Miranda Croft'],"['Cassie Bowden', 'Miranda Croft', 'Annie Mouradian', 'Max Park']","['Double Date', 'bowcroft', 'Sapphic', 'Post Season 2', 'Bonding', 'Ficlet', 'Drabble']",- Ceann-latha dùbailte le Annie agus Max. -Slàn le crathadh de iomraidhean dàna.,Gàidhlig,582,1/1,,1,,33
43569201,Understand,Anonymous,['Original Work'],Explicit,"Graphic Depictions Of Violence, Major Character Death",M/M,Complete Work,12 Dec 2022,['Ethan/Ian'],"['Ian', 'Ethan', 'Daniel', 'Jacob', 'River', 'Alyce', 'Chloe', 'Mrs Kovach', 'Erik James kalish', 'Zane', 'Noah', 'sans body pillow', 'Gary the Snail']","['shipost', 'Help', ""sorry if you're from school""]",,Gàidhlig,"1,192",1/1,,1,,55
43553970,Nìthean nach gabh a chàradh,Pioghaid,['Spider-Man (Video Games 2018-2020)'],General Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,11 Dec 2022,[],"['Phin Mason', 'Miles Morales']","['Spoilers', 'Minor Violence', 'Light Angst', 'Police', 'Alternate Ending', 'why is everyone sleeping on phin', ""She's the best"", 'THERE SHOULD BE MORE', 'here is some', 'Flash Fiction', 'gaidhlig', 'Scottish Gaelic']",Deireadh eile gu geama Miles Morales. Spoilers mòra! Additional scene to alter ending of Miles Morales game. Mega spoilers!,Gàidhlig,957,1/1,4,6,3,86
38238148,Seann Leabhar,Anonymous,"['Good Omens - Neil Gaiman & Terry Pratchett', 'Good Omens (TV)']",General Audiences,No Archive Warnings Apply,Gen,Complete Work,08 Apr 2022,['Aziraphale & Crowley (Good Omens)'],"['Aziraphale (Good Omens)', 'Crowley (Good Omens)']","['Gift Giving', 'Fluff', 'Gaelic Language']",Chunnaic Crowley seann leabhar tro uinneig.,Gàidhlig,124,1/1,5,16,,169
38152603,Cowboys Are Frequently Secretly Fond of Each Other,cesario12,['Original Work'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,09 Apr 2022,"['cowboy/cowboy', ""cowboy mar 'bidh e ag obair le crodh'/cowboy mar 'tha e fon choill'""]",[],"['Period Typical Misogyny', 'Gay Cowboys', 'early 1880s', 'Gaelic Language', 'ged nach do rinn mi rannsachadh gu leòr is dòcha', 'iomradh air feis ach chan eil e explicit', 'cha tèid fòirneart a dhèanamh air boireannaich like', 'ach tha beachdan misogynistic aig na fir']","tha fear air litir fhaighinn bho fhear eile a' faighneachd an tilleadh e gu Tombstone, Arizona, agus tha e caran mar ehh a bhalachaibh a bheil e gèidh faireachdainnean a bhith agad? a bheil mi ag iarraidh gaol agus càirdeas? chan eil mi ag iarraidh gun smaoinich daoine eile gu bheil a leithid rud ri faireachdainnean agam oir 's e fear cruaidh a th' annam >:( agus 's ann mu dheidhinn nan smuaintean aig an fhear a sgrìobh an litir a tha caibideil 2 agus thèid fear 1 gu Tombstone ann an caibideil 3 agus chì iad a-rithist a chèile",Gàidhlig,"3,855",3/3,,3,,68
38105023,Cò a fhòn thu?,Ficsean_Speisear,"['Batman - All Media Types', 'Batman (Comics)']",General Audiences,No Archive Warnings Apply,Gen,Complete Work,01 Apr 2022,"['Stephanie Brown & Damian Wayne', 'Dick Grayson & Damian Wayne']","['Damian Wayne', 'Stephanie Brown', 'Dick Grayson', 'Jason Todd', 'Tim Drake', 'Barbara Gordon']","['Fòn a Fhònadh', 'Fhreagair Damien am fòn', 'Là na Gogaireachd', 'Phone Call', 'Damien answers the phone', ""April Fools' Day""]",Dè a thachras nuair a fhreagair Damien am fòn agus ghabh e teachdaireachd?,Gàidhlig,219,1/1,,5,1,59
37880785,Bha iongnadh an-aoibhinn air Daud,Ficsean_Speisear,['Dishonored (Video Games)'],General Audiences,No Archive Warnings Apply,"Gen, M/M",Complete Work,21 Mar 2022,"['Corvo Attano/Daud', 'Corvo Attano & Emily Kaldwin', 'Daud & Emily Kaldwin']","['Corvo Attano', 'Daud (Dishonored)', 'Emily Kaldwin', 'Billie Lurk | Meagan Foster', 'Thomas (Dishonored)', 'Anton Sokolov', 'Piero Joplin']","['iongnadh', 'iongnadh an-aoibhinn', 'Rinn Emily Kaldwin agus Corvo Attano rudeigin.', 'pàrantan Daud agus Corvo Attano', ""Bha Daud a'farranachadh le a h-uile duine"", 'suprise', 'unhappy suprise', 'Emily Kaldwin and Corvo Attano do something', 'Parents Daud and Corvo Attano', 'Daud is just done with everything']",Thill Daud à Karnaca. Bha e cho thoilichte gun robh e aig an taigh. Ach rinn Emily agus Corvo rudeigin. Agus bha iongnadh an-aoibhinn air Daud.,Gàidhlig,"1,163",3/3,,1,,48
37787242,Dè a tha sin?,Ficsean_Speisear,"['Batman - All Media Types', 'Batman (Comics)']",General Audiences,No Archive Warnings Apply,Gen,Complete Work,17 Mar 2022,"['Jason Todd & Bruce Wayne', 'Tim Drake & Jason Todd', 'Tim Drake & Bruce Wayne', 'Tim Drake & Jason Todd & Bruce Wayne']","['Jason Todd', 'Tim Drake', 'Bruce Wayne']","['Cofaidh', 'cofaidh Starbucks', 'Coimpiutair na Dealtaige', 'Uamh na Dealtaige', 'Là Fhèill Pàdraig', 'Bha Bruce ag obair air Jason', ""Agus bha Tim a' farranachadh le Bruce agus Jason"", 'Coffee', 'Starbucks', 'Bat-Computer', 'Batcave', ""St. Patrick's Day"", 'Bruce teasing Jason', 'And Tim just being done with Bruce and Jason']",Dh'òl Bruce a chofaidh Starbucks. Bha mì-cheuta aig Jason. Bha Bruce ag obair air Jason. Agus bha Tim a' farranachadh le Bruce agus Jason.,Gàidhlig,383,1/1,,2,1,38
37350832,Fhuair Fox prèasantan,Ficsean_Speisear,"['Star Wars: The Clone Wars (2008) - All Media Types', 'Star Wars Prequel Trilogy', 'Star Wars - All Media Types']",General Audiences,No Archive Warnings Apply,M/M,Complete Work,24 Feb 2022,['CC-1010 | Fox/Quinlan Vos'],"['CC-1010 | Fox', 'Quinlan Vos', 'Clone Commander Thorn (Star Wars)']","['prèasantan', 'Fhuair Fox prèsantan', 'Là Naomh Bhaileintin', 'Presents', 'Fox got presents', ""Valentine's Day"", 'Cofaidh', 'Coffee']",Fhuair Fox prèasantan. Bha Ficsean Speisear seo do Là Naomh Bhaileintin.,Gàidhlig,561,1/1,1,2,,59
36749740,Càite a bheil an cofaidh?,Ficsean_Speisear,['Batman - All Media Types'],General Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,29 Jan 2022,['Tim Drake & Jason Todd'],"['Tim Drake', 'Jason Todd']","['Cofaidh', 'Iongantas', 'Chan eil Tim toilichte gun cofaidh', 'Tha iongantas aig Jason do Tim', ""'S e bràithrean a th'air Tim Drake agus Jason Todd"", 'Coffee', 'suprise', 'Tim is not happy without coffee', 'Jason has a surprise for Tim', 'Tim Drake and Jason Todd are Siblings']",Chan eil cofaidh aig Tim agus chan eil e toilichte. Ach tha iongantas aig Jason do Tim.,Gàidhlig,486,1/1,2,9,1,83
35579518,"Fhuair Mi Mo Nèamh, an-Seo 's an Àite",BringerOfJollity,['Doctor Who (1963)'],General Audiences,Choose Not To Use Archive Warnings,M/M,Complete Work,08 Dec 2021,['Second Doctor/Jamie McCrimmon'],"['Second Doctor (Doctor Who)', 'Jamie McCrimmon']","['Gaelic Language', 'Love Confessions']",'S e latha slaodach a th' ann air a' Thardis agus tha ceist chudromach aig Seumaidh.,Gàidhlig,836,1/1,8,13,1,225
