work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
54676891,O Saga: Primeira parte: Libro das orixes,rsluebben,"['No Fandom', 'Original Work']",Teen And Up Audiences,"Choose Not To Use Archive Warnings, Graphic Depictions Of Violence, Major Character Death","F/F, F/M",Complete Work,01 Apr 2024,"['Théa/ Malum', 'Elisapie/ Gaia', 'Rovan/ Amaya', 'Malaika/ Ichante', 'Tsar Miro/ Tsarina Salma']","['Tea - Character', 'Malum - Character', 'Kai', 'Kiron', 'Flaero', 'Rovan', 'Amaya', 'Bita', 'Xavad', 'Akiva', 'Olafur', 'Capitan Dantes', 'Mestres do Oráculo', 'Bruxa de Agar', ""aquelarre D' Sombra"", 'Lexión Negra', 'Malaika - Character', 'Chaska', 'Xefe Yachay', 'Xefe Kava', 'Elisapie', 'Gaia', 'Ichante', 'Apollyon - Character', 'Rei Ohdakota', 'Atoc Baal', 'O bispo Rastan', 'Comandante Totó', 'Mariscal de campo Ramsey', 'Boiar Vicinia', 'Tsar Miro', 'Zarina Salma', 'Soror Dominus']","['Witchcraft', 'Dark Magic', 'Fantasy', 'Myth Arc', 'Swords & Sorcery', 'Animal Connections', 'Torture']","En terras místicas, a revolución vaise estendendo mentres os oprimidos buscan romper o xugo dos tiranos. Os cabaleiros dedicados á fonte de todas as cousas únense baixo unha mesma bandeira por primeira vez para unirse á crecente rebelión campesiña. Heroes e viláns poñen a proba a súa valentía mentres se converten en lendas. Os poderes existentes non renunciarán facilmente ao seu poder e derramarase sangue mentres se fagan sacrificios.",Galego,"88,890",29/29,,,,5
53525257,O Saga: Segunda parte: Libro da noite,rsluebben,"['No Fandom', 'Original Work']",Teen And Up Audiences,"Choose Not To Use Archive Warnings, Graphic Depictions Of Violence, Major Character Death, Rape/Non-Con","F/F, F/M, Multi",Complete Work,20 Mar 2024,"['Malum/ Thea', 'Olafur/ Valen', 'Señora Veneno/ Malum', 'Elisapie/ Gaia', 'Malaika/ Ichante', 'Príncipe Hotah / Princesa Gursel']","['Rovan', 'Olafur', 'Valen', 'Tio Loean', 'Capitan Dantes', 'Mestres do Oráculo', 'aquelarre de Sombra', 'Kittisek Khan', ""Sultan Graeo'gi"", 'Dagrim Kvore', 'Malum - Character', 'Tea - Character', 'Rei Ohdakota', 'Atoc Baal', 'Sequoia - Character', 'Príncipe Hotah', 'Oren', 'Señora Veneno', 'Flaero', 'Mestre Anoka', 'Capitán Chayton', ""Na'ura"", 'Lotsee', 'Baishan', 'Imperata Lakoma', 'Tribuna Lutiant', 'Tribuna Ayamis', 'Elisapie', 'Gaia', 'Malaika - Character', 'Chaska', 'Raíña Waconi', 'Adama Sardar', 'Altar de Noyon Gatmaa', 'Princesa Gursel']","['Fantasy', 'Myth Arc', 'Action/Adventure', 'Swords & Sorcery', 'Magic', 'Dark Magic']","Oren é un fillo do destino. As forzas escuras buscan a súa localización, mentres que as forzas da luz o protexen. Rovan é un guerreiro que axudou a derrotar a un líder ambicioso; agora, debe correr a casa para salvar á súa familia. Kittisek Khan e o sultán Graeo'gi buscan reprimir a revolución mentres se preparan para a guerra. Thea e Flaero apostarán pola influencia sobre Malum.",Galego,"65,804",28/28,,1,,19
50889904,Amigo dos cogumelos,PiAlfa801,"['itemLabel ""Critters"" Commercials', 'Peepy (Toys)']",Mature,Major Character Death,Gen,Work in Progress,17 Oct 2023,['Narrator & Sucklet (itemLabel)'],"['Sucklet (itemLabel)', 'Peepy (itemLabel)', 'Narrator']","['Toys', 'Stuffed Toys', 'Mushrooms', 'POV First Person', 'Cults', 'Crack Treated Seriously', 'Obsession', 'Religious Cults', 'Attempted Murder', 'Unhealthy Relationships', 'Other Additional Tags to Be Added']","Cogumelo de Sucklet, que quitas o pecado do mundo, ten piedade de nós.",Galego,494,1/5,2,1,,7
50514577,Comezo,Solaris_Quid,['She-Ra and the Princesses of Power (2018)'],General Audiences,Choose Not To Use Archive Warnings,Gen,Complete Work,01 Oct 2023,[],"['Hordak (She-Ra)', 'Horde Prime (She-Ra)']","['She-Ra and the Princesses of Power (2018) Season 5 Spoilers', 'Angst with a Happy Ending', 'Light Angst', 'Character Study', 'Canon Compliant']","Despois de rebelarse contra o Primoxénito da Horda, Hordak é liberado do seu control pola mesma rapaza que atopou dúas décadas atrás nun portal en Etheria.",Galego,437,1/1,2,3,,18
49728268,Capitalismo e bombas,PiAlfa801,['Turnip Boy Commits Tax Evasion (Video Game)'],Teen And Up Audiences,No Archive Warnings Apply,Gen,Complete Work,30 Aug 2023,"['Mayor Onion (Turnip Boy Commits Tax Evasion) & Don Turnipchino (Turnip Boy Commits Tax Evasion)', 'Mayor Onion (Turnip Boy Commits Tax Evasion) & Old Man Lemon (Turnip Boy Commits Tax Evasion)']","['Mayor Onion (Turnip Boy Commits Tax Evasion)', 'Don Turnipchino (Turnip Boy Commits Tax Evasion)', 'Old Man Lemon (Turnip Boy Commits Tax Evasion)']","['Canon Compliant', 'Pre-Canon', 'Post-Nuclear War', 'Nuclear Weapons', 'Italian Mafia', 'Arguing', 'POV Third Person', 'Dialogue Heavy']","A Cebola nunca se lle deu ben aceptar un non por resposta, incluso se iso pode implicar a destrución do mundo.",Galego,891,1/1,,4,,23
49476220,"Débil, humana",PiAlfa801,['A Court of Thorns and Roses Series - Sarah J. Maas'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,19 Aug 2023,"['Feyre Archeron & Lucien Vanserra', 'Feyre Archeron & Ressina', 'Feyre Archeron & Nesta Archeron']","['Feyre Archeron', 'Lucien Vanserra', 'Nesta Archeron', 'Ressina (A Court of Thorns and Roses)']","['Feyre Archeron Needs a Hug', 'The Band of Exiles (A Court of Thorns and Roses)', 'Dysfunctional Family', 'Artist Feyre Archeron', 'Fix-It of Sorts', 'feyre realmente necesita ter esta conversa', 'Dialogue Heavy', 'Other Additional Tags to Be Added']",Feyre está máis afectada pola Banda dos Exiliados do que debería. Quizais é todo unha cuestión de proxección.,Galego,"1,965",1/1,,,,31
47484367,Primixenio,roerinski,['One Piece (Anime & Manga)'],Mature,Graphic Depictions Of Violence,F/M,Complete Work,06 Jun 2023,['Koala/Sabo (One Piece)'],"['Sabo (One Piece)', 'Koala (One Piece)']","['Alternate Universe - Modern Setting', 'Established Relationship', 'Inspired by H. P. Lovecraft', 'cosmic horror', 'Body Horror', 'Inspired by The Dunwich Horror']",Nunca tiveron que comezar a vivir xuntos. Koala sóuboo con certeza despois de ver os resultados cos seus propios ollos. A mansión esbarrelábase con cada treboada; a súa relación con Sabo non parecía ir por distinto camiño.,Galego,"3,071",1/1,3,1,,16
46084600,A linguaxe das folerpas,roerinski,"['氷属性男子とクールな同僚女子 | Koori Zokusei Danshi to Cool na Douryou Joshi (Anime)', '氷属性男子とクールな同僚女子 | Koori Zokusei Danshi to Cool na Douryou Joshi (Manga)']",General Audiences,No Archive Warnings Apply,F/M,Complete Work,29 Mar 2023,['Fuyutsuki/Himuro (Koori Zokusei Danshi to Cool na Douryou Joshi)'],"['Fuyutsuki (Koori Zokusei Danshi to Cool na Douryou Joshi)', 'Himuro (Koori Zokusei Danshi to Cool na Douryou Joshi)', 'Komori (Koori Zokusei Danshi to Cool na Douryou Joshi)', 'Saejima (Koori Zokusei Danshi to Cool na Douryou Joshi)']","['Tooth-Rotting Fluff', 'Love Confessions', 'the ending we deserved', 'Emotional Constipation', 'Autistic Himuro', 'Autistic Fuyutsuki', 'post-anime canon']","Descubriran un mundo o un do outro, mais entre Fuyutsuki e Himuro seguía erixíndose un muro de por medio cuberto de xeo e que sempre arrastraba o outro o máis lonxe posible del. Mais ningún bloque de xeo é para sempre se alguén se decide a derreter un camiño e entender como funcionan cada unha das habilidades dun descendente dunha muller das neves. Ou Como Fuyutsuki se propuxo descubrir que significaban esas intensas breas que Himuro convocaba en situacións que non o esperaba",Galego,"3,344",1/1,,2,,35
45933085,Sarabia,Solaris_Quid,['She-Ra and the Princesses of Power (2018)'],General Audiences,No Archive Warnings Apply,"Gen, Other",Complete Work,22 Mar 2023,[],"['Frosta (She-Ra)', ""Frosta's Parents (She-Ra)""]","['Angst', 'Loss of Parent(s)', 'Orphans', 'Grief/Mourning']",Cal é a verdadeira natureza da neutralidade do Reino das Neves? E que sucedeu na coroación de Frosta?,Galego,592,1/1,2,3,,22
45200101,Morriña,Solaris_Quid,['She-Ra and the Princesses of Power (2018)'],General Audiences,No Archive Warnings Apply,F/F,Complete Work,21 Feb 2023,['Adora/Catra (She-Ra)'],['Catra (She-Ra)'],"['POV Catra (She-Ra)', 'Catra has PTSD - Post-Traumatic Stress Disorder (She-Ra)', 'Implied/Referenced Child Abuse', 'Post-Canon']","A guerra xa rematou, mais os sentimentos seguen aí.",Galego,411,1/1,6,7,,55
