work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
54927496,फूल टिप न ,CarousingCapnR,['Brigadoon: Marin & Melan'],General Audiences,Choose Not To Use Archive Warnings,F/M,Complete Work,03 Apr 2024,['Marin Asagi/Melan Blue'],"['Marin Asagi', 'Melan Blue']",[],"( यो लिखित काम नेपालीमा हो , हिन्दी होइन । किनभने नेपाली भाषा विकल्प छैन । )",हिन्दी,97,1/1,,,,3
54678376,ओ सागा: भाग एक: उत्पत्ति की पुस्तक,rsluebben,"['No Fandom', 'Original Work']",Teen And Up Audiences,"Choose Not To Use Archive Warnings, Graphic Depictions Of Violence, Major Character Death","F/F, F/M",Complete Work,01 Apr 2024,"['थिया/मालुम', 'एलिसापी/ गैया', 'रोवन/अमाया', 'मलायका/इचांटे', 'ज़ार मिरो/ज़ारिना सलमा', 'प्रिंस होताह/प्रिंसेस गुरसेल']","['द ए', 'मालुम', 'काई', 'फ्लेएरो', 'किरण', 'रोवान', 'अमाया', 'बिटा', 'जावद', 'अकीवा', 'ओलाफुर', 'कप्तान डेंटेस', 'ओरेकल के परास्नातक', 'हाजिरा की चुड़ैल', 'छाया वाचा', 'काली सेना', 'मलायका', 'चस्का', 'प्रमुख याचाय', 'प्रमुख कावा', 'एलिसैपी', 'जीएआइए', 'इचांटे', 'अपुल्लयोन', 'राजा ओहदाकोटा', 'अटोक बाल', 'बिशप रस्तान', 'कमांडेंट टोटो', 'फील्ड मार्शल रैमसे', 'बोयार विसिनिया', 'ज़ार मिरो', 'ज़ारिना सलमा', 'सोरोर डोमिनस', 'राजकुमारी गुरसेल']","['Witchcraft', 'Dark Magic', 'Fantasy', 'Myth Arc', 'Swords & Sorcery', 'Animal Connections', 'Torture']","रहस्यवादी देशों में, क्रांति फैल रही है क्योंकि उत्पीड़ित लोग अत्याचारियों के बंधन को तोड़ने की कोशिश कर रहे हैं। सभी चीज़ों के स्रोत को समर्पित शूरवीर बढ़ते किसान विद्रोह में शामिल होने के लिए पहली बार एक बैनर के नीचे एकजुट हो रहे हैं। नायक और खलनायक किंवदंती बनते ही अपनी बहादुरी का परीक्षण करते हैं। जो शक्तियां हैं वे आसानी से अपनी शक्ति नहीं छोड़ेंगी, और बलिदान दिए जाने पर खून बहाया जाएगा।",हिन्दी,"111,215",29/29,,,,10
53705326,ओ सागा: भाग दो: रात की किताब,rsluebben,"['No Fandom', 'Original Work']",Teen And Up Audiences,"Choose Not To Use Archive Warnings, Graphic Depictions Of Violence, Major Character Death, Rape/Non-Con","F/F, F/M, M/M",Complete Work,20 Mar 2024,"['लेडी वेनेनो/मालुम', 'मालुम/थिया', 'एलिसापी/ गैया', 'मलायका/इचांटे', 'ओलाफुर/वैलेन']","['रोवान', 'ओलाफुर', 'वैलेन', 'कितिसेक खान', ""सुल्तान ग्रेओ'गी"", 'कप्तान डेंटेस', 'ओरेकल के परास्नातक', 'छाया वाचा', 'डाग्रिम कोवोर', 'अंकल लोन', 'मालुम', 'द ए', 'मलायका', 'चस्का', 'एलिसैपी', 'जीएआइए', 'इचांटे', 'अपुल्लयोन', 'राजा ओहदाकोटा', 'अटोक बाल', 'एक प्रकार का वृक्ष', 'प्रिंस होताह', 'ओरेन', 'लेडी वेनेनो', 'फ्लेएरो', 'मास्टर अशोक', 'कप्तान चैटन', 'नौरा', 'लोटसी', 'Baishan', 'इम्पेराटा लैकोमा', 'ट्रिब्यून लुटिएंट', 'ट्रिब्यून अयामिस', 'रानी वाकोनी', 'अदामा सरदार', 'नोयोन अल्टार गतमा']","['Action/Adventure', 'Fantasy', 'Myth Arc', 'Swords & Sorcery', 'Magic', 'Dark Magic']","ओरेन नियति की संतान है। अँधेरी शक्तियाँ उसके स्थान की तलाश करती हैं, जबकि प्रकाश की शक्तियाँ उसकी रक्षा करती हैं। रोवन एक योद्धा है जिसने एक महत्वाकांक्षी नेता को हराने में मदद की; अब, उसे अपने परिवार को बचाने के लिए घर भागना होगा। किट्टीसेक खान और सुल्तान ग्रेओगी युद्ध की तैयारी करते हुए क्रांति को दबाने की कोशिश करते हैं। थिया और फ्लेएरो मालुम पर प्रभाव के लिए बोली लगाएंगे।",हिन्दी,"83,344",28/28,,1,,24
53427313,खुदसे खुदकी लड़ाई,akshar_word,['Original Work'],Not Rated,Choose Not To Use Archive Warnings,Gen,Complete Work,31 Jan 2024,[],['Original Female Character(s)'],"['hopes', 'Dreams', 'Dreams vs. Reality', 'Poetry', 'Community: poetry_fiction', 'Sad', 'Ambition', 'Blessings', 'Homesickness', 'New Author', 'Parental Care', 'Self Confidence Issues', 'Self-Esteem Issues', 'Self-Reflection', 'Self Expression', 'Home', 'Love']","इस आत्म-संघर्ष के प्रशंसायुक्त चित्रण में, लेखिका विकास, परिवर्तन, और हमारे जीवन के विकास में किए जाने वाले गहरे चयनों पर विचार कर रही है। In the eloquent portrayal of this self-conflict, the writer is reflecting on the universal theme of growth, change, and the profound choices we make in the evolution of our lives.",हिन्दी,240,1/1,,3,,11
50702788,मेलोने का वैवाहिक प्रोफ़ाइल,Dolly_DagGUH,"[""ジョジョの奇妙な冒険 | JoJo no Kimyou na Bouken | JoJo's Bizarre Adventure""]",General Audiences,No Archive Warnings Apply,Gen,Complete Work,09 Oct 2023,[],['Melone (JoJo)'],"['hindi', 'Crack', 'matrimonial profile making', 'shayiri', 'Bad shayiri', 'Emo Melone', 'He becomes emo when Prosciutto and pesci die', 'I was so sleepy when i wrote this and my hindi is pretty bad', 'Dont correct my hindi', 'i dont think anyone is going to read this', 'this isnt even funny', 'i just really wanted to write something in hindi', 'This is trash', 'dont waste your time']",,हिन्दी,142,1/1,13,7,,62
49078717,ishq saccha wahin jisko milti nahin manzilein,kitchencabinets,['Avatar: The Last Airbender'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,03 Aug 2023,['Aang/Zuko (Avatar)'],"['Aang (Avatar)', 'Zuko (Avatar)']","['Angst', 'So much angst', 'Hurt No Comfort', 'Forced Marriage', 'Heartbreak', 'letting go', 'Sad', 'Gay', 'sad and gay', 'Sad Ending', 'Aang Needs a Hug (Avatar)', 'Zuko (Avatar) Needs a Hug', 'aang is mad at zuko', 'Zuko Loves Aang (Avatar)', 'aang (probably) loves zuko', 'Homophobic Language', 'though its just one word', ""no beta we die like aang's love for zuko"", 'Ouch', 'Zukaang Week (Avatar)', 'Zukaang Week 2023 (Avatar)', 'Prompt : Uncontrolled', 'Angry Aang (Avatar)', 'Alternate Universe - Canon Divergence', 'POV Zuko (Avatar)', 'third person obviously']",Translation of the title : true is the love that can't reach destinations Zuko has to let go of Aang. But Aang can't know about the 'has to' part.,हिन्दी,203,1/1,3,6,,288
48000469,swayam va swaami,mindomme,['방탄소년단 | Bangtan Boys | BTS'],Explicit,Choose Not To Use Archive Warnings,M/M,Work in Progress,19 Jun 2023,['Jeon Jungkook/Park Jimin'],"['Park Jimin (BTS)', 'Jeon Jungkook']","['gaand maarne ke vibhinna tareeke', 'Top Park Jimin (BTS)', 'jungkook jimin ka priya shishu hai', 'Bottom Jeon Jungkook', 'pichhwade ke chhed ki appreciation', 'ji haan jimin jungkook ko pyaar se kukdukoo bulata hai', 'sambhog hi srishti ki sarvashresht gatividhi hai', 'brief piss play', 'dakshin me ghamasan yuddh', 'gujrati jimin', 'डाॅक्टर जिमिन: गांडों के स्वामी', 'Explicit Sexual Content', 'India', 'Creampie', 'Anal Fingering', 'Anal Sex']","jungkook jain ke laude me pichhle hafte se bhayankar khujli ho rahi thi. ek hafte ke liye to usne mardaangi dikhane ke khaatir kisiko nahi bataya. magar kuchh dino tak soch vichaarne ke baad, usne taya kiya ki use ek chikitsak se hi milna padega nahi to yeh duvidha ka ant hi nahi hoga. usne ek prasiddh gujarati chikitsak, jimin palan ke saath appointment book karva di. unke kamre me pravesh karne ke paschaat jo sab hone wala tha uska veh kabhi anuman nahi laga sakta tha.",हिन्दी,260,1/2,10,9,,276
43665259,Ascendant(hindi),Harsgentry,['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia'],Mature,Graphic Depictions Of Violence,M/M,Work in Progress,17 Dec 2022,[],[],[],"इज़ुकू ने एक गहरी साँस ली और सभी दौड़ने लगे। उसने अपना दिमाग साफ करने के लिए एक सेकंड लिया, और अपने पसंदीदा quirks पर ध्यान केंद्रित किया, जिसे उसने पास रखा।     रफ़्तार। शांत हो जाओ। ताकत। कूदना। सहनशीलता। प्रतिरोध। जड़ता। और उनका पसंदीदा, वायु दाब।   वह प्रवेश द्वार की ओर लपका।   इज़ुकू हीरो बनना चाहता है।   अब यहाँ एक TVTropes पेज है।   फ़िक वर्तमान में अंतराल में है।",हिन्दी,640,1/41,,2,,72
43402897,Mistakes aren't really that big of a deal.,Luminous_Phantom,"['Batman - All Media Types', 'Danny Phantom']",General Audiences,No Archive Warnings Apply,"F/F, F/M, M/M, Multi, Other",Complete Work,04 Dec 2022,['oc&dc&dp'],"['Luminous', 'Danny Fenton', 'Justice League (DCU)', 'OOC - Character']",['Mistakes are not a big deal.'],"It is a high-risk action, but that is the beginning of the journey, but it seems to have to face something. There are heroes and villains in this world, and what I'm fighting here is... the full experience.",हिन्दी,"1,118",2/2,3,4,2,418
42828006,На крыше мира [FANVID],Fausthaus,['Crows Zero (Movies)'],Mature,Graphic Depictions Of Violence,M/M,Complete Work,03 Nov 2022,['Izaki Shun/Takiya Genji'],"['Izaki Shun', 'Takiya Genji']","['Drama', 'Romance', 'Fanvids', 'Yanki']",Клип-иллюстрация к фику «Обратный отсчет»,हिन्दी,0,1/1,,2,,58
42651669,रौशनी,SamSparks,"[""Men's Hockey RPF""]",General Audiences,No Archive Warnings Apply,Gen,Complete Work,26 Oct 2022,[],['Connor McDavid'],"['References to Depression', 'Light Angst', 'Hopeful Ending', 'Song: Roobaroo (A.R. Rahman', 'Naresh Iyer)', 'Character Study']","कॉनर, उसका अवसाद और उसके विचार। साथ ही - एक गिलास।",हिन्दी,490,1/1,2,4,,76
40750371,बिल्ली गिर रही है,fandom Nastoyashee Sveklo 2022 (Nastoyashee_Sveklo),['Falling Cat (1894)'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,02 Aug 2022,[],['Cat - Character'],"[""Don't copy to another site"", 'Fandom Kombat 2022']",,हिन्दी,9,1/1,,5,,54
40714977,Untamed soulmates hindi,Indianblnerd,"['Harry Potter - J. K. Rowling', '魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù']",General Audiences,Choose Not To Use Archive Warnings,M/M,Work in Progress,01 Aug 2022,"['Jiang Cheng | Jiang Wanyin/Harry Potter', 'Lan Zhan | Lan Wangji/Wei Ying | Wei Wuxian']","['Harry Potter Characters', 'Harry Potter', 'Ginny Weasley', 'Ron Weasley', 'Hermione Granger', 'Jiang Cheng | Jiang Wanyin', 'Weasley Family (Harry Potter)']","['Love Confessions', 'Marriage', 'Mpreg']",Hindi version,हिन्दी,291,1/?,,6,,262
39574161,лиза ввлило,alicenotinvited,['방탄소년단 | Bangtan Boys | BTS'],General Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,11 Jun 2022,[],[],[],,हिन्दी,8,1/1,4,4,,182
