work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55057693,Učini srce moje po srcu svome,Kofeinwrites,['文豪ストレイドッグス | Bungou Stray Dogs'],Not Rated,No Archive Warnings Apply,"Gen, M/M",Work in Progress,09 Apr 2024,"['Fyodor Dostoyevsky/Nikolai Gogol (Bungou Stray Dogs)', 'Fyodor Dostoyevsky & Nikolai Gogol (Bungou Stray Dogs)']","['Fyodor Dostoyevsky (Bungou Stray Dogs)', 'Nikolai Gogol (Bungou Stray Dogs)', 'Sigma (Bungou Stray Dogs)', 'Fukuchi Ouchi (Bungou Stray Dogs)']","['Gay', 'Religious Content', 'Sigma is the emotional support', 'Cuddling & Snuggling', 'Kissing', 'Alcohol', 'Manipulation', 'Angst', 'Mentioned Dazai Osamu (Bungou Stray Dogs)', 'The Sky Casino (Bungou Stray Dogs)', 'idk how to tag', 'Fyodor Dostoyevsky is a Little Shit (Bungou Stray Dogs)', 'Emotional Nikolai Gogol(Bungou Stray Dogs)']","AU u kojem se svi vrate iz Mersaulta sretno,a DOA ne uspije izvršiti svoj završni plan. Sve se čini pomalo idilično,ali Fyodor u Nikolaievim očima nikad neće biti čovjek koji je nekoć bio.",Hrvatski,"3,328",3/?,,2,,25
54891229,Sladoled,vutrica,['Fairy蘭丸~あなたの心お助けします~ | Fairy Ranmaru: Anata no Kokoro Otasuke Shimasu (Anime)'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,01 Apr 2024,['Hoterase Homura/Seiren Uruu'],"['Hoterase Homura', 'Seiren Uruu']",['Short One Shot'],"""Provaciraš me"", odvratio mu je Homura. ""Ja? Nikada."" Uruu mu je namignuo.",Hrvatski,148,1/1,,2,,5
54803905,Euforija,sky_cas1no_regular,['文豪ストレイドッグス | Bungou Stray Dogs'],General Audiences,No Archive Warnings Apply,"M/M, Other",Complete Work,29 Mar 2024,"['Dazai Osamu/Nakahara Chuuya (Bungou Stray Dogs)', 'Fyodor Dostoyevsky/Nikolai Gogol (Bungou Stray Dogs)', 'Dazai Osamu/Fyodor Dostoyevsky (Bungou Stray Dogs)', 'Dazai Osamu/Sigma (Bungou Stray Dogs)', 'Nikolai Gogol & Sigma (Bungou Stray Dogs)']","['Nakahara Chuuya (Bungou Stray Dogs)', 'Dazai Osamu (Bungou Stray Dogs)', 'Fyodor Dostoyevsky (Bungou Stray Dogs)', 'Nikolai Gogol (Bungou Stray Dogs)', 'Sigma (Bungou Stray Dogs)']","['Balkan - Freeform', 'Clubbing', 'Alcohol', 'Smoking', 'Cigarettes', 'Soukoku | Double Black (Bungou Stray Dogs)', 'Fyodor Dostoyevsky Being an Asshole (Bungou Stray Dogs)', 'Hurt Sigma (Bungou Stray Dogs)', 'Hurt No Comfort', 'Angst', 'Love', 'Gay', 'Everyone Is Gay', 'Caring Nakahara Chuuya (Bungou Stray Dogs)', 'Mentioned Akutagawa Ryuunosuke (Bungou Stray Dogs)', 'Dancing', 'Sigma-centric (Bungou Stray Dogs)', 'Character Death', 'Fire', 'Unhappy Ending', 'Short One Shot']","U klubu, gdje se našao Double Black, i gdje plešu bez ikakvih briga; iz koga Nikolai istrčava da uhvati Fyodora i napokon ga dobije za sebe; i gdje Sigma tješi svoje patnje uz alkohol i Dazajeve najdraže cigarete, nadajući se da će ga Dazai napokon primijetiti. U klubu, gdje život počinje – tamo će i završiti. Pisano na pjesmu Euforija - Buč Kesidi!",Hrvatski,"1,064",1/1,11,17,,154
54789844,Brate Moj (My Brother)—Prije uvoda pjesme,Elenaire_the_unprofessional,"['Thompson (Croatia Band)', 'Marko Perkovič Thompson (Musician)']",Teen And Up Audiences,Choose Not To Use Archive Warnings,M/M,Complete Work,28 Mar 2024,['Marko Perković/Miroslav Škoro'],"['Miroslav Škoro', 'Marko Perković–Thompson']","['Bromance', 'Music']",,Hrvatski,409,1/1,,,,1
53753362,Mrak u svjetlu,Cort90,"['Thompson (Croatia Band)', 'Danijela Martinović', 'DANSON - Fandom']",Teen And Up Audiences,Choose Not To Use Archive Warnings,F/M,Complete Work,13 Feb 2024,['Marko Perković Thompson/Danijela Martinović'],"['Danijela Martinović - Character', 'Marko Perković']","['Insanity', 'Feelings Realization', 'Infidelity', 'Guilt', 'Alcohol Abuse/Alcoholism', 'Angst', 'Depression', 'Secret Past', 'Secret Relationship', 'Separation Anxiety', 'Alternate Universe', 'Married Life', 'Divorce', 'Recreational Drug Use', 'Real Life', 'Fantasy', 'Alternate Universe - Urban Fantasy', 'Post-Traumatic Stress Disorder - PTSD']","Neka druga dimenzija. Fake situacija, inspirirana stihovima DM. No hate",Hrvatski,304,1/1,,,,21
53638210,razredni spoj,Chipotitties,['SPUD - Fandom'],Explicit,No Archive Warnings Apply,F/F,Complete Work,09 Feb 2024,['Bozena/Matija'],"['Matija', 'Bozena', 'Ema(mentioned)']","['Anal Sex', 'Butt Plugs', 'Making Out', 'Classroom Sex', 'Explicit Sexual Content', 'Sex', 'Rough Kissing']",Bozena i Matija postanu freaky u poppdnevnoj smijeni. mwahahaha😈😈😈,Hrvatski,295,1/1,,1,,28
53637766,Valentine special spud ship,Chipotitties,['SPUD - Fandom'],General Audiences,Choose Not To Use Archive Warnings,Other,Complete Work,09 Feb 2024,"['Ornela/Zara', 'Zara/Maksimir']","['Zara(spud)', 'Ornela(spud)']","['Unrequited Love', 'One-Sided Attraction', 'Zara mrzi ornelu', 'ali ne bas', 'upomoc', 'neznam sto radim']","Zara i Ornela bile su prijateljice od pocetka skolske godine. Znaci 5 mjeseci. Iako nije dugo, Orneli je bilo dovoljno da se zaljubi. Ali kako da joj kaze?!?!??!?!!??!?!?! Zara je naj hot naj pooularnija i naj big booty latina zenska u cijeloj zgradi,a Ornela je... samo.....osoba(?).",Hrvatski,341,1/1,,,,8
52988953,Petrolejska lampica,Nostromo7,"['鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime)', '鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Manga)']",Teen And Up Audiences,No Archive Warnings Apply,F/M,Complete Work,12 Jan 2024,['Akaza | Hakuji (Kimetsu no Yaiba)/Reader'],['Akaza | Hakuji (Kimetsu no Yaiba)'],"['Not Beta Read', 'Fluff']","Tako su stajali trenutcima, gledajući si duboko u oči, oboje naizgled pokušavajući iskopati namjere drugoga. Tišinu je prekinuo njen blagi i dobroćudni glas. ""Tvoja ljepota je zarobila moju dušu u ovom trenutku.""",Hrvatski,"1,911",1/1,,2,,13
52932367,"Afera ""Haustor""",goranjandrokovicfan,['Politics - Fandom'],Explicit,Choose Not To Use Archive Warnings,M/M,Complete Work,09 Jan 2024,['Zoran Milanovic/Andrej Plenkovic'],"['Goran Jandroković', 'Kolinda Grabar-Kitarovic', 'Zoran Milanovic', 'Andrej Plenković']",[],"Zoki i Plenki, moćnici hrvatske politike, istražuju svoja tijela, ulaze u koaliciju i imaju predivno seksualno iskustvo koje nikad neće zaboraviti.",Hrvatski,787,1/1,1,5,,77
52665064,Парень на Новый год,Ahuennii_kryassan,['Импровизаторы | The Improvisators (TV 2016) RPF'],Explicit,No Archive Warnings Apply,M/M,Complete Work,30 Dec 2023,['Arseny Popov/Anton Shastun'],"['Anton Shastun', 'Arseny Popov']","['Drama', 'obscene language', 'Happy Ending', 'Blow Job', 'Hand Stimulation', 'A world without homophobia', 'New Year', 'from strangers to lovers', 'Declarations Of Love', 'Elements of the puff']","Прилетая на праздники в родной город, все торопятся домой к семье, но Арсений не все, поэтому он решает провести, как можно больше времени в аэропорту. И случайно за это время находит себе парня, хотя скорее, жениха.",Hrvatski,"10,206",1/1,,15,2,177
