work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55000240,something bad,greatfuldead,['Formula 1 RPF'],Mature,Choose Not To Use Archive Warnings,M/M,Complete Work,06 Apr 2024,"['Daniel Ricciardo/Max Verstappen', 'Carlos Sainz Jr/Max Verstappen']","['Daniel Ricciardo', 'Max Verstappen', 'Carlos Sainz Jr']","['Threesome - M/M/M', 'Fanart']",I’m sorry for this but 18 year old max may need it,հայերեն,0,1/1,,15,,"1,163"
54906154,Multi global response,fatmhasl,"['Shingeki no Kyojin | Attack on Titan', '呪術廻戦 | Jujutsu Kaisen (Anime)', 'Beelzebub (Anime & Manga)', '約束のネバーランド | Yakusoku no Neverland | The Promised Neverland (Anime)', '鬼滅の刃 | Demon Slayer: Kimetsu no Yaiba (Anime)', '東京卍リベンジャーズ | Tokyo Revengers (Anime)', '时光代理人 | Link Click (Cartoon)', '哪吒之魔童降世 | Né Zhā Zhī Mó Tóng Jiàng Shì (2019)', ""この素晴らしい世界に祝福を! | KonoSuba: God's Blessing on this Wonderful World! - All Media Types"", '신의 탑 | Tower of God', 'Naruto (Anime & Manga)', '山田くんと７人の魔女 | Yamada-kun to 7-nin no Majo', 'Haikyuu!!', 'SK8 the Infinity (Anime)', 'ヴァ二タスの手記 - 望月淳 | Vanitas no Carte | The Case Study of Vanitas - Mochizuki Jun (Manga)', '炎炎ノ消防隊 | Enen no Shouboutai | Fire Force (Anime)', 'ノラガミ | Noragami (Anime & Manga)', '繰繰れ! コックリさん | Gugure! Kokkuri-san (Anime)', '転生したらスライムだった件 - 伏瀬 | Tensei Shitara Slime Datta Ken | That Time I Got Reincarnated as a Slime - Fuse', 'SPY x FAMILY (Anime)', 'Servamp (Anime & Manga)', 'Soul Eater (Anime & Manga)', '斉木楠雄のΨ難 | Saiki Kusuo no Sai-nan | The Disastrous Life of Saiki K.', 'モブサイコ100 | Mob Psycho 100', 'ワンパンマン | One-Punch Man', '文豪ストレイドッグス | Bungou Stray Dogs', 'Buddy Daddies (Anime)', 'Akame ga Kill! (Anime & Manga)']",General Audiences,Choose Not To Use Archive Warnings,Gen,Work in Progress,02 Apr 2024,[],[],"['Sad', 'Everyone Needs A Hug', 'Horror', 'Fighting Kink', 'Hate to Love', 'Multiple Crossovers']",نمایشی از واکنش های شخصیت های انیمه به آینده خود و انیمه تای دیگر این می توان بسیار جالب و غم انگیز باشد,հայերեն,287,1/?,,1,,30
54905170,Times have changed,Cheesezhonglou,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,No Archive Warnings Apply,F/M,Complete Work,02 Apr 2024,[],"['Barty Crouch Jr', 'Original Female Characters']",[],"If Barty Crouch Jr. were asked to find a word to describe Tish, he would be out of his mind. You'd be hard-pressed to find someone so ignorant among Muggles that she despised magic, potions, even wizards? A Muggle. How dare she despise a wizard? He knew from the first moment he met this stupid woman that he had to pay a price. Crucio or Avada Kedavel, that's up for debate. Still, he was shocked to see that the Muggle woman had survived all the magical attacks. You -- if you grew up in the wizarding world, you'd be shocked by this. She dodged an Arvada, used a shotgun before a crucio could be fired? Blew each other's brains out. Brains splattered, she dragged the wizard's body into the pigpen. She did this as naturally as if she had butchered an animal, and the sorcerer had not even had time to cry out for help before he was struck by the metal. ""I said, don't be afraid of those middle-aged men with small sticks, men are like that until they die, pretending to be dead.""",հայերեն,7,1/1,,,,6
54107368,等我回来,Freedomer,['Severus Snape - Fandom'],Not Rated,Choose Not To Use Archive Warnings,No category,Complete Work,27 Feb 2024,['女攻 - Relationship'],['伊莱娅·弗莱梅蒂 西弗勒斯·斯内普'],['Severus Snape Lives'],,հայերեն,"4,616",1/1,,,,21
54086854,Heart,polarstar0206,['Detroit: Become Human (Video Game)'],Teen And Up Audiences,Choose Not To Use Archive Warnings,"F/M, Multi, Other",Work in Progress,26 Feb 2024,['Connor (Detroit: Become Human)/Reader'],"['Connor (Detroit: Become Human)', 'RK800 ""Connor"" Android(s) (Detroit: Become Human)', 'North (Detroit: Become Human)', 'Josh (Detroit: Become Human)', 'Kara (Detroit: Become Human)', 'Chris Miller (Detroit: Become Human)', 'Markus (Detroit: Become Human)', 'Sumo (Detroit: Become Human)', 'Amanda (Detroit: Become Human)', 'rA9 (Detroit: Become Human)', 'You', 'Original Characters']","['Robot/Human Relationships', 'Action/Adventure', 'Action & Romance', 'Crime Scenes', 'Psychologists & Psychiatrists', 'Psychology', 'Explicit Sexual Content']","Maybe that overtime job was a mistake，But you don’t regret meeting him, the city of Detroit has buried too many secrets,Sometimes, you can’t even see yourself clearly,Obviously I am a psychiatrist, but he is the one who cured you in the end, but he is a guy with blue blood.For ra9. For free.",հայերեն,"23,453",6/?,,,,72
53637190,When your child gets up in the middle of the night to drink,elevennnnnn,['Harry Potter - J. K. Rowling'],Mature,Choose Not To Use Archive Warnings,F/F,Work in Progress,05 Mar 2024,['Hermione Granger/Bellatrix Black Lestrange'],"['Hermione Granger', 'Bellatrix Black Lestrange']","['Fanart', 'Meme']",,հայերեն,4,1/3,,62,3,982
52606924,fanart,mgwbg111,['Free Guy (2021)'],General Audiences,Choose Not To Use Archive Warnings,M/M,Complete Work,28 Dec 2023,"['Antwan/Walter ""Keys"" McKey']","['Antwan (Free Guy)', 'Walter ""Keys"" McKey']",['Fanart'],antwan/keys，My painting ＆ friend gave it to me.,հայերեն,12,1/1,,3,,152
50252860,When The Eyes Speak || Yoonkook,LinaAva,['방탄소년단 | Bangtan Boys | BTS'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,22 Sep 2023,['Jeon Jungkook & Min Yoongi | Suga'],"['Jeon Jungkook', 'Min Yoongi | Suga', 'Death (Character)']","['Jeon Jungkook is Bad at Feelings', 'Min Yoongi | Suga is Bad at Feelings']",Թե ինչպես է սկսվում երկու երիտասարդների սերը` երկնքում կերտված,հայերեն,"1,071",1/1,,,,58
48057439,Veldanava: Hong Kong's Dragon,orphan_account,['방탄소년단 | Bangtan Boys | BTS'],Mature,"Graphic Depictions Of Violence, Major Character Death, Rape/Non-Con, Underage","M/M, Multi",Work in Progress,22 Jun 2023,"['Jeon Jungkook/Kim Taehyung | V', 'Kim Namjoon | RM/Kim Seokjin | Jin', 'Jung Hoseok | J-Hope/Min Yoongi | Suga', 'Kim Namjoon | RM/Park Jimin']","['Jeon Jungkook', 'Kim Taehyung | V']","['Alpha/Omega', 'Alpha/Beta/Omega Dynamics', 'Alternate Universe - Criminals']","Այնտեղ, որտեղ ապրում էր նա՝ խարսխված յուրաքանչյուրի հոգեբանության մեջ իր դաժան գործելակերպով, դժոխք էր։ Այնտեղ, որտեղ բոլորի մղձավանջների միակ հրեշը մեկն էր, կյանքը չափազանց կարճ հասկացություն էր։ Հոնգ Կոնգը միայն մի վիշապ ունի, և դա Չոն Չոնգուկն է կամ...Վելդան։",հայերեն,1,1/?,,,,58
43982530,【名的元旦12h/22：00】一人被窝太冷，两个人最刚好！,typea29,['夏目友人帳'],Not Rated,Choose Not To Use Archive Warnings,No category,Complete Work,01 Jan 2023,[],[],[],,中文-普通话 國語,"4,001",1/1,,2,,109
