work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
54860809,The ocean is just a reminder,E_likes_the_sky,['The Legend of Zelda & Related Fandoms'],Not Rated,Choose Not To Use Archive Warnings,Other,Complete Work,31 Mar 2024,['Link/Marin (Legend of Zelda)'],"['Legend (Linked Universe)', 'Wind (Linked Universe)', 'Linked Universe Links | The Chain']","['Legend (Linked Universe)-centric', 'Mentioned Koholint Island (Legend of Zelda)', 'Angst and Hurt/Comfort', 'Dissociation', 'Legend (Linked Universe) Needs a Hug', 'Good Sibling Wind (Linked Universe)', 'mentions of - Freeform', 'Panic Attacks', 'Near Death Experiences', 'My First AO3 Post', 'LU5thGiftX', 'How Do I Tag', 'Legend (Linked Universe) Has a Bad Time']",The chain arrives at Wind Hyrule and legend has a bad time,Interlingua,"1,460",1/1,1,22,1,122
52836586,He doesn't like ketch up (and she doesn't like french fries),OliviaStone,['The Office (US)'],Teen And Up Audiences,No Archive Warnings Apply,F/M,Complete Work,05 Jan 2024,"['Pam Beesly/Ryan Howard', 'Ryan Howard/Kelly Kapoor', 'Pam Beesly/Original Male Character(s)']","['Pam Beesly', 'Ryan Howard', 'Kelly Kapoor', 'Original Male Character(s)']","['Double Dating', 'Bad dates', 'Bad Puns', 'Happy Ending', 'Friendship/Love']","so, on a double date, their respective dates are horrible. they look across the table and realize their dates are horrible. then it just hit, why not just make the other two leave and date each other?",Interlingua,"1,368",1/1,2,3,,154
52592149,Poemas (Poems),Tutchando,"['Folclore Brasileiro - Fandom', 'Brazillian folklore']",General Audiences,No Archive Warnings Apply,Gen,Work in Progress,14 Mar 2024,[],[],"['poema', 'poem']",Poemas sobre as lendas do meu país. Poems about the legends of my country.,Interlingua,519,2/?,6,3,,28
52178563,General Bsd yapping,fzycdor,['文豪ストレイドッグス | Bungou Stray Dogs'],Teen And Up Audiences,Choose Not To Use Archive Warnings,Gen,Complete Work,11 Dec 2023,[],"['Dazai Osamu (Bungou Stray Dogs)', 'Nakahara Chuuya (Bungou Stray Dogs)', 'Mori Ougai (Bungou Stray Dogs)', 'Sigma (Bungou Stray Dogs)', 'Fyodor Dostoyevsky (Bungou Stray Dogs)']","['I Was Drunk When I Wrote This', ""I Wrote This While Listening to Cigarettes After Sex's Music"", 'The Author Regrets Nothing', 'Implied Sexual Content', 'How Do I Tag', ""I Don't Even Know"", 'Trans Male Character', 'Trans Sigma (Bungou Stray Dogs)']",just me writing about bsd,Interlingua,95,1/1,,2,,37
51619669,alexithymia,xarialva,['原神 | Genshin Impact (Video Game)'],Not Rated,Choose Not To Use Archive Warnings,"F/F, F/M, Gen, M/M, Multi",Work in Progress,15 Nov 2023,[],"['Scaramouche (Genshin Impact)', 'Kaeya (Genshin Impact)', 'Xiao | Alatus (Genshin Impact)', 'Ningguang (Genshin Impact)', 'Beidou (Genshin Impact)', 'Alhaitham (Genshin Impact)', 'Diluc (Genshin Impact)', 'Kaedehara Kazuha', 'Yae Miko (Genshin Impact)', 'Raiden Ei | Baal', 'Shikanoin Heizou', 'Thoma (Genshin Impact)', 'Jean (Genshin Impact)']","['One Shot', 'Emotional Manipulation', 'Fluff and Angst', 'Angst', 'Fluff', 'Abuse', 'Bad Ending', 'Manipulation', 'Yandere', 'One Shot Collection', 'One-Sided Relationship', 'Forced Marriage', 'Alternate Universe']","A bunch of genshin impact one-shots. English is not my first language, so if you find any mistakes, please correct me, I'm happy to learn on my mistakes. It's also my fisrt time publishing my work on the internet! :3 You can also request characters or ships if you'd like! Hope you enjoy my one-shots. alexithymia - the inability to express your feelings.",Interlingua,"1,977",1/?,1,4,,83
50762779,under the veil of night,foxtrot_whiskey,"['Star Trek: Alternate Original Series (Movies)', 'Star Trek: Strange New Worlds (TV)', 'Star Trek', 'Star Trek Online']",Not Rated,Choose Not To Use Archive Warnings,M/M,Work in Progress,22 Dec 2023,"['Jonathan Archer/Christopher Pike', 'Philip Boyce & Christopher Pike']","['Jonathan Archer', 'Christopher Pike', 'Philip Boyce']","['Hurt Christopher Pike', 'Hurt/Comfort', 'Angst']","Jon & Chris: Chris likes to keep in trouble and Jon is just there for him. just an excuse to write whump, Chris",Interlingua,"5,026",4/?,1,6,,164
47691751,Symphonia Aquilegiae vulgaris,XyzZzzz,['宝石商リチャード氏の謎鑑定 | Housekishou Richard-shi no Nazo Kantei | The Case Files of Jeweler Richard (Anime)'],Not Rated,"Choose Not To Use Archive Warnings, No Archive Warnings Apply","M/M, Other",Work in Progress,07 Jun 2023,"['Richard Ranashinha de Vulpian/Nakata Seigi', 'Jeffrey Claremont/Joachim', 'Henry Claremont/Shimomura Haruyoshi']","['Richard Ranashinha de Vulpian', 'Nakata Seigi', 'Jeffrey Claremont', 'Henry Claremont', 'Shimomura Haruyoshi', 'Joachim (Housekishou Richard-shi no Nazo Kantei)', 'Catherine de Vulpian']","['Alternate Universe - Orchestra', 'Orchestra', 'Classical Music', 'Violins', 'Operas', 'Flowers', 'Language of Flowers']","Il y'a un joueur de violon renommé, quelque part, fondu dans la foule de musiciens d'un célèbre orchestre qui accompagne un opéra, et un jeune homme venu de loin qui l'observe attentivement avec admiration.",Interlingua,"1,214",1/?,,7,,76
45636187,Surprise at midnight (una sorpresa a mezzanotte),Trovi03,"['Notre-Dame de Paris | The Hunchback of Notre-Dame - Victor Hugo', 'The Hunchback of Notre Dame - Menken/Schwartz/Parnell', 'The Hunchback of Notre Dame (Disney Animated Movies)']",Not Rated,Choose Not To Use Archive Warnings,F/M,Complete Work,10 Mar 2023,"['Esmeralda/Claude Frollo (Disney)', 'Esméralda | Agnès Guybertaut/Claude Frollo']","['Claude Frollo (Notre-Dame de Paris)', 'Claude Frollo (Disney)', 'Esmeralda (Disney)', 'Esméralda | Agnès Guybertaut']","['Love', 'Love Confessions', 'Enemies to Lovers', 'Confessions', 'Birthday', 'Birthday Fluff', 'Kissing at Midnight', 'Romantic Fluff', 'Domestic Fluff', 'Surprises', 'Happy Ending', 'Happy']","La storia di come Esmeralda fece a Frollo una sorpresa per il suo compleanno. The story of how Esmeralda gave Frollo a birthday surprise. Notes: this story is in both English and Italian. You can find the first chapter in Italian, while the second one is the English translation.",Interlingua,"3,278",2/2,5,8,,343
44399335,Duas Mães mudam tudo,KG107B48,"['The Worst Witch (TV 2017)', 'The Worst Witch - All Media Types']",General Audiences,No Archive Warnings Apply,Multi,Complete Work,04 Feb 2023,"['Hardbroom & Mildred Hubble', 'Julie Hubble & Mildred Hubble', 'Mildred Hubble/Maud', 'Mildred Hubble & Enid Nightshade', 'Amelia Cackle | Ada Cackle & Mildred Hubble', 'Ethel Hallow & Mildred Hubble']","['Mildred Hubble', 'Julie Hubble', 'Anne Harwthorne', 'hecate hardbrom', 'Amelia Cackle | Ada Cackle', 'Maud (Worst Witch)', 'Enid Nightshade']",[],,Interlingua,"2,727",3/3,4,6,,186
44246257,Avareza,KG107B48,"['The Worst Witch (TV 2017)', 'The Worst Witch (TV 1998)']",General Audiences,No Archive Warnings Apply,Multi,Work in Progress,04 Feb 2023,"['Julie Hubble & Mildred Hubble', 'Hardbroom & Mildred Hubble', 'Ethel Hallow/Mildred Hubble', 'Mildred Hubble & Indigo Moon', 'Amelia Cackle | Ada Cackle & Mildred Hubble', 'Mildred Hubble/Enid Nightshade']","['Mildred Hubble', 'Julie Hubble', 'Hecate Hardbroom', 'Amelia Cackle | Ada Cackle', 'Indigo Moon', 'Enid Nightshade', 'Maud Spellbody', 'Sofia Borbon']",[],"Quando Mildred Hubble conheceu o mundo mágico aos 11 anos nunca conseguiu conheceu seu verdadeiro potencial. Ela foi humilhada, esculachada e culpada por desde sua família não ter magia, até o fato de simplesmente existir. E isso não mudou, mesmo quando crescida o mundo e o destino deixou claro que sua vida não valia nada e nunca teve uma verdadeira chance de desejar qualquer coisa, fazer algo por si própria. E se isso mudasse? E se, em sua morte, ela tivesse uma escolha?",Interlingua,"7,665",3/20,,7,,182
42976992,Sacrifice,Yumiipon,['InuYasha - A Feudal Fairy Tale'],General Audiences,No Archive Warnings Apply,F/M,Complete Work,10 Nov 2022,"['Miroku/Sango (InuYasha)', 'Miroku & Sango (InuYasha)']","['Miroku (InuYasha)', 'Sango (InuYasha)']","['MirSan', 'Fanart', 'Art']",,Interlingua,0,1/1,,4,,113
42890769,Rivalry,Yumiipon,['InuYasha - A Feudal Fairy Tale'],General Audiences,No Archive Warnings Apply,F/M,Complete Work,06 Nov 2022,['Miroku/Sango (InuYasha)'],"['Miroku (InuYasha)', 'Sango (InuYasha)']",['Fanart'],,Interlingua,0,1/1,,3,,75
42890343,Promises,Yumiipon,['InuYasha - A Feudal Fairy Tale'],General Audiences,No Archive Warnings Apply,F/M,Complete Work,06 Nov 2022,['Miroku/Sango (InuYasha)'],"['Miroku (InuYasha)', 'Sango (InuYasha)']",['Fanart'],,Interlingua,0,1/1,,6,,75
42600654,unearthed feelings,friky03,['キミガシネ | Kimi ga Shine | Your Turn To Die (Visual Novel)'],Not Rated,Choose Not To Use Archive Warnings,No category,Complete Work,24 Oct 2022,"['keisara - Relationship', 'Chidouin Sara/Shinogi Keiji']","['Chidouin Sara', 'Shinogi Keiji']","['Smut', 'Vaginal Sex', 'Kiss Kiss Fall in Love', 'Porn with Feelings']","Since she won the game of death, Sara always kept everything under control, but there was something she couldn't control, something that had to do with the blond every time he stayed with her.",Interlingua,"2,793",1/1,,6,,732
42213045,in vino veritas,idiosyncratic_starcluster,['Hetalia: Axis Powers'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,07 Oct 2022,"['England/Spain (Hetalia)', 'Minor or Background Relationship(s)']","['Spain (Hetalia)', 'England (Hetalia)']","['Mentioned France (Hetalia)', 'Mentioned Netherlands (Hetalia)', 'Mentioned Prussia (Hetalia)', 'Mentioned Denmark (Hetalia)', 'Mentioned America (Hetalia)', 'Mentioned UK brothers + Ireland (Hetalia)', '( some of them are just mentioned. others appear briefly )', 'Drunkenness', 'Drunken Confessions', 'England Needs a Hug (Hetalia)', 'Spain provides', 'Mild Hurt/Comfort', ""( because there is mild angst. it's mostly feels though )"", 'Multilingual Character', 'Historical References', '( ma appena appena. )']","⇒ ﹟writober2022: ‘drunk enough to say i love you?’ Inghilterra è notoriamente un ubriaco molesto: non perché diventi violento, bensì perché tende a strepitare a voce alta, imprecare come un pirata ai suoi tempi d'oro, e nel peggiore dei casi cerca di spogliarsi e salire sui tavoli.",Interlingua,"1,360",1/1,,6,,105
41709546,The Sun and the Moon,BiaaaXD,['Original Work'],General Audiences,Choose Not To Use Archive Warnings,Gen,Complete Work,14 Sep 2022,[],[],[],,Interlingua,914,1/1,,,,25
35906512,Inominavel,Himejossangel,['Six of Crows Series - Leigh Bardugo'],Mature,No Archive Warnings Apply,Other,Complete Work,09 Jan 2022,['Kaz Brekker/Inej Ghafa'],[],"['Unplanned Pregnancy', 'How Do I Tag', ""i don't know how it works"", 'without betas we die like women', 'Panic Attacks']",Everyone knew that girls belonging to brothels were sterilized. Right?,Interlingua,"4,556",4/4,8,76,5,"3,246"
35556409,Previous Battles,Cuddlyanimal (orphan_account),['Bishoujo Senshi Sailor Moon | Pretty Guardian Sailor Moon (Anime & Manga)'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,07 Dec 2021,[],"['Queen Badiane', 'Kunzite (Sailor Moon)', 'Jadeite (Sailor Moon)']",['Sailor Moon SuperS Movie'],Sailor Moon SuperS Movie. Sailor Mars scowled as she battled Queen Badiane.,Interlingua,174,1/1,,,,29
33752473,IMMORAL,silmara93,"['Star Wars Sequel Trilogy', 'Star Wars - All Media Types']",Explicit,"Graphic Depictions Of Violence, Rape/Non-Con",F/M,Work in Progress,08 Sep 2021,"['Rey/Ben Solo | Kylo Ren', 'Poe Dameron/Rey']","['Rey (Star Wars)', 'Ben Solo | Kylo Ren', 'Poe Dameron', 'Leia Organa', 'Han Solo']","['Russian Mafia', 'Italian Mafia', 'Reylo - Freeform']",,Interlingua,"1,009",2/?,1,9,2,353
33489301,MALA SUERTE,orphan_account,['On My Block (TV)'],Mature,Graphic Depictions Of Violence,F/M,Work in Progress,28 Aug 2021,"['Oscar ""Spooky"" Diaz/Original Female Character(s)']","['Oscar ""Spooky"" Diaz']","['Sex', 'Drama & Romance', 'Ex Sex', 'First Love']","-It's not that Julia hated Freeridge, much less the memories that came like a fucking punch in the stomach that left her breathless, when she walked through the streets where she grew up, she played and loved... What she really hated was, still, without a shadow of a doubt! It's knowing that even after years, four, to be exact, she was still completely in love with Oscar Diaz. Her first boyfriend, her first kiss and consequently her first love.",Interlingua,"4,418",3/?,,3,2,537
32850679,La mort des divinités ; la naissance d'un enfer,Xaleiya,['Supernatural'],General Audiences,"Graphic Depictions Of Violence, Major Character Death",Other,Complete Work,27 Jul 2021,[],[],['Fantastic'],"Dans la galaxie lointaine nommée Xaleïya, une planète mythique était autrefois, la terre sainte des divinités. Celles-ci veillaient sur le peuple Xaleïyiens, jusqu'au jour où un bain de sang se propagea....... Cette histoire raconte le passé d'un des personnages du jeu qui est en cours de création. Pour ne pas spoiler le jeu, il/elle ne sera ni décrit.e ni mentionné.e. Bonne lecture, et n'hésitez pas à commenter votre avis ! ;3 TW: Mentions de sang et de morts !",Interlingua,"8,364",11/11,,,,13
21648472,Always right,Heedoscourage,"['In the Heights - Miranda (Broadway Cast) RPF', 'In the Heights - Miranda/Hudes', 'Actor RPF', 'Real Person Fiction']",Not Rated,Choose Not To Use Archive Warnings,"F/M, Gen, Other",Complete Work,02 Dec 2019,"['Camila Rosario/Kevin Rosario', 'Benny/Nina Rosario']","['Camila Rosario', 'Kevin Rosario', 'Benny (In the Heights)', 'Nina Rosario']","['Marriage', 'Married Life', 'Married Couple', 'True Love', 'Soulmates', 'Friendship', 'Established Relationship', 'Developing Relationship', 'Love', 'Romance', 'Humor']",Camila defends Benny to her husband,Interlingua,179,1/1,1,7,1,196
