work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
53267629,"Grief, Over Something that Can't Be Changed. (ignore this)",IlAllenoire_VyredescentlI,['Original Work'],Not Rated,Major Character Death,Other,Complete Work,08 Aug 1987,['implied original character/original character'],[],"['Basically', 'everythibg here is incomprehensible because i havent posted jack shit sbout my goofy oc', 'i did t know hwo to stop ao3 from deletinf it', 'it was in my draft for ages and', 'i was so proud of this rven if it', 'isnt finished💔']","Our Noble, Lenneire Vyredescent; is grieving over their beloved knight's death, her last letter only made them worse. Though, her last letter was her last ever support dedicated to her beloved Earl, and a clear message for them to move on from her death. Lenne sobs more at this, taking in every details in the letter, and imagining what it could've been like for her to write this very letter in the battlefield where her life was about to be taken. After they figured it was enough sleepless nights of moping, they finally listened to their knight's words, and took her last batch of support to their use, as they were supposed to. Finally, Lenne plans their visit to the town Davnyle has told them to go, in order to take another step towards their goal, and one day, hopefully, achieve it. As this goal, was important for the future of The Vyruenile Kingdom",Basa Jawa,"1,478",1/1,1,2,,6
53055355,tes,zzxxchn,['entim'],Mature,Choose Not To Use Archive Warnings,M/M,Complete Work,15 Jan 2024,[],[],[],,Basa Jawa,12,1/1,,,,9
50393557,The Prince of Pickleball has a Harem?!?! Sugoi!,CeleryKing,['Tennis no Oujisama | Prince of Tennis'],Explicit,"Graphic Depictions Of Violence, Major Character Death","F/F, F/M, Gen, M/M, Multi, Other",Complete Work,04 Dec 2023,"['Happy Appy (Creepypasta)/Reader', 'Michelle Jones/Peter Parker', 'Max Bialystock/Leopold ""Leo"" Bloom']","['Happy Appy (Creepypasta)', 'Michelle Jones (Marvel)', 'Max Bialystock']","[""Quote: Stay sexy and don't get murdered! (My Favorite Murder)""]","Appy Lite and Maxy-poo have been competing for the title of ""pookie bear"" de la smoking hot Michelle-sempai-sama! Sugoi baka! They love playing tennis and eating Doritos Locos Tacos and sleeping for 18 hours a day! Uwaaa~ Join this motley crewuwu in their adventures in love, war, and more love! A ton of love! An overload! ;3",Basa Jawa,"3,266",12/12,,2,1,95
47261446,test,JooJASL,['Testing'],Not Rated,Choose Not To Use Archive Warnings,No category,Complete Work,03 Jun 2023,[],[],[],test,Basa Jawa,4,4/4,,1,1,24
41489619,Sijine Nut ing Nutmeg,orphan_account,['Hercules (1997)'],Mature,Rape/Non-Con,F/M,Complete Work,04 Sep 2022,['Hades/Megara (Disney: Hercules)'],"['Hades (Disney: Hercules)', 'Megara (Disney)']",['Impregnation'],"Hercules teka kanggo ngluwari Megara, nanging dheweke saiki wis setya karo wong anyar.",Basa Jawa,77,1/1,,2,,355
40279890,warning bells,orphan_account,['방탄소년단 | Bangtan Boys | BTS'],Not Rated,No Archive Warnings Apply,F/M,Complete Work,03 Feb 2022,['Jeon Jungkook/Kim Seokjin | Jin'],"['Jeon Jungkook', 'Kim Seokjin | Jin']",['Alternate Universe - Regency'],"Dheweke ora bakal omah-omah, ora bakal duwe anak, lan mung iku sing dikarepake saka urip. Dheweke bisa seneng karo dheweke; dheweke ora yakin dheweke bisa nolak dheweke. Nanging dheweke kudu ninggalake dheweke ora kena kanggo wong liya.",Basa Jawa,204,1/1,,,,19
40279851,curiosity killed the cat,orphan_account,['방탄소년단 | Bangtan Boys | BTS'],Not Rated,No Archive Warnings Apply,M/M,Complete Work,10 Feb 2022,['Jeon Jungkook/Kim Seokjin | Jin'],"['Jeon Jungkook', 'Kim Seokjin | Jin']",['Alternate Universe - Regency'],"""Katresnanmu?"" dheweke takon quietly. Nalika dheweke kedhip, dheweke mesem lan kandha, ""Sampeyan ngumpulake wol."" Dheweke condong sirahe graciously. ""Cukup mikir omonganmu.""",Basa Jawa,212,1/1,,,,15
40279800,lonely souls,orphan_account,['방탄소년단 | Bangtan Boys | BTS'],Not Rated,No Archive Warnings Apply,M/M,Complete Work,13 Feb 2022,['Jeon Jungkook/Kim Seokjin | Jin'],"['Jeon Jungkook', 'Kim Seokjin | Jin']",['Alternate Universe - Regency'],"""Sing istirahat?"" dheweke echoed bemusedly. Malah lagi twirled tengen lantai, dheweke katon saka sisih menyang sisih. ""Saka iki?"" ""Ora sabenere. Iki, sampeyan isih kudu kendel. Sing dakbayangake luwih saka resto saka ibumu.""",Basa Jawa,298,1/1,,,,7
39577767,Kuproy,12micropercent,"['NCT (Band)', 'Super Junior']",Explicit,Choose Not To Use Archive Warnings,M/M,Complete Work,11 Jun 2022,['Choi Siwon/Na Jaemin'],"['Choi Siwon', 'Na Jaemin', 'Ning Yizhuo | Ningning']","['Explicit Sexual Content', 'Consensual Sex', 'Porn With Plot', 'Intercrural Sex', 'Non-Penetrative Sex', 'Alternate Universe - Kehidupan Lokal', 'Murid SMA Na Jaemin', 'Kuli Proyek Choi Siwon', 'Ning Yizhuo | Ningning sebagai Mbak Ningsih']","Sing oleh ngerti kedadeyan sore iki, ya gur wong loro iku.",Basa Jawa,"2,716",1/1,2,20,1,"1,596"
34794184,Truth Untold,orphan_account,['방탄소년단 | Bangtan Boys | BTS'],Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,17 Dec 2019,"['Kim Seokjin | Jin/Min Yoongi | Suga', 'Jeon Jungkook/Kim Seokjin | Jin', 'Kim Seokjin | Jin/Kim Taehyung | V', 'Kim Seokjin | Jin/Kim Taehyung | V/Min Yoongi | Suga', 'Jeon Jungkook/Kim Seokjin | Jin/Min Yoongi | Suga', 'Jeon Jungkook/Kim Seokjin | Jin/Kim Taehyung | V']","['Kim Seokjin | Jin', 'Min Yoongi | Suga', 'Kim Taehyung | V', 'Jeon Jungkook', 'Park Jimin (BTS)']","['Mentioned Jung Hoseok | J-Hope', 'Mentioned Kim Namjoon | RM', 'Alpha/Beta/Omega Dynamics']","Mung sedhela, dheweke bisa pura-pura. Dheweke bisa pura-pura yen Kim Seokjin kabeh duweke. Amarga dheweke mung Kim Seokjin.",Basa Jawa,"1,003",1/1,1,2,,44
