work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
54548599,арандатушы би,Anonymous,"['呪術廻戦 | Jujutsu Kaisen (Manga)', '呪術廻戦 | Jujutsu Kaisen (Anime)']",General Audiences,Choose Not To Use Archive Warnings,F/M,Complete Work,01 Mar 2024,"['Gojo Satoru/Iori Utahime', 'Gojo Satoru & Iori Utahime']","['Gojo Satoru', 'Iori Utahime']",[],,qazaqşa | қазақша,229,1/1,,,,10
54196903,Bir Amal | fanvid,Veronica Hunt (Veronique_Hunt),"['Star Wars - All Media Types', 'Star Wars Original Trilogy']",General Audiences,No Archive Warnings Apply,F/M,Complete Work,02 Mar 2024,['Leia Organa/Han Solo'],"['Leia Organa', 'Han Solo', 'Luke Skywalker', 'Chewbacca (Star Wars)', 'Lando Calrissian', 'Obi-Wan Kenobi', 'Anakin Skywalker | Darth Vader']","['Fanvids', 'Science Fiction', 'Space Opera', 'Action/Adventure', 'Adventure & Romance', 'Action & Romance', 'Romance', 'Space Battles', 'Fights', 'Movie: Star Wars: A New Hope', 'Movie: Star Wars: The Empire Strikes Back', 'Movie: Star Wars: Return of the Jedi', 'Star Wars: Original Trilogy Era']",— I love you. — I know.,qazaqşa | қазақша,0,1/1,,3,,43
53081878,Сау болыңыз,Anonymous,['Shingeki no Kyojin | Attack on Titan'],Teen And Up Audiences,Choose Not To Use Archive Warnings,F/M,Complete Work,16 Jan 2024,['Mikasa Ackerman/Eren Yeager'],"['Eren Yeager', 'Mikasa Ackerman']",[],Ерен науқас Микасаға күтім жасайды.,qazaqşa | қазақша,546,1/1,,1,,22
52845979,бүгін кешке сенімен,Anonymous,['Shingeki no Kyojin | Attack on Titan'],Teen And Up Audiences,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",F/M,Complete Work,06 Jan 2024,['Mikasa Ackerman/Eren Yeager'],"['Eren Yeager', 'Mikasa Ackerman']",[],Микаса оларға көйлек сатып алған соң Эрен мен Микаса айлы далада қалады.,qazaqşa | қазақша,653,1/1,,1,,13
52598734,Директормен не істегеніңізді айтып қоямын!,BotiQF,['АЛЬФА | ALPHA (Kazakhstan Band)'],Not Rated,Choose Not To Use Archive Warnings,M/M,Work in Progress,13 Mar 2024,[],[],[],"— Өтінемін, Абу, өтінемін! Құлың болайын, бұл жерде емес! Абу, тоқташы… Жас практиканттың жейдесі денесінен жартылай түскен бойда, арық келген белшесіне көрініс ашылып, жігіт оның ыстық, дегенмен тегіс-арық келген ішін сипай бастағанда ананың денесі қытықтай тітіркеніп, өзі амалсыздан жылаған күшіктей ауыр қыңсылап жібереді. Оның “қазір біреу кірсе, біз ұсталып қалармыз” деген алаңы әбден зәресін ұшыруда. Директор практиканттың қолдарын босатты да, жұлысып, майысып, өзінен құтыла алмай қиналған, тіл алмайтын бұралаң белін қатаң бері тартысымен құлағына ауыр тыныс ете сыбырлай кетті: — Ал, ұнай ма? Ұнай ма деймін? Жақсы ма екен маған бағынған? Бері қара деймін!",qazaqşa | қазақша,"11,820",12/?,,1,,9
51002248,Бостандық ауданы,BotiQF,['АЛЬФА | ALPHA (Kazakhstan Band)'],Not Rated,Underage,M/M,Complete Work,21 Oct 2023,['Dark/Qozzy Darqoz'],['Альфаның барлық мүшелері'],[],Ауылда өскен он бес жасар Тлеужан уақытша Алматыға келеді. Бостандық — қаланың ең қауіпті ауданы деседі алматылықтар. Ал аңқау бала жергілікті зұлымдар пышағынының құрбаны болса керек. Алайда зұлымның бірі Тлеужанды өзіне сақтап алмақ.,qazaqşa | қазақша,"16,928",10/10,,1,,8
48605455,z h e m e,lordzennie,['방탄소년단 | Bangtan Boys | BTS'],Teen And Up Audiences,"Graphic Depictions Of Violence, Choose Not To Use Archive Warnings",M/M,Complete Work,15 Jul 2023,['Jeon Jungkook & Min Yoongi | Suga'],"['Min Yoongi | Suga', 'Jeon Jungkook']","['Дөрекі сөздер', 'Боқтық сөздер', 'тағысын тағы', 'Ангст шығар']","- бірақ чон юнгидің алдында тізерлейді де, тағы да абыройынан айырылады. ол тіпті қарсы емес.",qazaqşa | қазақша,704,1/1,1,2,,33
48603295,tagy da,lordzennie,['NCT (Band)'],Teen And Up Audiences,Choose Not To Use Archive Warnings,M/M,Complete Work,15 Jul 2023,['Lee Jeno/Na Jaemin'],"['Lee Jeno', 'Na Jaemin']","['он алты жастан асқандарға', 'костюм киген джено']",- мені өртеп барасың.,qazaqşa | қазақша,684,1/1,,4,1,32
48185857,home,ndrmd11xd,['NCT (Band)'],Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,27 Jun 2023,['Dong Si Cheng | WinWin/Chittaphon Leechaiyapornkul | Ten'],"['Dong Si Cheng | WinWin', 'Chittaphon Leechaiyapornkul | Ten']",['Light Angst'],"      — читтапон сычен үшін тор - оның еркіндігін жоқ қылса да, ол сыченнің үйі.",qazaqşa | қазақша,371,1/1,1,1,,23
47350039,Мультиәлемдік Фриск Чаты,Glitchhead,['Undertale (Video Game)'],Teen And Up Audiences,No Archive Warnings Apply,Gen,Complete Work,22 May 2023,[],['Frisk (Undertale)'],"['Alternate Universe - Undertale Multiverse | UTMV (Undertale)', 'How Do I Tag', 'Chatting & Messaging', 'Underswap Chara (Undertale)', 'Horrortale Aliza', 'Glitchtale Frisk', 'Core Frisk - Freeform', 'Underfresh Frisk', 'Undertale Player - Freeform', 'Storyshift Frisk - Freeform', 'Swapshift Frisk', 'chatfic', 'Undertale AU', 'Kazakh', 'i should be studying for my tests instead', 'Betty Noire - Freeform', 'Undertale frisk', 'Frisk AUs deserve love', 'the fandom focuses on Sanses and Charas too much', 'Frisk appreciation', 'қазақша', 'қазақша фанфик', 'Андертейл қазақша']",Көбінесе Фрисктің АҒ-ларында айналатын чатфик.,qazaqşa | қазақша,667,1/1,,1,1,43
47082376,Ақжолдың күнделігі,BotiQF,['alpha (q-pop boyband)'],Not Rated,Choose Not To Use Archive Warnings,"F/M, M/M, Multi",Work in Progress,14 Jun 2023,[],"['Aboo/Абу/Әбілқайыр Мадеш', 'I/Ай/Ақжол Серікжанұлы', 'NB/Энби/Нұрлыбек Хамит', 'Dark/Дарк/Дарын Амангелді', 'Qozzy/Коззи/Тілеужан Уәлиев', 'Бейбарыс Жанель Аймұратқызы (ойдан құрастырылған кейіпкер)']",['АйБу'],"Ақжол Әбілхайырмен көптен бері дос еді. Алайда бір сәтте бейтаныс қыз Әбілхайырдың жүрегін жаулап, оны Ақжолдан тартып алады. Енді жас бала жалғыз қалмақ. Ақжолға, қайтседе, бұл бикештің көзін құрту керек.",qazaqşa | қазақша,"2,634",2/?,,2,,59
46580773,"ОМОРИ, Бірақ олар қазақ тілінде сөйлей бастады",ArsenoBarseno,['OMORI (Video Game)'],Not Rated,Choose Not To Use Archive Warnings,No category,Complete Work,18 Apr 2023,[],"['Omori (OMORI)', 'Mewo (OMORI)']","['The only work in this fandom in my language', 'I suppose', 'Friendship', 'unresolved mystery', 'Unresolved Secret', 'No one is going to read this', 'Or understand this', 'ҚАЗАҚ ТІЛІ', 'Random & Short', 'Short', 'Weirdness']","АҚ ЖЕРГЕ ҚОШ КЕЛДІҢ СЕН ОСЫ ЖЕРДЕ ӘРДАЙЫМ ӨМІР СҮРДІҢ— Ей, мынау қай тілде өзі?",qazaqşa | қазақша,200,1/1,7,6,,88
