work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55083844,modern roman family,Anonymous,['Cambridge Latin Course'],General Audiences,No Archive Warnings Apply,Multi,Complete Work,09 Apr 2024,"['Clemens/Grumio (Cambridge Latin Course)', 'rufilla/salvius', 'lucia & quintus']","['Lucia (Cambridge Latin Course)', 'Quintus Caecilius Iucundus', 'Rufilla (Cambridge Latin Course)', 'Gaius Salvius Liberalis', 'Grumio (Cambridge Latin Course)', 'Clemens (Cambridge Latin Course)']","['Parody', 'Modern Era', 'Alternate Universe - Modern Setting']",posting this anonymously so that my friends can’t see my ao3 lmao my latin class did this for a presentation,Lingua latina,363,1/1,,,,17
54900829,Pajamada,Godztra,['일진담당일진 | Designated Bully (Webcomic)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,02 Apr 2024,['Kwon Daegun | Minsoo'],"['Park Gyuri', 'Jee inna']",['Kwon Daegun - Freeform'],Solo era una pijamada que es lo pasaria ahi ¿eh?,Lingua latina,851,1/1,,,,4
54636619,Homunculus es.,Gemmm_yWemmmy20013,['Ancient Greek Religion & Lore'],Mature,Choose Not To Use Archive Warnings,M/M,Complete Work,21 Mar 2024,['Apollo/Thamyris (Ancient Greek Religion & Lore)'],"['Thamyris (Ancient Greek Religion & Lore)', 'Apollo']","['Latin', 'latin a dead language? not anymore!', 'apollo - Freeform', 'Thamyris - Freeform', 'Fluff and Smut', 'Bad Smut', 'Secret Relationship']",A Latin fanfic..,Lingua latina,205,2/2,,,,28
54636373,quo propius ad te perveniam,ForFucksSakeJim,"['Star Trek', 'Star Trek: Alternate Original Series (Movies)']",General Audiences,No Archive Warnings Apply,M/M,Complete Work,21 Mar 2024,['James T. Kirk/Spock'],"['Spock (Star Trek)', 'James T. Kirk']","['POV James T. Kirk', 'Internal Thoughts', 'Mutual Pining', ""They Don't Know It Yet""]",Jim miratur si Spock etiam credit se esse significatum,Lingua latina,46,1/1,4,3,1,19
54618223,visio tui,ForFucksSakeJim,['Star Trek'],Explicit,No Archive Warnings Apply,M/M,Complete Work,20 Mar 2024,"['James T. Kirk/Spock', 'Montgomery ""Scotty"" Scott/USS Enterprise']","['James T. Kirk', 'Spock (Star Trek)']","['POV Spock', 'Horny Poetry']",Spock ambulat in Scotty stupri se in modificata parte a machinatione; et hoc faciens; visionem sui et gubernatoris navis habet.,Lingua latina,92,1/1,3,3,,17
54617644,flores non flores,ForFucksSakeJim,"['Star Trek', 'Star Trek: The Original Series']",General Audiences,No Archive Warnings Apply,M/M,Complete Work,20 Mar 2024,['James T. Kirk/Spock'],"['Spock (Star Trek)', 'James T. Kirk']","['Poetry', 'Flowers']",flores non flores colores oculorum tuorum sunt soni vocis tuae cogitationes mentis tuae vos et ego.,Lingua latina,62,1/1,,1,1,9
54585334,Cālidum Chocolātum,esemih0108,['Harry Potter - J. K. Rowling'],General Audiences,No Archive Warnings Apply,F/M,Complete Work,19 Mar 2024,"['Daphne Greengrass/Harry Potter', 'Daphne Greengrass & Harry Potter', 'Astoria Greengrass & Daphne Greengrass', 'Astoria Greengrass & Harry Potter']","['Harry Potter', 'Daphne Greengrass', 'Astoria Greengrass']",[],"I have translated my story ""Hot Chocolate"" into Latin. Don’t ask how I got here. I just wanted to practice some Latin for my Latin exams and apparently got the idea to translate something into Latin. It was excruciating. 11/10 would do it again. ————— Astoria pessumdat inquietudines acerbas. Amīcus sorōris eam solātium praebet optimō quod potest: poculum calidī cacaō. Unum actum.",Lingua latina,"1,449",1/1,2,7,,273
54527926,Lorax Latin Crack,QuinnManuelMiranda,"['The Lorax (2012)', 'The Lorax (1972)', 'The Lorax - Dr. Seuss', 'Cambridge Latin Course']",General Audiences,Choose Not To Use Archive Warnings,No category,Work in Progress,17 Mar 2024,[],"['The Once-ler (The Lorax)', 'The Lorax (The Lorax)', 'Pipsqueak (The Lorax)', 'Lucius Caecilius Iucundus']","['Latin', 'Crack', 'Crack Treated Seriously', 'Crack Crossover', 'just crack', 'Dead Languages', 'Bad Spelling & Grammar', 'Sorry Not Sorry']",As stupid as it sounds. And in Latin.,Lingua latina,164,1/?,5,3,,77
53865196,"""cur lacrimas, Jedidia?""",Anonymous,['Camp Here & There (Podcast)'],General Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,17 Feb 2024,['Jedidiah Martin & Sydney Sargent'],"['Jedidiah Martin', 'Sydney Sargent']",[],Jedidia heri Sydnem non mortuum facuit. Sydney hodie surgit.,Lingua latina,156,1/1,6,3,2,22
53273845,appono mens totus qui volo sum,fridgeza (boffy),['QSMP | Quackity SMP'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,24 Jan 2024,['Rafael Lange | Cellbit/Roier'],"['Rafael Lange | Cellbit', 'Roier (Video Blogging RPF)']","['Fluff', 'Dancing', 'Married Rafael Lange | Cellbit/Roier', 'Translation in Lingua Latina', 'Translation']","Propius saltat et bracchiae circum Roier’s collum involvit. “Ego sum laetissimus, formosulus,” he murmurit, osculari eius genae. Roier trahit eum prope, tadant eorum moti in dicio tam ponet eius mani in Cellbit coxarum supra. “Tu estne laetus? Homosexualis et laetus, catulus?” Cellbit iacit eius caput ridere et Roier torquent eos. “Homosexualis et laetus, formosulus.",Lingua latina,624,1/1,5,10,,229
