work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
54929740,[Vertimas] Šiame soste,silenceinmolasses,['Sherlock (TV)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,03 Apr 2024,"['Sherlock Holmes/John Watson', 'Irene Adler/Sherlock Holmes']","['Sherlock Holmes', 'John Watson', 'Mycroft Holmes', 'Irene Adler (Sherlock Holmes)']","['Translation', 'Vertimas į Lietuvių | Translation in Lithuanian', 'Lietuvių | Lithuanian', 'Surreal', 'Mind Palace', ""Sherlock Holmes's Mind"", 'Kink Meme', 'Cocaine', 'Introspection', 'Character Study', ""Sherlock's head is a strange place"", 'Kings & Queens', 'Possibly Pre-Slash']",Parašė ifonlynotnever. Jo galvoje yra Rūmai. Rūmuose yra daug salių. Didžiausioje salėje yra Sostas. Soste sėdi Karalius. (Kinkmeme užklausai: Džonas yra Karalius Šerloko Atminties Rūmuose.) Spoileriai visam 2 sezonui.,Lietuvių kalba,"1,206",1/1,1,,,10
54730600,Toast 23,AmJustAgirl,['13 Cameras (2015)'],Not Rated,Choose Not To Use Archive Warnings,No category,Complete Work,25 Mar 2024,[],[],[],"Tostas iki dvidešimt trijų JD_Riley Santrauka: Merlinas „Merlinas“ Wyltas, būdamas palyginti vėlyvas dvidešimt trejų metų, prisistatė kaip „Omega“, todėl jo brolis Vestbruko grafas pradėjo ieškoti, kaip jį ištekėti. Skausmingai drovus ir įklimpęs Merlinas nenori nieko daugiau, tik likti Westbrooke amžinai, bet, kaip jis tikrai žino, netrukus prasidės didžioji dalis vakarėlių Londone ir jis negali pasakyti nieko, kas priverstų jo brolį persigalvoti. apie tai, kaip surasti jam tinkamą piršlį. Turėdamas bent vieną vedybų pasiūlymą, jis negali patikėti, kaip jam nepasisekė, kad patraukė į baisiausios Alfos, kokią tik yra matęs savo gyvenime, žvilgsnį – žiauriai gražų ir velniško elgesio Asterlio hercogą.",Lietuvių kalba,"42,434",4/4,,,,10
54536731,Tobuliausias tarnas,AmJustAgirl,['13 Cameras (2015)'],Not Rated,Choose Not To Use Archive Warnings,No category,Complete Work,17 Mar 2024,[],[],[],"Tobuliausias tarnas bičas Santrauka: Jo pareiga yra tarnauti, o ne mylėti. Būdamas lordo Artur Pendragon patarnautojais, Merlin tai supranta geriau už viską, tačiau negali taip lengvai nutildyti savo jausmų. Tačiau Artur yra daugiau nei tik jo šeimininkas ar tas, kurį jis myli: jis yra žmogus, kurį Merlin prisiekė nužudyti. Pastabos: Po velnių, praėjo pusantros amžinybės nuo tada, kai nieko čia nepaskelbiau, ir aš tikrai turėčiau sutelkti dėmesį į rimtus romanus, kuriuos skelbiu „Tapas“, buuuuut, vietoj to, aš staiga buvau apsėstas kai kurių savo nepaprastai nuolaidžių senų. istorijų ir dar nesupratau pradėjau jas redaguoti ir rašyti visą krūvą naujų šūdų??? Taigi aš taip pat galiu pasidalinti rezultatais, lol.",Lietuvių kalba,"100,793",5/5,,,,9
54536509,Įžūlus namų griovimas,AmJustAgirl,['13 Cameras (2015)'],Not Rated,Choose Not To Use Archive Warnings,No category,Complete Work,17 Mar 2024,[],[],[],"Įžūlus namų griovimas Daihios Santrauka: Tėvas Merlinas visada buvo bendruomenės ramstis kartu su savo vyru. Tačiau pastaruoju metu jo antroji pusė nuolat sirgo, buvo nutolusi ir šalta. Kas nutiko jo mielai meilei? – pagalvojo Merlinas, pradėdamas savaitinę maldą. Komisija už trūkstamus raktus",Lietuvių kalba,"5,025",2/2,,,,3
53687143,Vilo keisti potraukiai,5oo5135,['Hannibal (TV)'],Explicit,Choose Not To Use Archive Warnings,"F/M, M/M, Multi",Complete Work,11 Feb 2024,"['Will Graham/Hannibal Lecter', 'Alana Bloom/Will Graham']","['Hannibal Lecter', 'Will Graham', 'Alana Bloom']","['Minor Alana Bloom/Will Graham/Hannibal Lecter', 'Alternate Universe - Zombie Apocalypse', 'Anal Sex', 'Bottom Hannibal Lecter', 'Top Will Graham', 'Lithuanian Hannibal Lecter', 'Alternate Universe - Canon Divergence', 'Mpreg', 'Pregnant Will Graham', 'Omegaverse', 'Cannibalism', 'silly fun', 'TLOU zombies sort of']",Zombių apokalipsės metu Hanibalas išeina ieškoti daugiau priemonių.,Lietuvių kalba,959,1/1,3,3,,139
53256787,Riding,AmJustAgirl,['13 Cameras (2015)'],Not Rated,Choose Not To Use Archive Warnings,No category,Complete Work,17 Mar 2024,[],[],[],Thigh,Lietuvių kalba,"1,197",2/2,1,1,,89
52994632,Aurora borealis,AAAdom,['原神 | Genshin Impact (Video Game)'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,10 Feb 2024,['Il Dottore/Pantalone (Genshin Impact)'],"['Il Dottore (Genshin Impact)', 'Pantalone (Genshin Impact)']","['Married Il Dottore/Pantalone (Genshin Impact)', 'POV Pantalone (Genshin Impact)', 'Il Dottore trying to be a good husband', 'Fluff', 'Pre-Canon']","Antrasis ir Devintas Harbindžeriai privalo plaukti į Liyue komandiruotei, bet pakeliui, jie susitinka su problema ir jų kelionė užsitęsa. Bet galbūt, tai nėra taip blogai kaip jie įsivaizduoja.",Lietuvių kalba,"1,820",1/1,,2,,45
52841440,Tagging along,Not_fast_Not_furious,['100 Tears (2007)'],Not Rated,Choose Not To Use Archive Warnings,No category,Complete Work,06 Jan 2024,[],[],[],"Merlin, nineteen years old and in desperate need of money, decides to do gangbang porn. His friend Arthur tags along.",Lietuvių kalba,"26,506",1/1,,,1,43
52492645,Svečiuose pas Elektroną,acorn_from_the_oak_tree,['Tai bent Kalėdos (2023)'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,24 Dec 2023,['Kaminėtojas & Elektronas'],"['Kaminėtojas (Tai bent Kalėdos)', 'Elektronas (Tai bent Kalėdos)', 'Elfas (Tai bent Kalėdos)', 'Elfė (Tai bent Kalėdos)', 'Kalėdų Senelis (Tai bent Kalėdos)', 'Vyr. Specialistė (Tai bent Kalėdos)', 'Pasakotojas (Tai bent Kalėdos)']","['lietuvių kalba', 'uz lietuva vyrai', 'uz lietuva moterys', 'uz lietuva visi kiti', 'uz kaledas kaledu misko gyventojai', 'Kalėdos', 'Draugystė', 'How Do I Tag']","Pamaniau, kad reikia pamėginti parašyti fanfiction šiam LRT mini serialui. Kaminėtojas mano, kad sulaukė iškvietimo, tačiau keliai atveda į Elektrono namus.",Lietuvių kalba,476,1/1,,1,,10
52028614,Karo žirgas,Iza_iza0920,['Original Work'],Not Rated,Choose Not To Use Archive Warnings,Other,Complete Work,04 Dec 2023,[],[],[],,Lietuvių kalba,2,1/1,,,,30
