work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
43378629,नंदा,Me_Being_Difficult,['Vyakti Ani Valli'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,02 Dec 2022,[],['Nanda Pradhan'],"['Pre-Canon', 'Post-Traumatic Stress Disorder - PTSD', 'Identity Issues', 'Introspection']",बोटीचा भोंगा वाजला आणि नकळत नंदाच्या हाताची रेलिंग वरची पकड घट्ट झाली . लंडनच्या एअर रेडचा आवाज फार वेगळा. तरी देखील नंदाला वाटलं एक सेकंद पाण्यात उडी घ्यावी. काहीही करा आणि कशाही खाली आसरा घ्या.,मराठी,814,1/1,6,5,1,30
40750215,मार्जारी पतति,Erno,['Falling Cat (1894)'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,02 Aug 2022,[],['Cat - Character'],"[""Don't copy to another site"", 'Fandom Kombat 2022']",,मराठी,7,1/1,,4,,37
27195937,ॲल्बस (Albus),VGinny,['Original Work'],General Audiences,No Archive Warnings Apply,No category,Complete Work,25 Oct 2020,[],[],"['Pets', 'pet bird', 'Unconditional Love', 'essays on pets', 'cockatiel', 'baby bird']","ॲल्बस, माझा पाळीव पक्षी. त्याच्या बद्दल मी थोडं लिहावं असं माझ्या आजी ला वाटलं. एक वर्ष मागे लागून अपयश हाती आल्यावर तिनेच मग हे लिहिले. मी त्यात थोडी भर घातली.",मराठी,699,1/1,8,7,,48
18780871,२०१९ ह्युगो अवॉर्ड व्होटर पॅकेट: आमचा स्वतःचा संग्रह (AO3),OTW_Translation,['Meta - Fandom'],General Audiences,No Archive Warnings Apply,No category,Complete Work,10 May 2019,[],[],"['ह्युगो पुरस्कार', 'AO3 बद्दल']","Archive of Our Own – AO3 (आमचा स्वतःचा संग्रह) या वर्षी सर्वोत्तम संबंधित कार्यासाठी ह्यूगो अवॉर्डसाठी नामांकित झाले! ही एक आश्चर्यकारक यश आहे आणि आम्हाला खूप आनंद झाला आहे की हूगो मतदारांनी AO3 असा अविश्वसनीय सहयोगी काम ओळखला आहे. येथे AO3 बद्दलची काही माहिती आहे, त्यात मूळ, काही महत्त्वाची वैशिष्ट्ये आणि ज्या संघाने ते शक्य आहे ते समाविष्ट केले आहे. आपण २०१९ ह्युगो पॅकेटसाठी सबमिट केलेल्या चमकदार PDF ची तपासणी देखील करू शकता!",मराठी,"1,397",1/1,,7,,62
10743909,मगल्,M_B,"['Harry Potter - J. K. Rowling', 'Real Person Fiction']",Not Rated,No Archive Warnings Apply,No category,Complete Work,27 Apr 2017,[],[],['Crossover'],"फिक्शन इतकी खरी, आतली, वारशाचा हिस्सा असलेली, आपलीच होऊन जाते; तेव्हाच तिचे सहज संदर्भ येत राहतात नव्या फिक्शनीत. हे असे संदर्भ येणं आणि त्याबद्दल यत्किंचितही स्पष्टीकरणं द्यावी न लागता त्यांच्या रूपकांमागचे अर्थ वाचकाला सहजी उलगडावेत, इतकं त्या संदर्भांचं समानधर्मी, सलग प्रदेश देणारं असणं मला कायम मोहक वाटत आलंय. मग ते तारा वनारसेंच्या 'श्यामिनी'मधलं सहज, गृहीत व्यक्तिचित्रण असो; वा बीबीसीच्या 'शरलॉक'मधले डॉयलच्या दिशेनं फेकलेले सलाम असोत. मी तशी पुरती आणि निःसंकोच फॅनफिक्शनीय आहेच. हा तशातलाच एक प्रयोग.",मराठी,157,1/1,9,3,,87
7270282,बाईपणाचे शौकीन संदर्भ,M_B,['Fandom - Fandom'],Not Rated,No Archive Warnings Apply,No category,Complete Work,22 Jun 2016,[],[],['Meta'],"फॅन-फिक्शनमध्ये इतक्या मोठ्या प्रमाणावर पॉर्न लिहिलं जातं याचा अर्थ काय? हे विचार करण्यासारखं आहे. फॅन-फिक्शनच्या विश्वात आर्थिक देवाण-घेवाण शून्य असते. इंटरनेटच्या पॉर्नोग्राफिक चित्रफितींमागे दडलेलं अर्थकारण इथे पूर्णत: अनुपस्थित असतं. तरीही लोक आपल्याला हवं तसं पॉर्न तयार करतात - पुरातन काळापासून निर्मितीसाठी सर्वाधिक सोप्या आणि स्वस्त असलेल्या शब्दाच्या माध्यमातून तयार करतात आणि त्याचा आस्वाद घेतात, त्यात तासन्तास रमतात, त्यावर चर्चा करतात - याचा अर्थ काय? याचा अर्थ सरळ आहे. मुख्य धारेमध्ये उपलब्ध असणार पॉर्न एका मोठ्या गटाला नको आहे, किंवा अधिक नेमकेपणानं बोलायचं, तर पुरेसं नाहीय. त्यांना सेक्सबद्दल लिहिण्यावाचण्यात-बघण्याचितारण्यात प्रचंड रस आहे. पण त्यांना उपलब्ध पॉर्नमधली साचेबद्धता, यांत्रिकपणा, पारंपरिक अपेक्षापूर्ती, तोचतोचपणा, हे मात्र नको आहे. त्यांना कथानकात आणि पात्रांच्या जडणघडणीत, त्यांचे मनोव्यापार समजून घेण्यात, त्यांच्या लैंगिकतांची गुंतागुंत नि गोची समजून घेण्यात रस आहे; आणि संभोगाचं चित्रण या सगळ्या तपशिलांसकट हवं आहे. ते मिळत नाही, म्हणून हे लोक स्वत:च आपल्याला हव्या तशा पॉर्नची निर्मिती करताहेत. एका प्रकारे हे इंटरनेटवर वावरणार्या पॉर्नवाचकांचं सुस्पष्ट आणि बेडर विधानच आहे.",मराठी,"3,701",1/1,7,4,,91
2737106,मेथड ऍक्ट (मराठी भाषांतर - Translation in Marathi),M_B,"['Sherlock (TV)', 'Real Person Fiction', 'Actor RPF']",Explicit,Graphic Depictions Of Violence,"F/M, M/M",Work in Progress,18 Mar 2015,"['Sherlock Holmes/John Watson', 'Benedict Cumberbatch/Tom Hiddleston', 'Mark Gatiss/Sherlock Holmes', 'Benedict Cumberbatch/John Watson', 'Benedict Cumberbatch/Molly Hooper', 'Louise Brealey/Sherlock Holmes', 'Tom Hiddleston/Sherlock Holmes', 'Benedict Cumberbatch/Mycroft Holmes']","['Sherlock Holmes', 'John Watson', 'Molly Hooper', 'Mycroft Holmes', 'Benedict Cumberbatch', 'Martin Freeman', 'Louise Brealey', 'Mark Gatiss', 'Tom Hiddleston', 'Irene Adler']","['Bodyswap', 'Pseudoscience', 'Magic', 'Alternate Universe', 'Light BDSM', 'Case Fic', 'Peril', 'Non-Consensual Bondage', 'Non-Sexual Bondage', 'RPF', 'Implied Relationships', 'Stalking', 'Kidnapping', 'Implied/Referenced Incest']",…रोज संध्याकाळी ७ वाजून ३५ मिनिटांनी काहीतरी गडबड होते…,मराठी,"11,590",4/?,3,6,,478
1094095,दी काम ऍण्ड दी स्टॉर्म,M_B,['Sherlock (TV)'],Explicit,Choose Not To Use Archive Warnings,M/M,Complete Work,22 Dec 2013,['Sherlock Holmes/John Watson'],"['Sherlock Holmes', 'John Watson']","['Slash', 'Dom/sub Undertones']",शरलॉक नि जॉनमधलं पहिलंवहिलं भांडण. आणि त्यांची विक्षिप्त दिलजमाई.,मराठी,"2,641",1/1,12,13,,647
451034,"शेरलॉक, जॉन, फॅनफिक्शन आणि मी",M_B,['Sherlock - Fandom'],General Audiences,No Archive Warnings Apply,No category,Complete Work,04 Jul 2012,[],[],[],शेरलॉक नि जॉनच्या गोष्टी: तात्पुरती गुणव्यवस्था / प्रकारव्यवस्था / शेरेबाजी. माझ्या सोयीसाठी.,मराठी,600,1/1,6,3,,254
419073,दी ब्लॉग ऑफ युजिनिया वॉटसन (मराठी भाषांतर - Translation in Marathi),M_B,"['Sherlock (TV)', 'Sherlock Holmes & Related Fandoms']",General Audiences,No Archive Warnings Apply,M/M,Work in Progress,20 Jun 2012,"['Sherlock Holmes/John Watson', 'John Watson/OFC']","['Sherlock Holmes', 'John Watson', 'Eugenia Watson', 'Grace Pepperidge']","['Kid Fic', 'Diary/Journal', 'Blogging', 'Family', 'Original Character(s)', 'Humor', 'Fluff', 'Teenagers', 'Slash', 'Parenthood', 'Unconventional Families', 'BBC Sherlock - Freeform', 'Adoption']","हा माझा ब्लॉग आहे. पण खरं तर तो ब्लॉग कमी, नि आज ना उद्या प्रचंड यशस्वी आणि प्रसिद्ध होणार्या माझ्या पुस्तकाचा पहिला खर्डा जास्त आहे, असंच मी मानते. पुस्तकाचं नाव आहे - जगावेगळ्या कुटुंबातलं माझं आयुष्य नि माझ्या आठवणी. तर - माझ्या आई-बाबाचा घटस्फोट झालाय. बाबा, बाबाचा नवरा, आई आणि मी - असे आम्ही एकत्रच राहतो. कसं वाटतंय? आत्ताशी तर फक्त सुरुवात आहे. माझं नाव युजिनिया वॉटसन आहे. पण मला जिनी म्हणालात तरी चालेल. तर - हे असं आहे. तळटीपः सध्या तरी ही पूर्ण झालेली गोष्ट आहे. या टप्प्यावर ती थांबवणं सोईचंही आहे. पुढे-मागे कदाचित त्यात भर घातली जाईलही.",मराठी,"14,707",4/28,6,7,1,"1,059"
