work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
51406816,A Touch of Heaven,HandFandH,['Original Work'],Explicit,"Graphic Depictions Of Violence, Major Character Death, Rape/Non-Con","M/M, Other",Work in Progress,13 Nov 2023,['Theo Havenland/Leonidas King'],"['Theo Havenland', 'Leonidas King']","[""don't worry about the Major Character Death tag I mean it they die a lot and come back a lot"", 'Contracts', 'Curse Breaking', ""technically it's curse taking"", 'Dead Dove: Do Not Eat', ""the dove is so dead it's not even a dove anymore it's just maggots now"", 'Slow Burn', 'Post-Traumatic Stress Disorder - PTSD', 'Leonidas is a homocidal maniac', 'Theo is both homocidal and suicidal and only a little bit of a maniac', 'Blackmail', 'Psychological Trauma', 'Medical Trauma', 'Nonbinary Character', ""Look if I can't write queer stories I just won't write"", 'Theo is nonbinary and uses he/they so if anyone wants to refer to him as a man DIE', 'Assassination Attempt(s)', 'Murder', 'All Cops Are Bastards', 'superheroes and vigilante and villains', 'if you have morals leave them on the door on this fic', 'none of these people are redeemable', ""and I don't intend to do it"", 'Torture Porn', 'yeah sure why not']","After three years of leaving his hometown due to an incident, Theo comes back to the only place where they can die. Unfortunately, Leonidas King is waiting there to ruin it all for him. Auriga King isn't helping either. The past always catches up with you. Just not in the ways you expect it.",မြန်မာဘာသာ,"22,358",10/?,,2,,42
51406396,Hiraeth,HandFandH,['Original Work'],Explicit,Graphic Depictions Of Violence,"M/M, Other",Work in Progress,06 Nov 2023,['Axton Calliope| Cun Se/Henry Min Rivers | Woo Hyung Min'],"['Axton Calliope| Cun Se', 'Henry Min Rivers | Woo Hyung Min']","['Childhood Friends', 'Misunderstandings', 'Angst', 'Drama', 'Romance']",A death brought them apart. Another death brough them closer. They both know a truth: scars may fade but pain doesn't.,မြန်မာဘာသာ,"10,702",5/?,,1,,13
51406045,Storywalkers,HandFandH,['Original Work'],Explicit,"Graphic Depictions Of Violence, Major Character Death","F/F, F/M, M/M, Multi",Work in Progress,06 Nov 2023,[],[],"['Reincarnation', 'Hurt/Comfort', 'Hurt No Comfort', 'pain and suffering', 'Angst', 'Drama', 'Romance', 'Starcrossed Romance', ""yes the characters will keep dying it's what they are about"", 'they reincarnate on different worlds etc so there is no discernable time period for any of this', 'Dubious Consent', 'Dead Dove: Do Not Eat']","They walk through worlds, through stories, everliving and immortal in their ways but soft and fragile in every other way. This is not the beginning. There will never be an ending.",မြန်မာဘာသာ,"20,996",9/?,,1,,17
50020756,ManSuang movie,Cesanme,"['Mansuang', 'Chat/Khem - Fandom']",Mature,Major Character Death,"M/M, Multi",Complete Work,11 Sep 2023,['Chat/Khem (Man Suang)'],"['Chatra', 'Khem', 'ManSuang - Character', 'Ruean', 'Hong', 'Wan', 'Apo Nattawin Wattanagitiphat', 'Mile Phakphum Romsaithong']","['Spoilers', 'Movie Spoilers', 'Please don’t read if you don’t want spoilers!', 'This is ManSuang movie as much as I remembered!', 'Original work is owned by BOC', 'I don’t own any characters!']",Unicode & Zawgyi ⚠️⚠️Warning!⚠️ ⚠️Spoiler Alert!⚠️⚠️ ManSuang (မန်ဆွောမ်) ရုပ်ရှင်ကို အကျဉ်းရုံးရေးထားတာပါ၊ ဇာတ်ကောင်တွေအားလုံးနဲ့ ဇာတ်ဝင်ခန်းတွေအကုန်ကိုအသေးစိပ်မမှတ်မိလို့ တချို့နာမည်တွေလဲ မှတ်မိသလောက်အသံထွက်ပြီးရေးထားပါတယ်၊ ထိုင်းဘာသာလဲမတတ်ပါဘူး လွဲနေရင်ဆောရီးနော်၊ သိတဲ့သူကလာပြောလဲစိတ်မဆိုးပါဘူးနော်။  ⚠️⚠️Warning!⚠️ ⚠️Spoiler Alert!⚠️⚠️ ManSuang (မန္ေဆြာမ္) ႐ုပ္ရွင္ကို အက်ဥ္း႐ုံးေရးထားတာပါ၊ ဇာတ္ေကာင္ေတြအားလုံးနဲ႔ ဇာတ္ဝင္ခန္းေတြအကုန္ကိုအေသးစိပ္မမွတ္မိလို႔ တခ်ိဳ႕နာမည္ေတြလဲ မွတ္မိသေလာက္အသံထြက္ၿပီးေရးထားပါတယ္၊ ထိုင္းဘာသာလဲမတတ္ပါဘူး လြဲေနရင္ေဆာရီးေနာ္၊ သိတဲ့သူကလာေျပာလဲစိတ္မဆိုးပါဘူးေနာ္။,မြန်မာဘာသာ,"6,856",5/5,2,5,1,223
46579426,silence (the art of loving you),96717blue,['SEVENTEEN (Band)'],Not Rated,No Archive Warnings Apply,M/M,Work in Progress,18 Apr 2023,"['Jeon Wonwoo/Kim Mingyu', 'Jeon Wonwoo/Original Female Character(s)']",[],"['Domestic Fluff', 'Unrequited Love', 'Friends to Lovers', 'Married Life', 'Kim Mingyu is Whipped (SEVENTEEN)', 'Jeon Wonwoo is a Good Friend', 'Jeon Wonwoo Is Bad at Feelings', 'Idiots in Love', 'Kim Mingyu Being an Idiot (SEVENTEEN)']",The unpretty romance between two human beings. Mingyu thinks himself that he is foolish to be in love with Wonwoo knowing the latter's heart is belonged to someone. But he stays. Because Mingyu loves Wonwoo.,မြန်မာဘာသာ,840,4/?,,4,1,318
42763686,No Shortage of Blood,empres3,['Original Work'],Mature,Choose Not To Use Archive Warnings,M/M,Complete Work,31 Oct 2022,"['Starving Vampire/Vampire Hunter Having A Moral Crisis', 'Original Male Character/Original Male Character']",[],"['Vampires', 'Vampire Hunters', 'Captivity', 'Antagonism', 'Banter', 'Developing Relationship', 'vague language to childhood trauma', 'Explicit Language', 'Hurt/Comfort', 'Frottage', 'Getting Together', 'Blood Drinking', 'Moral Dilemmas']",ရော့ဘ်တစ်ယောက်ခြေချော်ကာ မြေအောက်ခန်းထဲပြုတ်ကျသွားသည်ကပင် ဆိုးလှပြီ။ ဒဏ်ရာရသည်ထက် ပိုဆိုးသည်က သူနှင့်အတူရှိနေသည့်တစ်ဦးတည်းသောသူက သွေးစုတ်ဖုတ်ကောင်တစ်ကောင်ဖြစ်နေသည်။,မြန်မာဘာသာ,"5,965",1/1,,3,,170
41432838,Suspicious minds,empres3,['Original Work'],Teen And Up Audiences,Choose Not To Use Archive Warnings,M/M,Complete Work,02 Sep 2022,"['male superhero/male supervillian', ""Male Supervillian Who Was Pardoned of All Crimes/Male Superhero Who's Still Mad About It""]",['Original Male Character(s)'],"['Enemies to Lovers', 'Feelings Realization', 'Getting Together', 'Kissing', 'Background Femslash', 'Misunderstandings', 'Humor']",လွန်ခဲ့သည့်ခြောက်ရက်အလိုက နာမည်ဆိုးဖြင့်ကျော်ကြားခဲ့သူ စူပါဗီလိန်ဝါယာပူလာ (Wire-Puller) သည် သူနှင့်ရန်ဘက်ဖြစ်သူ စူပါဟီးရိုးဘူးလက်ပရု (Bulletproof)နှင့် လူပေါင်းမြောက်မြားစွာကို ကယ်တင်ခဲ့သည့် သူရဲကောင်းဆန်သည့်လုပ်ရပ်အတွက် ပြစ်ဒဏ်မှလွတ်ငြိမ်းချမ်းသာခွင့်ရခဲ့သည်။ ဒါက မကောင်းသည့်အကြံတစ်ခုသာဖြစ်လိမ့်မည်။ အဆုံးသတ်ကို ဘူးလက်ပရုသေချာမသိသော်လည်း သူအဖြေရသည်အထိရောက်အောင်သွားရန် ဆုံးဖြတ်ထားသည်။,မြန်မာဘာသာ,"5,036",1/1,,5,,98
38165524,Memory of the Clouds,Cesanme,"['山河令 | Word of Honor (TV 2021) RPF', '山河令 | Word of Honor (TV 2021)', 'LLD - Fandom', 'Junzhe - Fandom']",Not Rated,Choose Not To Use Archive Warnings,"F/M, M/M, Multi",Work in Progress,04 Apr 2022,[],"['Gong Jun | Simon', 'Zhang Zhehan']","['This is Hiatus!', ""It's me who got trauma!""]",Unicode + Zawgyi နန်းတွင်း+ရှေးခေတ် နဲ့ပတ်သက်တာ ရေးချင်တာနဲ့ စိတ်ကူးပြီးရေးသားထားတဲ့ Junzheတို့ရဲ့ fanfic လေးတစ်ခုပါ။ ခေတ်တွေ မင်းဆက်တွေ နာမည်တွေက Junzheကလွဲလို့ အားလုံးစိတ်ကူးယဥ်တွေပါ ^^  နန္းတြင္း+ေရွးေခတ္ နဲ႔ပတ္သက္တာ ေရးခ်င္တာနဲ႔ စိတ္ကူးၿပီးေရးသားထားတဲ့ Junzheတို႔ရဲ့ fanfic ေလးတစ္ခုပါ။ ေခတ္ေတြ မင္းဆက္ေတြ နာမည္ေတြက Junzheကလြဲလို႔ အားလုံးစိတ္ကူးယဥ္ေတြပါ ^^,မြန်မာဘာသာ,541,1/?,,1,,24
37896211,Love's Name,Cesanme,['山河令 | Word of Honor (TV 2021) RPF'],Not Rated,No Archive Warnings Apply,"M/M, Other",Work in Progress,04 Apr 2022,"['Gong Jun | Simon/Zhang Zhehan', 'Gong Jun | Simon & Zhang Zhehan']","['Gong Jun | Simon', 'Zhang Zhehan']","['This is Hiatus!', ""Sorry but it's me who got trauma!""]","Posted by Unicode + Zawgyi Unicode Junzhe fanfic တစ်ပုဒ်ပါ။ ""အချစ်အကြောင်းမပြောခင် အချစ်ဆိုတာဘာလဲ နားလည်ရဲ့လားလို့ ကိုယ့်ကိုယ်ကိုပြန်မေးကြည့်တယ်။"" မင်းသားကျန်းကျယ်ဟန့်အတွက် အချစ်ဆိုတာလွယ်ကူသလိုခက်ခဲတဲ့အရာတစ်ခု၊ခံစားရတိုင်းအချစ်ဆိုပေမယ့် အချစ်မှာပုံစံအမျိုးမျိုးရှိတာသူသိတယ်။ ဒီဇိုင်နာကုံးကျွင်း..""အချစ်ဆိုတာ ကျန်းလောင်ရှိပေါ့"" ............. Zawgyi Junzhe fanfic တစ္ပုဒ္ပါ။ ""အခ်စ္အေၾကာင္းမေျပာခင္ အခ်စ္ဆိုတာဘာလဲ နားလည္ရဲ့လားလို႔ ကိုယ့္ကိုယ္ကိုျပန္ေမးၾကည့္တယ္။"" မင္းသားက်န္းက်ယ္ဟန႔္အတြက္ အခ်စ္ဆိုတာလြယ္ကူသလိုခက္ခဲတဲ့အရာတစ္ခု၊ခံစားရတိုင္းအခ်စ္ဆိုေပမယ့္ အခ်စ္မွာပုံစံအမ်ိဳးမ်ိဳးရွိတာသူသိတယ္။ ဒီဇိုင္နာကုံးကၽြင္း..""အခ်စ္ဆိုတာ က်န္းေလာင္ရွိေပါ့""",မြန်မာဘာသာ,"2,236",4/?,,1,,47
34084423,"To love, to be loved",Cesanme,"['Junzhe - Fandom', 'LLD - Fandom']",Mature,Choose Not To Use Archive Warnings,M/M,Complete Work,18 Sep 2023,['Gong Jun | Simon & Zhang Zhehan'],"['Gong Jun | Simon', 'Zhang Zhehan']",[],Junzhe တို့storyတစ်ခုပါ။ အမှားပါတာရှိရင် Junzhe နဲ့မဆိုင်ပါဘူး စာရေးသူအမှားပဲဖြစ်ပါတယ်။ Junzhe တို႔storyတစ္ခုပါ။ အမွားပါတာရွိရင္ Junzhe နဲ႔မဆိုင္ပါဘူး စာေရးသူအမွားပဲျဖစ္ပါတယ္။ Unifont + Zawgyi,မြန်မာဘာသာ,"27,739",41/41,2,3,,204
