work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55125613,"Dammit, Cavities!",adhdalienfromouterspace,['I Hate Fairyland (Comics)'],Mature,Graphic Depictions Of Violence,No category,Complete Work,11 Apr 2024,['Gertrude/Larry'],"['Gertrude', 'Larry', 'Cloudia']",[],"Gertrude Once Again finds herself back in Fairyland, but it’s sweeter than when she left it.",Uncategorized Constructed Languages,115,1/1,,,,1
55076020,A Tale of Love: Kaeya and Albedo,Kaeya910,"['Kaeya/albedo - Fandom', 'genshin - Fandom', 'Genshin Impact - Fandom', 'love story - Fandom']",Not Rated,No Archive Warnings Apply,M/M,Complete Work,09 Apr 2024,['Kaeya/Albedo (Genshin Impact)/Reader'],"['Kaeya', 'Albedo (Genshin Impact)']",[],Just a short story idk what to say,Uncategorized Constructed Languages,842,1/1,,,,2
55016683,The hundred sins of the Oracle's witch-looking daughter,Blace (wrsi),['Original Work'],Mature,"Graphic Depictions Of Violence, Major Character Death, Underage",F/M,Work in Progress,07 Apr 2024,[],[],[],This is a semi-vent work,Uncategorized Constructed Languages,367,2/?,,,,7
54966358,любовь,Anonymous,['崩坏：星穹铁道 | Honkai: Star Rail (Video Game)'],Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,04 Apr 2024,['Blade/Dan Heng (Honkai: Star Rail)'],"['Blade (Honkai: Star Rail)', 'Dan Heng (Honkai: Star Rail)']",[],,Uncategorized Constructed Languages,210,1/1,,,,28
54875173,I am Groot,Xyex,['Guardians of the Galaxy (Movies)'],Explicit,No Archive Warnings Apply,F/M,Complete Work,01 Apr 2024,['Gamora/Groot'],"['Gamora (Marvel)', 'Groot (Marvel)']","['Hurt/Comfort', 'Friends to Lovers', 'Comfort Sex']",I am Groot. I am Groot. I am Groot. I am Groot. I am Groot. I am Groot. I am Groot. I am Groot. I am Groot. I am Groot. I am Groot. I am Groot. I am Groot. I am Groot. I am Groot.,Uncategorized Constructed Languages,"1,404",1/1,4,7,,62
53984644,Kai as Kaeya <3 | Ninjago x Genshin impact fanfic 💕,Anonymous,"['LEGO Ninjago (Cartoon 2011-2022)', '原神 | Genshin Impact (Video Game)']",General Audiences,"Choose Not To Use Archive Warnings, Graphic Depictions Of Violence, Major Character Death",Multi,Work in Progress,22 Feb 2024,"['Nya/Jay Walker (Ninjago)', 'No Romantic Relationship(s)']","['Kai (Ninjago)', 'Jay Walker (Ninjago)', 'Nya (Ninjago)', 'Cole (Ninjago)', 'Zane (Ninjago)', 'Sensei Wu (Ninjago)', 'Lloyd Garmadon']",['#genshinimpact #ninjago #lego'],Pretty much starting from DR but with a twist I love kai soo i decided to make a angst for him <33,Uncategorized Constructed Languages,262,1/?,1,3,2,112
53847904,Changing Bandages,LupusCorvus,['Supernatural (TV 2005)'],Mature,No Archive Warnings Apply,F/M,Complete Work,16 Feb 2024,['Dean Winchester/Original Female Character(s)'],['Dean Winchester'],[],Dean checks on Aeryn after the fight with Ketch. Ketch had held a gun to Aeryn's head while holding her captive. Aeryn sustained a leg injury from their escape attempt with the rocket launcher. Aeryn POV Night between 12x22 and 12x23,Uncategorized Constructed Languages,897,1/1,,,,34
53817439,Envie-me uma mensagem quando puder.,vanil_suntanlover,['OMORI (Videogame)'],Explicit,No Archive Warnings Apply,M/M,Complete Work,15 Feb 2024,"['Kel/Sunny (OMORI)', 'Kel & Sunny (OMORI)']","['Kel (OMORI)', 'Sunny (OMORI)']","['Smut', 'Fluff e Smut', 'Gay', 'fotos nuas', 'Safada', 'safadeza', 'Personagem(s) Envelhecido(s)', 'Dildos']",,Uncategorized Constructed Languages,"2,307",1/1,,8,1,213
53780857,thrown light( Marauders),jegulusgirlart,['Marauders - Fandom'],Not Rated,Choose Not To Use Archive Warnings,"F/F, M/M",Work in Progress,23 Feb 2024,"['Regulus Black/James Potter', 'Sirius Black/Remus Lupin', 'Marlene McKinnon/Dorcas Meadowes', 'Pandora Lovegood/Lily Evans Potter', 'Barty Crouch Jr./Evan Rosier']","['Regulus Black', 'James Potter', 'Sirius Black', 'Remus Lupin', 'Pandora Lovegood', 'Lily Evans Potter', 'Barty Crouch Jr.', 'Evan Rosier', 'Mary McDonnell', 'Peter Pettigrew']","['Marauders', 'Pandora Lovegood and Evan Rosier are Siblings', 'Regulus Black & Sirius Black Have a Good Relationship', 'Marauders are a Band (Harry Potter)']","The Marauders as a band James drums, Sirius solo, Remus guitar, Peter acoustic guitar marlene is a solo singer Lily manages the boys' band Mary is a model dorcas has a fashion company (Mary models there) Regulus Barty and evan actors Pandora the agent of regulus, barty and evan. A world without magic No Black Brothers anxiety Pandora and evan Brothers I use the songs of existing singers/bands for the songs of the band/marlene Wolfstar slow burning jegulus forge a relationship  (My mother tongue is not English and I am not the best, if there are mistakes I would appreciate it if you could correct me)",Uncategorized Constructed Languages,"2,850",3/?,2,16,,220
53761093,Chasing Away Nightmares,LupusCorvus,['Supernatural'],Mature,No Archive Warnings Apply,No category,Complete Work,14 Feb 2024,['Dean Winchester/Original Female Character(s)'],['Dean Winchester'],[],Dean and Aeryn finally have a moment to talk about the night they made their admissions to each other before going after Lilith. Between 4x02 and 4x03 Aeryn POV,Uncategorized Constructed Languages,"1,299",1/1,,,,24
53646733,Brazil Princesses (Princesas do Brasil),AnnBi17,"['Marvel Cinematic Universe', 'Marvel Cinematic Universe RPF']",Teen And Up Audiences,"Graphic Depictions Of Violence, Major Character Death","F/F, F/M, M/M",Work in Progress,09 Feb 2024,"['Everyone & Original Character(s)', 'Everyone/Original Female Character(s)']","['Original Female Character(s)', 'Original Female Character(s) of Color', 'Original Alien Character(s)', 'Original Male Character(s)', 'Other Marvel Characters']","['Alternate Universe - Canon Divergence', 'Superheroes', 'Alternate Universe - Superheroes/Superpowers', 'Multiverse', 'Brazil', 'Brazilian Female Group']","Clara, Rosa, Juliana ""Ju"", Larissa ""Lari"" e Kamilla Fernandes are Brazilian citizens who live an ordinary life with their mother Ruth and their grandma Maria. After their mother dies from a virus, the girls try to get stronger through the pain... Until one day, they discover five glowing amulets and gain mysterious and amazing powers! But as we know, with great powers come great enemies, so... You know what comes next. Discover the beginning of the Brazil Princesses, or even better, Princesas do Brasil, in my first Marvel group fanfic!",Uncategorized Constructed Languages,196,1/?,,50,,11
53605450,Written in Blood,LupusCorvus,['Supernatural (TV 2005)'],Not Rated,"No Archive Warnings Apply, Graphic Depictions Of Violence, Major Character Death",Gen,Work in Progress,15 Mar 2024,[],"['Dean Winchester', 'Sam Winchester', 'John Winchester', 'Bobby Singer (Supernatural)', 'Charlie Bradbury']",[],Aeryn Malone was in college studying to be a nurse when she gets caught up in a werewolf hunt. She survives and lives with knowing monsters are real. Life was as normal as it could be with that until Dean comes to her hospital for help. His father and her brother are missing. Can Aeryn survive the second time around?,Uncategorized Constructed Languages,"4,949",4/?,,1,,40
53493424,Like a boss,SallyPejr,"['Star Wars - All Media Types', 'Star Wars: The Clone Wars (2008) - All Media Types']",General Audiences,Choose Not To Use Archive Warnings,Gen,Complete Work,03 Feb 2024,['CC-2224 | Cody & Obi-Wan Kenobi'],['CC-2224 | Cody'],"['Coday', 'Cody day', 'CC-2224 | Cody Needs a Break', 'CC-2224 | Cody-centric', 'Just normal day', 'Aurebesh Alphabet (Star Wars)']",Everybody knows that Cody is the boss. So how is a normal day for a boss?,Uncategorized Constructed Languages,0,1/1,9,11,,105
53415331,Missing,LupusCorvus,['Supernatural (TV 2005)'],Not Rated,No Archive Warnings Apply,No category,Complete Work,30 Jan 2024,['Dean Winchester/Original Female Character(s)'],"['Dean Winchester', 'Original Supernatural (TV) Character(s)']",[],"Happening just before 1x01 ""Pilot"" of Supernatural. Aeryn is picked up from her hospital job by Dean before they head to Standford to get Sam in order to find John and Tyler. Aeryn POV",Uncategorized Constructed Languages,391,1/1,,,,30
53305246,- ROLEPLAY SHITPOST -,Burning_Arsonist,['PHIGHTING! (Roblox)'],Not Rated,"Graphic Depictions Of Violence, Major Character Death","Multi, Other",Work in Progress,26 Jan 2024,"['Medkit/Subspace (Roblox: Phighting!)', 'Katana/Medkit (Roblox: Phighting!)', 'Banhammer/Medkit (Roblox: Phighting!)', 'Medkit & Sword (Roblox: Phighting!)', 'Medkit/Sword (Roblox: Phighting!)', 'Medkit & Vine Staff (Roblox: Phighting!)', 'Medkit/Vine Staff (Roblox: Phighting!)', 'Banhammer/Subspace (Roblox: Phighting!)', 'Hyperlaser/Subspace (Roblox: Phighting!)', 'Hyperlaser & Subspace (Roblox: Phighting!)', 'Medkit & Subspace (Roblox: Phighting!)', 'Hyperlaser/Katana (Roblox: Phighting!)', 'Hyperlaser/Katana/Medkit (Roblox: Phighting!)', 'Katana/Subspace (Roblox: Phighting!)', 'Katana & Medkit (Roblox: Phighting!)', 'Katana & Shuriken (Roblox: Phighting!)', 'Katana & Vine Staff (Roblox: Phighting!)', 'Rocket/Sword (Roblox: Phighting!)', 'Sword & Venomshank (Roblox: Phighting!)', 'Biograft & Subspace (Roblox: Phighting!)', 'Biograft & Hyperlaser (Roblox: Phighting!)', 'Banhammer & Scythe (Roblox: Phighting!)', 'Banhammer & Windforce (Roblox: Phighting!)', 'Shuriken & Vine Staff (Roblox: Phighting!)', 'Boombox/Medkit (Roblox: Phighting!)', 'Scythe/Vine Staff (Roblox: Phighting!)', ""Hyperlaser & Hyperlaser's Cat Princess (Roblox: Phighting!)"", 'The Broker/B. Zuka (Roblox: Phighting!)', 'The Broker & B. Zuka (Roblox: Phighting!)', 'The Broker & Medkit (Roblox: Phighting!)', 'Banhammer & The Broker (Roblox: Phighting!)', 'The Broker/Katana (Roblox: Phighting!)']","['Sword (Roblox: Phighting!)', 'Skateboard (Roblox: Phighting!)', 'Biograft (Roblox: Phighting!)', 'Katana (Roblox: Phighting!)', 'Banhammer (Roblox: Phighting!)', 'Rocket (Roblox: Phighting!)', 'Slingshot (Roblox: Phighting!)', 'Hyperlaser (Roblox: Phighting!)', ""Hyperlaser's Cat Princess (Roblox: Phighting!)"", 'Shuriken (Roblox: Phighting!)', 'Scythe (Roblox: Phighting!)', 'Medkit (Roblox: Phighting!)', 'Boombox (Roblox: Phighting!)', 'Subspace (Roblox: Phighting!)', 'Vine Staff (Roblox: Phighting!)', 'The Broker (Roblox: Phighting!)', 'B. Zuka (Roblox: Phighting!)', 'Darkheart (Roblox: Phighting!)', 'Venomshank (Roblox: Phighting!)', 'Windforce (Roblox: Phighting!)', 'Icedagger (Roblox: Phighting!)', 'Firebrand (Roblox: Phighting!)', 'Illumina (Roblox: Phighting!)', 'Ghostwalker (Roblox: Phighting!)', 'Traffic (Roblox: Phighting!)', 'Ghosdeeri (Roblox: Phighting!)', 'Valk (Roblox: Phighting!)', 'Dom (Roblox: Phighting!)']","['Inspired by Roleplay/Roleplay Adaptation', 'Author Is Sleep Deprived', 'The Author Regrets Nothing', 'the author is very bored', 'idfk']","So basically, Cheqr, and L1F3's roleplays are in this shit, and maybe some few of random people. this is so epic chat - litteral_confusion",Uncategorized Constructed Languages,718,2/?,2,33,,679
