work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55167451,Crime an remission,blatantblue,"['Hogwarts Legacy (Video Game)', 'Harry Potter - J. K. Rowling']",Explicit,Choose Not To Use Archive Warnings,M/M,Work in Progress,13 Apr 2024,"['Ominis Gaunt/Sebastian Sallow', 'Past Ominis Gaunt/Player Character', 'Background Poppy Sweeting/Player Character']","['Ominis Gaunt', 'Sebastian Sallow', 'Poppy Sweeting', 'Dinah Hecat', 'Marvolo Gaunt', 'Player Character (Hogwarts Legacy)', 'Original Characters']","['Angst', 'Fluff', 'Fluff and Angst', 'Slow Burn', 'Unresolved Sexual Tension', 'Emotional Hurt/Comfort', 'First Kiss', 'POV Alternating', 'Mutual Pining', 'Panic Attacks', 'Guilt', 'Depression', 'Resocialisation Process', 'The Dark Arts (Harry Potter)', 'Implied/Referenced Child Abuse', 'Torture', 'First Time', 'Developing Relationship', 'Scots Translation']","“sebastian wis ma best friend. A can’t imagine hogwarts — or anywhere — athoot him. ” *** twa years efter sebastian wis expelled, ominis is still trying, an failing, tae adjust tae the new reality. It comes as a wylcome surprise, then, whan he is offerit an opportunity tae become a pairt o sebastian's life again. it woud be significantly mair wylcome gif sebastian actually wantit tae see him. Or talk tae him. At aw",Scots,"3,047",1/16,,,,22
54957058,The Fairmer's Man,astrothsknot,['Original Work'],Teen And Up Audiences,No Archive Warnings Apply,Gen,Complete Work,04 Apr 2024,[],"['Elsa Rae', 'Duncan MacFeldie', 'Laran Bhan', 'Jennet Burns']","['Scottish Folklore', 'Hillfoots Tales', 'Each-Uisge | Kelpies (Scotland Folk Tale)', 'Smart Women In Control', 'inspired by another work', 'Barra Folk tale']",Retelling of a Barra Folk Tale,Scots,"2,194",1/1,,,,5
54748717,Short Scrievins in Scots,Pur3boredom,['Original Work'],Not Rated,Choose Not To Use Archive Warnings,No category,Complete Work,26 Mar 2024,[],[],"['Essays', 'Growing Up', 'Loss']","A collection o short stories aun essays in the Scots leid, uisin a mixtur-maxtur o modern aun middle Scots. Explorin themes o nature, loss aun love. A collection of short stories and essays in the scots language, using a mix of modern and middle Scots. Exploring themes of nature, loss and love.",Scots,370,2/2,,1,,8
54526840,West Highland Line,opioidergic,['Harry Potter - J. K. Rowling'],Explicit,"Choose Not To Use Archive Warnings, Underage",M/M,Work in Progress,16 Mar 2024,"['Harry Potter/Tom Riddle', 'Harry Potter/Tom Riddle | Voldemort']","['Harry Potter', 'Tom Riddle | Voldemort', 'Abraxas Malfoy']","['POV First Person', 'Heroin', 'Recreational Drug Use', 'DubCon Drug Use', 'Everyone is inexplicably Scottish', '(Except Harry)', 'Everyone is also a heroin addict', '(Except....Harry?)', 'Alternate Universe - Muggle', 'By inexplicably Scottish I do mean Very Scottish', 'Unhealthy Relationships', 'Unreliable Narrator']","Tom Riddle is a heroin addict and dealer from Glasgow. Harry Potter is a public school kid up from Eton for the summer hols. The Trainspotting-inspired AU nobody asked for. Ft. bathroom sex & heroin & no rock and roll. Written in English, Scottish English, & (dubious) Scots. EN version out later. Revamp & remainder April-May.",Scots,"1,687",1/6,2,11,4,284
53685178,Долгожитель 14 декабря,kemenkiri,"['19th Century CE RPF', 'Decembrists | декабристы — Fandom', 'Political RPF - Russian 19th c.', 'Союз Спасения | Union of Salvation (2019)']",General Audiences,No Archive Warnings Apply,Gen,Complete Work,11 Feb 2024,[],"['Яков Насакен', 'Николай I', 'мельком разные декабристы']","['19th Century', 'Decembrist Revolt (1825)', 'Historical Figures', 'Decembrists | декабристы', ""Don't copy to another site"", 'Зимняя Фандомная Битва 2024']","Он прожил 99 из 100 лет XIX века, а 14 декабря просто стоял там, где должен был стоять — и это стало, похоже, самым ярким событием его жизни.",Scots,"2,422",1/1,6,16,,90
53616031,Coming Hame,Fyre,['Our Flag Means Death (TV)'],General Audiences,No Archive Warnings Apply,No category,Complete Work,08 Feb 2024,[],['Buttons (Our Flag Means Death)'],"['Our Flag Means Death Ecclesiastical Latin Non-English Fanworks Fest', 'Own Voices', 'Scots Language']","E’en as a wean, Nathaniel had a love for the sea. They bided in a wee hoose doon near Leith. His paw spent all his days oot on the waves and his maw gaithered up the catch in her creels to tak them tae the mairket. Salt and fish and the slap o’ the waves was as much a pairt of his life as breathing.",Scots,795,1/1,55,72,7,267
53498677,every pearnana fic ever,sushionaspaceship,"[""Shovelware's Brain Game (Roblox)"", 'Roblox (Video Game)', 'Shovelware Studios']",Mature,No Archive Warnings Apply,M/M,Complete Work,03 Feb 2024,"[""Dancing Banana/Pear (Roblox: Shovelware's Brain Game)"", 'Boardy/Dancing Banana (Roblox: Shovelware’s Brain Game)']","[""Boardy the SMART Board (Roblox: Shovelware's Brain Game)"", ""Pear (Roblox: Shovelware's Brain Game)"", ""Dancing Banana (Roblox: Shovelware's Brain Game)""]","['Gay', 'Crack', 'GYAT', 'Skibidi Toilet - Freeform', 'Cheating', 'Boys Kissing', 'Slurs']",i fucking hate this ship 😭 fuck you,Scots,234,1/1,5,7,1,159
53012122,Одна маленькая шалость,Kristall_Star,['Marvel'],Teen And Up Audiences,No Archive Warnings Apply,F/M,Complete Work,13 Jan 2024,[],"['Scott Summers', 'Jean Grey']",[],Небольшое ночное баловство двух влюблённых молодых мутантов.,Scots,244,1/1,,,,12
52909855,Treasured Possession,st_danger,['Ghost (Sweden Band)'],Explicit,No Archive Warnings Apply,M/M,Complete Work,08 Jan 2024,"['Aether/Dewdrop | Sodo', 'Aether/Dewdrop Ghoul | Fire Ghoul']","['Aether (Ghost Sweden Band)', 'Dewdrop | Sodo', 'Dewdrop Ghoul | Fire Ghoul']","['Spanking', 'Rimming', 'Possessive Behavior', 'Possessive Sex', 'Sometimes when two people miss each other they want to express that physically']","Behind him, Aether shifts, moving to pull out, and an unexpected frission of panic zings down his spine. His hand flails out behind him, and he digs his nails into Aether’s arm viciously. Holding. Warning. “Don’t you dare,” he hisses. “Okay,” Aether says and stays inside, stays close until he goes too soft and slips out, his cum following immediately after. Or, Sometimes the want is just too much.",Scots,"2,804",1/1,17,162,12,"1,206"
50890294,Tibbie's Choice (Scots Version),astrothsknot,['Original Work'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,16 Oct 2023,['Alec/Tibbie'],"['Alec', 'Tibbie', ""The Creature at Katie Thirsty's Well""]","['Hillfoots Tales', 'local folklore', 'Scots Version', 'Supernatural Beings getting played and loving it', 'In mah ane leet']",Tibbie myst make a fearsome choaice.,Scots,"1,149",1/1,2,4,1,37
