work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
54977653,• Kako zvezde kažu • [ Taekook ],sherlockedfmb5946,['방탄소년단 | Bangtan Boys | BTS'],Mature,Choose Not To Use Archive Warnings,M/M,Complete Work,06 Apr 2024,['Jeon Jungkook/Kim Taehyung | V'],"['Jeon Jungkook', 'Kim Taehyung | V', 'Park Jimin (BTS)']","['taekook', 'Bottom Jeon Jungkook', 'Top Kim Taehyung | V', 'Jeon Jungkook is a Panicked Gay', 'Detective Jeon Jungkook', 'Inspector Kim Taehyung', 'Inspektor Kim Taehyung', 'Detektiv Jeon Jungkook', 'murders', 'Ubistva', 'Zvezde', 'vkook', 'Taekook Srbija', 'Taekook Serbia', 'BTS drama', 'Bts story', 'Kriminalistička priča']","Sudbina je spojila dva mlada čoveka, inspektora Kima i detektiva Jeona, koji počinju da rešavaju slučajeve ubistava, pokušavajući da uhvate serijskog ubicu. I na tom putu su se bezgranično zavoleli. Prema rečima Taehyunga, sudbina je zapisana u univerzumu i samo zvezde znaju šta ona nosi. Ali... . . ...da li je njima suđeno da ostanu zajedno i da li je ljubav važnija od života?",Српски,"64,094",40/40,3,3,,61
54795970,провокативни плес,Anonymous,"['呪術廻戦 | Jujutsu Kaisen (Manga)', '呪術廻戦 | Jujutsu Kaisen (Anime)']",General Audiences,Choose Not To Use Archive Warnings,F/M,Complete Work,24 Feb 2024,"['Gojo Satoru/Iori Utahime', 'Gojo Satoru & Iori Utahime']","['Gojo Satoru', 'Iori Utahime']",[],,Српски,270,1/1,,,,12
53544283,Гони сенку лепоте,Anonymous,['Shingeki no Kyojin | Attack on Titan'],Teen And Up Audiences,Choose Not To Use Archive Warnings,F/M,Complete Work,05 Feb 2024,['Mikasa Ackerman/Eren Yeager'],"['Eren Yeager', 'Mikasa Ackerman']",[],Ерен тајно прати Микасу.,Српски,469,1/1,,3,,29
53347858,Прављење цвећа,Anonymous,['Shingeki no Kyojin | Attack on Titan'],Teen And Up Audiences,No Archive Warnings Apply,F/M,Work in Progress,28 Jan 2024,['Mikasa Ackerman/Eren Yeager'],"['Eren Yeager', 'Mikasa Ackerman']",[],Ерен прави сладолед за своју вољену жену,Српски,972,1/?,,1,,22
53347174,цвет,Anonymous,['Shingeki no Kyojin | Attack on Titan'],Teen And Up Audiences,No Archive Warnings Apply,F/M,Complete Work,28 Jan 2024,['Mikasa Ackerman/Eren Yeager'],"['Eren Yeager', 'Mikasa Ackerman']",[],Ерен и Микаса постају родитељи,Српски,"1,321",1/1,,1,,19
52755793,докле год си са мном,Anonymous,['Shingeki no Kyojin | Attack on Titan'],General Audiences,Choose Not To Use Archive Warnings,F/M,Complete Work,02 Jan 2024,['Mikasa Ackerman/Eren Yeager'],"['Eren Yeager', 'Mikasa Ackerman']",[],Ерен брине о болесној Микаси.,Српски,744,1/1,,2,,27
50107153,DESNA OBALA MORAVE (kuća andjela),crvenaandjela,['Original Work'],Mature,"Graphic Depictions Of Violence, Major Character Death, Rape/Non-Con, Underage",F/M,Work in Progress,03 Oct 2023,[],['Original Characters'],[],"Ispovest porodice Mitić je u potpunosti izmišljena.Iako je to prezime često u Ćupriji i njenoj okolini takva porodica nikada nije postojala osim u mašti pisca.""Kuća Andjela"" postoji,mada je u Ćupriji poznatija kao predratna kuća Masona.Posle delimične denacionalizacije i pada Komunizma krajem osamdesetih godina vraćena je pravim vlasnicima,podeljena na dva dela i kompletno preuredjena.Njen opis potiče iz sećanja pisca jer više nije moguće prepoznati kuću. Legenda o Ružinom blagu i kletvi je izvedena iz mnogobrojnih narodnih legendi vezanih za selo Senje.Podatak da su planine oko Senja pune hajdučkog blaga je istinita u šta se i sam pisac lično uverio.Takodje je istinita i priča o mnogima koji su izgubili život tražeći to blago u pećinama i gudurama oko Senja.I u to se,nažalost,uverila sopstvenim očima. Tri godine borbe u Beogradu koje su šturo opisane u ovom romanu su tema prvog romana trilogije o ćerkama porodice Mitić pod naslovom:""Balkanska priča,gnev andjela"".Treći deo o konačnom skidanju kletve i svih pretnji.kao i o ponovnom okupljanju porodice nosi naslov: ""Gresi prošlosti,sudbina andjela"".Trenutno su oba u radu.",Српски,"9,614",3/23,,4,,43
46470403,Лебдећи свет,gyonko_enigma,['One Tear for the Actor'],Teen And Up Audiences,No Archive Warnings Apply,Gen,Work in Progress,27 May 2023,[],[],[],,Српски,"14,262",3/7,,,,65
45222016,Добошар,orphan_account,['Original Work'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,21 Feb 2023,[],[],[],,Српски,"7,219",1/1,,2,1,61
44639695,Менаџер главне сале,gyonko_enigma,['Менаџер главне сале'],Not Rated,No Archive Warnings Apply,No category,Complete Work,29 Jan 2023,[],[],[],Мирни живот у канцеларијама ресторана 'Лисабон' поремети неочекивана промена.,Српски,"3,245",1/1,,1,,34
44633467,Повести о лози Илвара,gyonko_enigma,['Повести о лози Илвара'],Not Rated,No Archive Warnings Apply,No category,Complete Work,29 Jan 2023,[],[],[],"Шта знам, историата се понавља.",Српски,"1,694",1/1,,,1,16
44527762,Divljena vatre na horizontu,crvenaandjela,['post-apocalipse'],Mature,Graphic Depictions Of Violence,"F/F, F/M, M/M, Multi",Work in Progress,13 Sep 2023,[],[],['Original work - Freeform'],Pet zivotnih prica zena I devojcica koje su prezivele apokalipsu I postale vodje kolonije Frikova na Balkanskom poluostrvu (a odatle i ostatka sveta),Српски,"39,410",2/4,1,3,1,50
38041219,не остављај ме (не могу да живим без тебе),сунцокрет (tommyglued),"['The Maze Runner Series - James Dashner', 'The Maze Runner Series - All Media Types', 'The Maze Runner (Movies)']",Teen And Up Audiences,Major Character Death,"F/F, M/M",Complete Work,29 Mar 2022,"['Newt/Thomas (Maze Runner)', 'Teresa Agnes/Brenda (Maze Runner)', 'Brenda & Thomas (Maze Runner)']","['Thomas (Maze Runner)', 'Brenda (Maze Runner)', 'Newt (Maze Runner)', 'Teresa Agnes', 'Minho (Maze Runner)', 'Jorge (Maze Runner)', 'Ava Paige (Maze Runner)']","['Heavy Angst', 'Alternate Universe - Canon Divergence', 'Hurt No Comfort', 'Suicidal Thoughts', 'Hopeful Ending', 'Translation', 'Превод на српски | Translation to Serbian', 'Heterosexuality Erasure', 'not me realizing almost a year later that i had a wrong ""keeping this iconic tag"" tag all along']","Њутове усне су укуса пепела, сата који откуцава, временске бомбе која само што није експлодирала. Он је укуса шуме, сигуран и присутан као земља под ногама. Његове усне су укуса нечега што Томас не може описати, нечега као што је дом, као што је љубав. . — Не треба нам она — зарежа Гали. — Само њен прст. У трен ока Бренда устаје, спремна да га убије ако треба, али Томас је бржи. И болан је начин на који га Тереза гледа, као да је она његов свет, а не Брендин. Као да је Томас тај који познаје укус њених усана. . . Преведено са енглеског: don't leave me alone (i can't live without you) написано од стране bluewhistlingthrush.",Српски,"2,018",1/1,12,13,1,153
