work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
54918430,"Lûk, anāku abāka",Elisif,"['Mesopotamian RPF', 'Star Wars Original Trilogy']",Not Rated,No Archive Warnings Apply,Gen,Complete Work,02 Apr 2024,[],"['Darth Vader', 'Luke Skywalker']",[],"The ""Luke I am your father"" scene translated and re-interpreted into Akkadian (Ancient Babylonian).",𒅴𒂠,286,1/1,2,4,,72
54816460,jim,orphan_account,['jim - Fandom'],General Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,29 Mar 2024,['Jim - Relationship'],['Jim'],['JiM - Freeform'],jim,𒅴𒂠,"38,675",1/1,15,10,4,69
54810712,QHO BLOCKED ME??🔥🤬🤬🤬,bigfatjuicytoes,"[""A A'"", 'random - Fandom', 'Ghostbusters (1984-1989; 2021)', 'aaaaaa - Fandom']",Not Rated,"Graphic Depictions Of Violence, Major Character Death",No category,Complete Work,29 Mar 2024,[],[],"['grr', 'who blocked me', 'the fog is coming', 'whodroppedabrickonmycar']",,𒅴𒂠,32,1/1,,1,,86
54676675,summary of all rodincent ffs,Rui_kkuun,['Dead Plate (RachelDrawsThis Video Game)'],Not Rated,"Choose Not To Use Archive Warnings, Graphic Depictions Of Violence, Major Character Death, No Archive Warnings Apply",M/M,Complete Work,23 Mar 2024,"['Vincent ""Vince"" Charbonneau/Rody Lamoree']",[],[],help pls,𒅴𒂠,7,1/1,3,33,1,406
54656113,Babylonian Rhapsody,Elisif,"['Mesopotamian RPF', 'Queen (Band)']",General Audiences,No Archive Warnings Apply,Gen,Complete Work,22 Mar 2024,[],[],[],Bohemian Rhapsody translated/reinterpreted into the Akkadian (Ancient Babylonian) language.,𒅴𒂠,515,1/1,7,37,5,274
54409795,Kiara possesses Jack no joke,A_Rogue_Hunter,['Daybreak (Roblox)'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,11 Mar 2024,"['Saadiya Ali & Elijah Songaa', 'Jack Sato & Kiara Cruz']","['Jack Sato', 'Elijah Songaa', 'Saadiya Ali', 'Kiara Cruz', 'Eiji Inagaki', 'Mahali', 'Gabrielle Cole', 'Seoung Kwan']","['Possession', 'Aftermath of Possession', 'Exorcism', 'Crack Treated Seriously']",need I say more,𒅴𒂠,875,1/1,,19,,160
53819095,AHa Happy meat farms oc bc I'm going crazy YAY!,Liamsstarsreal (orphan_account),"['Happy Meat Farms - Alex Bale', ""Don't Feed The Muse (Web Series)""]",Mature,"Graphic Depictions Of Violence, Major Character Death, Underage","F/F, F/M, M/M, Multi",Complete Work,06 Mar 2024,[],"['Sunny (happy meat farms)', 'Ari (happy meat farms)', 'Taylor (Happy meat farms)']","['Major Character Injury', 'Major Original Character(s)', 'Making Up', 'First Meetings', 'POV First Person', 'Sunny loses his boyfriend lmao', 'How Do I Tag', 'Help', ""I'm Going to Hell"", ""I'm Bad At Tagging"", 'a happy meat farms fic after 1000 years', ""I'm doing this in school"", 'sighs', 'Angst with a Happy Ending', 'Jared is here as well YIPPE!', 'Gay', 'Everyone Is Gay', ""That's a lie"", 'TAYLOR IS NOT GAY!!', 'Lesbian Character', 'Other Additional Tags to Be Added', 'Tags Are Hard', 'Sex', 'Maybe..', ""you'll never know ;3"", 'YOULL NEVER SEE IT COMINGGGGGGG!!']",Yay so hi I'm just doing some silly stuff with my HMFS ocs lmao so uhh enjoy (FIRST FIC YAY!),𒅴𒂠,138,4/4,,1,,71
53347498,cesares epic story,porkchopseven,['Das Cabinet des Dr. Caligari | Cabinet of Dr. Caligari (1920)'],General Audiences,Major Character Death,No category,Complete Work,28 Jan 2024,[],"['Cesare (Das Cabinet des Dr. Caligari)', 'Dr. Caligari']","['joke', 'crackfic', 'actually terrible im sorry']",epic,𒅴𒂠,179,2/2,2,1,,108
53280931,Wool-Bob Brick-Skull,Elisif,"['Mesopotamian RPF', 'SpongeBob SquarePants (Cartoon)']",Not Rated,No Archive Warnings Apply,Gen,Complete Work,25 Jan 2024,[],['SpongeBob SquarePants'],[],The Spongebob themesong translated into Akkadian/Ancient Babylonian.,𒅴𒂠,95,1/1,1,10,1,214
52175569,Enkidu the Hairy Wild-Man,Elisif,['The Epic of Gilgamesh'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,10 Dec 2023,['Enkidu/Gilgamesh (Mesopotamian Mythology)'],"['Enkidu', 'Gilgamesh']","['things no one has ever requested', ""a version of the rudolph song about enkidu's amazing ass"", 'in akkadian no less']","An Ancient Mesopotamian take on Rudolph the Red-Nosed Reindeer, starring Enkidu and Gilgamesh.",𒅴𒂠,169,1/1,5,17,2,347
