work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
43100847,"jIyaj, jIjang",badficbilly,"['Star Trek', 'Original Work']",General Audiences,No Archive Warnings Apply,Gen,Work in Progress,16 Nov 2022,[],[],"['Poetry', 'Meta Poetry']",a collection of poetry written in the Klingon language. (English translations included.),tlhIngan-Hol,43,3/?,3,10,,64
37260547,ghojmeH Soj 'oH; bIyaj'a'?,LaundryDragoness,['Star Trek: The Next Generation'],Teen And Up Audiences,No Archive Warnings Apply,Gen,Complete Work,20 Feb 2022,[],"['Kargan', 'William Riker', ""T'Kal (Star Trek)""]","['TNG s2e8', 'Diary/Journal', 'stupid boss (or is he?)', 'prejudice against humans', 'rated T for mild swearing']","nuq qargh'an HoD yaS lIw jInmol bopbogh vuD'e'? DaSov DaneHchugh, QonoSDaj tlhIn yIlaD!",tlhIngan-Hol,672,1/1,2,6,,65
36124747,rut bIH ghom Hoch,LaundryDragoness,['Star Trek: The Original Series'],Teen And Up Audiences,No Archive Warnings Apply,Gen,Complete Work,01 Jan 2022,[],"['James T. Kirk', 'Koloth (Star Trek)', 'Korax (Star Trek)']","['post-episode TOS s2e13', 'Tribbles (Star Trek)', 'Frenemies', 'Prank Wars', 'rated T for mild swearing']","tojwI' ghaH qIrq'e' 'e' Qub qolotlh HoD. Do'Ha', pagh toblaH. Do', vay' tobnISbe' noDmeH.",tlhIngan-Hol,464,1/1,,,,96
35465008,'InSong,LaundryDragoness,['Star Trek: Voyager'],General Audiences,No Archive Warnings Apply,F/M,Complete Work,02 Dec 2021,['John Torres/Miral Torres'],"['John Torres', 'Miral Torres', ""B'Elanna Torres""]","['Hiking', ""Toddler B'Elanna""]",qe'SIq loS HatlhDaq leSmeH leng.,tlhIngan-Hol,345,1/1,,1,,58
35067235,wo'rIv weSlu',LaundryDragoness,['Star Trek: Deep Space Nine'],Teen And Up Audiences,No Archive Warnings Apply,Gen,Complete Work,11 Nov 2021,[],['Worf (Star Trek:TNG/DS9)'],"['DS9 s7e17', 'rated T for lots of discussion about dying', 'Waiting For Death', 'Regrets', 'Boredom', 'mention of suicide']","loghDaq rIjHa'bogh narghmeH bobcho'Daq ghaHtaH wo'rIv'e'. qorDu'Daj, Hegh je paQ.",tlhIngan-Hol,458,1/1,,1,1,65
22068376,cha' tera'ngan tIqDu',frubeto,['Star Trek: Discovery'],General Audiences,No Archive Warnings Apply,F/F,Complete Work,01 Jan 2020,['Keyla Detmer/Joann Owosekun'],"['Keyla Detmer', 'Joann Owosekun']","['Marriage', 'Post-Season/Series 02', 'Established Relationship', 'Mild Hurt/Comfort', 'Translation Available']",DaH cha’ tera’ngan tIqDu’ vIH qaDlaH pagh.,tlhIngan-Hol,315,1/1,2,9,,276
16038860,puHmeyghom (The Internationale),skymandr,['Star Trek'],General Audiences,No Archive Warnings Apply,No category,Complete Work,19 Sep 2018,[],[],['Song Lyrics'],"A translation of ""The Internationale"" to Klingon. Interstellar solidarity forever!",tlhIngan-Hol,39,1/1,,3,,114
16038719,Daw'bom (Song of Revolution),skymandr,['Star Trek'],General Audiences,No Archive Warnings Apply,No category,Complete Work,19 Sep 2018,[],[],['Song Lyrics'],"An interpretation of ""The Internationale/L'Internationale"" in Klingon with a translation to English. Interstellar solidarity for ever!",tlhIngan-Hol,113,1/1,,6,1,112
2618612,quv tlhIngan 'ejDo',daleksigma,['Star Trek: The Next Generation'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,15 Nov 2014,[],[],[],borgh Hargh tlhIngan 'ejDo' je 'entepray'.,tlhIngan-Hol,79,1/1,4,15,,251
292817,pImtaH Will,Lleu,['Dark Is Rising Sequence - Susan Cooper'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,13 Dec 2011,[],"['Will Stanton', 'Bran Davies']","['First Meetings', 'Drabble', 'Translation Available']",Will qIHpu’DI’ Bran.,tlhIngan-Hol,100,1/1,3,12,1,405
