work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55048231,mije pona mi,Chameleon_Marx,"['Hermitcraft SMP', '3rd Life | Last Life SMP Series']",Explicit,No Archive Warnings Apply,M/M,Complete Work,08 Apr 2024,['John Booko | BdoubleO100/EthosLab'],"['John Booko | BdoubleO100', 'EthosLab (Video Blogging RPF)']","['Smut', 'Trans Male Character', 'Trans John Booko | BdoubleO100', 'Blow Jobs', 'Penis In Vagina Sex', 'Friends to Lovers']",jan Pitun li alasa e jan unpa. jan Iso li lon!,toki pona,323,1/1,1,1,,103
54324430,jan lupa nasa,bedtime_puppi,['Spider-Man: Spider-Verse (Sony Animated Movies)'],General Audiences,No Archive Warnings Apply,No category,Complete Work,08 Mar 2024,[],"['Miles Morales', 'Spot | Bagel Guy (Spider-Man: Across the Spider-Verse)']",[],"jan Spot li pini e ike ona. taso ona li awen tawa lon poka jan Spider-Man. jan Spider-Man li kama pilin ike lili tan ni. sitelen musi ni li kama lon lon tenpo lili a. mi pilin la, ni li ike lili. taso, mi pana. mi wile la sina o pona lon ni.",toki pona,"1,357",1/1,,2,,23
54323551,tenpo pona nanpa pi musi supa,RandomWordWriter,['The Amazing Digital Circus (Web Series)'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,08 Mar 2024,['Pomni & Ragatha (The Amazing Digital Circus)'],"['Pomni (The Amazing Digital Circus)', 'Ragatha (The Amazing Digital Circus)']","['Game Night', 'Board Games', 'Emotional Hurt/Comfort', 'Light Angst', 'Drabble', 'Translation']",jan pona pi jan Pami li weka e pilin ike ona.,toki pona,100,1/1,,,,2
54104698,seli sewi,mokutelo_pona (Wholesome_Soup),"['The Silmarillion and other histories of Middle-Earth - J. R. R. Tolkien', 'Christian Bible']",General Audiences,No Archive Warnings Apply,Gen,Complete Work,27 Feb 2024,[],"['jan Makalole (jan sitelen Tokin)', 'Eru Ilúvatar', 'jan sewi']","['lipu tu pi nimi nanpa ale taso', 'nasin sewi', 'lipu ni la jan sewi Elu li sama jan sewi Jawe', 'lipu lili', 'i hope there’s a tokiponist tag wrangler', 'Sorry guys', 'POV Second Person', 'Sina - Freeform']",seli sewi li kipisi e sina. seli sewi li lon oko ona. ante: jan Makalole li kama sona e jan sewi.,toki pona,200,1/1,,,,23
53909767,sitelen lili pi musi Kensin Inpaku,JDAbadeer,['原神 | Genshin Impact (Video Game)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Work in Progress,20 Feb 2024,['Cyno/Tighnari (Genshin Impact)'],"['Cyno (Genshin Impact)', 'Tighnari (Genshin Impact)']","['Fluff', 'pilin pona', 'Out of Character', 'One Shot Collection', 'Established Relationship', 'mu (toki pona)', 'Board Games']",musi Kensin Inpaku la mi pali e sitelen mute lon toki pona. sitelen mi la jan pi musi ni li ken ante suli. wile mi la sitelen ni li pona tawa sina :),toki pona,351,2/?,,2,,29
53607739,lape ala,CAYTION_RAYMEN,['崩坏：星穹铁道 | Honkai: Star Rail (Video Game)'],General Audiences,No Archive Warnings Apply,F/M,Complete Work,08 Feb 2024,['Dr. Ratio/Ruan Mei (Honkai: Star Rail)'],"['Ruan Mei (Honkai: Star Rail)', 'Dr. Ratio (Honkai: Star Rail)']",['Short One Shot'],jan Lan Me li wile lape ala. ni li ike mute tawa jan Weso.,toki pona,203,1/1,,,,76
53519269,Good Omens: S2 E6 (toki pona transcription),50ShadesOfWhump,['Good Omens (TV)'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,04 Feb 2024,['Aziraphale/Crowley (Good Omens)'],"['Crowley (Good Omens)', 'Aziraphale (Good Omens)']",['Work In Progress'],"toki! An attempted translation of that scene from the end of season 2 (spoilers ofc). This is my first proper translation attempt, so any and all feedback/corrections would be greatly appreciated. I'll be updating as I translate more and fix mistakes :)",toki pona,197,1/1,,6,,55
53348932,lipu pi musi moli,Anonymous,['Death Note (Anime & Manga)'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,28 Jan 2024,"['Amane Misa & Rem', 'L & Yagami Light']","['Yagami Light', 'Rem (Death Note)', 'Ryuk (Death Note)', 'L (Death Note)']","['Flash Fic', 'Angst', 'Translation', 'Toki Pona']","tenpo pi suli pimeja kama la jan Lajato anpa e jan Elele la, ona li pilin. ma sama ala la, waso sewi Wemu li oko pilin e olin. Or: The night before Light triumphs over L, he thinks. Elsewhere, Rem beholds love.",toki pona,"2,148",2/2,2,3,,39
53143324,mu! mu!,thegreatsoupster,['Garfield - All Media Types'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,19 Jan 2024,['Jon Arbuckle/Lyman'],"['Jon Arbuckle', 'Lyman', 'Odie (Garfield)']","['Toki Pona', 'suwi', 'toki utala musi', 'Banter', 'Fluff', 'nasa pona mute']",jan Jon en jan Liman li toki utala musi.,toki pona,272,1/1,,1,,57
52937524,lipu lili ike pi olin Sonsilesi,CAYTION_RAYMEN,['原神 | Genshin Impact (Video Game)'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,10 Jan 2024,['Neuvillette/Zhongli (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Zhongli (Genshin Impact)']","['One Shot', 'Short']",neuvillette is lost so zhongli helps him out,toki pona,302,1/1,2,1,,458
