id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55137682,Poslední expres,BlanchLemur,['Harry Potter - J. K. Rowling'],Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,12 Apr 2024,['Sirius Black/Remus Lupin'],"['Sirius Black', 'Remus Lupin', 'Pobertové v pozadí']","['Marauders Era (Harry Potter)', 'DMD', 'Duben měsíc drabble', 'Drabble', 'wolfstar', 'konec sedmého ročníku', 'Not Actually Unrequited Love', 'Fluff and Angst']",Téma: Poslední vlak domů,Čeština,100,1/1,,,,0
55133767,Je to podělanej palác!,BlanchLemur,['Sherlock (TV)'],Teen And Up Audiences,Choose Not To Use Archive Warnings,M/M,Complete Work,11 Apr 2024,['Sherlock Holmes/John Watson'],"['Sherlock Holmes', 'John Watson']","['DMD', 'Drabble', 'Duben měsíc drabble', 'seznámení s rodiči', 'Sherlock je prostě Sherlock', 'Established Relationship', 'Johnovy nervy']","Sherlock si vede Johna domů, seznámit ho s rodiči. Ale tak nějak zapomene říct pravdu, jak to vlastně s tím jejich rodinným postavením je. Téma DMD: Na pěst.",Čeština,100,1/1,,1,,7
55132018,Láska má ostré drápy | hansy,elarablvck,['Harry Potter - J. K. Rowling'],Mature,Choose Not To Use Archive Warnings,F/M,Complete Work,11 Apr 2024,"['Pansy Parkinson/Harry Potter', 'Hermione Granger/Ron Weasley', 'Ginny Weasley/Blaise Zabini']","['Harry Potter', 'Pansy Parkinson']","['Fake/Pretend Relationship', 'Daily Prophet (Harry Potter)', 'Harry Potter Epilogue What Epilogue | EWE', 'Auror Harry Potter', 'Healer Pansy Parkinson', 'Protective Slytherins', 'Gryffindor/Slytherin Inter-House Relationships']","Vyvolenému po rozchodu s Ginny už zase kde kdo podstrkuje lektvary lásky, proto se rozhodne předejít nechtěným vztahům a začne před zraky všech randit s Pansy Parkinsonovou. Žhavá novinka zahýbe celým kouzelnickým světem, přičemž i Harryho nejlepší přátelé polemizují nad jeho duševním rozpoložením, když se ukáže, že mezi touto dvojicí začíná vznikat cosi skutečného. Harry ale není hlupák, a tak dobře ví, že láska má ostré drápy, které mohou jeho srdce rozsápat na kusy, nebude-li opatrný.",Čeština,"15,700",8/8,1,2,,15
55120252,Enamorada del enemigo (Draco Malfoy),Nina_Sectumsempra,['Harry Potter - J. K. Rowling'],General Audiences,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",F/M,Work in Progress,11 Apr 2024,"['Draco Malfoy & Original Female Character(s)', 'Harry Potter/Original Female Character(s)', 'Harry Potter/Ginny Weasley', 'Hermione Granger/Ron Weasley', 'Daphne Greengrass/Theodore Nott', 'Pansy Parkinson/Blaise Zabini', 'Remus Lupin/Nymphadora Tonks', 'Sirius Black/Remus Lupin', 'Draco Malfoy/Original Female Character(s)']","['Harry Potter', 'Draco Malfoy', 'Remus Lupin', 'Hermione Granger', 'Ronald Weasley']",[],"""Toda serpiente tiene una debilidad ella era la de él 💚🐍"" Marine Lupin hija adoptiva de Remus Lupin llega junto con él, al tercer año en Hogwarts, conocerá la verdad sobre su verdadera familia, descubrirá el valor de la amistad con sus nuevos amigos, conocerá el verdadero significado de ser una familia formando una nueva con su padre y amigos y encontrará el amor en la persona que jamás imagino. Una historia llena de amor y aventuras 💚🐍✨",Čeština,"7,211",5/98,,,,14
55113922,NAVŽDY TVÁ,MemoryAT,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,Choose Not To Use Archive Warnings,F/M,Complete Work,10 Apr 2024,['Hermione Granger/Severus Snape'],"['Hermione Granger', 'Severus Snape']","['Forbidden Love', 'Alternate Universe - Harry Potter Setting']","Návrat Lorda Voldemorta je zatím v nedohlednu, proto Harry Potter a Ron Weasley odcestují za studiem do zahraničí. Třetí z nezlomné party zůstane v Bradavicích sama. OVCE však nebudou jediné, čemu bude muset mladá primuska čelit. Problém započne ve chvíli, kdy ji ve sprše uprostřed noci nečekaně vyruší jeden nerudný profesor lektvarů.",Čeština,"15,634",15/15,,4,,21
55105393,Crowleyho revanš aneb trest pro zlobivé anděly,BlanchLemur,['Good Omens (TV)'],Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,10 Apr 2024,['Aziraphale/Crowley (Good Omens)'],"['Crowley (Good Omens)', 'Aziraphale (Good Omens)']","['DMD', 'Duben měsíc drabble', 'Post-Canon', 'Attempt at Humor', 'BDSM elements', 'Azirafalův trest', 'Crowleyho pomsta', 'Getting Together', 'Drabble', 'Fix-It']",Post-canon trochu jinak :D Na SOS byla žádost o nějaký příjemnější rozuzlení... Trochu mi to ujelo :D Téma: Kočičí zlato.,Čeština,100,1/1,,2,,9
55103206,Portrét,ivikbublik,['Harry Potter - J. K. Rowling'],Explicit,Choose Not To Use Archive Warnings,F/M,Complete Work,10 Apr 2024,[],[],[],"Postavy: Severus Snape/ AUTP Varování: 18+ Kategorie: het Děj: Hannah je studentkou Zmijozelu, mezi její záliby patří malování. Co se stane, když požádá ředitele své koleje, aby jí stál modelem?",Čeština,"12,502",10/10,,,,8
55103158,Contusio cerebri,ivikbublik,['Harry Potter - J. K. Rowling'],Explicit,Choose Not To Use Archive Warnings,M/M,Complete Work,10 Apr 2024,[],[],[],"Pár: Snarry Přístupnost: 18 + Děj: Harry zůstává přes léto v Bradavicích, stejně jako Severus. Stane se, že jednou do sebe omylem vrazí a Harrymu pád způsobí otřes mozku. Poppy je v tu dobu pryč, a tak Albus rozhodne, že se o Harryho postará Severus. Bude ho mít u sebe v komnatách, aby ho měl neustále pod dohledem, což povede k tomu, že se sblíží...",Čeština,"2,335",1/1,,,,3
55102993,Nehoda s obracečem času,ivikbublik,['Harry Potter - J. K. Rowling'],Explicit,Choose Not To Use Archive Warnings,F/M,Complete Work,10 Apr 2024,[],[],[],"Postavy: HG /AUTP, SS /AUTP Žánr: romantika Kategorie: het Přístupnost: 15+ Poznámka autorky: tato povídka byla napsána v roce 2006, Varování: erotické scény Stručný obsah: Hermiona dostane ve 3. ročníku obraceč času. Jednou, když se bude chtít vrátit zpět v čase, narazí do profesora Snapea. Oba jsou díky této nehodě přesunuti o mnoho let zpět a to do doby zakladatelů Bradavičké školy. Problém je v tom, že jejich obraceč se při nehodě rozbije!",Čeština,"11,519",8/8,,,,5
55102834,Knihovna,ivikbublik,['Harry Potter - J. K. Rowling'],Explicit,Choose Not To Use Archive Warnings,F/M,Complete Work,10 Apr 2024,[],[],[],"postavy: Severus Snape/AUTP varování: 18+ PWP kategorie: het děj: Severus udělí trest Jane Wilsonové, studentce Havraspáru. Chce od ní, aby srovnala jeho soukromou knihovnu... jelikož miluje knihy, nedělá jí to takový problém. Navíc už si nějakou dobu na svého profesora myslí.",Čeština,"1,081",1/1,,,,2
