work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55163194,Pohjoinen taivas,Odus,"['Käärijä (Musician)', 'Joker Out (Band)']",Explicit,Choose Not To Use Archive Warnings,M/M,Complete Work,13 Apr 2024,['Bojan Cvjetićanin/Jere Pöyhönen | Käärijä'],"['Jere Pöyhönen | Käärijä', 'Bojan Cvjetićanin']","['Miscommunication', 'Pining', 'Porn with Feelings', 'Anal Sex', 'Feelings', 'Friends to Lovers']","Jere ja Bojan vaeltavat kahdestaan pohjoisessa, repuissaan lastina väärinkäsityksiä ja kaipausta. Molemmat haluavat ratkaista ongelmansa ja he haluavat myös toisiaan.",suomi,"2,590",1/1,,17,,88
55152985,päättymättömät illat (keskikesän aikaa),erasedjanna,"['Joker Out (Band)', 'Käärijä (Musician)']",General Audiences,No Archive Warnings Apply,M/M,Complete Work,12 Apr 2024,['Bojan Cvjetićanin/Jere Pöyhönen | Käärijä'],"['Bojan Cvjetićanin', 'Jere Pöyhönen | Käärijä']","['tunnelmointia', 'Fluff', 'Suomen kesä', 'mökkicore', 'Ficlet']","Keskikesä Suomen Lapissa on jotain erilaista kuin missään muualla. Aurinko näillä leveysasteilla ei laske ollenkaan, ja yöt voi sekoittaa pilvisiin päiviin. Keho ei malta asettua nukkumaan, kun olisi niin paljon näkemistä, tekemistä, tutkimista.",suomi,500,1/1,1,2,,11
55133224,the monsters didn't do all of those/Hirviöt eivät tehneet noita kaikkia,Kuiskailija,['The Heroes of Olympus - Rick Riordan'],Not Rated,Choose Not To Use Archive Warnings,No category,Complete Work,11 Apr 2024,"['Annabeth Chase/Percy Jackson', 'Hazel Levesque/Frank Zhang', 'Jason Grace/Piper McLean']",['The Seven (Percy Jackson)'],"['Percy Jackson Needs a Hug', 'Past Child Abuse', 'Leo Needs a Hug', 'Hurt/Comfort', 'Fluff and Angst', 'POV Percy Jackson']",Argo II- miehistö päätyy uimaan eräänä kesäpäivänä. Percy ei pidä siitä. Leo ei myöskään pidä siitä.,suomi,"1,806",1/1,,,,12
55111687,voiko kellot pysähtyy?,erasedjanna,"['Joker Out (Band)', 'Käärijä (Musician)']",Mature,No Archive Warnings Apply,M/M,Complete Work,11 Apr 2024,['Bojan Cvjetićanin/Jere Pöyhönen | Käärijä'],"['Bojan Cvjetićanin', 'Jere Pöyhönen | Käärijä']","['tunnelmointia', 'Pining', 'very mild smut', 'Wistful', 'Angst and Feels']","Mihin aikaa edes tarvitaan, kun Bojan on Jeren sylissä lämpimänä ja oikeana. Mihin aikaa edes tarvitaan, kun Bojan notkistaa selkäänsä irti patjasta Jeren kosketuksesta. Mihin aikaa edes tarvitaan, kun Bojan tuhisee rauhallista unta Jeren kainalossa. tai Bojere week 5. päivän promptit angst ja last fuck.",suomi,473,1/1,1,15,,76
55064023,"Mietitkö samaa kuin minä, Toni?",Kirjaamo,['No Fandom'],Explicit,Underage,M/M,Complete Work,08 Apr 2024,[],"['Isä 52 v.', 'Toni 11v.']","['seksi', 'Insesti', 'isä/poika', 'pedo']",Isä ja poika huomaavat tykkäävänsä samoista asioista.,suomi,"1,419",1/1,,,,7
55030111,Vuodenajat,Vendela (Wendela),['Harry Potter - J. K. Rowling'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,07 Apr 2024,['Draco Malfoy/Harry Potter'],"['Harry Potter', 'Draco Malfoy']","['Slice of Life', 'Fluff', 'Microfic', 'Suomi | Finnish']","Harry, Draco ja neljä vuodenaikaa.",suomi,108,1/1,,,,13
55026979,pliis vielä hetki lepää,tilhi,"['Käärijä (Musician)', 'Joker Out (Band)']",Mature,No Archive Warnings Apply,M/M,Complete Work,08 Apr 2024,['Bojan Cvjetićanin/Jere Pöyhönen | Käärijä'],"['Jere Pöyhönen | Käärijä', 'Bojan Cvjetićanin']",[],"Bojan takertuu Jereen, sulkee hänen syliinsä, painaa mieleensä jokaisen vartalon kaarteen ja mutkan. Hän  haluaa muistaa ne yhtä hyvin ensi viikolla kuin juuri tällä hetkellä. Bojere Week päivä 2: cuddling (ja vähän myös favourite body part worship 😇)",suomi,499,1/1,14,49,1,211
55015465,Sinä 4ever,erasedjanna,"['Joker Out (Band)', 'Käärijä (Musician)']",General Audiences,No Archive Warnings Apply,M/M,Complete Work,08 Apr 2024,['Bojan Cvjetićanin/Jere Pöyhönen | Käärijä'],"['Bojan Cvjetićanin', 'Jere Pöyhönen | Käärijä']","['Fluff', 'tunnelmointia', 'Suomen kesä ja yötön yö', 'Ficlet']",Hän katselee Bojanin hymystä uurtuvia silmäkulmia ja kurtistuvaa nenänpäätä. Niitä Jere tahtoo katsella loppuelämänsä ajan.,suomi,250,1/1,8,26,1,94
54930628,Unien muotoinen mies,Odus,"['Käärijä (Musician)', 'Joker Out (Band)']",Mature,Choose Not To Use Archive Warnings,M/M,Complete Work,03 Apr 2024,['Bojan Cvjetićanin/Jere Pöyhönen | Käärijä'],"['Bojan Cvjetićanin', 'Jere Pöyhönen | Käärijä']","['Dreaming', 'Feelings', 'Hand Jobs', 'Blow Jobs', 'Hopeful ending?']","”Heyyy, Bojči!” Krisin ääni ja nipistys käsivarteen komensivat Bojanin takaisin arkiseen treenikämppään. Kankeasti hän palasi päiväunestaan ja vilkaisi posket punertuen ympärilleen. Bändikaverien puoliääneen mutistuista lauseista hän erotti ainakin sanat ”unelmoida” ja ”Suomi”. Niinpä niin… Päiväunet ja unelmointi olivat muodostuneet päivittäisiksi ohjelmanumeroiksi sen jälkeen, kun Joker Outin tulevat Suomen keikat varmistuivat. He näkisivät Suomea taas muutaman kaupungin verran lisää. Bojan tiesi, että he tapaisivat Jeren kanssa ainakin Helsingissä ja tuskinpa heidän välisensä sähkö olisi mihinkään kadonnut. Päiväunien aineksina oli muistoja menneestä ja haaveita tulevasta.",suomi,"1,554",1/1,6,28,,166
54886687,Sun rakkaudestako kaiken irti sain (Tuntsa Drabbleja 2024),surkeasilakka (Tin_tti),"['Tuntematon sotilas | The Unknown Soldier - Väinö Linna', 'Tuntematon sotilas | The Unknown Soldier (2017)']",Not Rated,Choose Not To Use Archive Warnings,No category,Work in Progress,12 Apr 2024,[],"['Lehto (Tuntematon sotilas)', 'Yrjö Lahtinen', 'Määttä (Tuntematon sotilas)', 'Rahikainen (Tuntematon sotilas)', 'Urho Hietanen', 'Lammio (Tuntematon sotilas) (maininta)', 'Vilho Koskela', 'Aarne Honkajoki', 'Mielonen (Tuntematon sotilas)', 'Mäkilä (Tuntematon sotilas)', 'Kaarna (Tuntematon sotilas)', 'Antti Rokka', 'Asumaniemi (Tuntematon sotilas)', 'Riitaoja (Tuntematon sotilas)']","['Drabble Collection', 'alternative universe', 'Inspired by Downton Abbey', 'Slice of Life']","Drabble-kuukausi on jälleen saapunut! Tänä vuonna näiden kirjoitusten aiheena on Downton Abbey -tyylinen Tuntsa AU, Downtun Abbey! Tervetuloa kartanoon ja sen asukkaiden että palvelijoiden päivien pariin huhtikuun 2024 ajan :)",suomi,"1,200",12/30,,3,,43
