work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55158871,Inkognító,Szivarvany09,['Carson Coma (Band)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Work in Progress,12 Apr 2024,['Héra Barnabás/Gaál Péter'],"['Héra Barnabás', 'Gaál Péter', 'Bóna Zsombor', 'Fekete Giorgio', 'Kun Bálint', 'Jónás Attila']","['Social Media', 'Enemies to Lovers', 'Strangers to Lovers', 'kinda but they actually know each other', 'Getting to Know Each Other', 'Fix-It', 'Lack of Communication']","social media au Ha valaki, akkor Barni szereti ha kedvelik őt. Éppen ezért szúr neki szemet az a bizonyos twitter felhasználó, aki nem csak az egész Carson Coma-t, de különösképpen őt magát gyűlöli. Úgy dönt, hogy egy hamis rajongói profillal megváltoztatja a véleményét. Viszont mi van akkor ha sokkal több érzelem kerül az intezív veszekedésekbe, mint kéne? És mi van akkor ha az a bizonyos felhasználó nem is annyira ismeretlen?",Magyar,"1,767",1/?,,2,,5
55155526,3 napos káosz,bereselia,['전지적 독자 시점 - 싱숑 | Omniscient Reader - Sing-Shong'],Not Rated,Choose Not To Use Archive Warnings,M/M,Work in Progress,12 Apr 2024,"['Kim Dokja/Yoo Joonghyuk', ""Kim Dokja/Kim Dokja's Company""]","['Kim Dokja', ""Kim Dokja's Company"", 'Lee Gilyoung', 'Shin Yoosung', 'Jung Heewon', 'Han Sooyoung', 'Lee Seolhwa', 'Lee Hyunsung', 'Lee Jihye (Omniscient Reader)', 'Gong Pildu']",[],[ Egy forgatókönyv bukása miatt Kim Dokja lelke meghasadt és a darabok véletlenszerű helyeken szóródtak szét Seoulban. Gyűjtsétek össze az összeset egy helyre és egyesítsétek őket. Nehézség: ??? A küldetés teljesítéséhez rendelkezésre álló idő: 3 nap Jutalom a küldetés sikeres teljesítése esetén: 1000 érme Büntetés a küldetés bukása esetén: Kim Dokja lelke nem lesz visszaállítható (?)],Magyar,"2,053",1/?,,1,,5
55136161,Miért pont én? - Ninjago,Themis_the_goddess,"['LEGO Ninjago (Cartoon 2011-2022)', 'The LEGO Ninjago Movie (2017)']",General Audiences,Choose Not To Use Archive Warnings,F/M,Work in Progress,11 Apr 2024,"['Cole & Lloyd Garmadon & Kai & Nya & Jay Walker & Zane', 'Cole & Lloyd Garmadon & Kai & Nya & P.I.X.A.L. & Jay Walker & Zane', 'P.I.X.A.L./Zane (Ninjago)', 'Nya/Jay Walker (Ninjago)', 'Kai/Skylor (Ninjago)', 'Cole (Ninjago)/Original Character(s)', 'Cole (Ninjago)/Original Female Character(s)']","['Cole (Ninjago)', 'Jay Walker (Ninjago)', 'Kai (Ninjago)', 'Zane (Ninjago)', 'Lloyd Garmadon', 'Nya (Ninjago)', 'Sensei Wu (Ninjago)', 'P.I.X.A.L. (Ninjago)', 'Misako (Ninjago)', 'Lou (Ninjago)', 'Lilly (Ninjago)', 'Lord Garmadon (Ninjago)', 'Maya (Ninjago)', 'Ray (Ninjago)', 'Original Characters', 'Skylor (Ninjago)', 'Harumi (Ninjago)', 'Karlof (Ninjago)', 'Dareth (Ninjago)']","['Angst', 'Cole Needs a Hug (Ninjago)', 'Cole and Jay Walker Are Best Friends (Ninjago)', 'Cole-centric (Ninjago)', 'Ninja Team as Family (Ninjago)']",""" - Vigyázz magadra! - Mondtam. Könnyezett. - Bele fogsz halni. Nem akarlak elveszteni. - Nyugodj meg, visszajövök. - Töröltem le könnyeit. - De ha esetleg mégsem sikerülne... - Megcsókoltam. - Szeretlek. - Suttogtam. - Kérlek, gyere vissza hozzám. - Úgy lesz.""  Wattpadon 2020-ban kezdett fanfic. *A Ninjago 12. Évada után játszódik. A további évadok nincsenek hatással a történtekre! A történetet én találtam ki, nem valósak az információk, amik ebben a könyvben vannak!!*",Magyar,"1,128",1/42,,,,9
55124401,Nyuszi,camestegal,['Carson Coma (Band)'],General Audiences,No Archive Warnings Apply,M/M,Work in Progress,11 Apr 2024,"['Gaál Péter/Héra Barnabás', 'Fekete Giorgio/Kun Bálint']","['Gaál Péter', 'Héra Barnabás', 'Original Child Character(s)', 'Kun Bálint', 'Fekete Giorgio']","['Fluff', 'Pre-Relationship', 'High School', 'Alternate Universe - High School', 'Alternate Universe', 'Costumes', 'Domestic', 'Chocolate', 'Teenagers', 'Crushes']","Gaál Péter a húsvéti szünetben nyuszinak öltözve dolgozott egy városligeti húsvéti rendezvényen, hogy összeszedje a pénzt a Sziget Fesztivál belépőjére. Viszont arra nem számított, hogy éppen az évfolyamtársával, Héra Barnabással és az ő kisöccsével fog összefutni. A gond az, hogy Peti már évek óta bele van zúgva Barniba. Még szerencse, hogy nem lehet őt felismerni a jelmez alatt. Ugye? highschool AU, cuki bátyó Barni, fülig szerelmes Peti, csokitojások és egy nyuszi jelmez",Magyar,"2,983",1/?,1,2,,9
55101253,Kívánságok éjszakája,FortisAlaska,['Harry Potter - J. K. Rowling'],General Audiences,No Archive Warnings Apply,F/M,Complete Work,10 Apr 2024,['Hermione Granger/Ron Weasley'],"['Hermione Granger', 'Ron Weasley']","['Romantikus', 'Novella', 'magyar', 'Romance']",,Magyar,"1,204",1/1,,,,3
55062553,Legjobb Préda,Ezan,['League of Legends'],Mature,Graphic Depictions Of Violence,F/M,Work in Progress,08 Apr 2024,"[""Kha'Zix/Original Female Character(s)""]","[""Kha'Zix (League of Legends)""]",[],"Kha'Zix-ot csak az érdekli, hogy vadásszon, hogy minél erősebb legyen, semmi más a világon. Viszont mikor találkozik egy különös lénnyel, olyan dolgokkal kell szembenéznie, amikkel soha nem találkozott: érzésekkel. Hogyan fogja tudni kezelni ezt a Ragadozó? Képes lesz-e egyáltalán? M jelzést kapott későbbi tartalom végett.",Magyar,"1,883",1/?,,,,10
55045591,A Provokatív Tánc,Anonymous,"['呪術廻戦 | Jujutsu Kaisen (Manga)', '呪術廻戦 | Jujutsu Kaisen (Anime)']",General Audiences,Choose Not To Use Archive Warnings,F/M,Complete Work,01 Jan 2024,['Gojo Satoru/Iori Utahime'],"['Gojo Satoru', 'Iori Utahime']",[],,Magyar,237,1/1,,,,4
54985756,A 3. Nagy Mészárlás,doritos2,['The Hunger Games (Movies)'],Teen And Up Audiences,"Graphic Depictions Of Violence, Major Character Death",F/M,Complete Work,05 Apr 2024,"['Haymitch Abernathy/Effie Trinket', 'Katniss Everdeen/Peeta Mellark']","['Haymitch Abernathy', 'Katniss Everdeen', 'Effie Trinket', 'Peeta Mellark']",[],,Magyar,"7,545",15/15,,1,,57
54976513,Szerepek és szereplők,Pfeffa_rah,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']",General Audiences,No Archive Warnings Apply,No category,Complete Work,05 Apr 2024,['könyv!Azirafael & tv!Aziraphale'],['Aziraphale (Good Omens)'],"['a negyedik fal áttörése', 'könyv és sorozat kombinálása', 'a sushi nem old meg mindent de azért valamennyit segít', 'közös önsajnálat regénybéli éneddel a szó szerinti főszereplő-szindrómád miatt']","Könyv Azirafael és TV Aziraphale tonhalas nigirit eszik és elbeszélget arról, mit is jelent a történet középpontjában lenni.",Magyar,0,3/3,2,1,,14
54976201,Régi remények,Pfeffa_rah,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']",General Audiences,No Archive Warnings Apply,No category,Complete Work,05 Apr 2024,['Könyv!Crowley & TV!Crowley'],['Crowley (Good Omens)'],"['a negyedik fal áttörése', 'könyv és tv-sorozat kombinálása']",Az Elveszett próféciák harmadik évada készülőben van. Crowley a regényből a történet végére való három évtizedes várakozás után meglátogatja tévés megfelelőjét egy üveg borral.,Magyar,0,1/1,,,,8
