work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55172488,【FF16/Teredio】紅茶タイム,SirensMoTia,['Final Fantasy XVI'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,13 Apr 2024,['Dion Lesage/Terence'],"['Dion Lesage', 'Terence (Final Fantasy XVI)']",[],《小王子的玫瑰园》简中合志解禁-日文版翻译 中文作者：吃小猫不吐小猫球,日本語,"6,220",1/1,,,,11
55172437,【FF16/Teredio】悪竜バハムートとのお見合い結婚,SirensMoTia,['Final Fantasy XVI'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,13 Apr 2024,['Dion Lesage/Terence'],"['Dion Lesage', 'Terence (Final Fantasy XVI)']",[],《小王子的玫瑰园》简中合志解禁-日文版翻译 中文作者：考拉,日本語,"7,818",1/1,,,,8
55172404,【FF16/Teredio】ワンダフル·フェスティバル·ナイト,SirensMoTia,['Final Fantasy XVI'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,13 Apr 2024,['Dion Lesage/Terence'],"['Dion Lesage', 'Terence (Final Fantasy XVI)']",[],《小王子的玫瑰园》简中合志解禁-G文-日文版翻译 中文作者：风烟,日本語,"11,879",1/1,,,,11
55172368,【FF16/Teredio】彼は風にように翔けるべき,SirensMoTia,['Final Fantasy XVI'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,13 Apr 2024,['Dion Lesage/Terence'],"['Dion Lesage', 'Terence (Final Fantasy XVI)']",[],《小王子的玫瑰园》简中合志解禁-日文版翻译 中文作者：熊,日本語,"13,678",1/1,,,,3
55172182,【FF16/Teredio】あらゆる幸運なこと,SirensMoTia,['Final Fantasy XVI'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,13 Apr 2024,['Dion Lesage/Terence'],"['Dion Lesage', 'Terence (Final Fantasy XVI)']",[],《小王子的玫瑰园》简中合志解禁-日文版翻译 中文作者：一盏,日本語,"11,101",1/1,,,,8
55172110,【FF16/Teredio】染み込む,SirensMoTia,['Final Fantasy XVI'],Mature,No Archive Warnings Apply,M/M,Complete Work,13 Apr 2024,['Dion Lesage/Terence'],"['Dion Lesage', 'Terence (Final Fantasy XVI)']",[],《小王子的玫瑰园》简中合志解禁-日文版翻译 中文作者：蚀角,日本語,"7,251",1/1,,1,,5
55171810,【FF16/Teredio】真なる恵み,SirensMoTia,['Final Fantasy XVI'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,13 Apr 2024,['Dion Lesage/Terence'],"['Dion Lesage', 'Terence (Final Fantasy XVI)']",[],《小王子的玫瑰园》简中合志解禁-日文版翻译 中文作者：寞歌,日本語,"12,041",1/1,,1,,13
55150180,新芽の夢占い,moonlight0256,['原神 | Genshin Impact (Video Game)'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,12 Apr 2024,['Alhaitham/Kaveh (Genshin Impact)'],"['Kaveh (Genshin Impact)', 'Nahida (Genshin Impact)']",['Fluff'],夢の中では素直になれるカーヴェさんの話,日本語,"2,096",1/1,,,,10
55140385,韓国語の読書部・The Korean Book Club,Sigilxox,"['Original Work', 'オリジナル']",General Audiences,Choose Not To Use Archive Warnings,F/M,Work in Progress,11 Apr 2024,"['康介 / 優子', 'Kosuke / Yuuko']","['康介・Kosuke', '愛理・Airi', '優子・Yuuko', '香苗・Kanae']","['Romance', 'Teen Romance', 'Japanese', 'Fluff', 'Original Character(s)', 'Original Fiction', 'Hopeless Romantic', ""Pretends but can't actually read Korean""]",私の愛、ステファニーと一緒に書いてしまいました。 今年、優子は大学一年生ですから、きんちょうしています。そして、子供の時からゆうこは色々な文化に興味があったので、桜大学に入ってからすぐ韓国の歴史の授業をとりました。初めは、韓国の文化のことを習うことと香苗という友達と知り合うためだけに、この授業をとることをきめました。でも、初めての授業でイケメンを気が付きました。その男の人は康介です。そして、康介が韓国語のどくしょぶの会員であることも知りました。それから、優子は康介と知り合うために、この韓国語のどくしょぶに入りました。でも、一つ問題があります。優子は韓国語を話せません。,日本語,"2,902",2/5,,,,3
55125889,明日のおやつはマシュマロサンド,huyuhi,['Moon Knight (TV 2022)'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,11 Apr 2024,['Steven Grant/Marc Spector'],"['Steven Grant (Marvel)', 'Marc Spector']","['Top Steven Grant (Marvel)', 'Bottom Marc Spector']",片想い自覚直後のスティーヴンが好きなひとの隣で眠ることを意識してしまってどきどきする一晩の話です。 ジェイク合流前です。,日本語,"2,740",1/1,,,,8
55120615,Kazoku de no o Tomari 家族でのお泊り,Alexx_M,['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],General Audiences,No Archive Warnings Apply,"Gen, M/M",Complete Work,11 Apr 2024,"['Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Aizawa Shouta | Eraserhead & Eri & Shinsou Hitoshi & Yamada Hizashi | Present Mic', 'Aizawa Shouta | Eraserhead & Original Animal Character(s)', 'Aizawa Shouta & Kayama Nemuri & Shirakumo Oboro & Sushi the Cat & Yamada Hizashi', 'Shirakumo Oboro & Sushi the Cat', 'Aizawa Shouta & Kayama Nemuri & Shirakumo Oboro & Yamada Hizashi']","['Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic', 'Original Animal Character(s)', 'Eri (My Hero Academia)', 'Shinsou Hitoshi', 'mentioned Kayama Nemuri | Midnight - Character', 'Mentioned Shirakumo Oboro - Character', 'Sushi the Cat (My Hero Academia)']","['Post-Final War Arc (My Hero Academia)', 'Married Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Parental Aizawa Shouta | Eraserhead | Dadzawa', 'Sleepovers', 'Family Fluff', 'Movie Nights', 'Aizawa Shouta | Eraserhead and Yamada Hizashi | Present Mic Adopt Shinsou Hitoshi', 'Almost adopted Eri', 'Hope that Shirakumo will return', 'Quote: Plus Ultra (My Hero Academia)', 'Nicknames', 'Domestic Fluff', 'implied/referenced canon character death', 'and mild allusions to how the alive characters deal with it', 'Somewhat Bittersweet toward the end']",消太は朝日とともに目覚め、彼を囲む歓迎すべきものだがどういうわけか予期せぬものを発見した。 彼が自分のものと呼ぶことを誇りに思う家族のための瞬間。 Shouta awakes with the rising Sun to find something welcome but somehow unexpected surrounding him. A moment for a family that he’s proud to call his.,日本語,"1,509",1/1,,,,18
55120000,Getsuyōbi no Gozen-chū 月曜日の午前中,Alexx_M,['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],General Audiences,No Archive Warnings Apply,"Gen, M/M",Complete Work,11 Apr 2024,"['Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Aizawa Shouta | Eraserhead & Eri & Shinsou Hitoshi & Yamada Hizashi | Present Mic', 'Sushi the Cat & Yamada Hizashi | Present Mic & Original Character(s)', 'Aizawa Shouta | Eraserhead & Sushi the Cat & Original Character(s)']","['Yamada Hizashi | Present Mic', 'Original Animal Character(s)', 'Aizawa Shouta | Eraserhead', 'Sushi the Cat (My Hero Academia)', 'Eri (My Hero Academia)', 'Shinsou Hitoshi']","['Morning Routines', 'Slice of Life', 'How Aizawa Wears His Prosthetic Leg', 'Aizawa Shouta | Eraserhead and Yamada Hizashi | Present Mic Adopt Shinsou Hitoshi', 'Almost adopted Eri', 'Post-Final War Arc (My Hero Academia)', 'Domestic Fluff', 'Fluff', 'Family Fluff', 'Parental Yamada Hizashi | Present Mic', 'Parental Aizawa Shouta | Eraserhead | Dadzawa', 'Married Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'POV Yamada Hizashi | Present Mic', 'The Aizawa-Yamada Household', 'Nicknames', 'Cute Eri (My Hero Academia)', ""Minor References to Singin' in the Rain (1952)"", 'Minor Bluey (Cartoon 2018) References', 'Song: Lovely Day (Bill Withers)', 'Songfic', 'Song Lyrics']",相澤・山田家の月曜日はいかがですか？ それを知る時が来ました。 How are Mondays in the Aizawa-Yamada household? It's time to find out.,日本語,"4,130",1/1,,,,28
55056583,コラージュ,志水 (shimizukako),['Disco Elysium (Video Game)'],General Audiences,No Archive Warnings Apply,No category,Complete Work,08 Apr 2024,['Harry Du Bois & Jean Vicquemare'],"['Harry Du Bois', 'Jean Vicquemare']",['Post-Canon'],本編後のハリーと夢とペイルとジャン。宴の始末。,日本語,"5,545",1/1,,,,3
55044844,挑発的なダンス,Anonymous,"['呪術廻戦 | Jujutsu Kaisen (Manga)', '呪術廻戦 | Jujutsu Kaisen (Anime)']",General Audiences,Choose Not To Use Archive Warnings,F/M,Complete Work,11 Jan 2024,['Gojo Satoru/Iori Utahime'],"['Gojo Satoru', 'Iori Utahime']",[],,日本語,714,1/1,,,,4
55034221,4,feixu_noric,['Original Work'],Not Rated,Choose Not To Use Archive Warnings,Other,Complete Work,07 Apr 2024,[],[],[],,日本語,"15,301",1/1,,,,3
55029271,負けられない戦い,midoru,"['Good Omens (TV)', 'The Sandman (TV 2022)']",General Audiences,No Archive Warnings Apply,M/M,Complete Work,07 Apr 2024,"['Aziraphale/Crowley (Good Omens)', 'Dream of the Endless | Morpheus/Hob Gadling']","['Aziraphale (Good Omens)', 'Crowley (Good Omens)', 'Dream of the Endless | Morpheus', 'Hob Gadling', 'Matthew the Raven']",[],・ GOとサンドマンのクロスオーバーで、 アジラフェルとホブが負けられない戦いをしている話です。 ・ ホブが喋っていることなどは「Dream in the catcafe」の内容を含みますが、読んでなくてもわかると思います。,日本語,"6,123",1/1,,1,,13
55027315,怪我人は安静にしてください！,fungi_kinoko,"['Fallout 4', 'Fallout (Video Games)']",Teen And Up Audiences,Choose Not To Use Archive Warnings,F/M,Complete Work,07 Apr 2024,"['John Hancock/Female Sole Survivor', 'John Hancock/Sole Survivor (Fallout)']","['John Hancock (Fallout)', 'Female Sole Survivor (Fallout)']",[],大怪我をしたハンコックが弊ノーラにあざとく性行為をおねだりして医者に呆れられる話。 弊ノーラが騎乗位失敗する話でもある。 弊ノーラはバリネコだなと思います。,日本語,"3,118",1/1,,2,,9
55006099,火の色,0034,['Tennis RPF'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,06 Apr 2024,['Daniil Medvedev/Andrey Rublev'],"['Daniil Medvedev', 'Andrey Rublev']","['Hurt/Comfort', 'Mental Health Issues', 'Misunderstandings']",ダニールは、親友の住む南の島を訪れる。引退した、親友のもとを。 ※注意事項 / Attention※ この作品は、過去・現在・未来すべてにおける、現実の人物、事柄と一切関わりありません。 私はすべてのテニスプレイヤーとテニスを愛する人たちが、心身ともに健康で、テニスを楽しめることを、心から願っています。,日本語,"3,379",1/1,,,,33
55005619,Sake to Hikari to Ai 酒と光と愛,Alexx_M,['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)'],Teen And Up Audiences,No Archive Warnings Apply,"Gen, M/M",Complete Work,07 Apr 2024,"['Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Aizawa Shouta & Iida Tensei & Kayama Nemuri & Shirakumo Oboro & Yamada Hizashi', 'Aizawa Shouta | Eraserhead & Eri & Shinsou Hitoshi & Yamada Hizashi | Present Mic', 'Eri & Kayama Nemuri | Midnight', 'Aizawa Shouta | Eraserhead & Class 1-A']","['Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic', 'Eri (My Hero Academia)', 'Kayama Nemuri | Midnight', 'Mentioned Shirakumo Oboro - Character', 'Nomu (My Hero Academia)', 'Pro Heroes (My Hero Academia)', 'Akaguro Chizome | Stain', 'Class 1-A (My Hero Academia)', 'Chisaki Kai | Overhaul', 'Toogata Mirio', 'Kurogiri (My Hero Academia)', 'Nedzu (My Hero Academia)']","['Grief/Mourning', 'Making up for a Missed Anniversary', 'Established Aizawa Shouta | Eraserhead/Yamada Hizashi | Present Mic', 'Translation', 'Emotional Hurt/Comfort', 'Angst with a Happy Ending', 'Angst and Hurt/Comfort', 'Drinking to Cope', 'Promises', 'Sleepy Cuddles', 'Symbolism', 'Hurt Aizawa Shouta | Eraserhead', 'Emotional Aizawa Shouta | Eraserhead', 'Mild Traumatized Aizawa Shouta | Eraserhead', 'Yamada Hizashi | Present Mic is a Ray of Sunshine', 'and so is Eri', 'Parental Aizawa Shouta | Eraserhead | Dadzawa', 'Minor Parental Yamada Hizashi | Present Mic', 'Yamada Hizashi | Present Mic is an Amazing Friend', 'Yamada Hizashi | Present Mic is an Amazing Significant Other', 'love through tragedy', 'Precious and Sweet Eri', 'Father-Daughter Relationship', 'References to Several other Arcs including Vigilantes', 'Tensei is part of the rooftop gang', 'Extremely Emotionally Intelligent Eri', 'like supernaturally so', 'POV Multiple', 'Post-Joint Training Arc (My Hero Academia)', 'Pre-My Hero Academia: Heroes Rising (Movie)', 'Minor Parental Kayama Nemuri | Midnight', 'Brutally Honest Yamada Hizashi | Present Mic']","神野事件のせいで白雲の命日を逃し、悪役たちが独自のアカデミアを持ち始める直前に、翔太は逃した記念日を埋め合わせ、新しい役割と古い人間関係と新しい人間関係の両方に取り組む。 After missing the anniversary for Shirakumo’s death due to the Kamino Incident and just before the villains start to have their own Academia, Shouta makes up for the missed anniversary and grapples with his new roles as well as both his old and new relationships.",日本語,"10,353",3/3,,,,32
55004272,今はまだそれだけのこと,moonlight0256,['原神 | Genshin Impact (Video Game)'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,04 Mar 2024,"['Alhaitham/Kaveh (Genshin Impact)', 'Kaveh & Mehrak (Genshin Impact)']","['Kaveh (Genshin Impact)', 'Alhaitham (Genshin Impact)', 'Mehrak (Genshin Impact)']",['Fluff'],3徹先輩を寝かしつける後輩の話,日本語,"1,536",1/1,,1,,5
54989380,霧人,DespairNagito,['逆転裁判 | Gyakuten Saiban | Ace Attorney'],General Audiences,No Archive Warnings Apply,No category,Complete Work,22 Mar 2024,[],['Garyuu Kirihito | Kristoph Gavin'],['Fanart'],,日本語,0,1/1,,,,2
54982531,ゆるしの日,hinazuki03,"['Fantastic Beasts and Where to Find Them (Movies)', 'Harry Potter - J. K. Rowling']",General Audiences,No Archive Warnings Apply,M/M,Complete Work,05 Apr 2024,['Albus Dumbledore/Gellert Grindelwald'],"['Albus Dumbledore', 'Gellert Grindelwald']","['Halloween', 'Halloween Costumes', 'Fluff', 'Cute']",ハロウィンの平和な壮年ゲラアル。アルバスのいたずらと、お互いに甘やかしたい二人の話。 ゲラートが外見だけ若返ります。,日本語,"5,244",1/1,,,1,23
54954367,ちみマクのだいぼうけん・日常編,huyuhi,['Moon Knight (TV 2022)'],Explicit,Rape/Non-Con,M/M,Work in Progress,10 Apr 2024,"['Steven Grant/Marc Spector', 'Jake Lockley/Marc Spector', 'OC/marc spector']","['Steven Grant (Marvel)', 'Jake Lockley', 'Marc Spector']","['Top Steven Grant (Marvel)', 'Top Jake Lockley', 'Bottom Marc Spector', 'Marc is brainwashed', 'Steven and Jake want to treat Marc']",ある日突然手のひらサイズになってしまったマークがスティーヴンとジェイクとほのぼの暮らしたりモブに拾われて大変な目にあったりする話のその後、日常に帰ってきた後の話です。 前編までの以下の内容に関するトラウマ・洗脳下の状況のままですのでご注意ください。 性的暴行描写、暴行描写、洗脳による被虐的な思考など倫理に反する描写が多数あります。 以下前編までの内容です。 「綿棒を使って遊ばれたり無理やりリボンを巻かれて接着剤で結び目を固められたりおもちゃ付きテディベアに乗っからされたりと色々と酷い目に合うマークがいるので、必ず注意書きをご確認ください。 後半にカエル×マークやモグラ×マークや虫姦や母乳や卵をお腹の中に産み付けられたりする話があります」 ものすごく人を選ぶ内容ですので、お好きな方のみお読みください。,日本語,"26,380",3/20,,2,,55
54935998,Appetizer: Soup,amaashi,['What If...? (Cartoon 2021)'],Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,03 Apr 2024,['The Cloak of Levitation & Stephen Strange'],['Stephen Strange'],"['Kindness', 'Scene of a meal', 'Including image illustrations']",,日本語,"2,265",1/1,,,,9
54929725,手を繋いでおやすみ,huyuhi,['Moon Knight (TV 2022)'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,03 Apr 2024,['Steven Grant/Marc Spector'],"['Steven Grant (Marvel)', 'Marc Spector']","['Top Steven Grant (Marvel)', 'Bottom Marc Spector']",関係が成立したばかりのスティーヴンとマークがすれ違う話です。どきどきしっぱなしのスティーヴンと不安になりっぱなしのマークがいます。 分裂している世界、ジェイクは合流前です。,日本語,"4,057",1/1,,,,10
54911176,眠い部屋,tomatoindisguise,['Radiohead (Band)'],Not Rated,No Archive Warnings Apply,M/M,Complete Work,02 Apr 2024,['Jonny Greenwood/Thom Yorke'],"['Jonny Greenwood', 'Thom Yorke']","['Panic Attacks', 'Emotional Hurt/Comfort']",ちょっと長めの文章を書いてみました 時間あれば英訳したいです,日本語,"3,043",1/1,,9,,51
