work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55105834,그만.,rekonvaleszent,['Hollow Knight (Video Games)'],Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,10 Apr 2024,[],[],[],,한국어,"1,016",1/1,,,,4
55056466,노예 해방,furem,['재배소년 | Cultivated Boy (Video Game)'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,08 Apr 2024,[],"['스투키', '웰']",[],"데저트이글 웰이 스투키를 구출하고, 시계탑에 쳐들어갈 준비를 합니다. 스투키를 해독하는 것도 웰에게는 급선무입니다.",한국어,732,1/1,,,,3
55047130,도발적인 댄스,Anonymous,"['呪術廻戦 | Jujutsu Kaisen (Manga)', '呪術廻戦 | Jujutsu Kaisen (Anime)']",General Audiences,Choose Not To Use Archive Warnings,F/M,Complete Work,05 Jan 2024,['Gojo Satoru/Iori Utahime'],"['Gojo Satoru', 'Iori Utahime']",[],,한국어,210,1/1,,,,2
55025722,"[한국어 번역] a dark alley, a bad idea",Whowhenwhere,['Star Wars Prequel Trilogy'],Explicit,No Archive Warnings Apply,M/M,Work in Progress,07 Apr 2024,['Obi-Wan Kenobi/Anakin Skywalker'],"['Anakin Skywalker', 'Obi-Wan Kenobi']","['Alternate Universe - Modern Setting', 'Romantic Comedy', 'Writer Obi-Wan Kenobi', 'Secret Identity', 'Humor', 'Eventual Romance', 'Bottom Obi-Wan Kenobi', 'British Character', 'Post-Divorce', 'Self-Doubt', 'Self-deprecating humor', 'Body Image', 'Top Anakin Skywalker', 'Threats of Violence', 'Past Violence', 'Awkward Flirting', 'Anal Sex', 'Rimming', 'Morally Ambiguous Character']","travellingcircus님께서 쓰신 a dark alley, a bad idea입니다. 새틴과 이혼한 작가 오비완이 우연히 아나킨이 운영하는 카페에 방문하면서 일어나는 현대 AU 이야기입니다.",한국어,"9,300",1/4,,4,,51
55006552,Chapter Four,StardustRequiem,['Avenged Sevenfold'],Teen And Up Audiences,Major Character Death,M/M,Complete Work,06 Apr 2024,"['Synyster Gates/Jimmy ""The Rev"" Sullivan', 'Jimmy ""The Rev"" Sullivan/Zacky Vengeance']","['Synyster Gates', 'Jimmy ""The Rev"" Sullivan', 'Zacky Vengeance']",[],오탈자 많음. I can translate it in eng if u want :),한국어,"3,117",1/1,,,,15
55004452,스트라제스 따먹히다,honoraryfastus,['에픽세븐 | Epic Seven (Video Game)'],Explicit,Choose Not To Use Archive Warnings,Other,Complete Work,06 Apr 2024,['Straze/The Player'],['Straze (Epic Seven)'],"['Intercrural Sex', 'Mildly Dubious Consent', 'One Shot']","스트라제스가 로비에서 정체를 알 수 없는 존재를 우연히 마주치게 된다. *의역, 오역 주의",한국어,"1,415",1/1,,1,,7
54927733,Refuge of Last Resort,Bestdayofmylife816,['Batman - All Media Types'],Not Rated,Choose Not To Use Archive Warnings,Gen,Complete Work,03 Apr 2024,['Tim Drake & Jason Todd'],"['Jason Todd', 'Tim Drake', 'Dick Grayson', 'Bruce Wayne']","['Jason Todd is Red Hood', 'Jason Todd Has Issues', 'Tim Drake is Robin', 'Tim Drake Needs a Hug', 'Angst and Feels', 'Hurt/Comfort', 'Lazarus Pit Side Effects (DCU)', 'Dead Joker (DCU)', 'Protective Jason Todd', 'Brotherly Bonding', 'Tim Drake Has Issues']","새벽 4시 8분, 누군가 창문 경보를 울렸고 제이슨은 깜짝 놀라 깨어났다. 그는 침대에서 구르듯 일어나며 칼을 움켜쥐었다. 그가 현재 위치한 안전 가옥은 패션 지구에서 가장 좋은 동네 중 하나에 위치한 곳이었고, 따라서 그는 되도록 이곳에서는 총을 쏘고 싶지 않았다. 거실로 나간 그는 웅크리고 있던 그림자가 곧게 일어나는 것을 발견했다. “쏘지 마.” 침입자가 말했다. --- 또는: 제이슨은 대체품이 도움을 청하기 위해 그의 집 창문을 넘을만큼 뻔뻔스럽다는 것을 믿을 수 없다.",한국어,"5,324",1/1,,7,1,70
54924397,timeless,Anonymous,['崩坏：星穹铁道 | Honkai: Star Rail (Video Game)'],Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,03 Apr 2024,['Blade/Dan Heng (Honkai: Star Rail)'],[],[],,한국어,6,1/1,,,,79
54924322,accompany,Anonymous,['崩坏：星穹铁道 | Honkai: Star Rail (Video Game)'],Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,03 Apr 2024,['Blade/Dan Heng (Honkai: Star Rail)'],[],[],,한국어,8,1/1,,,,45
54923920,love,Anonymous,['崩坏：星穹铁道 | Honkai: Star Rail (Video Game)'],Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,03 Apr 2024,['Blade/Dan Heng (Honkai: Star Rail)'],[],[],,한국어,8,1/1,,1,,48
54923776,face,Anonymous,['崩坏：星穹铁道 | Honkai: Star Rail (Video Game)'],Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,03 Apr 2024,['Blade/Dan Heng (Honkai: Star Rail)'],[],[],,한국어,9,1/1,,,,55
54923719,a blade,Anonymous,['崩坏：星穹铁道 | Honkai: Star Rail (Video Game)'],Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,03 Apr 2024,['Blade/Dan Heng (Honkai: Star Rail)'],[],[],,한국어,4,1/1,,,,25
54923623,pairs,Anonymous,['崩坏：星穹铁道 | Honkai: Star Rail (Video Game)'],Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,03 Apr 2024,['Blade/Dan Heng (Honkai: Star Rail)'],[],[],,한국어,4,1/1,,,,26
54923572,pairs,Anonymous,['崩坏：星穹铁道 | Honkai: Star Rail (Video Game)'],Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,03 Apr 2024,['Blade/Dan Heng (Honkai: Star Rail)'],[],[],,한국어,6,1/1,,,,31
54923506,bracer,Anonymous,['崩坏：星穹铁道 | Honkai: Star Rail (Video Game)'],Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,03 Apr 2024,['Blade/Dan Heng (Honkai: Star Rail)'],[],[],,한국어,5,1/1,,,,26
54923194,monsters,Anonymous,['崩坏：星穹铁道 | Honkai: Star Rail (Video Game)'],Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,03 Apr 2024,['Blade/Dan Heng (Honkai: Star Rail)'],[],[],,한국어,5,1/1,,,,30
54922840,shift,Anonymous,['崩坏：星穹铁道 | Honkai: Star Rail (Video Game)'],Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,03 Apr 2024,['Blade/Dan Heng (Honkai: Star Rail)'],[],[],,한국어,4,1/1,,,,56
54922594,relevant,Anonymous,['崩坏：星穹铁道 | Honkai: Star Rail (Video Game)'],Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,03 Apr 2024,['Blade/Dan Heng (Honkai: Star Rail)'],[],[],,한국어,4,1/1,,1,,32
54857518,제프의 만우절 장난,모과 (Soonie_22),['Creepypasta - Fandom'],Teen And Up Audiences,No Archive Warnings Apply,No category,Complete Work,01 Apr 2024,"['Jeffrey Woods | Jeff the Killer & Liu Woods | Homicidal Liu', 'Jeffrey Woods | Jeff the Killer/Liu Woods | Homicidal Liu']","['Jeffrey Woods | Jeff the Killer', 'Liu Woods | Homicidal Liu']","[""April Fools' Day"", 'prank', 'Pranks and Practical Jokes', ""Boys' Love"", ""I'm not sure if I should tag Boys' Love or not"", 'It has that mood', 'I don’t know what to tag', 'first time writing and posting']","어느 만우절, 제프가 리우에게 할 말이 있다고 말한다.",한국어,231,1/1,,,,6
54783778,[한국어 번역] Perfectly designed,Whowhenwhere,['Star Wars - All Media Types'],Explicit,Underage,M/M,Complete Work,28 Mar 2024,['Obi-Wan Kenobi/Anakin Skywalker'],"['Obi-Wan Kenobi', 'Anakin Skywalker']","['Underage Sex', 'Feminization', 'Objectification', 'Dubious Consent', 'Body Modification', 'Dollification', 'Creepy Anakin Skywalker', 'Incel Anakin Skywalker', 'Top Anakin Skywalker', 'Bottom Obi-Wan Kenobi', 'Underage Obi-Wan Kenobi', 'Mentions of Cancer', 'mentions of mpreg', 'Mentions of male lactation', 'Obi-Wan Kenobi Needs a Hug', 'and', 'Anakin Skywalker needs a Restriction Order', 'Gross Anakin Skywalker']",Fel_Kaaz님의 Perfectly designed 한국어 번역입니다. 11살에 오비완을 처음 만난 날에 아나킨의 인생은 바뀌고 맙니다. 게임 '포스의 구도자'의 캐릭터로 나오는 오비완과 사랑에 빠진 아나킨은 진짜 오비완을 만들겠다고 다짐합니다. 태그를 잘 보고 취향에 맞으면 읽어주세요.,한국어,"7,181",1/1,,4,,167
54757723,[번역]문화(닥치고 앉아),DAKAL,"['Fate/Zero', 'Fate/stay night & Related Fandoms']",Explicit,No Archive Warnings Apply,M/M,Complete Work,27 Mar 2024,['Iskandar | Rider/Waver Velvet'],"['Waver Velvet', 'Iskandar | Rider']",[],"웨이버에게 무언가를 하지 말라고 말하는 첫 번째 규칙은, 그러면 웨이버가 더 하고 싶어 할 거라는 걸 기억하는 것이다. 원제: Culture (Shut Up and Sit Down)",한국어,"1,020",1/1,,1,,16
54757615,[번역]마케도니아에서는,DAKAL,"['Fate/Zero', 'Fate/stay night & Related Fandoms']",Explicit,No Archive Warnings Apply,M/M,Complete Work,27 Mar 2024,['Iskandar | Rider/Waver Velvet'],"['Iskandar | Rider', 'Waver Velvet']",[],섹스에는 몇몇 소통 문제가 수반된다. 원제: In Macedonia,한국어,725,1/1,,1,,13
54757522,[번역]실용적,DAKAL,"['Fate/Zero', 'Fate/stay night & Related Fandoms']",Explicit,No Archive Warnings Apply,M/M,Complete Work,27 Mar 2024,['Iskandar | Rider/Waver Velvet'],"['Waver Velvet', 'Iskandar | Rider']",[],"웨이버는 마력을 공급할 준비가 되었으나, 그걸 위해서 하는 건 아니다. 원제: Practical",한국어,595,1/1,,1,,9
54735781,모든 가면이 부서지는 곳,wanden22,"['Star Wars - All Media Types', 'Star Wars Prequel Trilogy']",Explicit,No Archive Warnings Apply,M/M,Complete Work,26 Mar 2024,"['Obi-Wan Kenobi/Anakin Skywalker', 'Obi-Wan Kenobi/Darth Vader']","['Obi-Wan Kenobi', 'Anakin Skywalker | Darth Vader']","['Alternate Universe - Canon Divergence', 'Suited Darth Vader', 'Touch-Starved', 'Suitless Darth Vader', 'Top Anakin Skywalker', 'Bottom Obi-Wan Kenobi', 'Fix-It of Sorts', 'Force Bond (Star Wars)', 'Vaderwan', 'not compliant with the Kenobi show']","은하 제국의 탄생 이후 4년이 흐른 어느 날, 오비완은 예상치 못한 제안을 가지고 베이더 앞에 나타난다. skyl_tales 작가님의 where every mask cracks 번역입니다.",한국어,"19,051",7/7,,10,1,87
54721564,어서오세요 Mr.웨인씨!,Ice_MintMilk,['Batman - All Media Types'],General Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,25 Mar 2024,[],"['Batman', 'Bruce Wayne', 'Tim Drake', 'Dick Grayson', 'Jason Todd']","['Original extra characters - Freeform', 'trip to Korea']",브루스는 대통령 일가의 초대와 웨인엔터 한국지부에서 일어나는 일을 해결하기 위해 서울(한국의 수도)로 향합니다. 한국에 머무는 기간은 약 2주일. 출장을 빙자한 강제 휴가에서 얼마나 쉴 수 있을까요?,한국어,836,1/1,,,,6
54711292,임시제목.,Nyand,['Original Work'],Mature,Graphic Depictions Of Violence,"Gen, Other, F/F",Work in Progress,25 Mar 2024,[],"['코롤리바 퀸', '글러트니 슈타이겐', '아르모 코르부스', '아야르 제이드', '루스티드 도미넌스', ""'솔트'"", '네소']",[],,한국어,575,1/?,,,,3
54680071,O Saga: 파트 1: 기원의 책,rsluebben,"['No Fandom', 'Original Work']",Teen And Up Audiences,"Choose Not To Use Archive Warnings, Graphic Depictions Of Violence, Major Character Death","F/F, F/M",Complete Work,01 Apr 2024,"['테아/말룸', '엘리사피/가이아', '로반/아마야', '말라이카/이찬테', '차르 미로/차르나 살마']","['테아', '말룸', '카이', '플라에로', '키론', '로반', '아마야', '비타', '자바드', '아키바', '올라퍼', '단테스 선장', '오라클의 주인', '하갈의 마녀', '섀도우 집회', '검은 군단', '말라이카', '차스카', '야차이 추장', '카바 수석', '엘리사피에', '가이아', '이찬테', '아폴리온', '오다코타왕', '아톡 바알', '라스탄 주교', '토토 사령관', '필드 마샬 램지', '보야르 비시니아', '차르 미로', '차리나 살마', '소로르 도미누스']","['Witchcraft', 'Dark Magic', 'Fantasy', 'Myth Arc', 'Swords & Sorcery', 'Animal Connections', 'Torture']","신비한 땅에서는 억압받는 자들이 폭군의 멍에를 깨기 위해 노력하면서 혁명이 확산되고 있습니다. 만물의 근원에 헌신하는 기사들이 점점 커지는 농민 반란에 동참하기 위해 처음으로 하나의 깃발 아래 뭉쳤습니다. 영웅과 악당은 전설이 되면서 그들의 용기를 시험합니다. 존재하는 힘은 쉽게 힘을 포기하지 않을 것이며, 희생을 치르면서 피를 흘리게 될 것입니다.",한국어,"68,713",29/29,,,,8
