id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55148713,Hunter | roronoa zoro,ZelosNation,['One Piece (Live Action TV 2023) RPF'],Explicit,No Archive Warnings Apply,F/M,Complete Work,12 Apr 2024,['Roronoa Zoro & Reader'],"['Roronoa Zoro', 'Original Female Character(s)']",[],"Líder conheceu a história de Roronoa Zoro assim que saiu da terra do Nunca e naufragou próximo da Cidade das Conchas, escondendo-se do HALATEEZ que procurava por ela desde seus catorze anos de idade. Treinando para ser a melhor espadachim do mundo, com certeza seu desafio final era derrotar Mihawk, mas antes, obviamente teria que derrotar Zoro. Mas digamos que tinha algo que a impedia desde que o olhou de longe bebendo numa taberna qualquer onde comia sua refeição e apreciava o Roronoa com seus cabelos verdes, três espadas e músculos volumosos.",Português europeu,"4,508",1/1,,1,,2
55057156,Too Much To Ask,woaharabella,"['Game of Thrones (TV)', 'A Song of Ice and Fire - George R. R. Martin']",Explicit,Graphic Depictions Of Violence,F/M,Work in Progress,08 Apr 2024,"['Jon Snow/Sansa Stark', 'Aegon Targaryen (Son of Elia)/Margaery Tyrell', 'Catelyn Tully Stark/Ned Stark', 'Elia Martell/Rhaegar Targaryen']","['Sansa Stark', 'Jon Snow', 'Robb Stark', 'Aegon Targaryen (Son of Elia)', 'Elia Martell', 'Rhaegar Targaryen', 'Rhaenys Targaryen (Daughter of Elia)', 'Ned Stark', 'Catelyn Tully Stark', 'Arya Stark', 'Joffrey Baratheon']","['Alternate Universe', 'Alternate Universe - Modern Setting', 'Alternate Universe - Mob', 'Alternate Universe - Arranged Marriage', 'Organized Crime', 'Arranged Marriage']","Em Westeros existe uma velha tradição que vem, há várias gerações, unindo poderosas famílias através do matrimônio, trazendo benefícios às mesmas. Ela é conhecida como acordo inquebrável. Eddard Stark e Rhaegar Targaryen, amigos de longa data, irão utilizar esse mesmo costume para selar uma aliança contra os Baratheon e os Lannister. Sansa Stark e Jon Targaryen não se conhecem, não da forma que conhecem os irmãos um do outro. Jon pensa que Sansa ainda é a mesma menina de quando eles eram crianças: perdida em fantasias e a sonhar com o seu príncipe loiro. Enquanto Sansa acredita que Jon será como os restantes homens de sua família: daqueles que têm muitas amantes para os fazerem esquecer a esposa que os espera em casa. “My heart is hoping you'll walk right in tonight. That's all I'm asking... Is it too much to ask?”",Português europeu,"4,877",2/?,,11,1,155
55041673,Dança Provocante,Anonymous,"['呪術廻戦 | Jujutsu Kaisen (Manga)', '呪術廻戦 | Jujutsu Kaisen (Anime)']",General Audiences,Choose Not To Use Archive Warnings,F/M,Complete Work,08 Jan 2024,['Gojo Satoru/Iori Utahime'],"['Gojo Satoru', 'Iori Utahime']",[],,Português europeu,305,1/1,,,,1
54941290,Azul,mimopudi,['ぶっちぎり | Bucchigiri?! (Anime)'],Mature,Choose Not To Use Archive Warnings,M/M,Complete Work,03 Apr 2024,['Asamine Matakara/Ichiya'],['Asamine Matakara'],"['Prose Poem', 'Suicide Attempt', 'Unhealthy Relationships', 'Complicated Relationships']","«Ele era indubitavelmente frio. A forma como falava era aborrecida, desinteressante. E o seu corpo... Era fechado, não convidativo. Mas no meio do silencio, da solidão. Do ar húmido e do frio... Do seu abraço próprio (enfim, um leito em vão) Lentamente esses primeiros preceitos foram-se desvanecendo.»",Português europeu,296,1/1,,3,,29
54771730,Algo Novo,mimopudi,"['Morangos com Açúcar', 'Morangos com Açúcar 4']",Mature,Choose Not To Use Archive Warnings,F/M,Complete Work,27 Mar 2024,['Rui Sousa/Adriana Reis'],"['Rui Sousa', 'Adriana Reis']","['Strap-On', 'Established Relationship', 'O Rui tem medo de levar com um strap-on', 'é essa a fic', 'Pegging']","«Adriana e Rui davam-se bem, tinham um casamento forte, cada um com o seu emprego, sonhos e planos para o futuro em conjunto. Porém, apesar de todas as coisas boas, Adriana quer experimentar algo novo, mas não sabe se Rui estará de acordo. Um dia, quando estão em beijos e abraços, prontos com as mãos nas coxas com mordidas e carícias, Adriana diz a Rui que precisa de falar. Rui fica preocupado, nervoso, será que fez algo de mal? Será que Adriana já não gosta dele? Ou pior, será que ela já não quer ser chamada de gatinha? “Ai, Adriana! Diz logo...! E-estás-me a deixar numa pilha de nervos...!” ""Pronto! Ok… Aqui vai então… Sabes o que é um strap-on?""»",Português europeu,594,1/1,,1,,2
54752326,O quebra nozes,presidenki,['One Piece (Anime & Manga)'],Teen And Up Audiences,Choose Not To Use Archive Warnings,M/M,Work in Progress,26 Mar 2024,['Monkey D. Luffy/Trafalgar D. Water Law'],"['Monkey D. Luffy', 'Trafalgar D. Water Law']",['Modern Era'],"Ás vezes o destino se vê obrigado a interferir para que almas gémeas se encontrem. Law é teimoso, então o destino força o médico a atrasar-se. O Law é médico. O Luffy é um ginasta/contorcionista. Lawlu | Lulaw (não sei se terá conteúdo adulto [+18] então não esperem, no máximo devem ser uns beijos quentes.)",Português europeu,"2,015",1/?,,6,,32
54723976,Um gatinho,Maggie_Moriaty,"['憂国のモリアーティ | Yuukoku no Moriarty | Moriarty the Patriot (Manga)', '憂国のモリアーティ | Yuukoku no Moriarty | Moriarty the Patriot (Anime)', 'Sherlock Holmes & Related Fandoms']",General Audiences,No Archive Warnings Apply,No category,Work in Progress,25 Mar 2024,"['Sherlock Holmes & John Watson (Yuukoku no Moriarty)', 'Sherlock Holmes/John Watson (Yuukoku no Moriarty)', 'Irene Adler & Sherlock Holmes', 'Sherlock Holmes & Miss Hudson (Yuukoku no Moriarty)', 'Mycroft Holmes & Sherlock Holmes (Yuukoku no Moriarty)', 'Irene Adler/Sherlock Holmes']","['Albert James Moriarty (Yuukoku no Moriarty)', 'William James Moriarty (Yuukoku no Moriarty)', 'Sherlock Holmes (Yuukoku no Moriarty)', 'John Watson (Yuukoku no Moriarty)', 'Miss Hudson (Yuukoku no Moriarty)', 'James Bond | Irene Adler (Yuukoku no Moriarty)', 'Mycroft Holmes (Yuukoku no Moriarty)', 'Sherlock Holmes']",['Drama & Romance'],"Watson bebeu um experimento de Sherlock, e agora é um gato. Quais seriam as vantagens e desvantagens? No mundo de Moriaty patriot pode acontecer muita coisa. Esta é uma Fanfic de jonhlock de Moriaty patriot, William também vai aparecer e vai dar alguns problemas, mas nada que se resolva😉 certo?😢 Se vocês ainda n viram moriaty patriot, podem ler na mesma mas é aconselhável verem primeiro o anime. Ou podem ler comonse fosse uma história normal.",Português europeu,"2,369",2/10,,1,,11
54674950,O Saga: Parte Um: Livro das Origens,rsluebben,"['No Fandom', 'Original Work']",Teen And Up Audiences,"Choose Not To Use Archive Warnings, Graphic Depictions Of Violence, Major Character Death","F/F, F/M",Complete Work,01 Apr 2024,"['Théa/ Malum', 'Elisapie/ Gaia', 'Amaya/Rovan', 'Malaika/ Ichante', 'Czar Miro/ Czarina Salma']","['Thea', 'Malum - Character', 'Kai', 'Flaero', 'quiron', 'Rovan', 'Amaya', 'Bita', 'Javad', 'Akiva', 'Olafur', 'Capitão Dantes', 'Mestres do Oráculo', 'Bruxa de Hagar', 'Coven das Sombras', 'Legião Negra', 'Malaika - Character', 'Chaska Ehawee', 'Chefe Yachay', 'Chefe Kava', 'Elisapie', 'Gaia', 'Ichante', 'Apoliom', 'Rei Ohdakota', 'Atoc Baal', 'Bispo Rastan', 'Comandante Totó', 'Marechal de Campo Ramsey', 'Boyar Vicinia', 'Czar Miró', 'Czarina Salma', 'Soror Dominus']","['Fantasy', 'Witchcraft', 'Dark Magic', 'Myth Arc', 'Swords & Sorcery', 'Animal Connections', 'Torture']","Em terras místicas, a revolução está a espalhar-se à medida que os oprimidos procuram quebrar o jugo dos tiranos. Cavaleiros dedicados à Fonte de todas as coisas estão se unindo sob uma mesma bandeira pela primeira vez para se juntarem à crescente rebelião camponesa. Heróis e vilões testam sua bravura à medida que se tornam lendas. Os poderes constituídos não abrirão mão de seu poder facilmente e sangue será derramado à medida que sacrifícios forem feitos.",Português europeu,"92,040",29/29,,,,5
54591049,The winner takes it all,soobites,['One Piece (Anime & Manga)'],General Audiences,Choose Not To Use Archive Warnings,M/M,Complete Work,19 Mar 2024,['Monkey D. Luffy/Roronoa Zoro'],"['Roronoa Zoro', 'Monkey D. Luffy', 'Trafalgar D. Water Law']",[],"""nada mais a dizer nenhuma carta para jogar o vencedor leva tudo"" zolu angst",Português europeu,527,1/1,,6,1,59
54338530,Halls preto | choi san,ZelosNation,['ATEEZ (Band)'],Explicit,No Archive Warnings Apply,F/M,Complete Work,08 Mar 2024,"['Choi San (ATEEZ)/Reader', 'Choi San (ATEEZ) & Reader', 'Choi San (ATEEZ)/Original Female Character(s)']","['Choi San (ATEEZ)', 'Original Female Character(s)']","['SANBIA', 'Choi San - Freeform', 'Original Character(s)', 'Beatriz Wong']",Na qual Beatriz Wong amava quando seu namorado comprava halls preto. plot doado por: @heartzric_ / @cocktaeil_,Português europeu,"2,352",1/1,,,,21
