id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55167454,Tillfällig Separation,BloomingSkyes264,['Super Robot Monkey Team Hyperforce Go!'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,13 Apr 2024,"['Antauri & Chiro (Super Robot Monkey Team)', 'Chiro & SPRX-77 (Super Robot Monkey Team)']","['Chiro (Super Robot Monkey Team)', 'SPRX-77 (Super Robot Monkey Team)', 'Antauri (Super Robot Monkey Team)']","['Separation Anxiety', 'Anxiety', 'Emotional Hurt/Comfort', 'Drabble', 'Svenska | Swedish']","De var inte borta så länge, men han började redan känna sig orolig.",Svenska,381,1/1,,,,0
55163749,"“Ibland, Jag Glömde Att Du Är Ett Barn”",BloomingSkyes264,['Super Robot Monkey Team Hyperforce Go!'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,13 Apr 2024,[],"['Antauri (Super Robot Monkey Team)', 'Chiro (Super Robot Monkey Team)']","['Angst', 'No Dialogue', 'Drabble', 'Svenska | Swedish']",När som helst Antauri ser Chiro vara ett barn glömmer han att han är ett.,Svenska,377,1/1,,,,1
55160464,"insanity and magic, svensk",SD_END,['Murder Drones (Web Series)'],Teen And Up Audiences,"Graphic Depictions Of Violence, Major Character Death",No category,Work in Progress,12 Apr 2024,[],[],['njut/enjoy'],i en postapokalyptisk värld är ett mysterium ingen kan svara på. vad fan hände? låt oss följa en galen och kraftfull magisk användare och två drönare för att hitta den. kommer de att dö? mest troligt. kommer de att försöka? ja. Låt oss nu följa dem i helvetet och tillbaka och se om de dör eller lever för att hitta sanningen.,Svenska,"3,406",3/?,4,1,,16
55157668,Du Kanske Sover Utan Vård,BloomingSkyes264,['Super Robot Monkey Team Hyperforce Go!'],General Audiences,No Archive Warnings Apply,F/M,Complete Work,12 Apr 2024,['Nova/Otto (Super Robot Monkey Team)'],"['Nova (Super Robot Monkey Team)', 'Otto (Super Robot Monkey Team)']","['Fluff', 'Napping', 'Kissing', 'Gentle Kissing', 'Holding Hands', 'Drabble', 'Svenska | Swedish']",Nova somnar av misstag på Otto.,Svenska,344,1/1,,,,2
55068421,En sommarnatt,sockerfrimangodryck,"['Kent (Sweden Band)', 'Cats - Fandom']",Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,08 Apr 2024,['Markus Mustonen/Sami Sirviö'],"['Markus Mustonen', 'Sami Sirviö']",[],Sami och Markus är på semester i en lyxvilla och myser,Svenska,328,1/1,,,,0
55011841,Med hjälp från ovan – del 5. Julia tar för sig,johnnythump,['Original Work'],Explicit,Underage,F/M,Complete Work,06 Apr 2024,['Original Character(s)/Original Character(s)'],"['Original Characters', 'Original Child Character(s)']","['Mind Control', 'Tonåringar', 'Kristendom', 'Övernaturligt', 'Oralsex', 'Vaginalt sex', 'Superkrafter', 'Religion', 'Avsugning', 'petting', 'Fittslickning', 'Lolicon', 'Shotacon', 'Två karaktärer är tio år', 'fotboll', 'Onani - Freeform']",Julia är en 15-årig frikyrkotjej som lyckas bra på fotbollsplanen och provar mycket nytt – och en del förbjudet – när det gäller sex.,Svenska,"7,885",1/1,,,,89
54957664,Ett steg i rätt riktning,Sophia96,['Väsenjägarna (bokserie)'],General Audiences,No Archive Warnings Apply,No category,Complete Work,04 Apr 2024,[],"['Nelly Harjaz', 'Alex Harjaz', 'Jack Harjaz']","['Angst', 'Missing Scene', 'Bonus Scene', 'Vänskap', 'Familjedynamik', 'Nordiska väsen', 'Väsenjägare', 'Väsenjägarna', 'Bok - Freeform', 'Bokserie', 'Sorghantering', 'Drabble']",Fyrtioåtta timmar har passerat sedan syskonen fått reda på att deras föräldrar dött i en väsenjaktsolycka. Alla hanterar sorgen på olika sätt.,Svenska,"1,841",1/1,10,2,,28
54938743,Adressen och balkongen,Snodroppen_prastkragge,['Original Work'],Not Rated,Choose Not To Use Archive Warnings,No category,Complete Work,03 Apr 2024,[],['Original Female Character(s)'],['Inspired by Doctor Who'],Anna Sevander fick ett sms som ledde henne till en lägenhet i Stockholm. Hon ver inte vad som finns bakom dörren men hon vill ta reda på det.,Svenska,"1,357",1/1,,,,3
54855445,Hemligheten,Anonymous,"['För Marie Claire- Inger Edelfeldt', 'Nationella Proven']",General Audiences,No Archive Warnings Apply,F/M,Complete Work,31 Mar 2024,['Anneli/Berättarjaget (Marie Claire)'],"['Berättarjaget', 'Anneli']","['Är berättarjaget trans', 'tittat på för mycket fight club eller har flera personligheter', 'Ambiguous/Open Ending', 'Trans Female Character', 'Break Up']",Varför gjorde Anneli och berättarjaget slut? Fick Anneli någonsin reda på var hennes saker tog vägen? Det får vi reda på nu!,Svenska,862,1/1,,1,,2
54853144,Babygirl,Anonymous,['原神 | Genshin Impact (Video Game)'],Explicit,No Archive Warnings Apply,M/M,Complete Work,31 Mar 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['Plot What Plot/Porn Without Plot', 'Neuvillette Has a Vagina (Genshin Impact)', 'Alternate Universe - Modern Setting', 'Trans Neuvillette (Genshin Impact)', 'Trans Male Character', 'Top Wriothesley/Bottom Neuvillette (Genshin Impact)']",,Svenska,489,1/1,,5,1,559
54852955,Fjäderlika,Anonymous,['原神 | Genshin Impact (Video Game)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,31 Mar 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['Kissing', 'Tenderness', 'Established Relationship', 'Love', 'POV Neuvillette (Genshin Impact)']",,Svenska,306,1/1,,2,,6
54852817,En förskjutning i vattnet,Anonymous,['原神 | Genshin Impact (Video Game)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,31 Mar 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['Established Relationship', 'Soft Neuvillette (Genshin Impact)', 'Neuvillette takes care of Wriothesley', 'Light Angst', 'Hurt/Comfort']",,Svenska,397,1/1,,1,,12
54849094,För Gemensamma Bästa,BloomingSkyes264,['Hero: 108'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,31 Mar 2024,[],['Commander Apetrully'],"['No Dialogue', 'Character Study', 'Svenska | Swedish']","Det fanns saker som ingen visste om Kommendör Apverklig, de visste alla detta.",Svenska,547,1/1,,,,0
54829654,Labbrock,kakusagi,['Durarara!!'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,30 Mar 2024,['Kishitani Shinra/Orihara Izaya'],[],"['Svenska | Swedish', 'Alternate Universe - College/University', 'Short & Sweet']",Izaya tar på sig Shinras labbrock.,Svenska,343,1/1,,,,10
54795757,Den Provocerande Dansen,Anonymous,"['呪術廻戦 | Jujutsu Kaisen (Manga)', '呪術廻戦 | Jujutsu Kaisen (Anime)']",General Audiences,Choose Not To Use Archive Warnings,F/M,Complete Work,20 Feb 2024,"['Gojo Satoru/Iori Utahime', 'Gojo Satoru & Iori Utahime']","['Gojo Satoru', 'Iori Utahime']",[],,Svenska,290,1/1,,,,4
