id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55175692,Battleship Maiden:World of Shipgirls,Yuunaverse Original (ohmmy),"['Original Work', '艦隊これくしょん | Kantai Collection', '碧蓝航线 | Azur Lane (Video Game)', 'Azur Lane (Anime)', 'Battleship:War Girl (Video Game)', '战舰少女 | Zhànjiàn Shàonǚ | Warship Girls (Video Game)', 'Victory Belles (Video Game)', 'Black Surge Night (Video Game)', 'Blue Oath (Video Game)', 'Puzzle Girls (Video Game)']",Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,13 Apr 2024,[],[],"['Transformation', 'Gender or Sex Swap', 'Isekai', 'Science Fiction & Fantasy', 'War', 'Shipgirl']",จะเกิดอะไรขึ้นถ้าหากว่าคุณโดนส่งไปต่างโลกซึ่งเป็นโลกของเกมสาวเรืออย่าง Battleship Maiden ที่มีสาวเรือตั้งแต่เรือยุค Age of Sail จนถึงยานสตาร์ชิปยุค Galactic Colonization ในการรับมือกับกองเรือทะเลลึกหรืออบีสไมเดนที่ยึดครองแหล่งน้ำทั้งโลกผ่านทะเลเงา(Shadow Sea) และนั่นคือเรื่องราวของคอมมานเดอร์ชิรานุย ตัวเอกของเรา,ไทย,370,1/1,,,,7
55171183,ARK Expanded Universe,Yuunaverse Original (ohmmy),"['Original Work', 'ARK: Survival Evolved']",General Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,13 Apr 2024,[],[],"['Worldbuilding', 'Encyclopedia', 'Fix-It', 'Alternate Universe - Canon Divergence', 'One Shot', 'Speculative Evolution', 'speculative biology']","โปรเจ็คเวิร์ลบิลดิ้งทีเป็นการตีความใหม่ของเกมซีรีย์ ARK ไม่ว่าจะเป็น ARK:Survival Evolved,ARK:Survival Ascended,PixARK และ ARK Park โดยเน้นไปที่สัตว์ดึกดำบรรพ์ตั้งแต่ยุคพรีแคมเบรียน-โฮโลซีน,สัตว์ Speculative Biology แทนที่จะมีความเป็นแฟนตาซีวิทยาศาสตร์แบบเกมซีรีย์ ARK ต้นฉบับ",ไทย,195,1/1,,,,1
55170958,An Inevitable Night with Undeniable Feelings,CatsRSoft,"['Vinland Saga (Manga)', 'Vinland Saga (Anime)']",Explicit,Choose Not To Use Archive Warnings,M/M,Complete Work,13 Apr 2024,"['Askeladd/Thorfinn (Vinland Saga)', 'Askeladd & Thorfinn (Vinland Saga)']","['Askeladd (Vinland Saga)', 'Thorfinn (Vinland Saga)', ""Askeladd's Band (Vinland Saga)"", 'Bjorn (Vinland Saga)']","['Anal Sex', 'Anal Fingering', 'First Kiss', 'Fluff and Smut', 'Feelings Realization', 'Oral Sex', 'Masturbation', 'Explicit Sexual Content', 'Older Man/Younger Woman', 'Older Man/Younger Man', 'Age Difference', 'Loss of Virginity', 'Denial of Feelings', 'Power Imbalance', 'Touch-Starved', 'Making Out', 'Thorfinn Needs a Hug (Vinland Saga)']","Thotfinn had to share a hut with Askeladd at Gorm's village, and that's how it happened...",ไทย,"14,096",2/2,,7,,78
55163659,Kind Hands,Vampz,['原神 | Genshin Impact (Video Game)'],Mature,No Archive Warnings Apply,M/M,Complete Work,13 Apr 2024,['Alhaitham/Kaveh (Genshin Impact)'],[],"['Top Alhaitham/Bottom Kaveh (Genshin Impact)', 'Plot What Plot/Porn Without Plot']",,ไทย,"7,128",1/1,,2,,186
55133707,Yuunaverse:Monster Girl & Boy Trash Bin,Yuunaverse Original (ohmmy),"['Original Work', 'Monster Girls | Monster Boys']",Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,11 Apr 2024,[],[],[],คลังรวมไอเดียเกี่ยวกับมอนสเตอร์เกิร์ลและมอนสเตอร์บอยที่อาจจะได้ใช้หรือไม่ได้ใช้ใน Yuunaverse:Original,ไทย,83,1/1,,,,2
55127983,The Antediluvian:World of Elder Earth Fantasy,Yuunaverse Original (ohmmy),"['Original Work', 'Conan - Robert E. Howard', 'Cthulhu Mythos - H. P. Lovecraft', 'Allan Quatermain Series - H. Rider Haggard', 'Pellucidar Series - Edgar Rice Burroughs', 'Tarzan - Edgar Rice Burroughs', 'Caspak Series - Edgar Rice Burroughs']",Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,11 Apr 2024,[],[],"['Transformation', 'Gender or Sex Swap', 'Isekai', 'Alternate Universe-Elder Earth Fantasy', 'Alternate Universe - Lovecraft Fusion', 'Alternate Universe', 'Adventure', 'Slice of Life', 'Alternate Universe - Prehistoric', 'Science Fiction & Fantasy', 'Alternate Universe - Fantasy', 'Alternate Universe - Dinosaurs', 'Vintage Dinosaur Recontruction', 'Retro Dinosaur Reconstruction', 'Retrosaurs', 'Dinosaurs', 'Prehistoric']","Elder Earth(เอลเดอร์เอิร์ธ) โลกยุคสมัยบรรพกาลที่เหล่าเอลเดอร์ก็อดยังปกครองโลกอยู่,โลกที่สัตว์ดึกดำบรรพ์ตั้งแต่ยุคพรีแคมเบรียนถึงโฮโลซีนอยู่ร่วมกับมนุษย์ยุคบรรพกาลไม่ว่าจะเป็นอาณาจักรคนเถื่อนแห่งคิมเมเรีย,จักรวรรดิโจรสลัดนอร์ดแลนด์ โลกที่เวทมนตร์ยังไม่ได้โดนจัดระเบียบและเป็นโลกแฟนตาซีที่โดนลืมเลือนไปหลังการมาถึงของโลกแฟนตาซีสแตนดาร์ดของแนว High Fantasy และ Low Fantasy และนี่คือการเดินทางของนักสำรวจเอลเดอร์เอิร์ธคนใหม่ในรอบหลายปีอย่างลัสตี้ อัทลัค-นาคา",ไทย,797,1/1,,,,24
55103125,Superpowerverse:Tale of Twilight Age,Yuunaverse Original (ohmmy),"['Original Work', 'Multi-Fandom']",Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,10 Apr 2024,[],[],[],รวมเรื่องสั้นของจักรวาล Superpowerverse เกี่ยวกับยุค Twilight Age of Superhero ที่เริ่มตั้งแต่ปีค.ศ.2100 เป็นต้นไป,ไทย,69,1/1,,,,0
55103107,Superpowerverse:Tale of Modern Age,Yuunaverse Original (ohmmy),"['Original Work', 'Multi-Fandom']",Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,10 Apr 2024,[],[],[],รวมเรื่องสั้นเกี่ยวกับ Superpowerverse เกี่ยวกับยุค Modern Age of Superhero ที่เริ่มตั้งแต่ปีค.ศ.2000-2100,ไทย,59,1/1,,,,0
55103032,Superpowerverse:Tale of Dark Age,Yuunaverse Original (ohmmy),"['Original Work', 'Multi-Fandom']",Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,10 Apr 2024,[],[],[],รวมเรื่องสั้นของจักรวาล Superpowerverse เกี่ยวกับยุค Dark Age of Superhero ที่เริ่มตั้งแต่ปีค.ศ.1990-2000,ไทย,60,1/1,,,,1
55103017,Superpowerverse:Tale of Bronze Age,Yuunaverse Original (ohmmy),"['Original Work', 'Multi-Fandom']",Teen And Up Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,10 Apr 2024,[],[],[],รวมเรื่องสั้นของจักรวาล Superpowerverse เกี่ยวกับยุค Bronze Age of Superhero ที่เริ่มตั้งแต่ปีค.ศ.1980-1990,ไทย,60,1/1,,,,2
