work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
54946069,علاقات دازاي اوسامو,valousitie,['文豪ストレイドッグス | Bungou Stray Dogs'],Explicit,Major Character Death,Other,Complete Work,04 Apr 2024,"[""Dazai Osamu & Dazai Osamu's Mother (Bungou Stray Dogs)"", 'Dazai Osamu & Oda Sakunosuke (Bungou Stray Dogs)', 'Dazai Osamu & Mori Ougai (Bungou Stray Dogs)', 'Dazai Osamu & Nakahara Chuuya (Bungou Stray Dogs)', 'Dazai Osamu & Nakajima Atsushi (Bungou Stray Dogs)', 'Dazai Osamu & Kunikida Doppo (Bungou Stray Dogs)', 'Dazai Osamu & Fyodor Dostoyevsky (Bungou Stray Dogs)', 'Akutagawa Ryuunosuke & Dazai Osamu (Bungou Stray Dogs)']","['Dazai Osamu (Bungou Stray Dogs)', ""Dazai Osamu's Mother (Bungou Stray Dogs)"", 'Nakahara Chuuya (Bungou Stray Dogs)', 'Mori Ougai (Bungou Stray Dogs)', 'Oda Sakunosuke (Bungou Stray Dogs)', 'Nakajima Atsushi (Bungou Stray Dogs)', 'Kunikida Doppo (Bungou Stray Dogs)', 'Fyodor Dostoyevsky (Bungou Stray Dogs)', 'Akutagawa Ryuunosuke (Bungou Stray Dogs)']","['Explicit Language', 'Explicit Descriptions', 'Dazai’s Relationships', 'Soft Nakajima Atsushi (Bungou Stray Dogs)', 'Fyodor Dostoyevsky is a Little Shit (Bungou Stray Dogs)', 'Emotional Abuse', 'Therapy', 'strange themes', 'Arabic Language', 'bungou stray dogs - Freeform']",هذا العلاقات بين دازاي واصحابه وعدوه، استمتعوا,العربية,320,1/1,,2,,24
54922018,Wkwklw,Ajkaakkanss (orphan_account),['Akakkskde'],Mature,Choose Not To Use Archive Warnings,No category,Complete Work,03 Apr 2024,[],[],[],,العربية,1,1/1,,,,5
54691171,Labyrinth Dynamic ~أغنية الأميرة~ (Arabic Version),Megululu-chan (Littlelulu62),['Original Work'],Teen And Up Audiences,No Archive Warnings Apply,F/M,Complete Work,31 Mar 2024,['Original Female Character(s) & Original Male Character(s)'],"['Original Female Character(s)', 'Original Male Character(s)']","['عربي | Arabic', 'Romance', 'Teen Romance', 'Musicals', 'Idols', 'High School', 'Boarding School', 'Slice of Life', 'Love Triangles', 'Love at First Sight']",كانادي هاناساكي، طالبة تبلغ من العمر 16 عامًا في مدرسة أوتوشيراشي الثانوية، تلتحق على أمل أن تصبح منتجةً في صناعة الآيدولز. تنضم إلى فرع وحدة المعبود بالمدرسة، حيث تجد نفسها منجذبة إلى ثلاث مجموعات متميزة: Labyrinth Dynamic وPeace✤Boys وHappiness☼Galaxy. بينما تكافح كانادي لتحديد المجموعة التي يجب التركيز عليها، تبدأ في تطوير مشاعرها تجاه مايتو أوتشياي و دايتشي أيكاوا من Labyrinth Dynamic. ومع ذلك، فإن عواطفها تتحدى الوحدتين الأخريين: ريوما كيتامي وكوتارو هايامي من Peace✤Boys، وتويا ياكوشيجي وأتارو كاسوغانو من Happiness☼Galaxy. بينما تتنقل كانادي خلال هذه الرومانسية المضطربة في سن المراهقة، يجب عليها أيضًا أن تقرر ما إذا كانت ستتبع حلمها في أن تصبح منتجة أو تستسلم لرغبة قلبها. تبلغ القصة ذروتها في حفل موسيقي حي درامي، حيث يجب على كانادي الاختيار بين وحدات الغنائية الثلاثة واكتشاف حبها الحقيقي.,العربية,"4,353",8/8,,,,11
54678427,يا ملحمة: الجزء الأول: كتاب الأصول,rsluebben,"['No Fandom', 'Original Work']",Teen And Up Audiences,"Choose Not To Use Archive Warnings, Graphic Depictions Of Violence, Major Character Death","F/F, F/M",Complete Work,01 Apr 2024,"['ثيا / مالوم', 'إليسابي / جايا', 'روفان / أمايا', 'ماليكا / إيشانتي', 'القيصر ميرو/ تسارينا سلمى']","['ال', 'مالوم', 'كاي', 'فلايرو', 'كيرون', 'روفان', 'أمايا', 'بيتا', 'جواد', 'عكيفا', 'أولافور', 'الكابتن دانتس', 'سادة أوراكل', 'ساحرة هاجر', 'ظل الظل', 'الفيلق الأسود', 'ماليكا', 'تشاسكا', 'الرئيس ياشاي', 'الرئيس كافا', 'إليسابي', 'غايا', 'إيشانتي', 'أبوليون', 'الملك اوداكوتا', 'أتوك بعل', 'المطران رستن', 'القائد توتو', 'الفيلد مارشال رمزي', 'بويار فيكينيا', 'القيصر ميرو', 'تسارينا سلمى', 'سرور دومينوس']","['Witchcraft', 'Dark Magic', 'Fantasy', 'Myth Arc', 'Swords & Sorcery', 'Animal Connections', 'Torture']",في الأراضي الغامضة، تنتشر الثورة حيث يسعى المضطهدون إلى كسر نير الطغاة. يتحد الفرسان المكرسون لمصدر كل الأشياء تحت راية واحدة لأول مرة للانضمام إلى تمرد الفلاحين المتزايد. الأبطال والأشرار يختبرون شجاعتهم عندما يصبحون أساطير. القوى التي لن تتخلى عن قوتها بسهولة، وسوف تراق الدماء عند تقديم التضحيات.,العربية,"75,857",29/29,,,,17
54648106,"I need you, sir",yoongiscum,['방탄소년단 | Bangtan Boys | BTS'],Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,22 Mar 2024,['Min Yoongi I Suga/Jung Hoseok I J-Hope'],"['Min Yoongi | Suga', 'Jeon Jungkook', 'Jung Hoseok | J-Hope', 'Kim Taehyung | V', 'Kim Seokjin | Jin', 'Kim Namjoon | RM', 'Park Jimin (BTS)']","['Plot What Plot/Porn Without Plot', 'Rough Sex', 'Crying', 'Jung Hoseok | J-Hope Cries During Sex', 'Bottom Jung Hoseok | J-Hope', 'Sub Jung Hoseok | J-Hope', 'Cock Slut Jung Hoseok | J-Hope', 'Top Min Yoongi | Suga', 'Dom Min Yoongi | Suga', 'Light Dom/sub', 'Light Masochism', 'Masochist jung hoseok', 'Slut Jung Hoseok | J-Hope', 'Sadism', 'Sadistic Min Yoongi | Suga', 'Choking', 'Bondage', 'Verbal Humiliation', 'Kissing', 'Top Min Yoongi I Suga/Bottom Jung Hoseok I J-Hope']","""سيدي~"" يَئن هوسوك مُنتحباً وهو يرتعش على الملائات بَعد أن انتهى به الأمر مُقيداً على السرير.. ذِراعاه فوق رأسه ومعصميه مربوطان بمَسند السرير بواسطة حبلٍ حريري قام يونغي بِربطه به..  ""همم"" يُهمهم يونغي بينما يقوم بتقبيل عنق هوسوك ورقبته وهوسوك يئِن بِخُدر ويُردف مُستثاراً من أفعال يونغي بهِ.. ""احتاجُك سيدي""",العربية,778,1/1,,8,1,118
54510625,Blind,kikidoyou,['พิษเบ๊บ | Pit Babe (TV)'],Explicit,"Graphic Depictions Of Violence, Major Character Death","F/F, M/M, Multi",Work in Progress,16 Mar 2024,['Babe/Charlie (Pit Babe)'],"['Charlie (Pit Babe)', 'Babe (Pit Babe)', 'Alan (Pit Babe)', 'North (Pit Babe)', 'Jeff (Pit Babe)', 'Tony (Pit Babe)']","['Angst', 'Sad Ending', 'Abuse', 'Past Child Abuse', 'Art School', 'Deception', 'Eventual Smut', 'Psychological Trauma', 'Suicide Attempt', 'Suicide Notes', 'Psychopathology & Sociopathy', 'Depression']",هو من يقتضي عليه الامر بقتله و هو الذي تهشمت كل امال الحب و الحياة داخله تشارلي صاحب الابتسامة الصفراء و بايب صاحب الاحلام المحترقة هذه القصة تدور حول استاذ فنون مختل عقلي و شاب مريض بالاكتئاب نصحه طبيبه بان يقوم بنشاطات فنية عند ذلك الاستاذ,العربية,7,1/?,,3,,113
54308629,Nene,Neneloveno1,['The - Fandom'],Not Rated,Choose Not To Use Archive Warnings,F/M,Complete Work,07 Mar 2024,[],[],[],,العربية,1,1/1,,,,11
53706637,يا ملحمة: الجزء الثاني: كتاب الليل,rsluebben,"['No Fandom', 'Original Work']",Teen And Up Audiences,"Choose Not To Use Archive Warnings, Graphic Depictions Of Violence, Major Character Death, Rape/Non-Con","F/F, F/M, M/M",Complete Work,19 Mar 2024,"['مالوم / ثيا', 'أولافور/ فالني', 'ماليكا / إيشانتي', 'جايا / إليسابي', 'مالوم/ ليدي فينينو', 'الأمير حوته / الأميرة جورسيل']","['روفان', 'أولافور', 'فالين', 'كيتيسيك خان', 'سلطان جريوجي', 'الكابتن دانتس', 'سادة أوراكل', 'كوفن الظل', 'داغريم كفور', 'عم لوين', 'مالوم', 'ال', 'ماليكا', 'تشاسكا', 'إليسابي', 'غايا', 'إيشانتي', 'أبوليون', 'الملك اوداكوتا', 'أتوك بعل', 'سيكويا', 'الأمير حوته', 'أورين', 'سيدة فينينو', 'فلايرو', 'استاذ أنوكا', 'الكابتن شايتون', 'ناعورة', 'لوتسي', 'Baishan', 'إمبيراتا لاكوما', 'تريبيون لوتيانت', 'تريبيون أياميس', 'الملكة واكوني', 'أداما سردار', 'نويون مذبح جاتما', 'الأميرة جورسيل']","['Action/Adventure', 'Myth Arc', 'Fantasy', 'Swords & Sorcery', 'Magic', 'Dark Magic']",أورين هو طفل القدر. تبحث قوى الظلام عن مكانه، بينما تحميه قوى الضوء. روفان محارب ساعد في هزيمة زعيم طموح. الآن، يجب عليه أن يسارع إلى المنزل لإنقاذ عائلته. يتطلع كيتسيك خان والسلطان جرايوجي إلى قمع الثورة أثناء استعدادهما للحرب. سيسعى ثيا وفليرو للتأثير على مالوم.,العربية,"56,663",28/28,,1,,41
53548924,Vivid Dreams,L0vCh3rry,['#colorfulstageprojectsekai'],Teen And Up Audiences,Choose Not To Use Archive Warnings,M/M,Work in Progress,05 Feb 2024,"['Aoyagi Touya/Shinonome Akito', 'Azusawa Kohane/Shiraishi An']","['Aoyagi Touya', 'Azusawa Kohane', 'Shinonome Akito', 'Shiraishi An', 'Shinonome Ena']",[],"Let's be real here, We have Toya a pretty little guy and vivid bad squad then we have Akito. Akito starts to see something like, something he's never seen before. He's been observing Toya more than often, and he's been confused with himself too. Is it really just friendship? That will be answered later on.",العربية,"2,142",1/?,,1,,44
53384497,سعادة الطفل,Anonymous,['Shingeki no Kyojin | Attack on Titan'],Teen And Up Audiences,No Archive Warnings Apply,F/M,Complete Work,29 Jan 2024,['Mikasa Ackerman/Eren Yeager'],"['Eren Yeager', 'Mikasa Ackerman']",['سعيد'],إيرين يلعب مع طفله الصغير. عائلة صغيرة لطيفة,العربية,279,1/1,,1,,45
