work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55114498,Новыя абставіны,NaNa_tyan,['9-1-1 (TV)'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,11 Apr 2024,"['Evan ""Buck"" Buckley/Tommy Kinard', 'Evan ""Buck"" Buckley & Eddie Diaz (9-1-1 TV)']","['Evan ""Buck"" Buckley', 'Eddie Diaz (9-1-1 TV)', 'Tommy Kinard']","['не ведаю нічога аб 7х5', 'Romance', 'Bisexual Evan ""Buck"" Buckley', 'Эддзі не вельмі ўважлівы', 'Бак жартуе']","— А вы хуткія. Скажаш мне хто ён? Бак збянтэжыўся. Ён ні ў якім разе не саромеўся Томмі. Проста Эддзі і Томмі былі сябрамі, і Бак не хацеў, каб паміж імі нешта стала, калі ў Бака і Томмі нічога не атрымаецца. — Я пакуль не хачу гэта гаварыць. Гэта настолькі новае для мяне, што я хачу спачатку самастойна з гэтым звыкнуцца, а потым ужо…",беларуская,"1,265",1/1,,1,,42
55100968,Я проста патэлефанавала сказаць,Miaka (Kira_girl),"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']",Explicit,No Archive Warnings Apply,F/F,Complete Work,10 Apr 2024,['Aziraphale/Crowley (Good Omens)'],[],"['1920s', 'Phone Sex', 'First Time', 'Ineffable Wives (Good Omens)', 'Пераклад на беларускую', 'translation in belarusian']","Азірафаэль не ставіла тэлефон у кнігарні да 1921 года, галоўным чынам таму, што Кроўлі працягвала чапляцца да яе з гэтай нагоды, а Азірафаэль усё яшчэ адчувала крыўду праз тое, што Кроўлі праспала вынаходства тэлефона і шмат іншых рэчаў.",беларуская,"3,821",1/1,,3,,11
55063516,Адзіная надзея ў роспачы,deinocto,"['Good Omens (TV)', 'Good Omens - Neil Gaiman & Terry Pratchett']",General Audiences,No Archive Warnings Apply,M/M,Complete Work,08 Apr 2024,['Aziraphale/Crowley (Good Omens)'],"['Aziraphale (Good Omens)', 'Crowley (Good Omens)', 'Nina (Good Omens)', 'Maggie (Good Omens)']","['Fix-It', 'Alternate Universe - Canon Divergence', 'Good Omens Season 2 Spoilers', 'Love Confessions', 'Aziraphale Loves Crowley (Good Omens)', 'Crowley Loves Aziraphale (Good Omens)', 'Minor Angst', ""but they're both happy in the end"", 'POV Aziraphale (Good Omens)']","— Добра, што вы двое тут. Мы з Мэгі хочам сказаць вам сёе-тое, — кажа Ніна. — Не зараз, — пярэчыць Кроўлі. — Вымушаны пагадзіцца, — падхапвае Азірафаэль, ківаючы. — Вы няўчасна. — Мы не пыталі, у час мы ці не, — адразае Ніна, спускаючыся па прыступках. Мэгі ідзе за ёю і садзіцца на канапку побач, злёгку чапляючы Ніну плячом. Яна нясмела ўсміхаецца, нібыта просячы прабачэння, калі Ніна паказвае на пусты фатэль насупраць, пільна гледзячы на Кроўлі і Азірафаэля. /// Ніна і Мэгі ўрываюцца ў краму на некалькі хвілін пазней, чым планавалася, і Кроўлі даводзіцца выказацца першым.",беларуская,"4,234",1/1,2,1,1,6
55053220,"Рэдка, але трапна",Poluna,['天官赐福 - 墨香铜臭 | Tiān Guān Cì Fú - Mòxiāng Tóngxiù'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,08 Apr 2024,"['He Xuan & Ling Wen (Tian Guan Ci Fu)', 'Lord Earth Master Ming Yi & Ling Wen']","['He Xuan (Tian Guan Ci Fu)', 'Ling Wen (Tian Guan Ci Fu)', 'Shi Qingxuan', 'Lord Earth Master Ming Yi']","['Missing Scene', 'Some Humor']",Самастойна нешта шукаць у бібліятэцы яе палацу небажыхары прыходзілі рэдка. Але з кожнага гэтага візіту можна было як мінімум паспрабаваць атрымаць карысць.,беларуская,"3,078",1/1,,1,,5
54976267,Давяраць або здраджваць?,skatazaura,['天官赐福 - 墨香铜臭 | Tiān Guān Cì Fú - Mòxiāng Tóngxiù'],Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,05 Apr 2024,"['He Xuan/Shi Qingxuan', 'Хэ Сюань/Шы Цінсюань']","['Shi Wudu', 'Шы Вуду']","['Missing Scene', 'Angst', 'Denial of Feelings', 'Drabble', 'He Xuan/Shi Qingxuan Angst', 'He Xuan Needs a Hug (Tian Guan Ci Fu)', 'He Xuan Needs Therapy (Tian Guan Ci Fu)', 'дапамажыце хэ сюаню']","Хэ Сюань ведаў, что Цінсюань яму не даруе. Ніколі не зможа прабачыць яму смерць брата і стагоддзі падману.",беларуская,940,1/1,,3,,26
54909550,Give me a reason,Kira_girl_old_works (Kira_girl),['House M.D.'],Explicit,No Archive Warnings Apply,M/M,Complete Work,02 Apr 2024,['Eric Foreman/Gregory House'],"['Eric Foreman (House M.D.)', 'Gregory House']","['Plot What Plot/Porn Without Plot', 'Non-Consensual', 'Anal Sex', 'Out of Character']",Дык чаму ж Форман не пакінуў каманду доктара Хауса?,беларуская,"1,835",1/1,,1,,17
54876973,Постаць у гушчары,ChaikaGabriel,['Original Work'],General Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,01 Apr 2024,[],[],[],,беларуская,757,1/1,,1,,12
54835276,Паўночнік,Ружовая Знічка (Hungry_Wisp),['原神 | Genshin Impact (Video Game)'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,30 Mar 2024,"['Diluc/Kaeya (Genshin Impact)', 'Diluc & Kaeya (Genshin Impact)']","['Diluc (Genshin Impact)', 'Kaeya (Genshin Impact)', 'Albedo (Genshin Impact)']","['Alternate Universe - Modern Setting', 'сучасны тэйват але з тэйватскімі асаблівасцямі', 'Alternate Universe - Superheroes/Superpowers', '(гэта ўлічваецца калі ў герояў няма суперсіл?)', 'Healthy Relationships', 'Kaeya Needs a Hug (Genshin Impact)', 'Diluc is Bad at Feelings (Genshin Impact)', 'Soft Diluc (Genshin Impact)', 'Diluc is Protective of Kaeya (Genshin Impact)', 'Kaeya is Bad at Feelings (Genshin Impact)']","[Modern-(Super)hero AU] Калі Дылюк вярнуўся ў Мондштадт, ён вырашыў зноў пабудаваць масты. Толькі б Кая прайшоў па ім і зноў стаў побач. Альбо АС, у якім Дылюк па вяртанні ў Мондштадт вырашае наладзіць парушаныя адносіны з Каяй ды пазбавіць свой горад ад зладзеяў. Дрэнна, што ён не разумее, як зрабіць першае, і як быць з тым, што другое ўжо пачаў рабіць іншы герой у масцы.",беларуская,"5,622",1/1,,1,,21
54826021,Аб глупым і правільным,Poluna,"['魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù', '陈情令 | The Untamed (TV)']",General Audiences,No Archive Warnings Apply,F/M,Complete Work,30 Mar 2024,['Lan Qiren/Yu Ziyuan'],"['Lan Qiren', 'Yu Ziyuan']","['Pre-Canon', 'Pre-Relationship']",У Воблачных Глыбінах забаронена абмяркоўваць людзей за іх спінамі.,беларуская,"2,259",1/1,,1,,11
54802012,Абяцаю,Kira_girl,['Good Omens (TV)'],Teen And Up Audiences,No Archive Warnings Apply,F/F,Complete Work,29 Mar 2024,"['Aziraphale/Crowley (Good Omens)', 'Fem!Aziraphale/Fem!Crowley']","['Aziraphale (Good Omens)', 'Crowley (Good Omens)', 'fem!Aziraphale - Character', 'fem!Crowley - Character']","['Ineffable Wives | Female Aziraphale/Female Crowley (Good Omens)', 'Ineffable Idiots (Good Omens)', 'Idiots in Love', 'Injury', 'Healing', 'Pre-Relationship', 'Pre-Femslash', 'Feelings']","На адной з вылазак па заданні Нябёсаў/Пекла, Кроўлі бяздумна хапаецца рукамі за святы артэфакт. Азірафаэль дапамагае ёй лячыць раны.",беларуская,"1,371",1/1,2,2,,10
