work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
54871318,Съдбовно,OrlanitaMariciaCanon,['Profilage (TV)'],Mature,No Archive Warnings Apply,F/M,Work in Progress,10 Apr 2024,"['Matthiеu Pérac/Chloé Saint-Laurent', 'Adèle Delettre/Lucas Rocher', 'Hyppolite de Courtène/Emma Tomasi']","['Matthieu Pérac', 'Chloé Saint-Laurent', 'Adèle Delettre', 'Lucas Rocher', 'Viviane Mercadet', 'Tristan Bernard', 'Hyppolite de Courtène', 'Emma Tomasi', 'Ingrid Ronez', 'Sulian Frégé', 'Michel Fisher', 'Régine Padovani', 'Urgentiste (2x08)']","['Alternate Universe', 'Fake/Pretend Relationship', 'Love', 'Strangers to Lovers', 'Fluff', 'Family', 'Mystery', 'Camp Nanowrimo', 'Wordcount: 30.000-50.000', 'Romance', 'Slow Burn', 'daily update', 'Harlequin', 'Older Woman/Younger Man', 'Sharing a Room', 'Sharing a Bed', 'Falling In Love', 'Fanfic Novels', 'Saint-Péraс', 'Saint-Pérac Forever', 'France (Country)', 'Hyppomma', 'Adecas', 'Sexual Content', 'Background Relationships']","Матийо спешно има нужда от приятелка, за да заблуди добронамерените си, но непоносими роднини. Клое, художничка и част от екипа, който пребоядисва къщата му, би могла да помогне. Естествено, Матийо не иска да си намира истинска приятелка. Двамата трябва само да се преструват... Но дали преструвката няма да се окаже изкушаващо близо до истината? И какво ще се случи, когато неочаквано бъдат забъркани в странна мистерия?",Български,"28,540",8/10,,1,,12
54808729,Скъпоценното Лице,OrlanitaMariciaCanon,"['Harry Potter - J. K. Rowling', 'Chief Inspector Armand Gamache - Louise Penny']",Mature,No Archive Warnings Apply,F/F,Complete Work,29 Mar 2024,"['Bellatrix Black Lestrange/Ginny Weasley', 'Bellatrix Black Lestrange/Yvette Nichol']","['Bellatrix Black Lestrange', 'Ginny Weasley', 'Yvette Nichol']","['Angst', 'Past Relationship(s)', 'Femslash', 'HP Saffics', 'Impossible', 'Crossovers & Fandom Fusions', 'Alternate Universe - Canon Divergence', 'Post-Second Wizarding War with Voldemort (Harry Potter)', 'Slavery', 'Polyjuice Potion (Harry Potter)', 'Microfic']","След като така или иначе има нещо като робиня, защо не я използва, за да види отново жената, която някога е обичала?...",Български,416,1/1,,,,6
54768541,"По-Добре Късно, Отколкото Никога",OrlanitaMariciaCanon,"['R.I.S. Roma - Delitti imperfetti (TV)', 'Aquaman (Movies - Wan)']",Teen And Up Audiences,No Archive Warnings Apply,F/F,Complete Work,27 Mar 2024,['Giada Liberti/Queen Mera'],"['Giada Liberti', 'Queen Mera']","['Love', 'Fluff', 'Emotional Hurt/Comfort', 'Femslash', 'Bingo', ""I'm Sorry Baby... Sorry..."", 'LGBTQ Bingo', 'Lesbian Giada Liberti', 'Bisexual Mera', 'Alternate Universe', 'Alternate Universe - Actors', 'Fame', 'Secret Relationship', 'Crystal/Giada', 'I imagined Crystal as Mera actually', 'Crossover', 'wlw']",Да се срещаш с известна и обожавана актриса е трудно. Особено ако си нейната тайна. Джада няма сили повече да бъде тайна. Но дали Мера иска да бъде официално с нея?,Български,"1,242",1/1,,,,2
54748009,"Моето Малко, Голямо Момиче",OrlanitaMariciaCanon,"['Пътят на Честта | Patyat Na Chestta (TV)', 'Столичани в повече', 'Ал Инклусиве | All Inclusive']",Teen And Up Audiences,No Archive Warnings Apply,F/M,Complete Work,31 Mar 2024,"['Жаклин Станкова/НСО 1', 'Жаклин Станкова/Оригинален герой']","['Жаклин Станкова', 'НСО 1', 'Анелия Станкова', 'Лили Петканова', 'Маргарита Даскалова', 'Албена Попгеоргиева', 'Симеон Хаджигенов']","['Alternate Universe - Canon Divergence', 'Backstory', 'Headcanon', 'Age Difference', 'Older Man/Younger Woman', 'Ageplay May 2023', 'Short & Sweet', 'Adoption', 'Pseudo-Incest', 'Slow Burn', 'Friends to Lovers', 'Love', 'Caretaking', 'Abusive Parents', 'Past Child Abuse', 'Bad Parenting', 'good parenting', 'Growing Up', 'Helping', 'Non-Sexual Age Play', 'for now', 'Childhood Trauma', 'POV First Person', 'Caregiver']","Родителите на Жаки превръщат живота ѝ в Ад, но съдбата ѝ дава втори шанс... Шанс да се излекува - и може би нещо повече.",Български,"8,495",8/8,,,,10
54745015,Чисти,OrlanitaMariciaCanon,['Harry Potter - J. K. Rowling'],Mature,No Archive Warnings Apply,F/F,Complete Work,26 Mar 2024,['Astoria Greengrass/Daphne Greengrass'],"['Astoria Greengrass', 'Daphne Greengrass', ""Astoria and Daphne Greengrass's Father""]","['Femslash', 'Incest', 'Sister/Sister Incest', 'Implied Sexual Content', 'Alternate Universe', 'Princesses', 'tower', 'Bad Parenting', 'HP Saffics', 'Family', 'Lesbian Astoria Greengrass', 'Lesbian Daphne Greengrass', 'wlw', 'Alternate Universe - Historical', 'Isolation', 'Microfic']",Те трябва да останат невинни.,Български,296,1/1,,,,23
54732148,Виолет,OrlanitaMariciaCanon,"['Вина | The Grapes of Guilt (TV)', 'Harry Potter - J. K. Rowling']",Teen And Up Audiences,No Archive Warnings Apply,F/F,Complete Work,26 Mar 2024,"['Helena Ravenclaw | The Grey Lady/Виола Изворска', 'Helena Ravenclaw | The Grey Lady/Viola Izvorska']","['Helena Ravenclaw | The Grey Lady', 'Виола Изворска']","['Femslash', 'Alternate Universe', 'Timeless', 'somewhere sometime', 'HP Saffics', 'Selfish', 'Short', 'Microfic', 'Love', 'Viola Deserves Better', 'Sweet', 'Sweetheart', 'Finding Love', 'Crossover Pairings', 'Феммеслаш', 'Сафик', 'Pre-Femslash']",Хелена иска да се грижи за Виола.,Български,256,1/1,,,,3
54655351,Programming and algorithmic languages. Types of algorithms. Ways to represent algorithms. Програмиране и алгоритмични езици. Видове алгоритми. Начини за представяне на алгоритми.,epiphanyschild,"['thesis - Fandom', 'Original Work']",General Audiences,No Archive Warnings Apply,Other,Work in Progress,24 Mar 2024,[],[],"['Thesis', 'diploma project', 'Computer Science', 'Computer Programming', 'java script', 'PHP', 'C#', 'Algorithms', 'this is my thesis yall', 'i want it somewhere on the internet so only desperate people will find it', 'and fall into a rabbit hole', ""it's in bulgarian tho"", 'im not abt to translate 30+ pages', 'maybe someday when im jobless enough and someone wants to pay me good', 'visual studio', 'uhh', 'flowcharts', 'UMLs']","At least 30 pages of algorithms just explaining the same stuff again and again. Expect the rest of it by 1 april and the last chapter shall be my presentation notes, which will be here around 20 may. Титулна страница obviously липсва. Wordовското съдържание се замества с тукашното. Приложенията ще бъдат сложени в отделните глави вместо накрая за ваше улеснение и мое не толкова. ""брой редове в стр.: 30, брой на знаците: 60 знака в ред ... Times New Roman 12pt, обем не по малък от 30 страници ... При оформяне на проекта да се използват документи, таблици, графики, диаграми и други подходящи средства за онагледяване на съдържанието."". Тва от МОН ofc. Also had to figure out by myself that the line spacing needs to be 1.5.",Български,"2,768",8/9,,,,14
54619540,Един Ден Ще Бъде По-Добре,OrlanitaMariciaCanon,['The Originals (TV)'],Mature,No Archive Warnings Apply,"F/F, F/M",Complete Work,21 Mar 2024,"['Freya Mikaelson/Aurora de Martel', 'Jackson Kenner/Freya Mikaelson']","['Freya Mikaelson', 'Aurora de Martel']","['Femslash', 'Bingo', 'Past Character Death', 'LGBTQ Bingo', 'Pre-Relationship', 'Pre-Femslash', 'Grief/Mourning', 'getting better', 'Emotional Hurt/Comfort', 'Alternate Universe', 'Jareya', 'Aureya', 'Widowed']","Всички ѝ обещаваха, че щом мине време, ще стане по-лесно, болката ще намалее, и Фрея не разбираше защо не се случва... Но в края на краищата нищо не трае вечно.",Български,"1,011",1/1,,,,6
54597277,Живот,OrlanitaMariciaCanon,['Вина | The Grapes of Guilt (TV)'],Mature,No Archive Warnings Apply,F/F,Complete Work,20 Mar 2024,['Елина Бончева/Марта Янг'],"['Елина Бончева', 'Марта Янг']","['Марлина', '2x08', '2x11', 'Femslash', 'Love', 'Not Actually Unrequited Love', 'Fear', 'Bleeding', 'scared', 'Soulmates', 'Bingo', 'Holding Hands', 'LGBTQ Bingo', 'I just needed that scene', 'Marlina is real', 'POV Second Person', 'Scared Elina', 'Elina Boncheva Has Feelings', 'For Marta', 'Barby Young', 'Marta Young Is A Sweetheart', 'I love this ship', 'I Will Go Down With This Ship', 'life saver', 'Accidental Bonding', 'Short One Shot', 'Феммеслаш', 'Сафик']","– Марта?! Какво е станало? – Обади се на 112, моля те... Понякога любовта е невъзможна. А понякога любовта постига и невъзможното.",Български,496,1/1,,,,2
54519097,Тиха Вечер,OrlanitaMariciaCanon,"['Пътят на Честта | Patyat Na Chestta (TV)', ""Дяволското Гърло | The Devil's Throat (TV)"", 'Откраднат живот | Otkradnat jivot | Stolen Life (TV)']",Mature,No Archive Warnings Apply,F/F,Complete Work,17 Mar 2024,['Миа Язова/Стела Ковачева'],"['Стела Ковачева', 'Миа Язова', 'Марио Ковачев', 'Жаклин Станкова']","['Стемиа', 'Alternate Universe', 'Crossover', 'Stella Lives', 'Femslash', 'Bingo', 'Surprise Party', 'LGBTQ Bingo', 'Mild Sexual Content', 'Lesbians', 'wlw', 'Established Relationship', 'Unexpected Visitors', 'Love', 'Стела заслужаваше да бъде обичана', 'Stella Kovacheva Needs A Hug', 'Феммеслаш', 'Сафик']","Миа иска да изрази радостта си от завръщането на Стела, но след партито изненада, което ѝ е организирала, следват и още изненади...",Български,"1,728",1/1,,,,2
