work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
54748498,"Encara que em converteixi en algú diferent de mi, si tu hi ets em tornaré a enamorar",MaikaRa,['Samuel (TV)'],General Audiences,Choose Not To Use Archive Warnings,F/M,Complete Work,26 Mar 2024,['Samuel/Julia'],"['Samuel', 'Julia']","['I Wrote This Instead of Sleeping', 'Unrequited Love', 'Diary/Journal', 'Childhood Friends', 'Future']",Samuel ha trobat el seu diari de la infància i ha decidit comprar-ne un de nou per redactar el seu dia a dia en els últims dos mesos de batxillerat.,Català,"3,367",1/1,,,,4
54699994,Recuperar tot el què s'ha deixat,d0n23,['TMNT (2007)'],General Audiences,No Archive Warnings Apply,Gen,Work in Progress,24 Mar 2024,[],"['Leonardo (TMNT)', 'Raphael (TMNT)', 'Donatello (TMNT)', 'Michelangelo (TMNT)']",[],"A vegades les decisions d'un acaben fent mal a algú, encara que s'hagin pres amb una bona intensió. Després d'uns anys fent un dur viatge, el Leo torna a casa. Un entrenament dedicat a poder cuidar i protegir millor la seva família, però pels seus germans ha significat la seva absoluta ausència.",Català,"1,637",1/?,11,1,1,8
54676531,O Saga: Primera part: Llibre dels orígens,rsluebben,"['No Fandom', 'Original Work']",Teen And Up Audiences,"Choose Not To Use Archive Warnings, Graphic Depictions Of Violence, Major Character Death","F/F, F/M",Complete Work,01 Apr 2024,"['Théa/ Malum', 'Elisapie/ Gaia', 'Rovan/ Amaya', 'Malaika/ Ichante', 'Tsar Miro/ Tsarina Salma']","['Thea', 'Malum - Character', 'Kai', 'Flaero', 'Kiron', 'Rovan', 'Amaya', 'Bita', 'Javad', 'Akiva', 'Olafur', 'Capità Dantes', ""Mestres de l'Oracle"", ""Bruixa d'Agar"", ""Coven D'Ombra"", 'Legió Negra', 'Malaika - Character', 'Xaska', 'Cap Yachay', 'Cap Kava', 'Elisapie', 'Gaia', 'Ichante', 'Apol·lió', 'Rei Ohdakota', 'Atoc Baal', 'El bisbe Rastan', 'Comandant Toto', 'Mariscal de camp Ramsey', 'Boiar Vicinia', 'Tsar Miro', 'La tsarina Salma', 'Soror Dominus']","['Witchcraft', 'Dark Magic', 'Fantasy', 'Myth Arc', 'Swords & Sorcery', 'Animal connection', 'Torture']","En terres místiques, la revolució s'estén mentre els oprimits busquen trencar el jou dels tirans. Els cavallers dedicats a La Font de totes les coses s'uneixen sota una mateixa bandera per primera vegada per unir-se a la creixent rebel·lió camperola. Herois i vilans posen a prova la seva valentia mentre es converteixen en llegendes. Els poders existents no renunciaran al seu poder fàcilment, i la sang s'abocarà a mesura que es facin sacrificis.",Català,"96,345",29/29,,,,3
54379297,Sola,Leo_R,['Original Work'],General Audiences,"Graphic Depictions Of Violence, Major Character Death","F/F, F/M, Other",Work in Progress,10 Mar 2024,['Future Love - Relationship'],"['Original Female Character(s)', 'Original Characters']",[],"Què passaria si, de cop i volta, el món que coneixies, la rutina que feies... Desaparexeisin? Si un dia tota regla es trenqués, i la realitat que coneixem es fragmentes en petits trossos perduts? Si tot el que no creiem que fos possible, de cop i volta ho fos, i tot el que mai podríem imaginar aparegués en les nostres vides. Així, de sobte. Com quan un dia qualsevol, ve el teu professor a dir-te que hi ha un examen sorpresa. Deixant només el dubte i la por del ""no saber"". La Bleir una noia de només 15 anys tindrà que enfrentarse a això y més. Embarcant una perillosa aventura per el que una vegada va ser el seu món. Durant el camí coneixerà a moltes persones que l'ajudaran en la seva missió. I qui sap, potser tindrà trobades inesperades...",Català,"2,450",1/?,,,,1
54131479,Un heroi desconegut,Mepoe,"['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)', 'Doctor Who (2005)']",General Audiences,No Archive Warnings Apply,Gen,Complete Work,28 Feb 2024,[],"['Yagi Toshinori | All Might', 'The Doctor (Doctor Who)', 'Twelfth Doctor']","[""L'All Might intenta ajudar encara que no pugui lluitar"", 'El Doctor solluciona el problema', ""d'una manera... única"", 'Toshinori Yagi confós', 'Post-Hideout Raid Arc (My Hero Academia)', 'Entre Clara Oswald i Bill Potts']",Una trobada inesperada entre l'All Might i el Doctor.,Català,410,1/1,,,,9
54130327,L'horrible dia d'en Heppoko,Mepoe,['One Piece (Anime & Manga)'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,28 Feb 2024,['Monkey D. Garp & Monkey D. Luffy'],"['Heppoko (One Piece)', 'Alvida Pirates (One Piece)', 'Monkey D. Luffy', 'Monkey D. Garp (mentioned)', 'Monkey D. Dragon (mentioned)', 'Monkey D. Garp (anomenat)', 'Monkey D. Dragon (anomenat)']","['Pirate Bogeyman Monkey D. Garp', 'POV Outsider', 'Worldbuilding', 'Narrador testimoni', 'Rerefons', 'Home del sac per pirates Monkey D. Garp']","En Heppoko era un pirata. No un de gaire bo, ni un de gaire fort. Però sabia prou coses com per a sobreviure sota el comandament de la capitana.",Català,340,1/1,,4,,40
53560651,O Saga: Segona part: Llibre de la nit,rsluebben,"['No Fandom', 'Original Work']",Teen And Up Audiences,"Choose Not To Use Archive Warnings, Graphic Depictions Of Violence, Major Character Death, Rape/Non-Con","F/F, F/M",Complete Work,20 Mar 2024,"['Malum/Thea', 'Olafur/ Valen', 'Senyora Veneno/ Malum', 'Elisapie/ Gaia', 'Malaika/ Ichante', 'Príncep Hotah/ Princesa Gursel']","['Rovan', 'Olafur', 'Valen', 'Kittisek Khan', ""Sultan Graeo'gi"", 'Capità Dantes', ""Mestres de l'Oracle"", 'aquelarre de Ombra', 'Dagrim Kvore', 'Oncle Loéan', 'Malum - Character', 'Thea', 'Rei Ohdakota', 'Atoc Baal', 'Sequoia - Character', 'El príncep Hotah', 'Oren', 'Senyora Veneno', 'Flaero', 'Mestre Anoka', 'Capità Chayton', ""Na'ura"", 'Lotsee', 'Baishan', 'Imperata Lakoma', 'Tribuna Lutiant', 'Tribuna Ayamis', 'Elisapie', 'Gaia', 'Malaika - Character', 'Xaska', 'reina waconi', 'Adama Sardar', 'Noyon Altar Gatmaa', 'Princesa Gursel']","['Fantasy', 'Action/Adventure', 'Myth Arc', 'Swords & Sorcery', 'Magic', 'Dark Magic']","Oren és un fill del destí. Les forces fosques busquen la seva ubicació, mentre que les forces de la llum el protegeixen. Rovan és un guerrer que va ajudar a derrotar un líder ambiciós; ara, ha de correr a casa per salvar la seva família. Kittisek Khan i Sultan Graeo'gi busquen suprimir la revolució mentre es preparen per a la guerra. Thea i Flaero licitaran per influir sobre Malum.",Català,"72,013",28/28,,1,,12
53506867,Lan Zhan petit quan balla,Trencaclosques,"['魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù', '陈情令 | The Untamed (TV)']",Explicit,No Archive Warnings Apply,M/M,Complete Work,03 Feb 2024,['Lan Huan | Lan Xichen/Lan Zhan | Lan Wangji'],"['Lan Zhan | Lan Wangji', 'Lan Huan | Lan Xichen']","['Wei Wuxian (testimonial)', 'Self-Discovery', 'Masturbation', 'Sibling Incest', 'Pining', ""profanació rotunda d'una cançoneta infantil"", ""si us plau linguistes no m'assassineu"", 'En Jan Petit Quan Balla', 'aquí no ens estem de res']",En Lan Wangji descobreix algunes coses sobre sí mateix i sobre com d'atractiu és el seu germà gran...,Català,"2,485",1/1,2,6,,86
53146819,Enemics dels amants,LizLaGirl,['La Família del Super3 (TV)'],Mature,No Archive Warnings Apply,F/F,Complete Work,19 Jan 2024,['Pati Pla/Anna'],"['Roc - Character', 'Pati Pla', 'Anna']","['Enemies to Lovers', 'Oral Sex', 'Anal Sex', 'Anal Fingering', 'Blow Jobs', 'Girl Penis', 'Other Additional Tags to Be Added']","Després de molt temps de ser enemigues, dues noies es van convertir més en amants.",Català,"1,291",1/1,,1,,19
53135326,Si et tingués ~,LizLaGirl,['La Família del Super3 (TV)'],Mature,No Archive Warnings Apply,F/F,Complete Work,18 Jan 2024,['Roc/Pati Pla'],"['Roc - Character', 'Pati Pla']","['Smut', 'Fluff and Smut', 'Fluff', 'Trans Male Character', 'Trans Character', 'Girl Penis', 'Strap-Ons', 'Anal Sex', 'Anal Fingering', 'Anal', 'Oral Sex', 'Non-Consensual Oral Sex', ""I Don't Know Their Ages"", ""I Don't Even Know"", 'First Time Blow Jobs', 'Blow Jobs', ""I'm Sorry"", ""I'm Going to Hell"", ""I'm so sorry"", ""I Can't Believe I Wrote This"", 'I regret this', 'Why Did I Write This?', 'No Incest', 'My First Work in This Fandom', 'Other Additional Tags to Be Added']",Pati Pla volia donar a Roc el millor plaer que mai ha tingut.,Català,"1,453",1/1,,1,,13
