work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55034050,Betydningen af et kys,Anonymous,['原神 | Genshin Impact (Video Game)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,07 Apr 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['Mutual Pining', 'Unresolved Romantic Tension', 'Wriothesley is Down Bad (Genshin Impact)', 'Soft Neuvillette (Genshin Impact)']",,Dansk,371,1/1,,1,,11
55033879,Hvad du vil,Anonymous,['原神 | Genshin Impact (Video Game)'],Mature,No Archive Warnings Apply,M/M,Complete Work,07 Apr 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['BDSM', 'Implied Sexual Content', 'Top Wriothesley/Bottom Neuvillette (Genshin Impact)', 'Kink Negotiation', 'Submission', 'Light Dom/sub']",,Dansk,197,1/1,,,,59
55026790,Et glas champagne,Anonymous,['原神 | Genshin Impact (Video Game)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,07 Apr 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['Developing Relationship', 'Wriothesley is Down Bad (Genshin Impact)', 'Oblivious Neuvillette (Genshin Impact)', 'Pining']",,Dansk,519,1/1,,1,,19
55026685,Forårsvind,Anonymous,['原神 | Genshin Impact (Video Game)'],Mature,No Archive Warnings Apply,M/M,Complete Work,07 Apr 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['Mutual Pining', 'Corsetry', 'Regency', 'POV Neuvillette (Genshin Impact)', 'Unresolved Sexual Tension', 'Ambiguous Relationships']",,Dansk,383,1/1,,,,13
55026610,Da jeg først så dig,Anonymous,['原神 | Genshin Impact (Video Game)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,07 Apr 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['Alternate Universe - Reincarnation', 'POV Wriothesley (Genshin Impact)', 'First Meetings', 'Light Angst', 'Ambiguous/Open Ending']",,Dansk,293,1/1,,,,7
55010830,Goddag,Anonymous,['原神 | Genshin Impact (Video Game)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,06 Apr 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['Domestic Bliss', 'Morning Cuddles', 'POV Wriothesley (Genshin Impact)', 'Self-Esteem Issues']",,Dansk,239,1/1,,1,,30
55010590,Du gør mig glad,Anonymous,['原神 | Genshin Impact (Video Game)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,06 Apr 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['Romance', 'Courting Rituals', 'Flowers', 'Soft Neuvillette (Genshin Impact)', 'POV Neuvillette (Genshin Impact)']",,Dansk,262,1/1,,2,,8
55010416,Blomster til dig,Anonymous,['原神 | Genshin Impact (Video Game)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,06 Apr 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['Romance', 'Poetry', 'Mentioned Neuvillette (Genshin Impact)', 'Post-Traumatic Stress Disorder - PTSD']",,Dansk,360,1/1,,,,4
54955564,Småkager,gnen,['Ted Lasso (TV)'],General Audiences,No Archive Warnings Apply,"F/M, Gen",Complete Work,04 Apr 2024,"['Ted Lasso/Rebecca Welton', 'Ted Lasso & Rebecca Welton']","['Ted Lasso', 'Rebecca Welton']",[],Ted og Rebecca i København.,Dansk,350,1/1,6,11,,168
54580639,Fugl,Anonymous,['原神 | Genshin Impact (Video Game)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,19 Mar 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['Established Relationship', 'POV Wriothesley (Genshin Impact)', 'Literal Sleeping Together', 'Non-Sexual Intimacy', 'Insomnia']",,Dansk,247,1/1,,1,,30
