work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55132006,KYS KURU,jondas,['Real Person Fiction'],Explicit,Major Character Death,Other,Complete Work,11 Apr 2024,[],['Kuru'],[],KYS,𓂋𓏺𓈖 𓆎𓅓𓏏𓊖,"60,918",1/1,,,,7
55080073,i love atsushi but better,Milky_Bars,"['Stray Kids (Band)', 'Ohio - Fandom', '文豪ストレイドッグス | Bungou Stray Dogs']",Not Rated,"Graphic Depictions Of Violence, Major Character Death, No Archive Warnings Apply, Rape/Non-Con, Underage","F/F, F/M, Gen, M/M, Multi, Other",Complete Work,09 Apr 2024,['Nakajima Atsushi (Bungou Stray Dogs) & Everyone'],['Nakajima Atsushi (Bungou Stray Dogs)'],[],atsuhi has a Fun timE,𓂋𓏺𓈖 𓆎𓅓𓏏𓊖,"1,325",1/1,,1,,95
55079929,hi,Milky_Bars,"['Ohio - Fandom', 'mr prime', 'Sigma - Fandom', 'skibidi rizz - Fandom', 'Fortnite - Fandom', 'gyatt rizzley', 'mponey wbabel', 'oroject skibidi', 'project skekai', 'oororopprject sekai']",Explicit,"Graphic Depictions Of Violence, Major Character Death, No Archive Warnings Apply, Rape/Non-Con, Underage","F/F, F/M, Gen, M/M, Multi, Other",Complete Work,09 Apr 2024,[],[],[],sdufionsdiuofnvudfs,𓂋𓏺𓈖 𓆎𓅓𓏏𓊖,31,1/1,,2,,62
55078609,"“Shutup cringelord, see page 3 of that thread. I’m done here.“ -9incher",Penkil,['Rule 34 website'],Explicit,Choose Not To Use Archive Warnings,M/M,Complete Work,09 Apr 2024,['9incher/xenocrystal'],"['9incher (rule34 user)', 'XenoCrystal (rule34 user)', 'Shaded_cube (rule34 user)', 'denekogobrr (rule34 user)']","['Half-joking', 'those two would not stop arguing so I wrote this', 'I Wrote This Instead of Sleeping', 'Mild A/B/O Dynamics', 'Crack', 'Crack Treated Seriously', 'chat is it gay', 'fellas is it gay to argue about cuckholding with someone?', 'Anal Sex', 'forums', 'rule 34 forums', 'Anon - Freeform']","After a heated argument, Xenocrystal decides to put 9incher in his place.",𓂋𓏺𓈖 𓆎𓅓𓏏𓊖,874,1/1,,,,26
55073875,err ermmm err,laoolao,['Original Work'],Not Rated,Choose Not To Use Archive Warnings,No category,Work in Progress,11 Apr 2024,[],[],[],"js ranting or like what if situations in third person btw i hate writing in first person its genuinely so awkward btw requests r open i’ll probably forget abt this tho in like 2 days!!! **note i use heavy subjects really lightly (suicide, racism) so errr",𓂋𓏺𓈖 𓆎𓅓𓏏𓊖,596,4/?,,,,14
55061623,Changin History,Anonymous,['Anonymous - Fandom'],General Audiences,Choose Not To Use Archive Warnings,Other,Complete Work,08 Apr 2024,[],[],[],,𓂋𓏺𓈖 𓆎𓅓𓏏𓊖,"12,087",6/6,,,,36
55058800,"Of Eve, And Burnt Kitchens",evanescencehead3186,['Original Work'],General Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,08 Apr 2024,[],"['Author - Character', 'aka me - Character']","['yappology', 'i wrote this in my notes at 3 am', 'right after watching the virginia woolf movie', 'Not Beta Read', 'Bible references', 'hah']",:3,𓂋𓏺𓈖 𓆎𓅓𓏏𓊖,536,1/1,,1,1,22
55037503,SUA IS ALIVE,Anonymous,['Alien Stage (Web Series)'],Not Rated,Choose Not To Use Archive Warnings,No category,Complete Work,07 Apr 2024,[],['Sua (Alien Stage)'],['SUA IS ALIVE'],SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE SUA IS ALIVE,𓂋𓏺𓈖 𓆎𓅓𓏏𓊖,"49,370",1/1,3,11,1,133
55035265,vib romm 🤤🤤🤤,J0L3N3H4T3SY0U,['Vibe Room!'],Not Rated,No Archive Warnings Apply,No category,Complete Work,07 Apr 2024,"['karel x men', 'sec x ringo', 'eyesac x ballsac', 'dino x ruub', 'eep x sleep', 'yuki x knife', 'jellybean x bees']","['Eep - Character', 'Karel', 'sec - Character', 'eyesac', 'Yuki', 'Dino', 'Potato - Character', 'Jellybean - Character']",['#homolifestyle'],gay porn,𓂋𓏺𓈖 𓆎𓅓𓏏𓊖,768,1/1,,1,,28
55034533,Abbie is fucking done with himself (womp womp),d0tt1wh00pz1,['Fundamental Paper Education (Web Series)'],Not Rated,"Choose Not To Use Archive Warnings, Graphic Depictions Of Violence",No category,Work in Progress,11 Apr 2024,[],"['Abbie (Fundamental Paper Education)', 'Oliver (Fundamental Paper Education)', 'Miss Circle (Fundamental Paper Education)', 'Miss Bloomie (Fundamental Paper Education)', 'Miss Thavel (Fundamental Paper Education)', 'Zip (Fundamental Paper Education)', 'Edward (Fundamental Paper Education)', 'Engel (Fundamental Paper Education)', 'Claire (Fundamental Paper Education)', 'Skell (Fundamental Paper Education)', 'Ruby (Fundamental Paper Education)', 'Bubble (Fundamental Paper Education)']","['Why Did I Write This?', 'Crack', 'Guns', 'Sorry Not Sorry', 'Oh My God', 'Gay', 'Author Is Sleep Deprived', 'The Author Regrets Nothing', 'What Have I Done', 'Miss thavel is on crack', 'Oliver is a fucking bitch']",This is basically a bunch of crack shit idk Woahzers Anyways this is my first fic so expect it to be bad xoxo Somerhing I wanna add : Abbie is probably high on crack /hj This'll have more chapters Also no ships for now,𓂋𓏺𓈖 𓆎𓅓𓏏𓊖,"1,135",3/?,12,21,,362
