work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
54861010,Ένα Τσιγάρο Και Φεύγω,servetas,['Στο Παρά 5 | In The Nick of Time (Greece TV)'],Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,31 Mar 2024,['Ανδρέας Καλογήρου/Νίκος Καλαθάς'],"['ανδρεας καλογηρου', 'νικος καλαθας']","['δε θέλω να ταγκάρω πολύ να σας πω την αλήθεια', 'θα πω ότι σε αυτό το σύμπαν έχουν ίδια ηλικία και είναι και οι δύο 18', 'αυτά έχω να πω δε θέλω να ταγκάρω αλλά διαβάστε είναι πολύ ωραίο το υπόσχομαι', 'άντε και φιλιούνται. αυτά από μένα', 'επίσης πείτε ότι αυτό συμβαίνει τη δεκατία του 90', 'αλλά αυτό που λέω για το τηλέφωνο στο τέλος ας πούμε ότι βγάζει νόημα για το 1997', 'και τέλος. θέλω να πω ότι εάν δεν κινδύνευε να φάει πρόστιμο από ΕΣΡ τότε ο Καπουτζίδης', 'θα είχε αφήσει να παιχτεί φάση με αυτούς τους δύο']","«Πιστεύεις αν εύχεσαι για τον θάνατο ενός κακού ανθρώπου, τότε αυτό σε κάνει καλό άνθρωπο; Ή είναι μια απ’τα ίδια;» ξύνει το κεφάλι του. Δεν περιμένει πραγματική απάντηση. «Νομίζω είναι απλά η αρχή. Δεν έχω πάρει την τελική μου μορφή. Σάμπως κι αυτός ήταν έτσι κακός πάντοτε; Ήταν κι αυτός σαν κι εμένα.» Κοιτάει ψηλά, το φεγγάρι. «Κι εγώ θα γίνω σαν αυτόν.» Ο Νίκος τον κοιτάει, το νιώθει. «Το κακό βρίσκεται μέσα σου, αν υπάρχει. Δε θα το φιλοσοφούσες. Θα σου ταίριαζε.» - το πώς πιστεύω ότι γνωρίστηκαν ο Ανδρέας και ο Νίκος, πολύ πριν από τους πέντε",Ελληνικά,"5,029",1/1,1,1,,12
54662725,Καλωσορίσατε στον Παράδεισο,randomstuffs,"['Εγκλήματα | Crimes (Greece TV)', 'Hazbin Hotel (Cartoon)']",Teen And Up Audiences,No Archive Warnings Apply,Gen,Complete Work,23 Mar 2024,[],"['Σωσώ Παπαδήμα', 'St. Peter (Hazbin Hotel)', 'Sera (Hazbin Hotel)', 'Adam (Hazbin Hotel)', 'Lute (Hazbin Hotel)', 'Αλέκος Παπαδήμας', 'Κορίνα Μητροπούλου', 'Αχιλλέας Μητρόπουλος', 'Φλώρα Μουσουτσάνη - Μητροπούλο']","['Humor', 'Attempt at Humor', 'Villain Protagonist', 'Oneshot', 'απρεπές λεξιλόγιο', 'Exorcists']","Όταν η ζωή σου δίνει λεμόνια, φτιάχνεις λεμονάδα. Στην προσπάθεια της να εκδικηθεί τον σύντροφό της γιαωτο κέρατο που έτρωγε, η Σωσώ πεθαίνει μαζί με τον Αχιλλέα, τον Αλέκο, την Φλώρα και την Κορίνα και ανακαλύπτει έντρομη πως κατέληξε στον Παράδεισο. Σύντομα, όμως, θα βρει μια θέση εκεί και θα ανακαλύψει ότι δεν είναι τόσο άσχημα.",Ελληνικά,"1,775",1/1,,,,29
54614749,Δρόμοι,elisavet,['Original Work'],General Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,20 Mar 2024,[],[],"[""I Don't Even Know"", 'Original work - Freeform', 'Roads', 'Greek']",η φιλοσοφική πορεία μίας ψυχής αφού εγκαταλείψει το νεκρό σώμα του κατόχου της στην άσφαλτο. :),Ελληνικά,401,1/1,2,6,,14
54534448,5 Φορές Που Η Αγγέλα Είπε Αδιάφορα Κάτι Ανησυχητικό (+ 1 Φορά Που Κατάλαβε Ότι Ήταν Ανησυχητικό),MultiFandomCrap,['Στο Παρά 5 | In The Nick of Time (Greece TV)'],Teen And Up Audiences,Choose Not To Use Archive Warnings,Gen,Work in Progress,03 Apr 2024,"['Αγγέλα Ιωακειμίδου & Φώτης Βουλινός', 'Αγγέλα Ιωακειμίδου & Ζουμπουλία Αμπατζίδου', 'Ντάλια Χατζηαλεξανδρου & Σπύρος Δελόγλου', 'Σπύρος Δελόγλου & Αγγέλα Ιωακειμίδου', 'Αβραάμ Λέντζος & Αγγέλα Ιωακειμίδου']","['Αγγέλα Ιωακειμίδου', 'Σπύρος Δελόγλου', 'Φώτης Βουλινός', 'Ντάλια Χατζηαλεξάνδρου', 'Ζουμπουλία Αμπατζίδου', 'Αβραάμ Λέντζος', 'Τα Κορίτσια Του Θιάσου']","['Angst', 'Found Family', 'Η Αγγέλα έχει ΠΑΡΑ πολλά προβλήματα', 'Fuck Αγγέλας mum all my homies hate Αγγέλας mum', 'Η Αγγέλα θεωρεί πως η παιδική της ηλικία ήταν απολύτως φυσιολογική: the fic', 'Canon & Non-Canon Moments', 'Το Σπίτι της Μπερνάρντας Άλμπα', 'no beta we die like σταυριανίδης']","""10 χρόνια έχω να δω το σόι μου, δε θα με ψάξουν τώρα."" ""Ποσά;"" Η Ζουμπουλία κοίταξε την Αγγέλα με έκπληξη. ""Απ' όταν ήμουν 14. Μετά έφυγα απ' το σπίτι"", ανασήκωσε και τους ώμους αδιάφορα, λες και αυτό που μόλις είπε δεν ήταν καθόλου ανησυχητικό. /\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/\/ πάνω-κάτω αυτό που λέει ο τίτλος",Ελληνικά,"2,343",2/6,1,5,,44
54426868,η πυγμάχος στο πεζούλι,lilhex,['Στο Παρά 5 | In The Nick of Time (Greece TV)'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,12 Mar 2024,"['Αγγέλα Ιωακειμίδου & Άννα Αμπατζίδου', 'Αγγέλα Ιωακειμίδου & Ζουμπουλία Αμπατζίδου (αναφέρεται)', 'Άννα Αμπατζίδου & Ζουμπουλία Αμπατζίδου (αναφέρεται)']","['Αγγέλα Ιωακειμίδου', 'Άννα Αμπατζίδου']","['Smoking', 'Missing Scene', 'Canon Compliant', 'Απούσα Σκηνή από το Επισόδειο 43', 'Parallels', 'το αννα/αγγελα ιντεραξιον με τα παραλλελς που δεν ειχαμε ποτε στο κανον', 'οι κορες της ζουμπουλιας!', 'Character Study']","Και τώρα η Αγγέλα, που είχε κάνει θέατρο αλλά δεν είναι ηθοποιός, που έχει χαρακτήρα πυγμάχου, ανασαίνει από τη μύτη και εκπνέει από το στόμα, σα χρόνια καπνίστρια, σα να μαζεύει δυνάμεις. «Ούτε εσύ έχεις ύπνο, ε;»",Ελληνικά,"4,302",1/1,5,12,2,72
54380854,Δώρο Θεού,IhaveNeverBeenMoreStressedInMyLife,['Original Work'],Not Rated,Choose Not To Use Archive Warnings,F/F,Complete Work,10 Mar 2024,['Original Female Character(s)/Original Female Character(s)'],"['Θεοδώρα (oc)', 'Έλενα (oc)', 'ένας καημένος που ονόμασα Αλέκο', 'επειδή είναι στην πραγματικότητα ο σελφ ίνσερτ μου', 'και εξυπηρετεί μόνο έναν σκοπό:', 'είναι εδώ μόνο και μόνο για να του κάνει η θεοδώρα μπούλινγκ']","['Friends to Lovers', 'Implied/Referenced Child Abuse', 'Detective Noir', 'αλλά ανάποδα', 'δλδ η ντεντέκτιβ είναι μια γλυκούλα με ροζ μαλλιά', 'ενώ η φίλη της η κοινωνική λειτουργός', 'φοράει μαύρες καμπαρντίνες', 'και καπνίζει κάτω από φανοστάτες', 'Pre-Relationship']","Όταν ξεκίνησε την ημέρα της, η Έλενα περίμενε ότι το βράδυ θα ήταν ελεύθερη να καθίσει στον καναπέ της και να παρακολουθήσει το καινούργιο επεισόδιο εκείνης της σειράς που πάντα απεχθανόταν αλλά έβλεπε ούτως ή αλλιώς. Το να περπατάει μόνη της τους δρόμους της Αθήνας μέσα στο ψοφόκρυο και να ξεπαγιάζει παρόλο που ήταν ντυμένη σαν το κρεμμύδι για έκτακτη παρουσία στον σταθμό επειδή έκπληξη! Βρήκαν την ένοχο σε μία υπόθεση στην οποία θα προτιμούσε να μην συμμετέχει εξαρχής, δεν πλησίαζε ούτε λίγο το τι θα χαρακτήριζε ως το ιδανικό σαββατόβραδο. Είναι ασφαλές να υποθέσει κανείς, ότι η Έλενα δεν περνούσε και πολύ καλά.",Ελληνικά,"3,072",1/1,6,7,,22
54377386,Μητέρα,HaMer77,['Στο Παρά 5 | In The Nick of Time (Greece TV)'],Not Rated,Choose Not To Use Archive Warnings,Multi,Complete Work,10 Mar 2024,"['Αγγέλα Ιωακειμίδου/ Ζουμπουλία Αμπατζίδου', 'Αγγέλα Ιωακειμίδου/ Φώτης Βουλινός', 'Αγγέλα Ιωακειμίδου & Πέντε']","['Αγγέλα Ιωακειμίδου', 'Ζουμπουλία Αμπατζίδου', 'Σπύρος Δελόγλου', 'Φώτης Βουλινός', 'Ντάλια Χατζηαλεξάνδρου']",[],Η μητέρα της Αγγέλας πεθαίνει. Η Αγγέλα αρνείται να παει στην κηδεία της με αποτέλεσμα να συγκρουστεί με την Ζουμπουλία και να βγουν στην επιφάνεια τα συναισθήματά της,Ελληνικά,"1,380",1/1,,4,,22
54341155,Μαρμαρωμένος Βασιλιάς,Margophano,['Original Work'],Not Rated,Choose Not To Use Archive Warnings,F/M,Work in Progress,08 Mar 2024,[],['Κωνσταντίνος Παλαιολόγος'],"['Byzantium', 'Alternate History', 'Roman Empire', 'Satire', 'Arranged Marriage', 'Enemies to Lovers', 'σπάνια βασισμένο σε αληθινά γεγονότα', 'μην το πάρετε πατριωτικά']",...,Ελληνικά,"2,732",1/?,,,,39
54303118,-,qwibinate,['Harry Potter - J. K. Rowling'],Explicit,Choose Not To Use Archive Warnings,No category,Complete Work,07 Mar 2024,[],[],[],https://kemono.su/patreon/user/74118826/post/99742138,Ελληνικά,1,1/1,,,,24
54252535,Οριστικό και Αμετάκλητο,Thukydides,['原神 | Genshin Impact (Video Game)'],Explicit,Graphic Depictions Of Violence,M/M,Work in Progress,04 Mar 2024,['Tartaglia | Childe/Zhongli (Genshin Impact)'],"['Tartaglia | Childe (Genshin Impact)', 'Zhongli (Genshin Impact)', 'Ying | Lumine (Genshin Impact)', ""Tartaglia | Childe's Family (Genshin Impact)""]","['Fake/Pretend Relationship', 'Mutual Pining', 'Sexual Tension', 'Eventual Smut', 'Fluff', 'Angst', 'Unreliable Narrator', 'o childe exei arnhtika egkefalika kyttara', 'Friends With Benefits', 'Miscommunication', 'Misunderstandings', 'Top Tartaglia | Childe/Bottom Zhongli (Genshin Impact)']","Είσαι χαζός και γράφεις τόσο πολύ για έναν έξι χιλιάδων ετών σύμβουλο τόσο πολύ που η οικογένειά σου είναι πεισμένη ότι όχι μόνο τα έχετε, αλλά είσαι αρραβωνιασμένοι; Κανένα πρόβλημα, ο Childe έχει τα ίδια αρνητικά εγκεφαλικά κύτταρα με εσένα! Στην περίπτωσή του, τα πράγματα είναι απλά- απλώς να παίξει το θέατρο του παραλόγου. Απολύτως τίποτα δεν μπορεί να πάει λάθος! Όλα θα γυρίσουν στο κανονικό στο τέλος, εκατό τις εκατό. Αποδεχτό το συμβόλαιο. Ένα σίγουρο σχέδιο, οριστικό και αμετάκλητο. Σωστά;",Ελληνικά,"6,233",1/12,,4,1,54
