work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55026274,Malfordandi,Mortejchjo,['Original Work'],Teen And Up Audiences,No Archive Warnings Apply,"F/M, M/M",Complete Work,07 Apr 2024,[],[],"['Romance', 'Flirting', 'Poetry', 'Love Poems', 'Sensuality', 'Esperanto']",Via kara ame poemas al vi flirtante je la unua fojo,Esperanto,84,1/1,,,,1
54959971,Demandoj,Hopeful_Student,['Sonic the Hedgehog - All Media Types'],General Audiences,No Archive Warnings Apply,F/M,Complete Work,04 Apr 2024,"['Amy Rose/Miles ""Tails"" Prower']","['Amy Rose (Sonic the Hedgehog)', 'Miles ""Tails"" Prower']","['Romance', 'Fluff', 'Love']","Aparte de siaj multaj, multaj demandoj, Ejmi havas alian, specialan demandon, por sia du-vosta vulpo amiko. Treege da ĉarmo.",Esperanto,663,1/1,,1,,18
54949366,Rezisto,Hopeful_Student,"['Sonic the Hedgehog - All Media Types', 'Sonic the Hedgehog (Video Games)', 'Sonic the Hedgehog (Comics)']",Teen And Up Audiences,Choose Not To Use Archive Warnings,F/M,Work in Progress,04 Apr 2024,"['Miles ""Tails"" Prower/Fiona Fox']","['Miles ""Tails"" Prower', 'Fiona Fox']","['Action/Adventure', 'Suspense', 'Romance']","Telzo, alinome Malzo Prover kaj Fiona Fokso batalas tra mondo kiu malamikiĝis kontraŭ ili kaj ties speco. Kelka da violenco, fivortoj, kaj seksumo. Ne normal adorant-verko.",Esperanto,"2,145",1/28,,,,19
54837787,Mirinda Romaniĝo,Hopeful_Student,['Epic Battle Fantasy (Matt Roszak Video Games)'],Teen And Up Audiences,No Archive Warnings Apply,F/M,Work in Progress,30 Mar 2024,"['Matt/Natalie', 'Lance/Anna']","['Lance', 'Anna', 'Natalie', 'Matt']","['Novelization', 'Adventure', 'EBF4', 'Epic Battle Fantasy 4', 'Godcat']","Mistika juvelo estis ŝtelita kaj ĝi estis nur la unua. Nun, kvar junaj herooj devas veturi por reakiri ilin, aŭ alie alfronti la tutan detruon de ĉio. Sekvu ilin en ties misio por reakiri la ŝtelitajn juvelojn por malebligi fidion de vekiĝanta kaj detruanta la mondon kun kolerega kolero. Ĉi tio estas romaniĝo de Mirinda Batala Fantazio 4 (Epic Battle Fantasy 4).",Esperanto,788,1/24,,1,,12
54809281,La Tempo,Hopeful_Student,['Epic Battle Fantasy (Matt Roszak Video Games)'],General Audiences,Choose Not To Use Archive Warnings,Gen,Complete Work,29 Mar 2024,[],"['Matt (Epic Battle Fantasy)', 'Lance (Epic Battle Fantasy)', 'Natalie ""Natz""', 'Anna (Epic Battle Fantasy)']",[],,Esperanto,"2,617",1/1,,1,,10
54798676,Ĝangalo,Hopeful_Student,['Epic Battle Fantasy (Matt Roszak Video Games)'],General Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,29 Mar 2024,[],"['Matt (Epic Battle Fantasy)', 'Lance (Epic Battle Fantasy)', 'Natalie ""Natz"" (Epic Battle Fantasy)', 'Anna (Epic Battle Fantasy)']","['No pairings - Freeform', 'natalie is a mother hen', 'because she cares about her idiots', 'Anna is reckless', 'something is in the trees', ""but we'll never know what it is"", 'natali estas patrino kiel kokino', 'ĉar ŝi zorgas pri siaj stultuloj', 'Ana estas senzorgema', 'io estas en la arboj', 'sed ni neniam scios tion- kio ĝi estas']",La teamo vagas tra maljuna ĝangalo.,Esperanto,906,1/1,,1,,15
54674974,dsadsa,mouyuu (orphan_account),['dadsdas'],Mature,Choose Not To Use Archive Warnings,Other,Complete Work,23 Mar 2024,[],[],[],,Esperanto,1,1/1,,,,9
54661135,Eternaj Vostoj: En Via Ombro,Hopeful_Student,"['Sonic the Hedgehog (Video Games)', 'Sonic the Hedgehog - All Media Types']",General Audiences,No Archive Warnings Apply,Gen,Complete Work,23 Mar 2024,"['Amy Rose & Miles ""Tails"" Prower']","['Miles ""Tails"" Prower', 'Amy Rose (Sonic the Hedgehog)', 'Sonic the Hedgehog']","['introspective', 'Present Tense', 'Internal Monologue', 'Alternative Perspective', 'Friendship', 'Angst and Feels', 'Denial', 'Drama', 'Behind the Scenes', 'Unhealthy Relationships', 'Dysfunctional Relationships', 'Constructive Criticism Welcome', 'Stream of Consciousness']","Kiam la heroo kuregas antaŭe, estas necesa ke aliaj sekvas malantaŭe por purigi la ceteran damaĝon. Kaj hodiaŭ Malzo ""Telzo"" Prover kaj Ejmi ""Postsekvanto"" Rozo faras ĝuste tion. Introspekta vido al la du plej konstantaj sekvantoj de Sonik, de la perspektivo de Malzo.",Esperanto,"1,224",1/1,,,,15
54631822,Eternaj Vostoj: Diabloj en la Detaloj,Hopeful_Student,"['Sonic the Hedgehog - All Media Types', 'Sonic the Hedgehog (Video Games)', 'Sonic the Hedgehog (IDW Comics)']",General Audiences,No Archive Warnings Apply,Gen,Complete Work,22 Mar 2024,"['Miles ""Tails"" Prower & Shadow the Hedgehog']","['Miles ""Tails"" Prower', 'Shadow the Hedgehog']","['Shooting Range', 'Shooting Guns', 'Hanging Out', 'Introspection', 'Stream of Consciousness', 'Regret', 'Guilt', 'Moral Ambiguity', 'Target Practice', 'Behind the Scenes']","Kiam la Maksimuma Persono decidas foresti la paroladojn de la herooj, li trovis sin akompanita de senatendita kunulo ĉe la pafejo. Eksperimenta kaj introspekta vido al la plej pesimista heroo de la serio. Ĝi okazas dum la eventoj de La Teamanoj de Sonik (Sonic Forces).",Esperanto,"1,161",1/1,,,,19
54590269,Eternaj Vostoj: Restante Segura,Hopeful_Student,"['Sonic the Hedgehog - All Media Types', 'Sonic the Hedgehog (Video Games)', 'Sonic the Hedgehog (IDW Comics)']",General Audiences,No Archive Warnings Apply,Gen,Complete Work,20 Mar 2024,[],"['Miles ""Tails"" Prower']","['Madness', 'Post-Traumatic Stress Disorder - PTSD', 'Trauma', 'Psychological Trauma', 'Insanity', 'Angst', 'Hurt No Comfort', 'Isolation', 'Self-Hatred', 'Self-Harm', 'Rituals', 'Loss', 'Tails Abuse', 'Survivor Guilt', 'Guilt', 'Sonic Forces', 'Pre-Sonic Forces', 'Miles ""Tails"" Prower Needs a Hug', 'Child Soldiers', 'War', 'Robots', 'Science Fiction', 'Stream of Consciousness']","Sonic la erinaco forestas, venkita de Infinito kaj la armeo de Egman. 99.99% de la mondo estas sub la regno de Egman. La Rezisto apenaŭ pluvivas. Kaj Malzo ""Telzo"" Prover vagas la stratojn sola, senespere provante resti segura sen sia heroo kaj la hororoj de milito memorigante lin de kie li venis. Introspekta vido al Telzo dum la fruaj eventoj de La Teamanoj de Sonik (Sonic Forces).",Esperanto,"1,265",1/1,,1,,26
