work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55081018,دیر یا زود,No_name1999,"['陈情令 | The Untamed (TV)', '魔道祖师 - 墨香铜臭 | Módào Zǔshī - Mòxiāng Tóngxiù', '魔道祖师 | Módào Zǔshī (Cartoon)', '魔道祖师 | Módào Zǔshī (Audio Drama)']",Explicit,"Graphic Depictions Of Violence, Underage",F/F,Work in Progress,09 Apr 2024,"['Lan Zhan | Lan Wangji/Wei Ying | Wei Wuxian', 'Lan Huan | Lan Xichen/Nie Mingjue']","['Lan Zhan | Lan Wangji', 'Wei Ying | Wei Wuxian', 'Jiang Cheng | Jiang Wanyin', 'Lan Huan | Lan Xichen', 'Lan Qiren', 'Nie Huaisang', 'Nie Mingjue', 'Qingheng-jun', 'Wen Ning | Wen Qionglin', 'Lan Yuan | Lan Sizhui', 'Wen Qing (Modao Zushi)']","['Time Travel', 'Time Travel Fix-It', 'POV Lán Zhàn | Lán Wàngjī', 'POV Jiāng Chéng | Jiāng Wǎnyín', 'Dark Lán Zhàn | Lán Wàngjī', 'Top Lán Zhàn | Lán Wàngjī/Bottom Wèi Yīng | Wèi Wúxiàn', 'Lan Zhan goes crazy', 'Manipulation', 'Grooming', 'Except Lan Zhan and Wei Ying are physically the same age', 'but Lan Zhan kept his 30 year old mind', 'Lán Zhàn | Lán Wàngjī/Wèi Yīng | Wèi Wúxiàn Get a Happy Ending', 'Consensual Underage Sex', 'Except problematic please read warning in first chapter', 'Blood and Violence', 'Insane Lan zhan', 'Manic Lan Zhan', 'Hand Jobs', 'Blow Jobs', 'Conditioning', 'Come Eating', 'Come Swallowing', 'Anal Fingering', 'Wei Ying | Wei Wuxian is a Lan', 'Minor Character Death', 'Golden Core Reveal (Módào Zǔshī)', 'Good Friend Nie Huaisang', ""Wèi Yīng | Wèi Wúxiàn Isn't Adopted by the Jiāngs"", 'Abusive Jiang Family (Modao Zushi)', 'Jiāng Family Bashing (Módào Zǔshī)', 'POV Nie Huaisang', 'Dark Nie Huaisang', 'Anal Sex', 'Marathon Sex', 'Dual Cultivation', 'Horny Lan Zhan | Lan Wangji/Wei Ying | Wei Wuxian', 'Qingheng-jun Lives', 'Lan Zhan | Lan Wangji Has a Big Dick', 'Self-Lubrication', 'Wei Ying | Wei Wuxian Self-Lubricates', 'Qishan Wen Indoctrination (Modao Zushi)', 'Plot Twists', 'Porn With Plot', 'Sunshot Campaign (Módào Zǔshī)', 'Lanling Jin Sect Bashing (Modao Zushi)', 'Scheming Niè Huáisāng', 'Manipulative Nie Huaisang', 'BAMF Lan Zhan | Lan Wangji', 'BAMF Wèi Yīng | Wèi Wúxiàn', 'BAMF Nie Huaisang', 'Burial Mounds Lore', 'Sentient Burial Mounds (Modao Zushi)', 'Married Lán Zhàn | Lán Wàngjī/Wèi Yīng | Wèi Wúxiàn', 'Adopted Lan Yuan | Lan Sizhui', 'Breathplay', 'Dark Wèi Yīng | Wèi Wúxiàn', 'Yandere Lan Zhan | Lan Wangji', 'فارسی | Persian']","زمانی که لان وانگجی به اولین باری که وی ووشیان رو دیده بود، برگشت؛ فکر کرد که این دیدار روی پشت بام خواهد بود. به این فکر کرده بود که چقدر باید رفتارشون رو تو مقر ابر تغییر بده، چطور باید راهی برای جدا کردن وی ووشیان از جیانگها پیدا کنه… اما وقتی وارد بدنش شد، خودش رو دید که تو معابر ییلینگ یه طبل اسباببازی رو سمت یه پسربچه به اسم آیینگ کوچولو دراز کرده. لان وانگجی تو دلش گفت 'هاه' و به پسر بچهای که بهش لبخند میزد نگاه کرد ""آسونتر از چیزی بود که فکر میکردم"" بعد از مرگ وی ووشیان، چیزی در لان وانگجی شکست. حاضر بود دست به هر کاری بزنه تا عشق زندگیش رو سالم و سرحال تو بغلش داشته باشه. حتی در ازای بازنویسی تاریخ.",فارسی,501,1/6,2,2,,82
55050706,رقص تحریک کننده,Anonymous,"['呪術廻戦 | Jujutsu Kaisen (Manga)', '呪術廻戦 | Jujutsu Kaisen (Anime)']",General Audiences,Choose Not To Use Archive Warnings,F/M,Complete Work,14 Jan 2024,['Gojo Satoru/Iori Utahime'],"['Gojo Satoru', 'Iori Utahime']",[],,فارسی,322,1/1,,,,2
55012081,ره افسانه,q0z,"['افسانه ی سه برادر', 'افسانه ی جومونگ', 'Original Work']",Teen And Up Audiences,Choose Not To Use Archive Warnings,Gen,Work in Progress,06 Apr 2024,[],[],"['گوه', 'عن', 'شاش', 'گوز', 'ادرار', 'جنگ', 'دعوا', 'سیاسی', 'فکاهی', 'خنده دار', 'محض خنده', 'ریدن', 'شاشیدن', 'عن خوری', 'گوزیدن', 'زرت', 'زرته', 'تاریخی', 'باستانی', 'تاریخ', 'افسانه']","به گواهی تاریخ  و بر اساس منابع مکتوب موثق و معتبر، وقتی سلسله ی امپراطوری ""گوزداریان"" به سرکردگی ""گوزان خان چصخل"" از نسل ""چنگ گوز""خان اسکول تأسیس شد در طی جنگهای هزار ساله  به سلطنت و پادشاهی هزاران ساله ی ""توت عن خوارون"" پایان داد و رسم ننگین عن خوری را تقریبا منقرض کرد...",فارسی,896,1/?,2,2,2,5
54806821,Lust mark,Lou1724,"['呪術廻戦 | Jujutsu Kaisen (Manga)', '呪術廻戦 | Jujutsu Kaisen (Anime)']",Explicit,Graphic Depictions Of Violence,M/M,Complete Work,29 Mar 2024,['Gojo Satoru/Sukuna | Ryoumen Sukuna'],"['Sukuna | Ryoumen Sukuna', 'Gojo Satoru', 'Kenjaku | Fake Getou Suguru', 'Fushiguro Toji', 'Zenin Maki', 'Mahito (Jujutsu Kaisen)']","['Alternate Universe - Modern: No Powers', 'Alternate Universe - Modern Setting', 'Sadism', 'Masochism', 'Top Gojo Satoru', 'Bottom Sukuna | Ryoumen Sukuna', 'Anal Sex', 'Gay Sex', 'Semi-Public Sex', 'Homophobia', 'Hate Sex']",مرد روبه روی سوکونا کسی نبود که قبلا میشناخت. همان چشم های آبی کمیاب ولی نگاه نافذ غریبه ای که به استخوان هایش نفوذ میکرد و با ذوب کردن آنها پاهایش را سست میکرد.,فارسی,"2,636",1/1,2,3,,135
54753904,The Art of Camouflage,FreeRaraAvis,['Red White & Royal Blue (2023) RPF'],Teen And Up Audiences,Choose Not To Use Archive Warnings,M/M,Work in Progress,27 Mar 2024,['Nicholas Galitzine/Taylor Zakhar Perez'],"['Nicholas Galitzine', 'Taylor Zakhar Perez']","['Miscommunication', 'Hurt/Comfort', 'Angst with a Happy Ending', 'RPF', ""Don't Like Don't Read"", 'Other Additional Tags to Be Added']","""روی صحنه یک نفس عمیق بکش و یکی از ماسک هاتو دربیار. تو صدها نقاب داری که در هر لحظه باید انتخاب کنی کدومو روی چهره ت بذاری. فقط کافیه نقاب درست رو انتخاب کنی. کل بازیگری همینه نیک! از خود گم شدن و در نقاب پیدا شدن"" The one with Nicholas in love, and Taylor having no clue... and also a boyfriend.",فارسی,"2,955",1/?,1,5,,66
54598945,Breathing a dream,Lou1724,"['呪術廻戦 | Jujutsu Kaisen (Manga)', '呪術廻戦 | Jujutsu Kaisen (Anime)']",Not Rated,No Archive Warnings Apply,Gen,Complete Work,20 Mar 2024,['Mahito/Nanami Kento'],"['Nanami Kento', 'Mahito (Jujutsu Kaisen)']",['Alternate Universe - Modern Setting'],نانامی مردی بیزار از ادم های بی پروا، فکر میکنه زندگی کاملی داره ولی وقتی بعد از یه تصادف رانندگی توی کما میره، فرصت اینو داره تا نسبت به انتخاب های زندگی و تصمیم هاش تجدیدنظر کنه,فارسی,"1,551",1/1,,,,29
54084505,شرکت عروسک سازی دکتر مهشید,c1x,['Original Work'],Explicit,No Archive Warnings Apply,F/F,Work in Progress,26 Feb 2024,[],"['مهشید', 'کاملیا', 'ژاله', 'ژیلا']","['عروسکبازی', 'عروسکسازی', 'دکتربازی', 'زن', 'دختر', 'عروسک', 'دخترانه', 'زنانه', 'اسمات', 'سکس', 'مدیکال فتیش', 'مدیکال کینک', 'خیمه شب بازی']",,فارسی,"1,197",3/?,3,3,1,35
54066682,زری زنبوره ، پری پروانه هه,c1x,"['Original Work', 'Furry (Fandom)']",Explicit,No Archive Warnings Apply,F/F,Work in Progress,07 Apr 2024,['زری/پری'],"['زری', 'بوری', 'سوزی', 'ویزی', 'پری']","['لسبین', 'لز', 'زنانه', 'دخترانه', 'یوری', 'هنتایی', 'حشرات', 'اسمات', 'سکس', 'همجنسبازی', 'کندو', 'عسل', 'طبیعت', 'پرواز', 'جنگل', 'رودخانه', 'بیشه', 'داستان سکسی', 'رمان سکسی', 'رمان', 'شهوانی', 'خاطرات سکسی']",این داستان براساس داستان حشره ی حشری اما با محوریت دوستیهای زری زنبوری با پری پروانه تا قبل از آشنا شدن ایشان با حشری کوچولو نوشته شده؛ زمان ماجرا چندین سال پیش از دیدن حشری و شاید خیلی قبل از بدنیا آمدن پسرک هست. شروع داستان به زمانی قبل از ساخت کندوی مجردی زری برمیگردد، حتی قبل تر از ترک کندوی اعظم توسط زری...,فارسی,"1,076",2/?,,1,1,38
53913706,راز های کثیفم که منو بیدار نگه میداره,KuiYangFiction,"['无名 | Wú Míng | Hidden Blade (2023)', ""明星大侦探 | Who's the Murderer (TV)""]",Explicit,No Archive Warnings Apply,M/M,Complete Work,19 Feb 2024,"[""Xiao Sa (Who's the Murderer TV)/Secretary Ye (Wú Míng)"", 'Wang Yi Bo/Xiao Zhan | Sean']","[""Xiao Sa (Who's the Murderer TV)"", 'Secretary Ye (Hidden Blade)']","['Wang Yi Bo/Xiao Zhan | Sean Character Combinations', 'Crossover Pairings', 'Mystery', 'Suspense', 'Thriller', 'ZSWW | Wang Yi Bo/Xiao Zhan | Sean is Real']",بار اول که بهش شلیک کرد، تیر به پهلوش خورد. براش سخت بود که زجر کشیدنش رو  تماشا کنه. اما با شلیک دوم.... اون مرد منشی یه، در خفا یک جاسوسم هست. علیرغم اینکه سخت درگیر وظیفه اش هست، اما نتوانست جلوی خودش را بگیرد، و دلش را به غریبه خوشتیپی که در قطار با او روبرو شده بود باخت,فارسی,"7,727",1/1,,10,,68
53864020,Twisted fate (translated),E_P_D,['Wish (Movie 2023)'],Teen And Up Audiences,"No Archive Warnings Apply, Choose Not To Use Archive Warnings","Multi, Other",Work in Progress,05 Mar 2024,"['Magnifico of Rosa (Disney) & Original Character(s)', 'Amaya/Magnifico of Rosa (Disney)', 'Magnifico of rosaMagnifico of Rosa (Disney)/OC']","['Magnifico of Rosa (Disney)', 'Amaya (Disney)', 'Asha (Disney)', 'Melody (OC)', 'Avina (OC)']","['Crossover', 'Parallel Universes', 'Fiction', 'Fan Characters', 'Past', 'Death', 'Fake/Pretend Relationship', 'Hurt/Comfort', 'Rape/Non-con Elements', 'Mild Sexual Content', 'Blood and Injury', 'Anything is possible', 'WIP']","پادشاه افسرده در آینه ای نشکننده، تنها در سیاهچالی سرد، در ارزوی کنترلی بهتر بر اوضاع و یک همدم. اتفاقاتی میافتدکه انتظارش را ندارد و به حقیقت هایی پی میبرد که باور نمیکند. نمیداند که بازی سرنوشت چیست.... Note: This is a translated version of ""Twisted Fate"".",فارسی,"16,527",4/?,,1,,28
