work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55142809,哥哥,xiwa11,"['叛逆者', '朱一龙水仙', '林楠笙 - Fandom', '沈巍 - Fandom']",Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,12 Apr 2024,"['叛逆者 - Relationship', '朱一龙水仙 - Relationship', '林楠笙 - Relationship', '沈巍 - Relationship']","['林楠笙', '沈巍']","['叛逆者 - Freeform', '朱一龙水仙 - Freeform', '林楠笙 - Freeform', '沈巍 - Freeform']","Abo, 骨科",中文-客家话,533,1/1,,,,5
55050205,挑衅的舞蹈,Anonymous,"['呪術廻戦 | Jujutsu Kaisen (Manga)', '呪術廻戦 | Jujutsu Kaisen (Anime)']",General Audiences,Choose Not To Use Archive Warnings,F/M,Complete Work,06 Jan 2024,['Gojo Satoru/Iori Utahime'],"['Gojo Satoru', 'Iori Utahime']",[],,中文-客家话,501,1/1,,,,2
55046212,卿卿我心,yuqingshu,['代号鸢 | Ashes of the Kingdom (Video Game)'],Not Rated,Choose Not To Use Archive Warnings,F/M,Complete Work,09 Apr 2024,['“张辽／你”'],['张辽'],"['睡奸', '微虐', '道具']",你觉得你不是张辽口中的乖孩子，你坐在张辽腰间用你的穴儿上下摩擦着张辽的性器，你低着头看着你们两个接触的性器，胡思乱想着。,中文-客家话,"4,582",2/2,3,20,3,"1,019"
54994876,潮热夏日,AlwaysRose,['代号鸢'],Not Rated,Choose Not To Use Archive Warnings,F/M,Complete Work,06 Apr 2024,['权广 - Relationship'],"['孙权', '广陵王']",['现代'],放一个自己很喜欢的脑洞，希望以后有机会扩写。,中文-客家话,667,1/1,,1,,88
54994810,【傅融】青山见我应如是,AlwaysRose,['代号鸢'],Not Rated,Choose Not To Use Archive Warnings,F/M,Complete Work,06 Apr 2024,['傅广'],"['傅融', '广陵王']",['第一人称；视角切换'],爱是一个太过炽热的瞬间，人在那一刻活着。,中文-客家话,"3,949",1/1,,4,,153
54979639,主角光环引发的三人行,Moonlightgrilledfish,['主角光环的惨案'],Not Rated,"Choose Not To Use Archive Warnings, Rape/Non-Con",No category,Complete Work,05 Apr 2024,['三人行 - Relationship'],[],['小脑洞'],第一次见面时 他正与他的道侣欢声笑语，那月光撒在他身上，他勾唇微笑，眼里像是进了光。 你远远望着，只觉心脏嘭嘭乱跳，你看见他们相拥于花海，溺于月光之下。 你好喜欢他啊，一见钟情，越看越喜欢，你想不要脸的争一争。,中文-客家话,920,1/1,,,,3
54979408,有一天。。。,ForeternityXOXO,['Passion - 유우지 | Yuuji (Webcomic)'],Mature,Major Character Death,M/M,Work in Progress,05 Apr 2024,['Jeong Taeui/Ilay Riegrow'],"['Jeong Taeui', 'Ilay Riegrow']",[],抱歉，如果我写的是“她”而不是“他”。我急于写这篇文章，所以我希望它有意义。 (Y'all just translated this with chrome or whatever. It's a happy ending! I only write happy ending),中文-客家话,"3,653",2/?,2,8,,80
54975121,火车穿过铁轨时,juqibailandaqi,['賭博黙示録カイジ | Tobaku Mokushiroku Kaiji | Ultimate Survivor Kaiji (Anime & Manga)'],Teen And Up Audiences,Choose Not To Use Archive Warnings,M/M,Complete Work,05 Apr 2024,['Itou Kaiji/Sahara Makoto'],"['Itou Kaiji', 'Sahara Makoto']",[],清明节蟑狗蟑，一个发生在春天的故事 *床是假上恋爱是真在谈的ooc,中文-客家话,"3,144",1/1,,,,5
54932425,【傅融/gb】欺,Annnnn_lin,['代号鸢 | Ashes of the Kingdom (Video Game)'],Not Rated,Choose Not To Use Archive Warnings,F/M,Complete Work,03 Apr 2024,"['你x傅融', '广傅']","['你', '广陵王', '傅融']","['身残', '塞珠', '控射', 'GB']",他不肯讨饶，不肯张口泄出半分有求于你的话来，就好像你对他只是一个陌生的侵犯者，而他在这场性事里扮演一个无辜的、被迫受辱的被害人形象。  根据新pv的建设，私设是真残。,中文-客家话,"5,351",1/1,7,26,4,903
54896971,【影日】不可控变量,Denglong313,['Haikyuu!!'],Mature,Choose Not To Use Archive Warnings,M/M,Complete Work,02 Apr 2024,['恋人'],"['影山飞雄', '日向翔阳']",['影日 - Freeform'],荒诞——伴随少年情欲成为最不可控变量。,中文-客家话,"3,916",1/1,3,14,,311
54896824,【影日】月光变奏,Denglong313,['Haikyuu!!'],Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,02 Apr 2024,['恋人'],"['影山飞雄', '日向翔阳']",['影日 - Freeform'],沥青路湿了，衣服湿了，眼眶湿了。他的爱落在森林里，被暴雨淋了个透。,中文-客家话,"2,976",1/1,,3,,37
54861292,来日方长,Cornlion,['追风者'],Mature,Graphic Depictions Of Violence,M/M,Complete Work,31 Mar 2024,"['林谯松/魏若来', '沈图南/魏若来']",[],[],,中文-客家话,"1,997",1/1,,5,1,741
