work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55133431,כשאוהבים,Almog,['Yu-Gi-Oh! VRAINS'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,11 Apr 2024,['Fujiki Yuusaku/Homura Takeru'],"['Fujiki Yuusaku', 'Homura Takeru']","['Fluff', 'יקום אלטרנטיבי - הדמויות גרות בישראל', 'Festigal', 'עברית | Hebrew', 'Post-Canon', 'Self-Indulgent', 'Established Relationship']",פסטיגלים ממש מרהיבים את טאקרו. יוסאקו פשוט שמח להיות איתו.,עברית,386,1/1,,,,1
55062061,"סול טכנולוגיות, תתקנו את האבטחה של המידע שלכם",Almog,['Yu-Gi-Oh! VRAINS'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,08 Apr 2024,['Fujiki Yuusaku/Original Character(s)'],"['Fujiki Yuusaku', 'Original Characters']","['Stalking', ""Yusaku stalks a fan but it's nothing graphic"", 'Post-Canon', 'Self-Indulgent', 'Aged-Up Character(s)', 'הטאגים האלו קצת misleading', 'הפאנפיק חמוד', 'Questionable decisions were made', 'עברית | Hebrew']",יוסאקו מנסה להשיג קצת שליטה שוב על החיים שלו אחרי שהוא מתנשק בסוד עם מעריץ שלו כפליימייקר- על ידי לחפש עליו הכל במאגר הנתונים של סול.,עברית,957,1/1,,,,1
54934996,מלאכותי,Almog,['Yu-Gi-Oh! VRAINS'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,03 Apr 2024,['Kusanagi Jin/Lightning'],"['Lightning (Yu-Gi-Oh)', 'Kusanagi Jin']","['Established Relationship', 'Kiss that is Not Fun', 'Post-Canon', 'Everybody Lives', 'Mild Hurt/Comfort', 'Self-Esteem Issues', ""but somehow it's Lightning's!"", 'עברית | Hebrew', 'Not Beta Read', ""ג'ין שממש מנסה לרצות את לייטנינג"", 'First Kiss', 'but not really', 'סוף קצת מבאס']",לייטנינג כועס שהגוף של הסולטיס לא נותן לו להרגיש את ג'ין מספיק כשהם מתנשקים.,עברית,873,1/1,,,,1
54737242,𐤁𐤅𐤅 𐤑'𐤉𐤒𐤄 𐤅𐤅𐤀𐤅 𐤅𐤅𐤀𐤅,commoner64,['Hazbin Hotel (Cartoon)'],Mature,Choose Not To Use Archive Warnings,F/M,Complete Work,26 Mar 2024,"['Eve/Lucifer Magne | Morningstar', 'Adam/Eve (Hazbin Hotel)']","['Adam (Hazbin Hotel)', 'Eve (Hazbin Hotel)', 'Cain (Hazbin Hotel)', 'Abel (Hazbin Hotel)', 'Lucifer Magne | Morningstar']",['Adultery'],𐤀𐤃𐤌 𐤀𐤉𐤍𐤅 𐤌𐤅𐤃𐤏 𐤋𐤏𐤅𐤁𐤃𐤄 𐤔𐤇𐤅𐤁 𐤌𐤊𐤉𐤓𐤄 𐤀𐤕 𐤋𐤅𐤑𐤉𐤐𐤓. 𐤋𐤌𐤄 𐤀𐤕𐤄 𐤒𐤅𐤓𐤀 𐤀𐤕 𐤆𐤄 𐤀𐤉𐤊 𐤀𐤕𐤄 𐤉𐤊𐤅𐤋 𐤋𐤒𐤓𐤅𐤀 𐤀𐤕 𐤄𐤈𐤒𐤎𐤈 𐤄𐤏𐤕𐤉𐤒 𐤄𐤆𐤄? 𐤀𐤅𐤋𐤉 𐤀𐤕𐤄 𐤇𐤍𐤅𐤍.,עברית,180,1/1,,1,,175
54602836,השד אוכל הגופות,Roni_meow,['銀魂 | Gintama (Anime & Manga)'],General Audiences,Choose Not To Use Archive Warnings,Gen,Work in Progress,20 Mar 2024,['Katsura Kotarou & Sakata Gintoki & Takasugi Shinsuke & Yoshida Shouyo'],"['Sakata Gintoki', 'Katsura Kotarou', 'Takasugi Shinsuke', 'Yoshida Shouyou']","['Fluff', 'Angst', 'Hurt/Comfort', 'most of the fluff in chapter 2']","הוא לא רצה לחשוב על זה, אבל הוא פחד. הוא פחד כל כך.  *********** או שבגלל שאני גרועה בתקצירים: גינטוקי כן פחד מההפסד שבסוף יביא למוות, וגם מאיך שיבוא. אבל ישלנו שויו וסוגי וזורה שיעזרו לו להתמודד.",עברית,"2,046",1/2,,2,,18
54585637,פנפיק סאנג'י-שינובו זורו-קינג,MokkonaModokki,['One Piece (Anime & Manga)'],Mature,No Archive Warnings Apply,"F/M, Gen, M/M, Multi, Other",Complete Work,19 Mar 2024,"['Roronoa Zoro/Vinsmoke Sanji', 'King The Wildfire/Roronoa Zoro', 'Kochou Shinobu/Vinsmoke Sanji', 'Roronoa Zoro/Trafalgar D. Water Law/Vinsmoke Sanji', 'Roronoa Zoro/Trafalgar D. Water Law', 'King The Wildfire & Queen The Plague (One Piece)', 'Queen the Plague & Vinsmoke Sanji']","['Roronoa Zoro', 'Sanji (One Piece)', 'King The Wildfire (One Piece)', 'Shinobu (One Piece)', 'Queen The Plague (One Piece)', 'Tony Tony Chopper', 'Trafalgar D. Water Law', 'Nico Robin', 'Yamato (One Piece)']",['#zosan'],סאנג'י מביע התלהבות משינובו וזורו מביע התלהבות מקינג. השניים מתערבים האם יצליח להם איתם. ההתערבות מסתבכת כששניהם מצליחים...,עברית,"12,984",5/5,,,,49
54539743,The Thanks of Dialga,ABZB13,['Pokemon Mystery Dungeon: Explorers of Time & Explorers of Darkness & Explorers of Sky'],General Audiences,No Archive Warnings Apply,Other,Complete Work,17 Mar 2024,[],[],[],,עברית,"1,256",1/1,,2,,22
54534928,מפלצת,PurpleAndTurqoise,['Harry Potter - J. K. Rowling'],Teen And Up Audiences,Choose Not To Use Archive Warnings,Other,Work in Progress,17 Mar 2024,"['Sirius Black & Remus Lupin & Peter Pettigrew & James Potter', 'Remus Lupin & Nymphadora Tonks']","['Remus Lupin', 'Fenrir Greyback', 'Nymphadora Tonks', 'Hope Lupin', 'Lyall Lupin', 'Sirius Black', 'James Potter', 'Lily Evans Potter', 'Harry Potter', 'Teddy Lupin', 'Hermione Granger']","['Werewolves', 'Queer Themes', 'Remus Lupin Lives', 'Nonbinary Nymphadora Tonks', 'Nymphadora Tonks Lives', 'Remus Lupin Needs a Hug', 'Bisexual Remus Lupin', 'Young Remus Lupin', 'Origin Story']","אף אחד לא נולד רשע, אפילו לא פנריר גרייבק. אבל כשהעולם מבהיר לך מגיל צעיר שלא משנה מה תעשה, אנשים יחשבו שאתה מפלצת- בשלב מסוים אתה מפנים את זה הופך למפלצת שהם רוצים שתהיה, פשוט כדי לא לצאת פראייר. רמוס לופין, לעומת זאת, בילה את כל חייו בניסיון להוכיח לאנשים שהוא לא המפלצת שהם חושבים שהוא, בלי הרבה תקווה להצליח. יכולתי לכתוב על זה מאמר או להעביר הרצאה באייקון, אבל אני מעדיפ־ה פשוט לכתוב פאנפיק על סיפור חייו של לופין, ותוך כדי זה להגיד את מה שיש לי לומר על הפסיכולוגיה והפוליטיקה סביב אנשי הזאב ב'הארי פוטר'.",עברית,"3,379",6/50,1,1,,25
54497611,מחזיר אותך אליי,Waltherbe,['Red White & Royal Blue - Casey McQuiston'],Not Rated,Choose Not To Use Archive Warnings,M/M,Work in Progress,15 Mar 2024,"['Alex Claremont-Diaz/Original Male Character(s)', 'Alex Claremont-Diaz/Henry Fox-Mountchristen-Windsor']","['Alex Claremont-Diaz', 'Henry Fox-Mountchristen-Windsor', 'Original Male Character(s)', 'Percy ""Pez"" Okonjo', 'Nora Holleran', 'June Claremont-Diaz', 'Beatrice Fox-Mountchristen-Windsor', 'David the Beagle (Red White & Royal Blue)']","['Post-Break Up', 'Getting Back Together', 'Angst with a Happy Ending', 'Jealousy', 'Unrequited Love', 'Not Actually Unrequited Love', 'Hurricanes & Typhoons', 'Alternate Universe - Normal Life']","הנרי לוקח את הדברים שלו ועוזב את הדירה שלהם בהחלטה נחפזת, מאז עברו ארבע חודשים והוא מתחרט על זה כל יום. הוא בא להחזיר אליו את אלכס, אבל לאלכס יש חבר? ועכשיו שלושתם תקועים בבית אחד למשך שבוע, הנרי יצליח להחזיר אליו את אלכס כשחבר שלו ממש לידו?  נראלי שהסיפור יותר טוב מהסיכום:)",עברית,"3,436",2/4,2,6,,36
54275074,מבצר פורים,Almog,['Yu-Gi-Oh! VRAINS'],General Audiences,No Archive Warnings Apply,"M/M, Multi",Complete Work,20 Mar 2024,['Ai | Ignis/Fujiki Yuusaku/Revolver | Kougami Ryouken'],"['Revolver | Kougami Ryouken', 'Taki Kyoko', 'Fujiki Yuusaku', 'Ai | Ignis']","['יקום אלטרנטיבי - הדמויות גרות בישראל', 'Polyamory', 'Jealousy', 'Hurt/Comfort', 'עברית | Hebrew', 'Purim', 'Costumes', 'Alternate Universe - Everyone Lives/Nobody Dies', 'Ai and Ryouken need to talk', 'Established Relationship', 'ספקטר מוזכר', 'Not Beta Read', 'Ai and Revolver Speed Duel', 'Comfort', 'שיחת נפש']",יוסאקו ואיי מתחפשים אחד לשני בפורים. ריוקן מרגיש קצת מנודה.,עברית,"5,580",4/4,,8,,36
