work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
54567385,Acis,Latvian4ever,['Harry Potter - J. K. Rowling'],General Audiences,No Archive Warnings Apply,M/M,Complete Work,18 Mar 2024,['Harry Potter/Ron Weasley'],"['Harry Potter', 'Ron Weasley', 'Ginny Weasley']","['miniature', 'Feelings Realization']",,Latviešu valoda,107,1/1,2,5,,124
53839840,Dvēseles radinieks no citas pasaules,Latvian4ever,"['僕のヒーローアカデミア | Boku no Hero Academia | My Hero Academia (Anime & Manga)', 'Chainsaw Man (Anime)']",Teen And Up Audiences,No Archive Warnings Apply,F/F,Complete Work,16 Feb 2024,['Power & Ashido Mina'],"['Power (Chainsaw Man)', 'Ashido Mina']","['Alternate Universe - Soulmates', 'Alternate Universe', 'LITERALLY', 'Short One Shot', 'Translation']","Mīnai izdodas ar internetā atrastu pamācību iekļūt citā pasaulē. Pirmais cilvēks ko viņa ierauga svešajā pasaulē, esot viņas dvēseles radinieks.",Latviešu valoda,453,1/1,,,,11
53742907,Virsmas sapņi,Mervyn_Quant,['Original Work'],Teen And Up Audiences,No Archive Warnings Apply,F/M,Complete Work,13 Feb 2024,[],[],[],Kā Virsmas iedzīvotāji uzzina par savu pagātni?..,Latviešu valoda,"4,691",6/6,,,,4
53742838,Virsma,Mervyn_Quant,['Original Work'],Teen And Up Audiences,No Archive Warnings Apply,F/M,Complete Work,13 Feb 2024,[],[],[],"Ir beidzot laiks pastāstīt ne tikai par Sfērām, bet arī par Virsmu, vai ne?",Latviešu valoda,"5,165",6/6,,,,0
53742268,Vecās pasaules testaments,Mervyn_Quant,['Original Work'],Teen And Up Audiences,No Archive Warnings Apply,F/M,Complete Work,13 Feb 2024,[],[],[],"Kas notiek, ja Visums pats meklē sev dievus?..",Latviešu valoda,"33,009",34/34,,,,7
53741833,Jaunās Pasaules evolūcija,Mervyn_Quant,['Original Work'],Teen And Up Audiences,No Archive Warnings Apply,F/M,Complete Work,13 Feb 2024,[],[],[],Atrast mājokli ir viena lieta. Sadzīvot kopā ar kaimiņiem — pavisam cita!,Latviešu valoda,"28,447",28/28,,1,,7
53741488,Jaunās Pasaules pasludināšana,Mervyn_Quant,['Original Work'],Teen And Up Audiences,No Archive Warnings Apply,F/M,Complete Work,13 Feb 2024,[],[],[],Kāda ir kļuvusi pasaule pēc Apžēlošanās projekta īstenošanas? Meklēsim atbildi kopā ar stāsta varoņiem!,Latviešu valoda,"24,296",20/20,,1,,5
53741248,Soula,Mervyn_Quant,['Original Work'],General Audiences,No Archive Warnings Apply,F/M,Complete Work,13 Feb 2024,[],[],[],Divi Neaptveramā Kazemāta darbinieki jautri pavada laiku...,Latviešu valoda,"4,689",6/6,,,,2
53740870,Pseidovēsture,Mervyn_Quant,['Original Work'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,13 Feb 2024,[],[],[],"Stāsts par kādu no Neaptveramā Kazemāta artefaktiem, kas spēj mainīt realitāti.",Latviešu valoda,"9,396",9/9,,1,,3
53720503,Sfēra,Mervyn_Quant,['Original Work'],General Audiences,Major Character Death,Gen,Complete Work,13 Feb 2024,[],[],[],"Alternatīvā vēsture. Latvija un Latgale ir kaimiņvalstis, kas gatavojas karam. Vai kāda noslēpumaina organizācija, ko dēvē par Neaptveramā Kazemātu, spēs to novērst?..",Latviešu valoda,"18,670",12/12,,3,,13
