work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
54252751,Dari Adik untuk Abang; seutas Surat,tokyoshi (DPRKEN),['BoBoiBoy (Cartoon)'],Mature,Choose Not To Use Archive Warnings,Gen,Complete Work,04 Mar 2024,['BoBoiBoy (BoBoiBoy) & Original Character(s)'],"['BoBoiBoy (BoBoiBoy)', 'Original Female Character(s)']","['Religious Imagery & Symbolism', 'Attachment Issue', 'Siblings', 'Corruption', 'Metaphors', 'God Complex', 'Angst', 'Character Study', 'Little Sisters', 'BoBoiBoy Spoilers', 'Boboiboy Needs a Hug', 'Canon Compliant', 'Islamic References', 'Dead Dove: Do Not Eat', 'His Lil Sis Need A Hug', ""unfortunately this is a hc so oboi's hugging himself"", 'TAPOPS (may be) corrupted', 'amato and mrs wife pls get ur kid(s)']","Andai sang pewira galaksi mempunyai seorang adik perempuan yang sentiasa memerhati dari jauh, saat sang abang berkali-kali hampir menemui ajal—apakah yang terselubung di balik hati sang adik? (READ DISCLAIMER)",Bahasa Malaysia,915,1/1,,,1,31
54213085,Pelindung galaksi,Defendergerromjaegar,['Original Work'],Not Rated,"Choose Not To Use Archive Warnings, Graphic Depictions Of Violence","F/M, Gen",Work in Progress,03 Mar 2024,['Original Male Character/Original Male Character'],['Original Characters'],[],,Bahasa Malaysia,468,1/?,,,,6
54006646,Selamanya Untuk Si Mata Biru,AiraniaImrana,['No Fandom'],Teen And Up Audiences,"Graphic Depictions Of Violence, Major Character Death",Other,Work in Progress,23 Feb 2024,['Aydan/Aisy'],"['Aydan', 'Aisy', 'Yana', 'Shina', 'Sara', 'Adi']","['flash back', 'six sense - Freeform', 'Highschool crush']",,Bahasa Malaysia,602,1/?,,,,5
53746948,Abang Mithali - Diluc,Aurelie_Hani,['原神 | Genshin Impact (Video Game)'],General Audiences,No Archive Warnings Apply,Other,Complete Work,13 Feb 2024,['Diluc & Kaeya (Genshin Impact)'],"['Diluc (Genshin Impact)', 'Kaeya (Genshin Impact)']","['Diluc and Kaeya are Siblings (Genshin Impact)', 'Diluc and Kaeya Reconciliation (Genshin Impact)', 'Diluc and Kaeya are Adopted Siblings (Genshin Impact)', 'Diluc is Bad at Feelings (Genshin Impact)', 'Kaeya is Bad at Feelings (Genshin Impact)', 'Protective Older Brothers', 'Older Sibling Diluc (Genshin Impact)', 'Younger Sibling Kaeya (Genshin Impact)', 'Kaeya is a Menace (Genshin Impact)', 'Kaeya is Not Okay (Genshin Impact)', 'Diluc is Not Okay (Genshin Impact)', 'Sick Kaeya (Genshin Impact)', 'Soft Diluc (Genshin Impact)', 'Kaeya is Protective of Diluc (Genshin Impact)', 'Diluc is Protective of Kaeya (Genshin Impact)', 'Diluc is So Done (Genshin Impact)', 'Diluc is Older Than Kaeya (Genshin Impact)']",Abang Diluc dan Adik Kaeya. Kaeya demam dan Diluc jaga dia. Dan well diorang gaduh sikit je :),Bahasa Malaysia,428,1/1,2,10,,80
53646685,The End Meets Its Beginning,s0biniee,['Original Work'],Not Rated,Choose Not To Use Archive Warnings,F/M,Work in Progress,09 Feb 2024,['Husfayyadh'],"['Humaira', 'Fayyadh - Character']","['maybe in another universe', ""there's no another universe"", 'situationship - Freeform', 'Friendship', 'Laufey References', 'do you think this gonna be good', 'no', 'Anyways', 'i love husfayyadh', 'does anyone reads the tags LOL', 'BYEEEEEEE', 'sorry man idk how to write']","""Maybe I'll find you in some other life, We won't be heartbroken half of the time, The ocean between us won't be so grand, So we watched love flew away."" -Love Flew Away, Laufey ""Kalau kita boleh 'fight' takdir, mungkin kita akan ubah hidup kita 360 darjah lain daripada yang sekarang. Mungkin sebab tu kita tak boleh nak ubah takdir kita yang dah ditulis. Kalau aku, mungkin aku akan ambik je tawaran sekolah seni tu, ataupun aku tak cuba nak dekat dengan dia. Kalau boleh, aku nak cuba ubah supaya kitorang tak perlu berpisah atau tak perlu ikut takdir. Kalau...."" Setiap masa kita akan 'doubt' perbuatan kita.Setiap minit, kita akan fikir secara mendalam dan persoal diri ""kenapa aku buat macamtu?"" Jawapan untuk semua persoalan kita dah ada, dah terpampang depan mata pun. Tapi kita lupa apa yang perlu difokus, apa yang perlu kita ubah disebabkan terlalu fikirkan tentang apa kesalahan kita. Kalau takdir boleh ubah, aku takkan tulis 'fanfiction' mengarut ni. Mungkin aku akan spend time buat ulangkaji nak melangkah masuk f4. Tapi aku tak boleh lawan takdir...(aku malas, ni alasan). Jadi terimalah fanfic yang mengarut ni. TQ. :)",Bahasa Malaysia,"1,110",1/?,,1,,11
53531110,e me 50k,orphan_account,"['呪術廻戦 | Jujutsu Kaisen (Manga)', '呪術廻戦 | Jujutsu Kaisen (Anime)']",General Audiences,Choose Not To Use Archive Warnings,No category,Complete Work,04 Feb 2024,['Itadori Yuuji/Sukuna | Ryoumen Sukuna'],[],[],shsshbmbdyd d,Bahasa Malaysia,3,1/1,,3,,87
53359600,LIMA,Anonymous,['Ajaib Universe (Buku Fixi)'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,17 Jan 2024,"[""Izaq (Trilogi Ajaib: AJAIB) & Fa'iq (Trilogi Ajaib: AWAN)"", ""Fa'iq (Trilogi Ajaib: AWAN) & Izwan (Trilogi Ajaib: AKSARA)"", ""Fa'iq (Trilogi Ajaib: AWAN) & Iskandar (ENTITI)"", ""Fa'iq (Trilogi Ajaib: AWAN) & Yaw (Trilogi Ajaib: AWAN)""]","[""Fa'iq (Trilogi Ajaib: AWAN)"", 'Izaq (Trilogi Ajaib: AJAIB)', 'Izwan (Trilogi Ajaib: AKSARA)', 'Iskandar (ENTITI)', 'Yaw (Trilogi Ajaib: AWAN)', ""Family Fa'iq""]","[""Happy Birthday Fa'iq"", 'birthday fic', 'the 5 times thingy trope lol', ""nak buat 5+1 tapi suddenly writer's block ;-;"", ""Fa'iq centric"", 'Post-Canon', 'Post-ANOMALI', 'Friendship powerrrrr', 'Also sekali lagi ulang', ""author wrote this with platonic Izaq/Fa'iq in mind"", 'Tapi kalau korang ship these two also sameeeee', 'Dan author tak reti letak tittle btw']",5 things Fa'iq got for his birthday from 5 peoples that are important to him. (kinda happen a year after BIASA but no actual need to read that first),Bahasa Malaysia,"3,431",1/1,,2,,6
53011885,Surat Terakhir,SECREIPTED (DPRKEN),['NCT (Band)'],Teen And Up Audiences,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",F/M,Complete Work,13 Jan 2024,['Wong Kun Hang | Hendery/Original Female Character(s)'],"['Wong Kun Hang | Hendery', 'Original Female Character(s)']","['Yandere', 'Implied Violence', 'Obession', 'Psychopath', 'Minor Character Death', 'Implied/Referenced Character Death', 'Implied Murder']",Ketika Amalia menerima sepucuk surat dari Khuzri ketika dia bakal mengahwini lelaki pilihannya,Bahasa Malaysia,"1,364",1/1,,,,16
52321627,NAFAS,Shinami_Yuuki,['Original Work'],Not Rated,No Archive Warnings Apply,No category,Complete Work,17 Dec 2023,[],[],[],A detective tries to cover mysteries beyond him.,Bahasa Malaysia,"1,641",1/1,,,,19
52159717,Bunga Kekwa,SECREIPTED (DPRKEN),['TREASURE (Korea Band)'],Teen And Up Audiences,"Choose Not To Use Archive Warnings, Major Character Death",F/M,Work in Progress,10 Dec 2023,['Park Jeongwoo/Original Female Character(s）'],"['Park Jeongwoo', 'Nanoka Hara']","['Death', 'Childhood Abuse', 'Trauma', 'Brainwashing', 'Illness', 'Alcoholism', 'Drug Abuse', 'Major - Freeform', 'Hanahaki Disease', 'Hanakanjou', 'hanauso', 'They both have Hanahaki', 'Character Death', 'Original Character(s)', 'Kuala Lumpur - Freeform', 'Clubbing', 'Angst']","「 If you receive a red chrysanthemum from someone, it is a symbol of love. A yellow chrysanthemum blossom on the other hand signifies neglected love or sorrow. A white chrysanthemum is a symbol of loyalty and devoted love」 Tentang bunga kekwa; saksi kepada perpisahan dan pertemuan semula Khuzairi dan Aleesya yang berhujung dengan kematian.",Bahasa Malaysia,"2,744",1/3,,1,,48
