work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55078285,【2023-2024圖堆/劍三遲顧】,Huuuuutong,"['遲顧 - Fandom', '迟顾 - Fandom']",Teen And Up Audiences,Major Character Death,M/M,Complete Work,09 Apr 2024,"['遲顧', '迟顾']","['遲顧 - Character', '迟顾 - Character']","['遲顧 - Freeform', '迟顾 - Freeform']",大概是2023年5月~2024年4月的塗鴉 基本都是遲顧塗鴉 感覺嗑的人越來越少了，我至剩幾個遲顧還有太太的文可以看了嗚嗚嗚 好餓!!!!!!!!!!!!!!!!!!!!!!好寂寞(((((((((!!!!!!!!!!!!!!!!!!!!,中文-闽南话 臺語,3,1/1,,1,,18
54824530,《紋身-CYZ》,Snow_sheeeeep,['BL - Fandom'],Mature,"No Archive Warnings Apply, Choose Not To Use Archive Warnings",M/M,Complete Work,30 Mar 2024,[],[],[],專一的霸道同齡室友x想推倒卻反被哄騙張開雙腿的驕傲假1,中文-闽南话 臺語,"3,284",1/1,,,,9
54324910,野狗文学,Meannnnn,['代号鸢 | Ashes of the Kingdom (Video Game)'],Mature,Choose Not To Use Archive Warnings,F/M,Complete Work,08 Mar 2024,[],[],[],代号鸢甘宁,中文-闽南话 臺語,"3,530",1/1,,3,2,391
54266392,【夏以昼X意外变小的你】,蔚歌 (Vagueness07),['恋与深空 | Love and Deepspace (Video Game)'],General Audiences,Choose Not To Use Archive Warnings,F/M,Complete Work,05 Mar 2024,['夏以昼x你'],['夏以昼'],['伪骨科'],,中文-闽南话 臺語,"3,857",1/1,,5,1,223
54075013,我不需要,Kimiri,['Persona 5'],General Audiences,Major Character Death,M/M,Complete Work,26 Feb 2024,['Akechi Goro/Persona 5 Protagonist'],"['Akechi Goro', 'Persona 5 Protagonist']",[],很简单的故事，只是死在了他人虚无的空间，明智吾郎的一场永远不会结束的梦而已,中文-闽南话 臺語,"2,256",1/1,,,,12
53798134,Fingerprint,FluffCore,['No Fandom'],Mature,"Graphic Depictions Of Violence, No Archive Warnings Apply",Multi,Work in Progress,15 Feb 2024,[],[],"['Horror', 'Death', 'if you saw spelling errors', 'no you didn’t', 'Saws', 'Yandere', 'Choking', 'Mask Horror', 'Cheating', 'gut spill', 'Figure ending out yourself story']","Salutations. I’m a youthful writer and I’ll be writing stories regarding horror fiction for now until I can improve my writing efficiency. For your information, this is a basic horror, take note if you do not like: Disfiguration, gore mentioning, sawing or anything in that catalog… I advise you choose wisely on reading this.",中文-闽南话 臺語,875,3/?,3,,,49
53499874,[R18]寵物遊戲,Cwen1124,['文豪ストレイドッグス | Bungou Stray Dogs'],Explicit,"Choose Not To Use Archive Warnings, Rape/Non-Con",M/M,Complete Work,03 Feb 2024,['Dazai Osamu/Nakahara Chuuya (Bungou Stray Dogs)'],"['Dazai Osamu (Bungou Stray Dogs)', 'Nakahara Chuuya (Bungou Stray Dogs)']",['Light BDSM'],,中文-闽南话 臺語,"9,704",1/1,,3,3,676
53461663,Alice: Path to Home,Chris_Daae,"[""American McGee's Alice"", '第五人格 | Identity V (Video Game)']",Not Rated,Choose Not To Use Archive Warnings,No category,Work in Progress,02 Feb 2024,[],"['Alice (Alice in Wonderland)', 'shine lord(original character)']",[],,中文-闽南话 臺語,"2,533",1/25,,,,22
53448472,Queen被曝在恋与市参与实验被多人侵犯,LvonLawliet,"[""恋与制作人 | Liàn Yǔ Zhì Zuò Rén | Mr. Love: Queen's Choice (Video Game)""]",Mature,Rape/Non-Con,F/M,Complete Work,01 Feb 2024,[],"['李泽言', '白起 - Character', '许墨', '凌肖', '周棋洛']",[],女主在参与一项实验的过程中被恋与市的男主、NPC们（其中有韩野、王警官、沈远、魏谦、萧越）轮流插入强奸的故事，其中有大量的脏话羞辱、轻调教、背德、NTR、无套内射、被路人插入、被王警官强奸等情节，每一次被操都是1V1，但整个故事是1VN。 部分情节偏脑洞向，细化待定。 主视角不固定。,中文-闽南话 臺語,"14,325",8/8,,57,2,"3,493"
52991884,台下一隅,Ryinnn,['Vocaloid'],Mature,Choose Not To Use Archive Warnings,M/M,Complete Work,12 Jan 2024,['Kaito/Kamui Gakupo'],"['Kaito (Vocaloid)', 'Kamui Gakupo']","['top!Kamui Gakupo', 'bottom!Kaito(Vocaloid)']",一个学paro茄冰的基本纯爱向r，包含一丢丢欺负学长成分但不多，总而言之是浓厚纯爱。,中文-闽南话 臺語,"3,963",1/1,,9,,274
52903336,「真穹」1. 牵手,Xenia_2202,"['崩坏：星穹铁道 | Honkai: Star Rail (Video Game)', '真穹']",Teen And Up Audiences,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",M/M,Complete Work,08 Jan 2024,['CP - Relationship'],[],[],30题挑战,中文-闽南话 臺語,"1,235",1/1,,2,,73
52528357,Next Christmas.,tenseven017,['Shingeki no Kyojin | Attack on Titan'],Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,25 Dec 2023,['Levi Ackerman/Erwin Smith'],"['Erwin Smith', 'Levi Ackerman', 'Mike Zacharias', 'Hange Zoë', 'Moblit Berner']",[],他們在聖誕節一起打雪仗。 無事的日子裡，平安無事。,中文-闽南话 臺語,"5,006",1/1,4,8,,99
52463035,[ 准奎 ] 所失去的 都會以另一種方式回到你身邊,yjbg_mochi,['TOMORROW X TOGETHER | TXT (Korea Band)'],General Audiences,"No Archive Warnings Apply, Choose Not To Use Archive Warnings",M/M,Work in Progress,23 Dec 2023,['Choi Beomgyu/Choi Yeonjun'],"['Choi Beomgyu', 'Choi Yeonjun']",[],//雖然我失去了家人 但是我找到了願與我廝守一生的人。 //,中文-闽南话 臺語,"3,085",2/?,,2,,88
52154875,Dein Porträt.,tenseven017,['Shingeki no Kyojin | Attack on Titan'],General Audiences,Major Character Death,Other,Complete Work,10 Dec 2023,['Moblit Berner & Hange Zoë'],"['Moblit Berner', 'Hange Zoë', 'Levi Ackerman', 'Erwin Smith']",[],漢吉企圖用莫布利特的筆描繪它主人的模樣，線條卻似紊亂的思緒無法成像。 莫布利特用雙手繪製出第四分隊的回憶，唯獨缺漏了自己。,中文-闽南话 臺語,"5,353",1/1,,4,,78
52075507,Wilco.,tenseven017,['Shingeki no Kyojin | Attack on Titan'],Mature,Choose Not To Use Archive Warnings,M/M,Complete Work,06 Dec 2023,['Levi Ackerman/Erwin Smith'],"['Erwin Smith', 'Levi Ackerman']","['eruri - Freeform', '團兵 - Freeform', 'エルリ - Freeform']",Wilco. I will follow and complete your instructions. 絕對服從，與完美輔佐。 艾爾文機長與里維副機師的空中戀愛。,中文-闽南话 臺語,"5,507",1/1,,8,1,106
51744469,2023阿星生賀,KAKESU,"['Tokyo Babylon', 'X -エックス- | X/1999']",Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,21 Nov 2023,['Sakurazuka Seishirou/Sumeragi Subaru'],"['Sakurazuka Seishirou', 'Sumeragi Subaru']",[],聽了fight song的腦洞,中文-闽南话 臺語,"2,103",1/1,2,4,,72
51683026,where is my candy？,Treepoem,"['ＳＤ仙流', 'SD SenRu']",Mature,No Archive Warnings Apply,No category,Work in Progress,19 Nov 2023,[],"['仙道彰 - Character', '流川楓', '魚住', '魚柱']",[],,中文-闽南话 臺語,"3,907",2/?,,,,95
