work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55170151,🦈💕👱,Whalesharkiesareverycute,['Sharks - Fandom'],Not Rated,Choose Not To Use Archive Warnings,Other,Complete Work,13 Apr 2024,['Y/n/shark'],"['shark - Character', 'Y/n - Character']","['Sharks', 'Romance', 'y/n', 'Nederlands | Dutch', 'nl', 'You are a shark', 'Y/N is an animal', 'Y/N is a shark', 'they/them pronounce for Y/N']",Niet door een 11 jarige geschreven hoor 😳,Nederlands,108,1/1,1,,,0
55152352,"Live fast, die young",Tea_Baggs,['Original Work'],Teen And Up Audiences,No Archive Warnings Apply,F/M,Work in Progress,12 Apr 2024,"['Original Character(s)/Original Character(s)', 'Original Female Character(s) & Original Male Character(s)']","['Original Characters', 'Original Male Character(s)', 'Original Female Character(s)']","['Slow Burn', 'Romance', 'Humor', 'Eventual Smut', 'Original Character(s)', 'Original Fiction', 'Slice of Life', 'Real Life', 'Opposites Attract', 'Party', 'Teenagers', 'Dancing', 'Ballroom Dancing', 'Fate', 'Nederlands | Dutch']","Live fast, die young. Bad girls do it well. Je familie vriendelijke rom com: Dit verhaal volgt Ala, een 16-jarig meisje, dat besluit dat het leven een feest is, maar dat ze de slingers zelf moet ophangen. Tijdens haar avontuur om het leven ten volle te leven, ontmoet ze een aantal zeer interessante mensen en maakt ze nog interessantere herinneringen.",Nederlands,375,1/?,,,,2
55086712,Een dag Nederlands,Jocky_Wocky,['Nevermore - Red & Flynn (Webcomic)'],Mature,Choose Not To Use Archive Warnings,Gen,Complete Work,09 Apr 2024,[],['Lenore (Nevermore Webcomic)'],"['Nederlands | Dutch', 'Bilingual']","Lenore zit terug in Holland, waar ze werd opgegroeid. Nu kan ze in haar moedertaal spreken zonder te twijfelen haar keuzen in woorden. Of, ga ze Engels missen? [Note: this is 96% Dutch, the rest English.]",Nederlands,426,1/1,,3,,20
55045102,De Provocerende Dans,Anonymous,"['呪術廻戦 | Jujutsu Kaisen (Manga)', '呪術廻戦 | Jujutsu Kaisen (Anime)']",General Audiences,Choose Not To Use Archive Warnings,F/M,Complete Work,12 Jan 2024,['Gojo Satoru/Iori Utahime'],"['Gojo Satoru', 'Iori Utahime']",[],,Nederlands,317,1/1,,,,2
54860719,Mega-Bat,sadvitaminbottle,"['Mega Mindy', 'Batman - All Media Types']",Not Rated,Choose Not To Use Archive Warnings,F/M,Work in Progress,31 Mar 2024,['Mega Mindy/Batman'],"['Mega Mindy - Character', 'Batman', 'Bruce Wayne', 'Mieke Fonkel', 'Alfred Pennyworth', 'Opa Fonkel', 'Oma Fonkel', 'Mega Toby', 'Toby', 'Toby (Mega Mindy)']",[],When Mieke Fonkel gets invited to go to Gotham city to catch the man who kidnapped Mr worldwide she doesn't say no. Especially when his world tour is coming up. Who invited her and will a beautiful romance blossom between the two?,Nederlands,"2,441",2/?,,3,,30
54764512,Tieknava - Een introductie.,MathieuVDV,"['No Fandom', 'Original Work']",Not Rated,Choose Not To Use Archive Warnings,No category,Complete Work,27 Mar 2024,[],['Original Characters'],"['Original Character(s)', 'Science Fiction', 'Nature']","Beste lezer. Ik wil je van harte welkom heten in mijn wereld, Tieknava. Een klein ruimterijkje bestaande uit meerdere planeten. Maar daar zal ik straks meer uitleg over geven. Deze wereld is het resultaat van jarenlang fantaseren, bedenken en schrijven. Al sinds mijn kleuterjaren was ik bezig met het bedenken, ontwerpen en beschrijven van een gebied, dat zou uitgroeien tot dit prachtige ruimterijk. Tevens een trouw bondgenoot van het Rijk Der Wooinken uit de verhalen van Wooink, geschreven door mijn broer. Het is mijn uiteindelijke ambitie om dit boek, en andere verhalen volledig uit te geven. Digitaal en op papier. Ter voorbereiding op deze stap heb ik echter besloten om mijn broer achterna te gaan, en alvast een klein tipje van de sluier op te lichten. Dit om eventuele feedback en tips alvast te mogen verwelkomen. Wat u nu gaat lezen, is dus slechts een fractie van wat er in mijn uiteindelijke verhaal allemaal aan bod gaat komen. Een grootse wereld zal zich spoedig voor u openen. Veel leesplezier!",Nederlands,183,1/1,,,,7
54701611,go ahead and admit it faggot this shit is tighter then butt rape,orphan_account,['Car Seat Headrest (Band)'],Explicit,Choose Not To Use Archive Warnings,Multi,Complete Work,24 Mar 2024,['men/men - Relationship'],['Men - Character'],"['Waterball', 'Dangonropa']",men kissing😕,Nederlands,313,1/1,1,,,30
54681796,Het dagboek van een biezonder kind,Serrineea,['Roblox (Video Game)'],General Audiences,Choose Not To Use Archive Warnings,Gen,Work in Progress,10 Jan 2020,[],"['Guest 666 (Roblox)', 'Original Characters']","['Bullying', 'Supernatural Elements']",,Nederlands,930,10/?,,,,13
54675745,Eerste Dienst,fishinasea,['The Magnus Protocol (Podcast)'],Teen And Up Audiences,Choose Not To Use Archive Warnings,Gen,Complete Work,23 Mar 2024,[],"['Alice Dyer', 'Samama ""Sam"" Khalid', 'Teddy Vaughn', 'Colin Becher', 'Lena Kelley', 'Gwendolyn ""Gwen"" Bouchard']","['Sterke taal', 'jumpscares', 'Rouw', 'Spijt', 'Impliciete oogbeschadiging', 'Thanatafobie', 'Scopofobie']",CAT1RBC5257-12052022-09012024 Reanimatie (Deels) -/- Spijt [Email] CAT23RAB2155-10042022-09012024 Transformatie (ogen) -/- Overtreding [chatgeschiedenis],Nederlands,"6,753",1/1,2,1,,10
54627739,Als sneeuw in de winter (Wie Schnee im Winter),eXtran,"['東京卍リベンジャーズ | Tokyo Revengers (Manga)', '東京卍リベンジャーズ | Tokyo Revengers (Anime)']",Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,21 Mar 2024,['Kakuchou/Kurokawa Izana'],"['Kakuchou (Tokyo Revengers)', 'Kurokawa Izana']","['First Kiss', 'Ficlet']","Izana tilt zijn kin op en zijn nieuwe oorbellen klikken zachtjes. ""Nou?"" Kakucho neemt hem onder de loep. Izana vraagt niet echt naar zijn mening - hij heeft altijd gewoon gedaan waar hij zin in had - maar hij wil de bevestiging die hij verdient.",Nederlands,414,1/1,,1,,9
