work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55177138,Solstråler,Anonymous,['原神 | Genshin Impact (Video Game)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,13 Apr 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['Domestic Fluff', 'Spring', 'Spending Time Together', 'Established Relationship']",,Norsk,158,1/1,,,,3
55170316,Saftig,Anonymous,['原神 | Genshin Impact (Video Game)'],Explicit,No Archive Warnings Apply,M/M,Complete Work,13 Apr 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['Plot What Plot/Porn Without Plot', 'Top Wriothesley/Bottom Neuvillette (Genshin Impact)', 'Neuvillette Has a Vagina (Genshin Impact)', 'Wake-Up Sex', 'Creampie']",,Norsk,515,1/1,,1,,152
55170226,Avhengig av deg,Anonymous,['原神 | Genshin Impact (Video Game)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,13 Apr 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['Longing', 'Established Relationship', 'Romance', 'Introspection', 'Flowers', 'POV Neuvillette (Genshin Impact)']",,Norsk,268,1/1,,,,5
55170142,Blir avbrutt,Anonymous,['原神 | Genshin Impact (Video Game)'],Mature,No Archive Warnings Apply,M/M,Complete Work,13 Apr 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['Established Relationship', 'Secret Relationship', 'Rough Kissing', 'Implied Sexual Content', 'Neuvillette is Down Bad (Genshin Impact)']",,Norsk,562,1/1,,,,5
55170082,Sliten,Anonymous,['原神 | Genshin Impact (Video Game)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,13 Apr 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['Wriothesley Takes Care of Neuvillette (Genshin Impact)', 'POV Neuvillette (Genshin Impact)', 'Sweet', 'Developing Relationship']",,Norsk,466,1/1,,,,5
55150681,Rendezvous,Anonymous,['原神 | Genshin Impact (Video Game)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,12 Apr 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['Secret Relationship', 'Kissing', 'Miscommunication', 'Light Angst', 'POV Wriothesley (Genshin Impact)']",,Norsk,345,1/1,,,,7
55150471,Latterlig,Anonymous,['原神 | Genshin Impact (Video Game)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,12 Apr 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['Pre-Canon', 'Pre-Relationship', 'Wriothesley is Down Bad (Genshin Impact)', 'Soft Neuvillette (Genshin Impact)', 'Oblivious Neuvillette (Genshin Impact)']",,Norsk,351,1/1,,,,9
55148428,Kaldte fingrene rundt strupen min,Anonymous,['原神 | Genshin Impact (Video Game)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,12 Apr 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['Secrets', 'Angst', 'Pining', 'POV Wriothesley (Genshin Impact)', 'Relationship Study']",,Norsk,313,1/1,,,,2
55148389,Kirsebær rødt,Anonymous,['原神 | Genshin Impact (Video Game)'],Explicit,No Archive Warnings Apply,M/M,Complete Work,12 Apr 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['Top Wriothesley/Bottom Neuvillette (Genshin Impact)', 'Plot What Plot/Porn Without Plot', 'Nipple Play', 'Feminization', 'Coming Untouched']",,Norsk,332,1/1,,2,,97
55148329,Å ønske,Anonymous,['原神 | Genshin Impact (Video Game)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,12 Apr 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['Introspection', 'Inspired by Poetry', 'Character Study', 'POV Neuvillette (Genshin Impact)']",,Norsk,201,1/1,,,,2
55129498,Blåbær Ramune,Anonymous,['SK8 the Infinity (Anime)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,11 Apr 2024,['Nanjo Kojiro | Joe/Sakurayashiki Kaoru | Cherry Blossom'],"['Nanjo Kojiro | Joe', 'Sakurayashiki Kaoru | Cherry Blossom']","['Pre-Canon', 'Kissing', 'Teenagers', 'Pre-Relationship', 'POV Nanjo Kojiro | Joe', 'Light Angst', 'Teenage Drama']",,Norsk,564,1/1,,2,,6
55129354,En tallerken carbonara,Anonymous,['SK8 the Infinity (Anime)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,11 Apr 2024,"['Nanjo Kojiro | Joe/Sakurayashiki Kaoru | Cherry Blossom', 'Nanjo Kojiro | Joe & Sakurayashiki Kaoru | Cherry Blossom']","['Nanjo Kojiro | Joe', 'Sakurayashiki Kaoru | Cherry Blossom']","['Post-Canon', 'Friendship/Love', 'Developing Relationship', 'Ambiguous Relationships', 'POV Sakurayashiki Kaoru | Cherry Blossom', 'Sakurayashiki Kaoru | Cherry Blossom Being a Little Shit']",,Norsk,394,1/1,,2,,5
55127626,Tusen ganger,Anonymous,['原神 | Genshin Impact (Video Game)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,11 Apr 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['Regency Romance', 'Established Relationship', 'Comfort', 'Hair Brushing', 'Domestic Fluff']",,Norsk,279,1/1,,1,,19
55127533,Drømmer igjen,Anonymous,['原神 | Genshin Impact (Video Game)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,11 Apr 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['Introspection', 'Character Study', 'POV Neuvillette (Genshin Impact)', 'Sad Neuvillette (Genshin Impact)', 'Nature', 'Symbolism']",,Norsk,249,1/1,,,,3
55127443,Rødt som blod,Anonymous,['原神 | Genshin Impact (Video Game)'],Mature,No Archive Warnings Apply,M/M,Complete Work,11 Apr 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['Blood and Violence', 'Canon-Typical Violence', 'Post-Traumatic Stress Disorder - PTSD', 'POV Wriothesley (Genshin Impact)']",,Norsk,394,1/1,,,,7
55126204,Oppvåkning med deg,Anonymous,['原神 | Genshin Impact (Video Game)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,11 Apr 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['Established Relationship', 'mornings in bed', 'Soft Neuvillette (Genshin Impact)', 'Soft Wriothesley (Genshin Impact)', 'Short & Sweet']",,Norsk,127,1/1,,,,7
55126177,Flette,Anonymous,['原神 | Genshin Impact (Video Game)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,11 Apr 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['Mutual Pining', 'Developing Relationship', 'Soft Neuvillette (Genshin Impact)', 'Soft Wriothesley (Genshin Impact)', 'Domestic Fluff']",,Norsk,282,1/1,,2,,9
55102684,Angst,Anonymous,['原神 | Genshin Impact (Video Game)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,10 Apr 2024,['Neuvillette/Wriothesley (Genshin Impact)'],"['Neuvillette (Genshin Impact)', 'Wriothesley (Genshin Impact)']","['Trust Issues', 'Developing Relationship', 'Light Angst', 'Hurt/Comfort', 'POV Neuvillette (Genshin Impact)']",,Norsk,459,1/1,,,,25
