work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55113490,Cum îi spui cuiva drag că vine sfârșitul lumii? - schiță,Dila__890,['文豪ストレイドッグス | Bungou Stray Dogs'],Teen And Up Audiences,Choose Not To Use Archive Warnings,F/M,Complete Work,10 Apr 2024,"['Nikolai Gogol/author', 'Nikolai Gogol/Dalia', 'Nikolai Gogol/Reader', 'Nikolai Gogol/OC']","['Nikolai Gogol (Bungou Stray Dogs)', 'Dalia', 'Author - Character']","['Biblical Apocalypse', ""God's Lamb"", '7', 'Nightmare', 'Biblical Symbolism (Abrahamic Religions)', 'Prophetic Dreams', 'sketch - freeform', 'Short One Shot', 'Angst and Tragedy']",Iubirea neputincioasă,Română,709,1/1,,4,,11
55027228,End of a friendship,B3RUB3TO,['High School Musical (Movies)'],General Audiences,No Archive Warnings Apply,Other,Complete Work,07 Apr 2024,[],['Elena'],"['Self-Esteem Issues', 'Childhood Trauma', 'Hurt No Comfort', 'Past Relationship(s)']","Deci , imi pare rau ca nu am fost destul de receptiva la petrecere cand ati deschis acest subiect. Ma gandeam sa redeschid subiectul dar nu am facuto, pentru ca mam gandit ca poate ati vrea sa lasati treaba moarta... Tags: self victimization, limbaj traumatizant, losing friends, trigger warning penibil, all hurt no comfort, relashionship problems",Română,422,1/1,,3,,6
54908620,Bsd dar ăștia îs români acu,Anni_nni,['文豪ストレイドッグス | Bungou Stray Dogs'],Not Rated,Choose Not To Use Archive Warnings,Multi,Work in Progress,10 Apr 2024,"['Dazai Osamu/Nakahara Chuuya (Bungou Stray Dogs)', 'Akutagawa Ryuunosuke/Nakajima Atsushi (Bungou Stray Dogs)', 'Louisa May Alcott/Lucy Maud Montgomery (Bungou Stray Dogs)', 'Tachihara Michizou/Tanizaki Junichirou (Bungou Stray Dogs)', 'Izumi Kyouka/Miyazawa Kenji (Bungou Stray Dogs)', 'Fyodor Dostoyevsky/Nikolai Gogol (Bungou Stray Dogs)', 'Kunikida Doppo/Bram Stoker (Bungou Stray Dogs)', 'Ozaki Kouyou/Yosano Akiko (Bungou Stray Dogs)', 'Edogawa Ranpo/Edgar Allan Poe (Bungou Stray Dogs)']","['Dazai Osamu (Bungou Stray Dogs)', 'Akutagawa Ryuunosuke (Bungou Stray Dogs)', 'Kunikida Doppo (Bungou Stray Dogs)', 'Nakajima Atsushi (Bungou Stray Dogs)', 'Louisa May Alcott (Bungou Stray Dogs)', 'Lucy Maud Montgomery (Bungou Stray Dogs)', 'Edogawa Ranpo (Bungou Stray Dogs)', 'Edgar Allan Poe (Bungou Stray Dogs)', 'Nakahara Chuuya (Bungou Stray Dogs)', 'Bram Stoker (Bungou Stray Dogs)', 'Koda Aya (Bungou Stray Dogs)', 'Miyazawa Kenji (Bungou Stray Dogs)', 'Izumi Kyouka (Bungou Stray Dogs)']","['Funny', 'High School', 'Gay', 'Everyone Is Gay', 'Happy', 'How Do I Tag', ""I'm Bad At Tagging"", ""I Don't Even Know"", ""I'm Sorry"", ""I Can't Believe I Wrote This"", ""I'm Going to Hell"", 'What Was I Thinking?', 'Jealousy', 'Swearing', 'Oh My God', 'Author is not Christian']","Bungou stray dogs da uite ca sunt romani si plus sunt si handicapati(AM SCRIS O LA 4 DIMINEATA OAMENI BUNI TW glume indecente si despre Dumnezeu,nu va luati de mine va roaga eu",Română,"2,669",3/?,,8,,69
54795112,Dans Provocator,Anonymous,"['呪術廻戦 | Jujutsu Kaisen (Manga)', '呪術廻戦 | Jujutsu Kaisen (Anime)']",General Audiences,Choose Not To Use Archive Warnings,F/M,Complete Work,14 Feb 2024,"['Gojo Satoru/Iori Utahime', 'Gojo Satoru & Iori Utahime']","['Gojo Satoru', 'Iori Utahime']",[],,Română,321,1/1,,,,11
54740059,Radio Angelic,hsartemis,['Hazbin Hotel (Cartoon)'],Teen And Up Audiences,Major Character Death,M/M,Complete Work,26 Mar 2024,['Adam/Alastor (Hazbin Hotel)'],"['Adam (Hazbin Hotel)', 'Alastor (Hazbin Hotel)', 'Lute (Hazbin Hotel)', 'Lilith Magne | Morningstar', 'Lucifer Magne | Morningstar']","['Angst', 'Fluff', 'Fluff and Angst', 'Bittersweet Ending', 'Angel/Demon Relationship', 'Bittersweet']","Alastor îi sugerează lui Adam un plan împotriva inamicului lor comun — Lucifer. Totul merge ca uns, până când Adam află ceva despre planul lor, care îl întoarce complet împotriva lui Alastor. O neînțelegere distruge complet armonia dintre cei doi, sfarșindu-le povestea într-un mod tragic.",Română,"8,843",9/9,8,10,1,267
54714661,Ca pe vremuri,hsartemis,['Hazbin Hotel (Cartoon)'],Not Rated,Choose Not To Use Archive Warnings,M/M,Work in Progress,25 Mar 2024,['Adam/Lucifer Magne | Morningstar'],"['Adam (Hazbin Hotel)', 'Lucifer Magne | Morningstar', 'Lilith Magne | Morningstar', 'Eve (Hazbin Hotel)', 'God (Hazbin Hotel)']","['Friends to Enemies', 'Enemies to Lovers', 'Angst', 'Other Additional Tags to Be Added']","Pe vremea când încă se aflau în Grădina Edenului, Adam și Lucifer și-au format o frumoasă relație de prietenie. Însă, totul s-a spulberat în clipa in care Dumnezeu a adus-o pe lume pe Lilith. Aceasta era menită să îl iubească pe Adam, însă inima ei bătea pentru un anume înger. Lucifer s-a simțit și el atras de ea, cei doi inevitabil îndrăgostindu-se și lăsându-l pe Adam în urmă. In prezent Adam este ucis în bătălia din ziua exterminării, lăsându-l pe Lucifer întristat și confuz. Ce are să se întâmple dacă Adam apare la hotel în chip de demon, cerând să fie reabilitat?",Română,"1,516",2/?,2,13,,121
54295558,Serendipitate,consumator_de_polistiren (Idklolimnotcreative),['Literary RPF'],General Audiences,Choose Not To Use Archive Warnings,M/M,Complete Work,06 Mar 2024,['Ion Creangă/Mihai Eminescu'],"['Mihai Eminescu', 'Ion Creangă (Writer)']","['First Meetings', 'Strangers to Lovers', 'Friends to Lovers', 'Meet-Cute', 'Love at First Sight', 'Mutual Pining', 'Love Confessions', 'First Kiss', 'Fluff', 'Romantic Fluff', 'I Wrote This Instead of Sleeping', ""I Wrote This While Listening to Car Seat Headrest's Music"", 'Ce am facut in viata sa ajung in acest moment?', 'Anyway emicreanga my beloved &lt;3']","Ion Creangă, un scriitor în căutarea inspirației, se întâlnește cu Mihai Eminescu, un străin fascinant. Întâlnirile lor zilnice lângă apă se transformă într-o legătură mai profundă, în care prietenia se amestecă cu dorințele nespuse și frica de a-și dezvălui sentimentele adevărate. Pe măsură ce conexiunea lor se dezvoltă, Ion trebuie să își înfrunte temerile și incertitudinile sale pentru a accepta posibilitatea iubirii și a unui nou capitol în viața sa.",Română,"2,212",1/1,,2,,32
53965300,MIHAI EMINESCU X ION CREANGA,pardofelismaretare,['Luceafărul - Mihai Eminescu'],Mature,Graphic Depictions Of Violence,No category,Complete Work,21 Feb 2024,[],"['Gratia', 'eminescu - Character', 'creanga - Character']","['Mihai Eminescu - Freeform', 'Ion Creanga - Freeform', 'GRATIA - Freeform']","Eminescu, futaciosul futaciosilor, vrea sa il futa zi si noapte pe Creanga. Oare va reusi?",Română,"3,094",8/8,,5,,58
53728342,Când Formula 1 și fotbalul se combină,RaphahellaUchiha,"['Formula 1 RPF', 'Naruto (Anime & Manga)']",Not Rated,No Archive Warnings Apply,"F/M, M/M",Work in Progress,27 Mar 2024,"['Charles Leclerc/Max Verstappen', 'Uchiha Sasuke/Uzumaki Naruto', 'Raphahella/Raphahell Uchiha-Sparkle']","['Charles Leclerc', 'Max Verstappen', 'Other Naruto Character(s)', 'Uchiha Sasuke', 'Uzumaki Naruto']","['Mpreg', 'Formula 1 References', 'Football | Soccer', 'Naruto References', 'Alternate Universe - Canon Divergence', 'Naruto Time Skip', 'Female Uchiha Sasuke', 'Mentioned Uzumaki Naruto']","Mereu am fost curioasă cum ar fi dacă sporturile mele favorite s-ar intersecta într-o lume paralelă,iar acum totul e realitate. *Se poate citi separat,dar e și o mică parte de Timeskip ce are legătură cu povestea mea cu Naruto.",Română,"1,086",2/17,,1,,73
53672116,Doamna G.,bmo_xoxo,['ultima noapte de dragoste intaia noapte de razboi'],General Audiences,Choose Not To Use Archive Warnings,F/F,Work in Progress,16 Feb 2024,"['doamna g/ela', 'stefan gheorghidiu/ela']",[],"['Lesbian Character', 'pariu ca nu v ati asteptat', 'anul cu bacul', 'ela is a useless lesbian', 'din perspectiva lui stefan', 'NU MI AMINTESC BINE CARTEA THO']","De cand Stefan a mostenit averea de la unchiul sau Tache, acestuia i se pare ca Ela se comporta diferit. Luxul si opulenta i au luat mintile Elei sau poate vreun personaj anume...?",Română,780,2/?,,4,,14
