work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55159690,Ghost,crazy_muse13,"['Percy Jackson and the Olympians - Rick Riordan', 'Creepypasta - Fandom', 'Hazbin Hotel (Cartoon)', 'The Vampire Diaries (TV)']",Not Rated,Graphic Depictions Of Violence,"F/F, F/M, M/M, Multi",Work in Progress,12 Apr 2024,[],['Valentino (Hazbin Hotel)'],[],,Slovenčina,1,1/?,,,,6
54912889,"Drevo živé, čepeľ nestupená",Izvin,"['Original Work', '9th Century CE RPF', '8th Century CE RPF', 'German Mythology', 'Eastern Nomadic Mythology']",General Audiences,No Archive Warnings Apply,Gen,Complete Work,02 Apr 2024,[],"['Kazrig', 'Coenburga', 'Hunfrid', 'mentioned Charlemagne', 'mentioned Nikephoros', 'mentioned Godfred']","['Frankish Empire', 'Christianization', 'Saxons', 'Obodrites', 'Avars', 'franks', 'Carolignian', 'Sorcerers', 'Shamanism', 'Cryptic Poetry', 'Syncretic poetry', 'Alliances', 'Family Separation', 'Scheming', 'Being outcast in hostile environment', 'Danes', 'Politics']","Keď cudzia mocnosť vašich ľudí na hlavu porazí, zbedačí a vnúti náboženskú konverziu, čo si máte počať ako čarodejníci, ktorých existenciu odsudzuje? Alebo ako sa jedna vedma a jeden šaman snažia prežiť uprostred Franskej ríše po podrobení Saska a páde Avarského kaganátu.",Slovenčina,"1,471",1/1,,,,16
54796048,Provokatívny Tanec,Anonymous,"['呪術廻戦 | Jujutsu Kaisen (Manga)', '呪術廻戦 | Jujutsu Kaisen (Anime)']",General Audiences,Choose Not To Use Archive Warnings,F/M,Complete Work,26 Feb 2024,"['Gojo Satoru/Iori Utahime', 'Gojo Satoru & Iori Utahime']","['Gojo Satoru', 'Iori Utahime']",[],,Slovenčina,256,1/1,,,,8
54534880,",,Začína sa mi páčiť kam toto smeruje...""",NatyNate,['Dunaj k vašim službám (TV Series)'],Explicit,Choose Not To Use Archive Warnings,Multi,Complete Work,17 Mar 2024,"['Kasper/Lena/Anton', 'Lena/Kasper', 'Kasper/Anton Holubec', 'Anton Holubec/Lena']","['Lena Holubcová-Dietrich (Dunaj k vašim službám)', 'Anton Holubec (Dunaj k vašim službám)', 'Kasper (Dunaj k vašim službám)']","['Polyamory', 'Secret Relationship', 'Established Relationship', 'Explicit Sexual Content', 'Threesome - F/M/M', 'Dom/sub Undertones', 'Making Out', 'Dry Humping', 'consensual voyeurism', 'Anal Fingering', 'Hand Jobs', 'Vaginal Sex', 'Aftercare', 'Dominant Lena', 'switch Anton', 'submissive Kasper', 'Bi-Curious Anton Holubec', 'Shameless Smut', 'Plot What Plot/Porn Without Plot', 'Kaslenton']","18+ Kasper konečne okúsi špeciálne výhody, ktoré mu jeho utajený polyamorický vzťah s istou Nemkou a istým šéfom Tajných ponúka... Varovanie, že toto je čistá Kasper x Lena x Holubec erotika (áno, v trojke, vy beťári)! Vstup len na vlastné morálne nebezpečenstvo :) Všetky práva na seriál a jeho postavy vlastní spoločnosť TV Markíza!",Slovenčina,"3,866",1/1,,2,,24
54430960,Pasca,Onlyvy11,['Transformers: Prime'],Teen And Up Audiences,Graphic Depictions Of Violence,F/M,Complete Work,12 Mar 2024,['Arcee/Optimus Prime'],"['Optimus Prime', 'Arcee', 'Megatron', 'Airachnid', 'Vehicons', 'Shockwave', 'Ratchet', 'Bumblebee', 'Bulkhead', 'Wheeljack', 'Jack Darby', 'Miko Nakadai', 'Rafael ""Raf"" Esquivel']","['Violence', 'Love', 'Capture', 'Family', 'Arcee is tenacious', 'Team as Family', 'Team Prime - Freeform']","Prieskum a po ňom vypovedané také veľké tajomstvo? Počkaj, alebo len priznané pocity, tomu koho milujú? Áno, to je lepšie.",Slovenčina,"3,401",1/1,,,,34
54401356,Rodina pokope,Onlyvy11,['Transformers: Prime'],Teen And Up Audiences,Graphic Depictions Of Violence,F/M,Complete Work,11 Mar 2024,['Arcee/Optimus Prime'],"['Arcee (Transformers)', 'Optimus Prime', 'Soundwave (Transformers)', 'Ratchet (Transformers)', 'Knockout', 'Bulkhead (Transformers)', 'Megatron (Transformers)', 'Wheeljack (Transformers)', 'Bumblebee (Transformers)', 'Smokescreen (Transformers)', 'Airachnid (Transformers)', 'Laserbeak (Transformers)', 'Vehicons (Transformers)', 'William Fowler', 'Leland ""Silas"" Bishop', 'Jack Darby', 'Miko Nakadai', 'Rafael ""Raf"" Esquivel']",[],"Milovali sa? Áno. Spávali spolu? Áno. Plánovali dieťa? Nie. Odišla aby ho ochránila šumivé a opustila toho koho milovala? Áno, ale len preto aby to druhé prežilo.",Slovenčina,"6,938",1/1,,,,29
54352537,Mimozemské oceány,glotilda17,['Original Work'],Teen And Up Audiences,Major Character Death,No category,Complete Work,09 Mar 2024,[],[],"['slovakia - Freeform', 'Liptov', 'Teen Romance', 'Urban Fantasy', 'Urban Legends', 'Jánošík - Freeform', 'Ploštín Punk - Freeform', 'Alien Biology', 'Alien Sex']","Sci-fi príbeh o príšere v Liptovskej Mare. O priateľstve, láske, strate... a možno aj o mimozemšťanoch. Moja prvá dokončená knižka. A sci-fi story about a mysterious creature of Liptovská Mara - a water reservoir in northern Slovakia. Also about friendship, love and loss... and maybe some aliens too. My first completed book. In Slovak only.",Slovenčina,"25,154",20/20,,4,,73
54272905,Laskonky & Lacrimosa,NatyNate,['Dunaj k vašim službám (TV Series)'],Teen And Up Audiences,Choose Not To Use Archive Warnings,Multi,Complete Work,05 Mar 2024,"['Kasper/Lena/Anton', 'Lena/Kasper', 'Anton Holubec/Lena', 'Kasper/Anton Holubec']","['Lena Holubcová-Dietrich (Dunaj k vašim službám)', 'Kasper (Dunaj k vašim službám)', 'Anton Holubec (Dunaj k vašim službám)']","['Polyamory', 'Secret Relationship', 'Established Relationship', 'Unexpected Visitors', 'Music', 'Sharing Snack', 'Tenderness', 'Idiots in Love', 'Bi-Curiosity', 'Lena Has Two Partners', 'Anton and Kasper are not romantically involved with each other', 'they sort of experiment together though', 'Kaslenton', 'Lenton', 'Lensper', 'Kaston']",Lena s Holubcom navštívia Kaspera v kostole počas obedňajšej prestávky. Všetky práva na seriál a jeho postavy vlastní spoločnosť TV Markíza!,Slovenčina,"1,402",1/1,,,,14
54042013,Spev a zábavná pasca,Onlyvy11,['Transformers: Prime'],General Audiences,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",F/M,Complete Work,24 Feb 2024,['Arcee/Optimus Prime'],"['Arcee', 'Optimus Prime', 'Bumblebee (Transformers)', 'Smokescreen (Transformers)', 'Bulkhead (Transformers)', 'Ratchet (Transformers)']","['Humanformers', 'Love', 'Tickling', 'Playing', 'Couple', 'Family']","Nočná služba, menší spev a niekto kto otravuje počas služby",Slovenčina,"3,486",1/1,,,,34
53916967,221B: Ticho,EonahW,['Sherlock (TV)'],Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,19 Feb 2024,"['Sherlock Holmes/John Watson', 'Sherlock Holmes & John Watson']","['Sherlock Holmes', 'John Watson']","['Domestic', 'Domestic Fluff', 'Sherlock Holmes and John Watson are Husbands', '221B Ficlet']",Niekedy v ich byte na Baker Street bývalo neznesiteľné ticho. Inokedy zas nie...,Slovenčina,221,1/1,2,2,,34
