work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
54186607,Načrt za Ljubezen,KayDubs_TheKoiFish,['Wild Kratts'],Mature,No Archive Warnings Apply,M/M,Complete Work,01 Mar 2024,['Chris Kratt/Martin Kratt'],"['Chris Kratt', 'Martin Kratt', 'Aviva Corcovado', 'Koki (Wild Kratts)', 'Jimmy Z (Wild Kratts)']","['Short appearance from the rest of the Kratt family', 'Falling In Love', 'Incest', 'Sibling Incest', 'Krattcest | Chris Kratt/Martin Kratt Incest', 'Implied Sexual Content', ""Read the fucking tags I'm not gonna tell you twice"", 'Some angst', 'Some Fluff', 'A pinch of smut']","Prva ljubezen. Večina jo doživi, nekateri je nikoli. In pri nekaterih je prepovedana. V otroštvu Kris in Martin zasnujeta načrt za prihodnost, trdno odločena, da bosta ostala skupaj in prepotovala svet. A vmes poseže ljubezen. Kris se zaljubi v Martina, vendar si mu od strahu ne upa priznati svojih čustev. A vsaka skrivnost enkrat prodre na plan. Če ne takoj, vsaj spomladi.",Slovenščina,"5,036",1/1,4,3,,116
53714488,"Ada Lovelace? Ti lahko predstavim svojega brata, Williama?",sarajaksa,"['憂国のモリアーティ | Yuukoku no Moriarty | Moriarty the Patriot (Manga)', 'Die geniale Rebellin - Agnes Imhof']",Teen And Up Audiences,No Archive Warnings Apply,Gen,Complete Work,12 Feb 2024,['Albert James Moriarty & William James Moriarty (Yuukoku no Moriarty)'],"['Albert James Moriarty (Yuukoku no Moriarty)', 'William James Moriarty (Yuukoku no Moriarty)', 'Ada Lovelace']","['Protective Albert James Moriarty', ""Ada Lovelace and William James Moriarty geek over Ada's paper"", 'Not Canon-Complient Timeline', 'mentions of discrimination', 'How do I even tag this!?']","William sprejme povabilo na svoj prvi aristokratski družabni dogodek. Albert želi le tega narediti kar se da prijetnega, vključno s tem da mu najde osebo, z podobnimi nadzori in podobno ljubeznijo do matematike.",Slovenščina,"2,926",1/1,,1,,20
53626936,some bright morning comes,CatsAreWitches,['Our Flag Means Death (TV)'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,08 Feb 2024,['Blackbeard | Edward Teach/Stede Bonnet'],"['Blackbeard | Edward Teach', 'Stede Bonnet']","['Light Angst', 'Self-Doubt', 'Innkeeper Blackbeard | Edward Teach', 'Innkeeper Stede Bonnet', 'Post-Season/Series 02', 'Translation', 'brez bete umremo kot jaz med prevajanjem']","Ed ima težko prvo noč v gostišču. Na srečo je Stede vse kar Ed potrebuje. One bright morning changes all things Soft and easy as your breathing, you wake … And I can scarce believe what I'm believing in Could this be how every day begins?  “First Light”, Hozier",Slovenščina,473,1/1,1,5,1,35
53622202,France Prešeren death day special (Bro se ne počut dobr),Magmatic_no2,['19th century Slovenia'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Complete Work,08 Feb 2024,['Matija Čop/France Prešeren'],"['France Prešeren', 'Matija Čop']","['Angst', 'Hurt/Comfort', 'not much comfort', 'Near Death Experiences']",Tvoj ljubljeni se je napil napol do smrti. Upsi dupsi,Slovenščina,599,1/1,8,11,1,73
53180734,"""fnaf""",hezbz,"['21st century Slovenia', '19th cenutry Slovenia']",General Audiences,Choose Not To Use Archive Warnings,Gen,Complete Work,20 Jan 2024,['Y/N & France Prešeren'],"['Y/n - Character', 'France Prešeren', 'skibidi toilet - Character']","['High School', 'Time Travel', 'y/n needs a break', 'Y/N needs therapy after this', 'nevem na cem sm biu ko sm to pisu ok', 'dolgcas mi je blo']","Ti se jokaš, WC ne dela pravilno, spoznaš Prešerna. Ali; ti živiš moj dan, katerega ti js pripovedujem :)",Slovenščina,925,1/1,2,6,,103
52499401,Pisma,hezbz,['19th century Slovenia'],Mature,Major Character Death,"F/M, M/M",Complete Work,25 Dec 2023,"['Matija Čop/France Prešeren', 'France Prešeren/Marija Horvat']","['Matija Čop', 'France Prešeren', 'Original Characters', 'Marija Horvat', 'Jan Babinski']","['Letters', 'Love Letters', 'Victorian Flower Language', 'Suicide', 'Angst', 'Angst with a sad ending', 'Hurt No Comfort']","Matija piše Francetu pisma, France jih ne dobi.",Slovenščina,"3,530",5/5,4,5,1,43
51647875,"Sem prezaspan, da bi se ukvarjal z KID-om",sarajaksa,['名探偵コナン | Detective Conan | Case Closed'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,17 Nov 2023,[],"['Kudou Shinichi | Edogawa Conan', 'Kuroba Kaito | Kaitou Kid']","['Kissing', 'Misunderstanding', 'When Kissing becomes the Police Problem']","Shinichi si res ne želi biti tam, še manj pa si želi vedeti, zakaj ga je KID poljubil in o čem govori Hakuba.",Slovenščina,"1,344",1/1,2,3,,29
51552694,Zvestoba,sarajaksa,['憂国のモリアーティ | Yuukoku no Moriarty | Moriarty the Patriot (Manga)'],Teen And Up Audiences,No Archive Warnings Apply,Gen,Complete Work,12 Nov 2023,['Albert James Moriarty & Louis James Moriarty (Yuukoku no Moriarty)'],"['Albert James Moriarty (Yuukoku no Moriarty)', 'Louis James Moriarty (Yuukoku no Moriarty)', 'Mycroft Holmes (Yuukoku no Moriarty)']","['During the Time Skip', 'Kidnapping', 'Rescue', 'Albert escapes the Tower just to save Louis and then returns', 'Mycroft tries to get Albert back to the MI6']","Mycroft in Louis sta bila ugrabljena. A Louis je kljub temu prepričan, da bosta rešena.",Slovenščina,"2,534",1/1,2,9,1,74
51175645,Ljubezen na prvi verz,sreckokosovel,['19th century Slovenia'],Teen And Up Audiences,No Archive Warnings Apply,M/M,Work in Progress,06 Apr 2024,['Matija Čop/France Prešeren'],"['Matija Čop', 'France Prešeren', 'Zala Dolinšek', 'Julija Primic', 'Ana Jelovšek']","['Friends to Lovers', 'Fluff and Angst', 'Taylor Swift References', ""so many taylor references it's insane"", 'ne vem kaj naj vam rečem', 'ideja je nastala v velenju', 'Historical Inaccuracy', 'obviously', 'najverjetneje velik slovničnih in pravopisnih napak', 'zala dolinšek je bestika s prešernom', 'julija primic je ikona stoletja', 'ne bom vam spoilala kako se konča', 'ugibajte']","France Prešeren, najpomembnejši slovenski pesnik, figa mož, alkoholik in najboljši prijatelj Matije Čopa. Ampak ali sta bila zares samo prijatelja? Kaj se je zares zgodilo med njima in kaj je privedlo do njunih nesrečnih smrti? -- ali: bejbe sta bla gej, ne vem kaj naj še rečem, to je zgodba od prve noči ko se spoznata do konca njunih življenj (1818-1849)",Slovenščina,"15,451",9/17,13,12,1,200
50984374,Telesne tekočine in druge nevarne snovi,orphan_account,['长月烬明 | Till the End of the Moon (TV)'],Explicit,"Graphic Depictions Of Violence, Rape/Non-Con",F/M,Complete Work,20 Oct 2023,['Tantai Jin/Ye Xiwu'],"['Tantai Jin', 'Ye Xiwu']","['Explicit Sexual Content', 'Dark', 'Sadism', 'Masochism', 'Sexual Slavery', 'Rape/Non-con Elements', 'Abuse', 'Physical Abuse', 'Sexual Abuse', 'Emotional/Psychological Abuse', 'Manipulation', 'Bondage', 'Blow Jobs', 'Blood', 'Bodily Fluids', 'Pain', 'Shame', 'Guilt', 'Humiliation', 'Ambiguous/Open Ending']","Tantai Jin in Ye Xiwu v svoji najslabši različici. Vsebina ni primerna za: - mlajše od 18 let, - občutljive duše, - ljudi, ki jih ni še nikoli razočarala ali zbegala dvojnost človeške narave, - redke srečneže med nami, ki še nikoli niso imeli misli, ki si je ne bi upali izreči na ves glas.",Slovenščina,221,1/1,,2,,141
50975041,Ko hiša izgine v plamenih,sarajaksa,['憂国のモリアーティ | Yuukoku no Moriarty | Moriarty the Patriot (Manga)'],General Audiences,No Archive Warnings Apply,Gen,Complete Work,20 Oct 2023,['Albert James Moriarty & Louis James Moriarty (Yuukoku no Moriarty)'],"['Albert James Moriarty (Yuukoku no Moriarty)', 'Louis James Moriarty (Yuukoku no Moriarty)']","['Missing Scene', 'Alternate Universe - Canon Divergence', 'During the Final Problem (Yuukoku no Moriarty)']","Louis obišče Alberta tik pred tem, ko on zakuri hišo.",Slovenščina,677,1/1,,5,,34
50786143,Zeleni Obelisk,Anonymous,['19th century Slovenia'],Not Rated,Choose Not To Use Archive Warnings,No category,Complete Work,12 Oct 2023,[],"['France Prešeren', 'Wither Skeleton (Minecraft)']",['Minecraft Lore'],Zeleni obelisk,Slovenščina,423,1/1,,3,,26
50733958,Vladati svetu,orphan_account,['长月烬明 | Till the End of the Moon (TV)'],Mature,No Archive Warnings Apply,F/M,Complete Work,10 Oct 2023,['Li Susu/Tantai Jin'],"['Tantai Jin', 'Li Susu']","['Not Canon Compliant', 'Alternate Universe', 'Happy Ending', 'Humor', 'Sexy Times', 'No Plot/Plotless']","Tantai Jin in Li Susu sta najmogočnejši par v vseh sferah in dimenzijah. Koliko pomenita moč in oblast tistim, ki ju zares imajo?",Slovenščina,86,1/1,,13,,107
