work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55016641,nyA,heartsforhona,['斉木楠雄のΨ難 | Saiki Kusuo no Sai-nan | The Disastrous Life of Saiki K.'],Not Rated,Choose Not To Use Archive Warnings,No category,Complete Work,07 Apr 2024,[],[],[],,af Soomaali,2,1/1,,,,38
54637951,test,Anonymous,['None - Fandom'],Not Rated,Choose Not To Use Archive Warnings,No category,Complete Work,21 Mar 2024,[],[],[],this is just a test,af Soomaali,1,1/1,,,,11
54637948,test,Anonymous,['None - Fandom'],Not Rated,Choose Not To Use Archive Warnings,No category,Complete Work,21 Mar 2024,[],[],[],this is just a test,af Soomaali,1,1/1,,,,5
54542842,testing,Anonymous,['Original Work'],General Audiences,Graphic Depictions Of Violence,Multi,Complete Work,17 Mar 2024,[],[],[],blah,af Soomaali,5,1/1,,1,,14
52079134,Give me requests!,LittleLunastar,['原神 | Genshin Impact (Video Game)'],Not Rated,Underage,No category,Complete Work,06 Dec 2023,[],[],[],"Hello Everyone! I am a minor, so please if my writing is cringe give me tips on how to improve! Give me requests",af Soomaali,21,1/1,5,,,78
38889534,Salaam Alaykum,planet_p,"['Harry Potter - J. K. Rowling', 'Lucky Rainbow Boutique']",Teen And Up Audiences,No Archive Warnings Apply,Gen,Complete Work,09 May 2022,[],"['Harry Potter', 'Laguna']",['Screenplay/Script Format'],,af Soomaali,64,1/1,1,7,,249
2720954,Hindiga u Dhowdahay #3,balanbaalis,"['Game of Thrones (TV)', 'A Song of Ice and Fire - George R. R. Martin']",Not Rated,Choose Not To Use Archive Warnings,F/M,Complete Work,05 Mar 2013,['Jaime Lannister/Brienne of Tarth'],[],"['somali', 'no english']",,af Soomaali,937,1/1,,4,,162
2720951,Hindiga u Dhowdahay #2,balanbaalis,"['Game of Thrones (TV)', 'A Song of Ice and Fire - George R. R. Martin']",Not Rated,Choose Not To Use Archive Warnings,F/M,Complete Work,05 Mar 2013,['Jaime Lannister/Brienne of Tarth'],[],"['somali only', 'no english']",,af Soomaali,814,1/1,,2,,91
2720945,Hindiga u Dhowdahay #1,balanbaalis,"['Game of Thrones (TV)', 'A Song of Ice and Fire - George R. R. Martin']",Not Rated,Choose Not To Use Archive Warnings,F/M,Complete Work,05 Mar 2013,['Jaime Lannister/Brienne of Tarth'],[],"['somali', 'no english', 'Translation']",,af Soomaali,825,1/1,,1,,107
2562524,Jecel 15,balanbaalis,"['Game of Thrones (TV)', 'A Song of Ice and Fire - George R. R. Martin']",Not Rated,Choose Not To Use Archive Warnings,F/M,Complete Work,10 Jul 2012,['Jaime Lannister/Brienne of Tarth'],[],"['somali', 'no english']",,af Soomaali,"1,203",1/1,,,,73
