work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
55200289,【DW/10D】Wildest Dreams,Missummer,['Doctor Who'],Not Rated,Choose Not To Use Archive Warnings,F/M,Complete Work,14 Apr 2024,"['Tenth Doctor/Donna Noble | The DoctorDonna', 'The Doctor & Donna Noble', 'Donna Noble/John Smith']","['Donna Noble', 'Tenth Doctor (Doctor Who)']",[],博士失控了，这不是个好消息，Donna不得不陪着变成人类的他在地球上度过一段时间……,中文-吴语,"2,063",1/1,,,,1
55199434,【91】没有理由,guchenluo,['全球高考 - 木苏里 | Quán Qiú Gāo Kǎo - Mù Sū Lǐ'],Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,14 Apr 2024,['91'],"['922 - Character', '154']",[],不知道是水还是汗，顺着922腹肌的线条流下来，隐没在一件衬衣下，是的，只有一件湿漉漉的衬衣蒙在下身，某个地方被顶出一个巨大的弧度，那一片布料也湿的更加明显，紧紧贴在挺立着的东西上，凸起的青筋被完完整整地勾勒出来。,中文-吴语,"1,943",1/1,,,,0
55086244,广播站,Chainsmoker,['李硕珉 - Fandom'],Mature,Underage,F/M,Complete Work,09 Apr 2024,[],[],[],给笨蛋小学妹开苞,中文-吴语,"5,000",1/1,,2,,80
55056337,链,Styx49,['封神三部曲 | Creation of the Gods (Wuershan Movies)'],Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,08 Apr 2024,['彪发'],"['崇应彪', '姬发']",[],,中文-吴语,"15,423",1/1,,4,,104
55055899,相见欢（四）,hnnym,['大理寺少卿游 | White Cat Legend (Live Action TV)'],Mature,"Choose Not To Use Archive Warnings, No Archive Warnings Apply",M/M,Complete Work,08 Apr 2024,[],['邱庆之/陈拾'],[],邱大将军色诱小夫人,中文-吴语,"5,966",1/1,1,5,,112
54910963,【高h广袁广】记一次没羞没臊的荒村求生,BrotherBie,['代号鸢 | Ashes of the Kingdom (Video Game)'],Mature,Underage,F/M,Work in Progress,02 Apr 2024,"['袁广', '广袁']","['袁基', '广陵王']","['贞操带', '尿道奸', '尿道异物插入', '失禁排尿', '高h']",⚠️：含有性虐袁基内容，接受不了的避雷。 平行世界故事，发生在主线第十一章以后，两人落水，被冲到一个荒村，到处都是尸体（？），适合互虐艾斯爱沐大搞特搞。 凡是发出来的坑都会填平。,中文-吴语,"3,527",1/?,1,26,1,"1,442"
54701491,兄妹3,Chainsmoker,['李硕珉 - Fandom'],Mature,Underage,F/M,Complete Work,24 Mar 2024,[],[],[],,中文-吴语,"4,716",1/1,,2,,129
54678115,O Saga：第一部分：起源之书,rsluebben,"['No Fandom', 'Original Work']",Teen And Up Audiences,"Choose Not To Use Archive Warnings, Graphic Depictions Of Violence, Major Character Death","F/F, F/M",Complete Work,01 Apr 2024,"['西娅/马勒姆', '埃利萨皮/盖亚', '罗文/阿玛亚', '马莱卡/伊坎特', '沙皇米罗/沙皇萨尔玛']","['西娅', '马勒姆', '凯', '弗拉罗', '凯龙 - Character', '罗万', '阿玛亚', '比塔', '贾瓦德', '阿基瓦', '奥拉维尔', '唐太斯船长', '甲骨文大师', '夏甲的女巫', '暗影女巫会', '黑色军团', '马莱卡', '恰斯卡', '亚查酋长', '卡瓦酋长', '埃利萨皮', '盖亚', '伊坎特', '魔王 - Character', '奥达科他国王', '阿托克巴尔', '拉斯坦主教', '托托司令', '拉姆齐元帅', '博雅尔维西尼亚', '沙皇米罗', '沙皇萨尔玛', '多米努斯女士']","['Witchcraft', 'Dark Magic', 'Fantasy', 'Myth Arc', 'Swords & Sorcery', 'Animal connection', 'Torture']",在神秘的土地上，随着被压迫者寻求打破暴君的枷锁，革命正在蔓延。 献身于万物之源的骑士们首次团结在同一旗帜下，加入日益壮大的农民起义。 英雄和恶棍在成为传奇的过程中考验着他们的勇敢。 强者不会轻易放弃自己的权力，牺牲必定会流血。,中文-吴语,"145,886",29/29,,,,13
54651181,真相是假【一】,Abpwoai,"['崔七 - Fandom', '剧版崔七']",Teen And Up Audiences,Choose Not To Use Archive Warnings,F/F,Complete Work,22 Mar 2024,[],['崔倍/王七'],[],,中文-吴语,"1,492",1/1,,,,59
54605035,关于祁煜的潮汐逆流之日,Maywritesomething,['【祁煜x你】'],Not Rated,Choose Not To Use Archive Warnings,No category,Complete Work,20 Mar 2024,[],[],[],高h，舔穴,中文-吴语,"4,914",1/1,,2,1,379
54490222,小兔子乖乖,Chainsmoker,['李硕珉 - Fandom'],Mature,"Rape/Non-Con, Underage",Other,Complete Work,15 Mar 2024,[],[],[],黄得恐怖的童话，脏乱差醒脾齐飞,中文-吴语,"2,794",1/1,,1,,137
54427717,淌春,OuOO,['光与夜之恋 | Light and Night (Visual Novel)'],Mature,Choose Not To Use Archive Warnings,F/M,Complete Work,12 Mar 2024,['齐司礼/你'],"['齐司礼', '你']",[],,中文-吴语,"2,106",1/1,,14,1,858
54381337,【顺航】不想吵架，想操你,Sutying,"['豪吃懒左 - Fandom', '顺航', 'tg家族']",Explicit,Underage,M/M,Complete Work,10 Mar 2024,[],"['张峻豪', '左航']",[],,中文-吴语,"2,588",1/1,,52,,98
54378601,breakgfw,endcommunist,"['BREAKWALL', 'BREAKGFW', 'VPN - Fandom']",General Audiences,Choose Not To Use Archive Warnings,Other,Complete Work,10 Mar 2024,[],[],"['GFW - Freeform', 'VPN']",HOW TO BREAKGFW BREAKWALL FANQIANG,中文-吴语,713,1/1,,,,9
54378583,endcommunist,endcommunist,"['ccp', 'GFW']",General Audiences,Choose Not To Use Archive Warnings,Other,Complete Work,10 Mar 2024,[],[],"['GFW - Freeform', 'CCP - Freeform']",HOW TO FANQIANG POWANG BREAK GFW,中文-吴语,713,1/1,,45,,22
54378538,ENDGFWFAQ,endcommunist,['GFW'],General Audiences,Choose Not To Use Archive Warnings,Other,Complete Work,10 Mar 2024,[],[],[],,中文-吴语,713,1/1,,,,10
54113665,油菜花,Chainsmoker,['李硕珉 - Fandom'],Mature,"Rape/Non-Con, Underage",F/F,Complete Work,27 Feb 2024,[],[],[],讨媳妇了,中文-吴语,"2,195",1/1,,,,188
54113362,老师好,Chainsmoker,['李硕珉 - Fandom'],Mature,Underage,F/M,Complete Work,27 Feb 2024,[],[],[],,中文-吴语,"2,082",1/1,,2,,204
54056239,刘辩当然就应该被捆起来啦,YFChun,"['代号鸢', '辩广 - Fandom']",Not Rated,Choose Not To Use Archive Warnings,M/M,Complete Work,25 Feb 2024,['刘辩/你'],[],[],,中文-吴语,"2,333",1/1,,3,,219
54014413,黑猫大人,miss_forward,"['Slam Dunk (Anime & Manga)', ""男兒當入樽 | Let's Go Slam Dunk (Hong Kong Movie 1994)""]",Mature,Choose Not To Use Archive Warnings,M/M,Complete Work,23 Feb 2024,['Rukawa Kaede/Sendoh Akira'],"['Rukawa Kaede', 'Sendoh Akira']",['仙流'],猫猫神流x警察仙，猫设定有意义。有车。风格乱七八糟。前文lofter同名。,中文-吴语,"8,434",1/1,,12,1,214
53913835,【恋与深空x祁煜纯车】道歉的礼物,aimu521,['恋与深空 | Love and Deepspace (Video Game)'],Explicit,Choose Not To Use Archive Warnings,F/M,Complete Work,19 Feb 2024,[],['Qí Yù | Rafayel'],[],放祁煜鸽子肉偿的故事,中文-吴语,"1,648",1/1,,3,,"1,073"
53863555,「露中」与我共舞,RachelKITANO,['Hetalia: Axis Powers'],General Audiences,Choose Not To Use Archive Warnings,M/M,Work in Progress,08 Apr 2024,['China/Russia (Hetalia)'],"['China (Hetalia)', 'Russia (Hetalia)']",[],吸血鬼露✖️人类耀 露是伪装成人类的俄国军火商 耀是来俄罗斯的交换美术生 有前世,中文-吴语,"14,240",5/?,,9,,215
