work_id,title,authors,fandoms,rating,warnings,category,completion,date,relationships,characters,freeforms,summary,language,words,chapters,comments,kudos,bookmarks,hits
51645220,Ngaphakathi,Sawubona,"['Game of Thrones (TV)', 'A Song of Ice and Fire - George R. R. Martin']",Not Rated,Choose Not To Use Archive Warnings,F/M,Complete Work,01 Jul 2023,['Jaime Lannister/Brienne of Tarth'],"['Jaime Lannister', 'Brienne of Tarth']",[],,isiZulu,240,1/1,,,,10
51645196,Thola,Sawubona,"['Game of Thrones (TV)', 'A Song of Ice and Fire - George R. R. Martin']",Not Rated,Choose Not To Use Archive Warnings,F/M,Complete Work,01 Jul 2023,['Jaime Lannister/Brienne of Tarth'],"['Jaime Lannister', 'Brienne of Tarth']",[],,isiZulu,135,1/1,,,,9
51645160,Isikhathi Siyashintsha,Sawubona,"['Game of Thrones (TV)', 'A Song of Ice and Fire - George R. R. Martin']",Not Rated,Choose Not To Use Archive Warnings,F/M,Complete Work,30 Jun 2023,['Jaime Lannister/Brienne of Tarth'],"['Jaime Lannister', 'Brienne of Tarth']",[],,isiZulu,169,1/1,,1,,4
51541120,Yena,Sawubona,"['Game of Thrones (TV)', 'A Song of Ice and Fire - George R. R. Martin']",Not Rated,Choose Not To Use Archive Warnings,F/M,Complete Work,30 Jun 2023,['Jaime Lannister/Brienne of Tarth'],"['Jaime Lannister', 'Brienne of Tarth']",[],,isiZulu,229,1/1,,,,5
51541093,Izikhathi Zabo,Sawubona,"['Game of Thrones (TV)', 'A Song of Ice and Fire - George R. R. Martin']",Not Rated,Choose Not To Use Archive Warnings,F/M,Complete Work,30 Jun 2023,['Jaime Lannister/Brienne of Tarth'],"['Jaime Lannister', 'Brienne of Tarth']",[],,isiZulu,181,1/1,,,,3
51310441,Impela,Sawubona,"['Game of Thrones (TV)', 'A Song of Ice and Fire - George R. R. Martin']",Not Rated,Choose Not To Use Archive Warnings,F/M,Complete Work,29 Jun 2023,['Jaime Lannister/Brienne of Tarth'],"['Jaime Lannister', 'Brienne of Tarth']",[],,isiZulu,341,1/1,,1,,10
51310387,Woza lapha,Sawubona,"['Game of Thrones (TV)', 'A Song of Ice and Fire - George R. R. Martin']",Not Rated,Choose Not To Use Archive Warnings,F/M,Complete Work,29 Jun 2023,['Jaime Lannister/Brienne of Tarth'],"['Jaime Lannister', 'Brienne of Tarth']",[],,isiZulu,315,1/1,,1,,2
51211936,Kuhle Phezu,Sawubona,"['Game of Thrones (TV)', 'A Song of Ice and Fire - George R. R. Martin']",Not Rated,Choose Not To Use Archive Warnings,F/M,Complete Work,28 Jun 2023,['Jaime Lannister/Brienne of Tarth'],"['Jaime Lannister', 'Brienne of Tarth']",[],,isiZulu,238,1/1,,1,,3
51211894,Ngithathe,Sawubona,"['Game of Thrones (TV)', 'A Song of Ice and Fire - George R. R. Martin']",Not Rated,Choose Not To Use Archive Warnings,F/M,Complete Work,28 Jun 2023,['Jaime Lannister/Brienne of Tarth'],"['Jaime Lannister', 'Brienne of Tarth']",[],,isiZulu,224,1/1,,1,,1
51211849,Umdlandla,Sawubona,"['Game of Thrones (TV)', 'A Song of Ice and Fire - George R. R. Martin']",Not Rated,Choose Not To Use Archive Warnings,F/M,Complete Work,27 Jun 2023,['Jaime Lannister/Brienne of Tarth'],"['Jaime Lannister', 'Brienne of Tarth']",[],,isiZulu,226,1/1,,1,,1
51211807,Woza kimi,Sawubona,"['Game of Thrones (TV)', 'A Song of Ice and Fire - George R. R. Martin']",Not Rated,Choose Not To Use Archive Warnings,F/M,Complete Work,27 Jun 2023,['Jaime Lannister/Brienne of Tarth'],"['Jaime Lannister', 'Brienne of Tarth']",[],,isiZulu,160,1/1,,1,,2
