Source,Target,Type,Id,Label,Weight
55025722,54783778,Undirected,49076,,2
55025722,54735781,Undirected,49077,,2
55025722,54230521,Undirected,49078,,1
55025722,54230050,Undirected,49079,,1
55025722,54040615,Undirected,49080,,1
55025722,52987858,Undirected,49081,,3
55025722,52845718,Undirected,49082,,1
55025722,52441303,Undirected,49083,,1
55025722,51935143,Undirected,49084,,1
55025722,50949787,Undirected,49085,,2
55025722,49941409,Undirected,49086,,2
55025722,49850218,Undirected,49087,,1
55025722,49636234,Undirected,49088,,1
55025722,49175413,Undirected,49089,,2
55025722,48704098,Undirected,49090,,1
55025722,48524233,Undirected,49091,,2
55025722,48108730,Undirected,49092,,2
55025722,48056758,Undirected,49093,,6
55025722,47800870,Undirected,49094,,3
55025722,47622271,Undirected,49095,,1
55025722,47526556,Undirected,49096,,1
55025722,47477944,Undirected,49097,,5
55025722,46758961,Undirected,49098,,4
55025722,44591113,Undirected,49099,,2
55025722,44590924,Undirected,49100,,2
55025722,44555050,Undirected,49101,,1
55025722,43942257,Undirected,49102,,1
55025722,43940256,Undirected,49103,,1
55025722,43369920,Undirected,49104,,1
55025722,43340794,Undirected,49105,,1
55025722,42704802,Undirected,49106,,3
55025722,42139419,Undirected,49107,,1
55025722,41323863,Undirected,49108,,3
55025722,40792464,Undirected,49109,,1
55025722,40696956,Undirected,49110,,1
55025722,40184316,Undirected,49111,,1
55025722,39766479,Undirected,49112,,1
55025722,39699414,Undirected,49113,,2
55025722,38208250,Undirected,49114,,1
55025722,38176339,Undirected,49115,,1
55025722,37578511,Undirected,49116,,1
55025722,37140523,Undirected,49117,,1
55025722,36337822,Undirected,49118,,1
55025722,35998147,Undirected,49119,,2
55025722,35978221,Undirected,49120,,1
55025722,35389999,Undirected,49121,,1
55025722,34271623,Undirected,49122,,1
55025722,33472978,Undirected,49123,,1
55025722,32151535,Undirected,49124,,1
55025722,31646012,Undirected,49125,,1
55025722,31644296,Undirected,49126,,1
55025722,31541432,Undirected,49127,,1
55025722,31224986,Undirected,49128,,1
55025722,30855569,Undirected,49129,,1
55025722,29394837,Undirected,49130,,1
55025722,29394549,Undirected,49131,,1
55025722,29394300,Undirected,49132,,1
55025722,28647081,Undirected,49133,,1
55025722,28646301,Undirected,49134,,2
55025722,28646172,Undirected,49135,,1
55025722,28646004,Undirected,49136,,1
55025722,28290555,Undirected,49137,,1
55025722,28087533,Undirected,49138,,1
55025722,27542881,Undirected,49139,,1
55025722,26480281,Undirected,49140,,1
55025722,24840934,Undirected,49141,,1
55025722,23751904,Undirected,49142,,1
55025722,23458996,Undirected,49143,,1
55025722,21858421,Undirected,49144,,1
55025722,20219188,Undirected,49145,,1
55025722,19870447,Undirected,49146,,1
55025722,19855000,Undirected,49147,,1
55025722,19732774,Undirected,49148,,1
55025722,19043737,Undirected,49149,,2
55025722,18702334,Undirected,49150,,1
55025722,17335142,Undirected,49151,,1
55025722,16457501,Undirected,49152,,1
55025722,16457408,Undirected,49153,,1
55025722,16390847,Undirected,49154,,1
55025722,16307726,Undirected,49155,,1
55025722,16281542,Undirected,49156,,1
55025722,16247630,Undirected,49157,,1
55025722,16246475,Undirected,49158,,1
55025722,16220075,Undirected,49159,,1
55025722,16206227,Undirected,49160,,1
