Name,Nodes,Edges,Average Degree,Average Weighted Degree,Network Diameter,Graph Density,Connected Components,Leiden,Modularity,Average Clustering Coefficient,Average Path Lenght
ko,2446,32710,26.746,30.974,7,0.011,1289,0.898,0.439,0.712,2.661
ja,2994,61125,40.832,56.004,7,0.014,1286,0.915,0.609,0.762,2.661
sv,1013,76175,150.395,181.810,7,0.149,135,0.965,0.223,0.739,2.032
th,2014,71403,70.907,116.533,6,0.035,708,0.943,0.413,0.722,2.342
yue,9290,76886,16.552,19.118,10,0.002,7131,0.916,0.727,0.847,3.048
ptPT,1141,95999,168.272,203.029,6,0.148,106,0.959,0.332,0.664,2.005
hu,2111,129863,123.035,147.274,6,0.058,397,0.923,0.383,0.673,2.169
fi,2071,428765,414.066,463.180,5,0.200,246,0.969,0.238,0.780,1.832
tr,3131,483377,308.768,408.918,7,0.099,707,0.963,0.280,0.754,2.131
cs,5562,714121,256.786,285.299,7,0.046,855,0.895,0.402,0.674,2.184
vi,8155,1549669,380.054,415.374,,0.047,1541,0.907,0.394,0.688,
fil,9231,5019421,1087.514,1317.525,,0.118,1017,0.951,0.410,0.696,
pl,16672,7351857,881.941,961.423,,0.053,2374,0.909,0.395,0.703,
uk,17751,15000972,1690.155,1911.951,,0.095,1483,0.932,0.312,0.632,
de,,,,,,,,,,,
id,,,,,,,,,,,
it,,,,,,,,,,,
ptBR,,,,,,,,,,,
fr,,,,,,,,,,,
